#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	prpD//pdeL//
AcrR_neg	ccmE//fhuB//moaD//sroC//ubiA//fliM//aceA//fecI//artI//nfuA//gltD//
Ada_neg	flgC//molR_1//
Ada_pos	aspC//dinB//glnL//argH//
AdiY_pos	nrfC//ybhG//sgbE//ydfE//mraY//gntX//paaJ//phnH//
AgaR_neg	trpC//uvrD//ybjG//metF//ebgC//rimP//nikC//modA//rseC//treR//fiu//
AidB_neg	hyfG//
AlaS_neg	ryhB//
AllR_neg	yoeB//nanE//rpiB//hemH//edd//casA//rpsU//psiF//ebgC//
AllS_pos	glnB//emrK//tauA//
AlsR_neg	ydhY//metL//tynA//dhaM//ftsK//rcsA//
AppY_pos	cyoD//cyoA//sucD//fbaB//feoC//argI//metI//uvrB//evgS//yfiB//
AraC_neg	nohA//omrA//narL//yegH//fimE//purK//yhjC//phnP//
AraC_pos	fruK//ydeO//lysC//puuA//cheA//glnK//kdpC//ppdA//citD//gltK//
ArgP_neg	nrfD//
ArgP_pos	ssuB//nrdG//accB//yhbE//ybiT//artI//rhaT//gntT//puuP//rimP//nagE//malM//bluF//
ArgR_neg	fimE//fadA//tnaC//ppsA//yegR//ydfH//cheW//setA//alsA//entF//ydcU//hyfI//tfaQ//cysK//sra//nirD//yibQ//bioB//exuT//nrfF//dctR//malF//glmS//ccmC//cdaR//rhaS//lolA//argA//flgM//dmsD//xylH//moaE//yecR//
ArgR_pos	malS//rbsK//fhlA//cusA//hcaB//
ArsR_neg	gltD//nagA//metB//
AscG_neg	ygbK//gltL//hypB//aroM//mntP//
AsnC_neg	dtpA//tdcG//adiA//
AsnC_pos	ahpC//
AtoC_pos	dsbC//nrfB//yhjX//cysB//
BaeR_pos	garL//asnB//rbsA//dsrA//argG//yeaG//tdcC//yiaN//
BasR_neg	dapB//gspC//
BasR_pos	rutC//yiaM//chbG//bioA//pqiA//relA//mraY//srlE//ppiD//yeiL//artI//
BetI_neg	flhB//oxyS//rutG//exuR//
BirA_neg	ftsZ//betT//phoH//osmC//ssrS//
BluR_neg	deoC//gltF//sucD//puuR//
BolA_neg	ydhW//yjbG//
BolA_pos	pepA//aceA//
CadC_pos	mhpT//melR//dnaN//
CaiF_pos	adhE//hyfR//rffH//omrA//yedX//crp//hybF//rutA//fpr//umuC//
Cbl_pos	lacZ//xylR//phnI//glpT//sdhC//kbaY//yncE//ydjM//paaJ//
CdaR_pos	leuO//ftnA//ppiD//uidC//dpiB//fdhF//talA//ybjN//manY//mtlR//
CecR_neg	rseC//fecE//uidC//phnK//efeU_1//
ChbR_neg	yegH//murD//mglC//ebgC//dsdX//oppA//
ChbR_pos	isrC//bioB//ptsI//glpD//ydeO//metC//
ComR_neg	glnL//
CpxR_neg	phoB//accD//yeiL//symE//yhjA//puuD//gcvP//gadB//hypC//nrdD//rpmI//hybG//glxK//gyrA//astE//nanK//gspJ//hdeD//fliE//hyfD//yciX//wecC//astC//citF//
CpxR_pos	fliR//yfiB//yhjA//hcaF//hyi//bglG//rffM//argC//yiaN//allA//rplU//ftsI//infC//ddpD//gudP//insK//yhbS//aceF//yidL//guaB//epd//asnC//entH//purB//ada//ndh//recA//alsA//rbsR//ydbK//gfcA//flgN//ymgC//ygaC//ihfA//sra//phnH//fecC//yidQ//napC//manY//putA//grxA//artP//norV//dsdX//
Cra_neg	paaK//pstS//ldtD//galM//ydeO//csiD//pspG//dnaN//cysG//alkA//narX//lolA//pflB//gadB//rbsB//trpR//feaB//nrfD//dsbG//fliA//gntK//fes//ppc//dgcZ//pspB//cynT//lsrR//relA//gadE//symE//torR//slyB//katG//aroH//trxC//tyrR//cpxA//atoD//puuD//mlrA//fabH//yeaH//fruK//atoA//cdaR//fadD//pitB//astA//yciX//cytR//mhpD//leuO//sufE//phoE//ybjN//argD//nrfF//rffG//gabD//
Cra_pos	yjjQ//ccmD//appA//gspE//ddpF//ldtB//sodA//dctA//malF//bhsA//ccmG//pgaD//ybfN//uxuB//yncE//wecE//fliC//rpoD//hyi//glpK//ybaS//sodB//relE//
CreB_neg	nimR//ydhV//narI//
CreB_pos	fpr//fecA//
CsgD_neg	entS//phr//nuoF//ybaS//infC//rhaT//fumB//ybbW//ydhY//torD//molR_1//glgB//araE//yagK//ecpA//
CsgD_pos	ybhR//phoH//purL//fecB//pspF//gcvB//envC//artI//uvrB//trpA//kbp//hslJ//hdeD//
CsiR_neg	nanA//gspF//hemH//rbsR//yfbR//
CspA_pos	rtcA//dmsC//
CueR_neg	mdtE//ahpF//uxuR//feoB//hslJ//
CueR_pos	hemL//znuA//
CusR_pos	nrfD//dpiB//cysB//mngB//dtpA//fadL//phoP//wza//ihfA//iscR//murE//fpr//
CynR_neg	bglJ//
CynR_pos	carA//fliP//higA//
CysB_neg	putP//fimE//gabD//srlA//kdpB//bluF//alsB//
CysB_pos	gspI//nirC//mntP//uidB//mtlA//paaJ//soxS//lacZ//glcF//zraS//asnC//paaZ//sucB//mhpF//gatC//glcF//nadB//higB//oppD//dctA//casD//cusF//feaR//galE//phnD//
CytR_neg	yjbG//yciX//hyfF//yegR//kbaY//glxR//accD//cpxA//pncB//cynT//dpiB//mdtD//hdeA//
Dan_pos	sroD//hyaA//nac//uxuB//
DcuR_pos	hyfA//cueO//ttdA//paaI//gor//gntX//betA//paaX//torC//
DeoR_neg	ihfA//ydeP//nikE//tdcB//argC//cusF//
DhaR_neg	caiD//
DhaR_pos	lpxC//glnP//caiE//
DicA_neg	crp//ccmH//yncE//lolA//hyfB//arsC//nanE//ygbK//
DinJ-YafQ_neg	aroG//ybhG//cyoD//
DnaA_neg	puuB//potG//pykF//fliS//deoB//ptsH//tomB//uvrD//phnC//yccT//argE//
DnaA_pos	ulaB//glnB//araD//mgrB//cysB//malI//umpH//
DpiA_neg	recB//
DpiA_pos	yfaE//fadJ//argE//slyB//oppB//ilvY//melB//wzyE//ppsA//purK//
DsdC_neg	mhpF//
DsdC_pos	fadI//phoR//
EbgR_neg	sufS//ppc//
EnvR_neg	asr//tauD//
EnvY_pos	ydiU//murI//
EvgA_pos	yfdE//iraP//deoB//yiaN//allA//tdcF//ycjG//htpG//citX//yfdV//gspM//ddpC//phoB//rpsO//gspH//alsB//tisB//ynbC//hycB//
ExuR_neg	rbsC//nuoJ//casB//araG//tauC//pitB//glnQ//glxR//gspM//
FabR_neg	uxaA//yeaR//
FadR_neg	sdhC//glcD//glnQ//rdoA//aroG//melR//polA//gcvP//hyfF//cysU//ldtD//
FadR_pos	fliN//nrfA//hokE//csiD//rutA//torC//xylH//glnQ//ddlB//deoC//flgL//arsR//
FeaR_pos	yeaH//flgJ//
