#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	astD//mdtF//
AcrR_neg	gspG//phnD//ldtD//yncE//puuA//arsB//tnaC//bioD//leuA//glpF//rplT//
Ada_neg	yciG//feaB//
Ada_pos	obgE//ftsL//fliH//ugpA//
AdiY_pos	fbaB//moaC//entH//glnA//prs//gcvT//lpxD//mltF//
AgaR_neg	fnr//ompN//mprA//dinD//phnP//yqhG//phoU//rseB//lacA//casA//adiA//
AidB_neg	ydhX//
AlaS_neg	hyaF//
AllR_neg	nikD//fpr//araB//mgrR//mprA//ynfE//gadA//tnaB//glgP//
AllS_pos	murE//fruA//wecB//
AlsR_neg	uspE//ygdB//pheM//ptrA//sufC//relE//
AppY_pos	rbsR//cynT//ydeP//rbsR//chbA//ydiV//adiA//lsrF//ccmG//rpmA//
AraC_neg	ppdC//iraM//oppA//sufA//lldR//bglF//nadB//ytfE//
AraC_pos	gntT//pgpC//yafP//ybaT//gadA//ymgA//lpxA//sufB//emrK//yqaE//
ArgP_neg	thiP//
ArgP_pos	cra//rffT//ybjG//fliT//astE//hyaA//feoC//pspG//wecC//ariR//gatB//gutM//gntT//
ArgR_neg	ydbK//yoeB//ydhV//rnpB//ynfK//gspI//moaE//rpmI//ydhX//ribA//flgC//wcaA//hybO//betT//bioB//wza//gspI//ssuD//malE//csrC//glnQ//gspG//crp//sodB//yjiY//gpmM//fixB//fabB//ppc//alkA//bioD//hybF//gor//
ArgR_pos	nrdD//cysE//cydD//fliF//cysH//
ArsR_neg	trpL//recN//yqjA//
AscG_neg	iclR//cyoE//emrK//moeA//agaI//
AsnC_neg	tnaB//mgtA//sdhA//
AsnC_pos	kdpA//
AtoC_pos	yfiR//bioC//casA//acrA//
BaeR_pos	galM//mraY//pdhR//fbaA//aroH//uvrY//mgrR//murC//
BasR_neg	ihfA//yjjZ//
BasR_pos	fucU//mazG//mqsA//fepC//ycgR//sbcD//ynfH//betI//galE//prpB//iscS//
BetI_neg	lyxK//yjhC//efeU_1//rclA//
