#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	cyoC//norV//
AcrR_neg	fliM//citE//hdeA//uvrD//tehA//sdhD//dinQ//astB//lysR//puuE//wza//
Ada_neg	glgB//mazE//
Ada_pos	metL//hyfB//rbsK//flgN//
AdiY_pos	yhdX//ilvY//glpT//yafQ//fucI//psiE//yhdX//tonB//
AgaR_neg	sucA//yeaR//ygdB//cusF//yiaM//bioF//pstC//fecE//atoB//fadM//gatZ//
AidB_neg	hycI//
AlaS_neg	ftsL//
AllR_neg	nuoL//frdB//gntT//ddpD//uxaC//lsrB//rcnA//fadA//glgP//
AllS_pos	narG//ugpB//gadX//
AlsR_neg	amtB//ddpA//motA//gadX//feoC//tolC//
AppY_pos	ybhL//cysB//dinQ//yaiA//cysN//arsR//inaA//uidA//prpC//umuC//
AraC_neg	tdcG//glpX//gcvA//sra//chbC//csrB//cho//gadF//
AraC_pos	fdhF//yjhB//nimT//caiC//rplU//rcsA//pnuC//cho//hlyE//moaE//
ArgP_neg	gltD//
ArgP_pos	waaY//entF//lldD//yqhD//waaZ//rutG//ulaA//setA//bglJ//yjhB//metY//kdpC//hcaF//
ArgR_neg	dinI//fabG//creA//rpiB//hyfI//yqaE//fbaA//yciF//artM//sutR//crp//astB//artI//ymjD//iscU//ddpA//uvrC//cysP//nfsA//rbfA//malM//yeiB//fur//rtcB//yfaE//fecA//add//fepE//bglG//nikE//ymgA//gspJ//gspL//
ArgR_pos	aceE//flhE//flhD//rimP//pspE//
ArsR_neg	phnH//soxR//ftsQ//
AscG_neg	nikB//ftsK//ppiD//fabB//glk//
AsnC_neg	torA//nrdG//rimK//
AsnC_pos	fhuD//
AtoC_pos	dctA//cspD//hflD//lsrF//
BaeR_pos	rplU//ybjC//tnaC//nrfB//lysO//ruvA//garD//hyaA//
BasR_neg	lsrK//paaK//
