#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	sdhD//ydhY//
AcrR_neg	dsrA//moaD//arsC//glpQ//lldP//melR//rcsA//erpA//alaS//nuoM//mazG//
Ada_neg	fliN//mlc//
Ada_pos	nagB//phoB//aceE//rcnB//
AdiY_pos	fliN//gor//torR//flgB//glnH//pnp//napC//rffC//
AgaR_neg	phnH//hycH//alaS//ygiB//gcvA//frdA//mglB//fabH//tcyJ//rybB//paaZ//
AidB_neg	narK//
AlaS_neg	ddpF//
AllR_neg	fhuE//murG//argP//puuR//ybaT//slp//recB//hypB//ydcU//
AllS_pos	rcnB//mscM//nikD//
AlsR_neg	rpmA//pgi//fixX//yiaJ//aspA//fixB//
AppY_pos	puuP//yfaE//hdeA//gspI//yqhD//uxuB//wza//fadD//fdnH//acrA//
AraC_neg	ycgR//nmpC//yhdX//tauB//ibaG//tnaA//dmsC//metQ//
AraC_pos	iscU//malX//idnD//glnD//galT//fucK//astB//ppsA//phnN//sfsB//
ArgP_neg	hipA//
ArgP_pos	evgS//cysW//tcyP//nirB//malI//betA//ydeM//rpmA//gltI//tdcC//glxK//wcaA//nrdB//
ArgR_neg	glcE//mlc//ssuC//oppA//astE//hyfE//metB//glcC//cydC//nikB//lsrB//yqhG//glnQ//luxS//oppD//srlR//gltD//poxB//fabG//relB//btuB//insK//acnA//malF//ygiC//uspE//rtcB//nhaR//tdcD//rffC//narX//znuA//dcuA//
ArgR_pos	rhaR//ccmG//ompN//rbsA//tdcE//
ArsR_neg	recA//fabZ//hybO//
AscG_neg	sdhC//aidB//mlc//ada//creA//
AsnC_neg	potF//yjbE//iraP//
AsnC_pos	hyfG//
AtoC_pos	folE//bolA//napA//mtlD//
BaeR_pos	ilvY//marB//hycI//caiC//appC//exbB//lysP//caiD//
BasR_neg	yebG//lacZ//
BasR_pos	ccmH//araA//phnK//phnK//mtlD//fau//patD//rybA//fucA//leuL//gadW//
BetI_neg	melB//rhaD//nfo//fimE//
BirA_neg	degP//tyrB//psiF//rnlB//mngB//
BluR_neg	umpH//rpoE//yhdX//ydjM//
BolA_neg	artP//atoE//
BolA_pos	gpmM//gpmA//
CadC_pos	yfdX//ssuC//gltB//
CaiF_pos	casB//gltL//mngR//asnC//trpL//glpF//rffC//yhhY//ynbA//artM//
Cbl_pos	cusF//lpxC//cynX//nrdI//glmU//bioB//metY//moeB//metC//
CdaR_pos	gltD//hypB//glpD//ulaG//fhuB//ftsZ//argH//murR//aceK//yoaG//
CecR_neg	cbl//tynA//phnD//lpxD//nrfF//
