#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	wzb//ilvY//
AcrR_neg	aceE//citF//adiC//ybjN//mhpB//glnQ//yqhD//betA//phnE_1//sufS//sdhC//
Ada_neg	glpK//sbmC//
Ada_pos	nfsB//nagB//znuA//wcaA//
AdiY_pos	gntU//bamE//rutD//intQ//ilvY//yfdV//pykF//baeS//
AgaR_neg	lsrB//phoR//flhE//casA//ppdC//fucU//cyaR//epd//flhA//ybhS//flgK//
AidB_neg	skp//
AlaS_neg	wzxE//
AllR_neg	gyrA//glpB//symE//ygiC//arsC//gltB//rutB//fabI//hyfA//
AllS_pos	purE//paaI//crl//
AlsR_neg	csgE//trpC//betB//nfo//phnH//nimT//
AppY_pos	mgtL//ompW//adhE//flgI//bglB//fliF//nemA//hybB//rbsD//yhbT//
AraC_neg	emrY//rprA//fucI//lgoR//srlD//chbC//ydfE//ftsQ//
AraC_pos	rhaR//fucU//fepD//fldA//citX//argO//rprA//yiaM//mioC//napD//
ArgP_neg	yciG//
ArgP_pos	bolA//mzrA//glgC//ppiA//asnA//atoE//ykgM//moaE//rutF//dapB//sroC//gltI//rybA//
ArgR_neg	dhaK//acrA//sucB//pqiA//hypD//setA//mprA//argP//rclA//ssuC//sulA//treB//prpE//pgk//hflD//norV//znuB//fliL//ydfE//baeR//crr//moaA//fbaB//fliK//cspI//ompF//eno//umpH//ddlB//eda//fliA//ppc//ssuC//
ArgR_pos	leuC//prpD//sbcD//ybbW//nuoL//
ArsR_neg	rutR//folE//waaZ//
AscG_neg	glpX//bglJ//tehA//asnA//setA//
AsnC_neg	flgN//ydhV//gspE//
AsnC_pos	ecpR//
AtoC_pos	argA//hyfJ//hyfI//rpiB//
BaeR_pos	arsB//ptsH//nrdE//nrdI//oxc//evgS//rffT//mscM//
BasR_neg	ubiC//nadB//
BasR_pos	cvpA//mgrB//ccmE//rybA//rffC//ftnA//kdpA//lrp//fhuA//narK//aroL//
BetI_neg	hyfH//pgpC//mhpE//fepB//
BirA_neg	sbcC//hcp//grxA//agaR//gnd//
BluR_neg	fadE//bacA//cysI//focB//
BolA_neg	frdB//ptsH//
BolA_pos	uvrC//wzyE//
CadC_pos	araG//rybB//lgoR//
CaiF_pos	cydC//chbF//mazF//crp//rffM//napA//ugpB//aceK//deoA//araF//
Cbl_pos	infB//frdB//gspH//mioC//codB//rpoS//pnuC//slp//murP//
CdaR_pos	leuA//pgaC//ndh//fruB//murQ//gspL//fucU//ygdB//astB//gpmM//
CecR_neg	cusC//casD//yeaR//rpoH//wzyE//
ChbR_neg	rseC//yegH//yafQ//hyi//rbsR//oppF//
ChbR_pos	purH//idnO//ttdR//fnr//artI//rpiR//
ComR_neg	mhpA//
CpxR_neg	hisQ//gspJ//rhaD//tdcF//ykgO//fliZ//glxR//fepA//gabT//ybhF//wecE//fepG//casE//cueO//aceK//focB//ydeP//nhaR//tehB//fbaA//nuoM//glcE//fliA//waaZ//
CpxR_pos	appC//potH//hycH//fbaB//galP//rbsC//casD//tauD//folA//dpiA//allS//malX//potG//manZ//sgrR//fliQ//glgX//flu//emrB//rcnA//emrB//metQ//ydhT//tnaA//osmB//rutR//gltF//nuoA//ccmC//cecR//nrfA//trpE//paaE//tdcD//rbsK//soxS//malI//narH//leuA//malG//nrfG//mgtA//araD//araB//fldA//dinD//
Cra_neg	rclB//nanT//phnO//yiaN//aroM//mngB//ascB//aroP//hcaF//fixA//rfe//sra//prpB//cvpA//nrdG//ybjC//flgJ//yfbR//inaA//fhuC//truB//hycF//ariR//nrdH//fldA//yegZ//sufS//mglC//lldD//edd//allB//flu//creD//yciW//fhuD//fdhF//tsr//lacY//mpaA//rutB//moaD//mdtF//paaB//galP//ompF//ccmA//ugpA//ppdA//hcr//yiaJ//mdtA//lacY//caiD//yeiB//norR//glgA//pgm//rclC//oppD//
Cra_pos	exbB//umuC//wzyE//crl//idnK//torR//tnaA//ybjC//setA//tnaA//nuoE//ompT//pdhR//argD//chbR//entA//ttdB//murP//tdcG//trpB//recF//cho//nrdF//
CreB_neg	phnC//fucR//fepG//
CreB_pos	gabD//nanC//
CsgD_neg	ecnB//treC//purM//bioB//marA//mipA//mazF//ybjN//galS//xylB//allE//entA//purF//sufE//fldA//
CsgD_pos	cynR//guaB//rimP//ydcV//nfuA//mtr//yoaG//agaW//higB//glcG//ynfG//luxS//sroC//
CsiR_neg	allS//gatC//gapA//narJ//pspD//
CspA_pos	rstA//fixX//
CueR_neg	ycgZ//garP//yeiB//sucA//rffC//
CueR_pos	ydiV//arsR//
CusR_pos	exbB//gapA//caiD//aspC//chbB//ihfA//ccmH//cydB//yafP//ascB//betI//rpiR//
CynR_neg	yjjQ//
CynR_pos	ddlB//lsrA//nrdB//
CysB_neg	nuoG//tdcB//yiaO//bioF//entF//ydhX//chbC//
CysB_pos	marR//fadB//gcvT//obgE//iscS//fecD//yeaR//recA//soxS//rnpB//phnJ//ptrA//dkgB//aroM//yqhG//yhiD//yafP//fdnG//fhuD//gntX//wecB//dgkA//dcuD//hycD//hyi//
CytR_neg	uvrB//rffH//ynfG//paaG//gatA//gspL//cysM//metB//ompT//gor//uvrY//tonB//recN//
Dan_pos	cusC//gatY//exbB//leuA//
DcuR_pos	uidC//dinD//asnC//lysO//gltB//bdm//argA//rffM//malQ//
DeoR_neg	rsmH//hybO//mngB//cadA//hisM//fadH//
DhaR_neg	norV//
DhaR_pos	chbC//tyrR//paaF//
DicA_neg	mdtC//tcyJ//ydfE//dmsC//chbA//cysG//agaC//fruA//
DinJ-YafQ_neg	purF//gatA//gor//
DnaA_neg	mqsA//ycgZ//cas2//fhlA//hyfB//alkB//metB//rbsR//marA//fliC//yhdW//
DnaA_pos	mltF//ihfA//mtlD//cecR//yqjH//ebgA//bioF//
DpiA_neg	gadW//
DpiA_pos	entC//gntX//ftsA//dacC//lsrF//sbmC//rcsA//lsrG//hypF//lacY//
DsdC_neg	stpA//
DsdC_pos	ygdB//crl//
EbgR_neg	recN//metJ//
EnvR_neg	lacA//cusS//
EnvY_pos	gltL//chbC//
EvgA_pos	dinI//hyfA//mpl//ppdA//sbcD//gatZ//wecC//cdaR//fadA//araB//folE//csgE//gntK//hdeA//napC//narX//marR//ccmF//garD//
ExuR_neg	gabD//malM//fbaB//ribA//tauC//fes//ynfK//mltF//gudD//
FabR_neg	agaI//ybiT//
FadR_neg	lysC//glnL//glcF//uidC//phoB//pgk//leuL//sbmC//dhaM//dhaL//metN//
FadR_pos	nikA//ulaB//dps//malQ//sdhC//yccT//yqaE//umuD//ppdC//gspI//sbmC//hcaE//
FeaR_pos	recB//srlB//
FhlA_pos	tam//luxS//fliD//ihfA//mioC//malP//metA//pfkA//pgi//cyoC//malP//rbsD//luxS//rutE//molR_1//glcD//glpX//fhlA//cheW//ydjM//nuoH//prpR//alaC//nohA//puuD//ybhG//nuoB//crl//rtcB//rarA//
FlhDC_neg	cdaR//dcuS//pgi//glcD//
FlhDC_pos	crr//tdcD//rseB//gnd//pdhR//cirA//nikE//ugpQ//glmY//phoQ//gyrA//gor//pyrD//marR//narK//hipA//alsE//dhaK//flgC//puuR//rbsA//tauA//malE//frdC//ytfE//uxuB//cbl//tehA//rybB//srlA//glpT//aceA//carB//yaiW//nirD//accA//symE//sroA//xylA//molR_1//treC//focA//hypA//hemH//asnC//fliR//nuoL//ydfE//sgrT//accD//appX//hycH//idnT//yhbE//gspL//lacA//dsbG//focB//cpxA//glcA//csgF//manX//hybE//tehB//malY//yebG//ascB//exbD//pstS//rplU//ydfX//fliR//mpl//tsr//mnmG//rarA//treR//nrdG//
FliZ_neg	arsC//ykgM//ydhU//gcl//serA//allD//hyi//yciG//fhuF//iclR//sufS//ydcT//iscU//dsrA//yoaG//artJ//betI//oppA//atoE//tdcC//nac//
FucR_pos	rbsA//mhpE//fixX//flgA//murE//ddpC//hyfJ//
Fur_neg	tsgA//dctA//osmB//serA//cusS//caiA//fadB//fabB//nagB//yiaO//rcsA//puuP//ynfF//uspA//dcuS//pheT//ada//soxR//emrB//gltI//glcB//yciW//nrdG//ptrA//recF//purC//argG//ahpC//emrK//malK//hypA//napF//appX//rutR//ppc//moaB//aroL//nrfB//puuA//tdcA//ccmC//yhjX//dmsA//gspJ//aceB//ftsQ//ulaA//nfsB//mprA//rhaD//nrdA//nrfA//hycF//phoU//flgL//ybhR//ilvY//cydC//ydhT//appA//ptrA//polB//uxaA//pitB//qseC//potG//hisQ//mraY//tcyJ//ygiZ//yfaE//ybhG//fldA//allC//nuoG//gloA//yjbH//alaS//focA//envC//metA//ptrA//agaV//evgA//malT//hyfJ//modB//lpxD//hyfF//uidR//ycjG//lsrA//ydeI//psiF//tcyP//rcnR//potH//hcp//ecnB//gspK//psiF//uvrC//fixB//yiaN//slp//add//alsB//zwf//nrdF//napA//fliG//casB//tolC//cysJ//tdcB//
