#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	narL//yfiB//
AcrR_neg	lysR//gatC//fdhF//dinQ//uxuR//exuT//betT//ycjF//talA//glpF//ymgA//
Ada_neg	yjbF//relB//
Ada_pos	idnK//cadA//pagP//gfcA//
AdiY_pos	fliD//argT//ftnA//hyaF//nusA//glcG//rcnA//araJ//
AgaR_neg	caiF//pheM//garR//sufC//mazE//rcsA//ppsA//mglC//pstA//ydcT//flhC//
AidB_neg	mlc//
AlaS_neg	lsrG//
AllR_neg	ybjG//gutQ//iclR//dinJ//ddpF//ymiA//fecR//slyB//pheT//
AllS_pos	mqsR//adiC//sfsB//
AlsR_neg	pgi//aceE//hycI//metE//tauA//yidQ//
AppY_pos	ecpA//manZ//csgB//sutR//yjbF//ybhL//pgm//rpoE//araJ//rcsA//
AraC_neg	uidC//rbsR//nadB//tcyP//dsdC//prpR//moaB//trpE//
AraC_pos	acrZ//cadA//gor//astB//malS//rutR//ybbY//arsC//cynR//ydeO//
ArgP_neg	astB//
ArgP_pos	cspD//srlR//mpaA//uspA//srlD//fadD//fucA//fepD//murF//lacY//fbaB//bluF//gutM//
ArgR_neg	pspG//gyrA//galE//moaA//ldtD//ariR//mgrR//pdeR//srlE//xylB//glpF//lsrG//sucC//argC//gutQ//mtr//poxB//crl//flgF//acrA//phnG//uvrA//fldB//lsrF//dinJ//fliS//paaJ//ydcS//fau//trpC//nikC//glmU//murI//
ArgR_pos	psiF//sgbH//fadJ//mngR//mdtC//
ArsR_neg	cusS//narJ//rpiR//
AscG_neg	wza//allC//flgI//hyfC//mtr//
AsnC_neg	allC//dnaG//recA//
AsnC_pos	ddpC//
AtoC_pos	bioA//uvrA//cspD//dinD//
BaeR_pos	wza//hyfR//kbaZ//paaI//ydhY//ompC//ddpB//trxC//
BasR_neg	rpoH//nagC//
BasR_pos	uxaB//sdhC//nohA//ribA//glnP//ppsA//gnd//idnD//uxaC//yeaH//fdnG//
BetI_neg	rffC//dinI//betI//wza//
BirA_neg	bioB//rffT//guaB//pdeL//oppB//
BluR_neg	gatB//pck//dinI//fbaA//
BolA_neg	hdeD//glcB//
BolA_pos	fecD//purC//
CadC_pos	dmsB//ulaD//pnuC//
CaiF_pos	hyfA//uidA//dmsD//ppc//speB//grxA//tauC//artP//osmC//rprA//
Cbl_pos	yhcH//wzyE//osmY//ycgR//gspH//dgcZ//yeiB//yidL//rbsC//
CdaR_pos	cyoC//iscA//astE//uidR//xylA//dsbC//yeiB//alsB//dkgA//ugpC//
CecR_neg	mazE//cusS//recB//alsB//mipA//
ChbR_neg	flhE//ydcV//galM//dmsC//cysP//moaC//
ChbR_pos	gatD//wzb//purA//csgE//bolA//csgG//
ComR_neg	caiT//
CpxR_neg	yjbH//guaA//ydfN//mhpC//katE//dsbA//trpE//purN//kdpC//ppdC//gltK//puuP//mdh//lldR//nanA//tdcB//ccmA//ygeA//astC//phnD//cpxQ//glnL//nuoM//yfdX//
CpxR_pos	gabT//ydbK//pheM//yncE//tauA//accC//araB//hycD//lysA//phnD//hyfC//edd//symE//yhbE//hcr//fbaB//nuoL//hybF//nirD//dhaM//argO//gspJ//hdeA//ptsI//uidR//dsbG//idnK//dmsC//ynbA//dicB//nfo//fldB//ynfF//nikE//gltK//ahpC//yciW//ppdC//rybA//fhuC//artJ//csiD//hemH//hflD//hycI//uxuR//
Cra_neg	argI//glpC//narX//nfsB//ydeN//argO//gdhA//agaV//mnmG//mazG//rutF//hycI//argF//hyfF//setA//fbaB//btuB//csgC//phnH//lacA//tolC//tonB//ssuC//tynA//hybF//chbR//fecI//prs//malS//nrdB//accC//nimR//pepA//fbaA//rclC//rarA//rhaS//hyfF//mcbA//astE//astA//rimK//fliG//ybhL//fixB//mdh//fepG//add//artP//rob//ubiA//yhbE//modA//melR//aceE//cpxR//fepA//yqhG//hslJ//
Cra_pos	araA//dacC//rseC//yidL//psiF//rob//ymgA//mraZ//casC//nagA//hyfF//araA//phoH//ydcT//ppiD//trpB//puuD//rtcA//malY//dsrA//agaR//gltF//gabP//
CreB_neg	uspE//metN//metA//
CreB_pos	rpoD//trpA//
CsgD_neg	psiF//hcaF//ugpA//argF//pgk//uvrD//yciX//hcaC//tonB//gadY//waaY//phnC//ahpC//puuE//hypC//
CsgD_pos	hcaF//gadB//feaR//cheW//tonB//dhaM//sgbH//gloA//setA//nhaA//hyfJ//glnA//rcsA//
CsiR_neg	glnK//exuT//murF//purC//ryhB//
CspA_pos	gabD//dcuS//
CueR_neg	chbF//ryhB//motA//sroA//mhpT//
CueR_pos	malQ//malM//
CusR_pos	yciE//gpmM//higB//lpxC//rhaS//ttdB//mpl//rbsC//ftnA//sdhA//dinD//dnaN//
CynR_neg	rarA//
CynR_pos	citG//tyrR//umpH//
CysB_neg	glnK//ccmA//malS//fldA//glcD//dcuB//emrY//
CysB_pos	srlD//narX//nrfE//nuoL//gpmA//pflB//cspE//puuR//ydbK//hcaB//infB//ubiA//ogt//paaH//napF//iraM//ccmE//hydN//alaS//dmsC//glcE//nikB//araE//prpD//mntS//
CytR_neg	cueO//mprA//ygbA//gadB//metK//fldA//rutD//wcaB//glpK//thiP//nupC//fliJ//casA//
Dan_pos	flgL//nfsA//nrdB//dnaG//
DcuR_pos	glcD//csgB//gntU//tdcF//dctR//rpoD//mepH//umuC//paaA//
DeoR_neg	nuoA//gutM//gspK//caiE//ybdZ//yhdY//
DhaR_neg	ydeN//
DhaR_pos	cusS//pstS//gltK//
DicA_neg	glcD//ttdB//argE//psd//dhaM//ompN//katE//treR//
DinJ-YafQ_neg	nemA//lsrK//gspO//
