#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	fepE//nadA//
AcrR_neg	deoC//thiQ//rseB//caiA//ydhU//dcuA//cyoC//ssuA//flhA//xylA//sgbH//
Ada_neg	mglA//putP//
Ada_pos	cyoC//pepA//nrdA//ycjF//
AdiY_pos	agaC//ydiV//ydjM//iraP//dinI//eda//cdd//entA//
AgaR_neg	sdhD//uspA//yefM//yhdY//ptsI//csgE//glgX//sufA//artJ//fdnG//nfo//
AidB_neg	rbsC//
AlaS_neg	wzc//
AllR_neg	agaC//acrD//malX//acrZ//sucB//mqsA//ygaC//flgH//nrdD//
AllS_pos	narG//nrfG//nrfA//
AlsR_neg	rffC//fdnH//znuB//galS//patA//gapA//
AppY_pos	yafP//ulaA//agaV//fadD//ybhR//rnlB//hybG//kbaZ//argT//exuT//
AraC_neg	fepA//rimK//umuC//fliM//glxR//hisM//pgi//glnL//
AraC_pos	hybO//ymgA//cecR//fliK//fliF//phoE//mpaA//gnd//cyoA//yfiR//
ArgP_neg	hipA//
ArgP_pos	ppdC//umuD//chbB//yoeB//ung//ybfE//cyoD//gdhA//recF//fixB//entC//ccmD//carB//
ArgR_neg	phnL//hypE//nuoK//cysK//tcyJ//galT//lldD//caiA//paaA//dgkA//symE//mlc//manX//mraY//yiaK//metC//lolA//gpmA//ynfK//crr//crp//gutQ//bacA//glnH//ttdB//ahpF//fixC//ruvB//fdnI//yjhC//emrA//yefM//folE//
ArgR_pos	ilvC//bioA//lysA//nfo//chbR//
ArsR_neg	mntP//ybbY//ompN//
AscG_neg	ppiA//rimK//caiE//dinQ//chbC//
AsnC_neg	trpR//yfbR//dmsC//
AsnC_pos	deoA//
AtoC_pos	ugpE//sucD//ftsQ//dapD//
BaeR_pos	ydfX//araA//acnA//melR//hslJ//fecC//ydeP//acrZ//
BasR_neg	pheT//decR//
BasR_pos	nrdD//hypE//aroF//uxaC//lsrC//flhE//lsrC//phnG//csgD//nuoM//fimB//
BetI_neg	gltK//bamE//araE//csgF//
BirA_neg	moeA//yegR//feoA//lsrA//sdhC//
BluR_neg	ftnB//entE//tktB//glnP//
BolA_neg	hycA//ydhU//
BolA_pos	hybE//hybC//
CadC_pos	nrfG//garL//dgcZ//
CaiF_pos	fldB//puuP//hypE//ppsA//metK//ygbA//hyfI//hyaD//aceF//mhpF//
Cbl_pos	nfsA//fecC//yeaR//dctR//phnP//recN//grcA//arsR//ygiZ//
CdaR_pos	gntK//hcp//nrfD//mazF//puuA//fhuE//paaE//uspD//nrfD//caiF//
CecR_neg	iscA//fecI//pstS//ppdB//fepA//
ChbR_neg	nrfF//yecT//rprA//ppc//bluF//nuoI//
ChbR_pos	glcF//leuB//chbR//ydhU//ung//araJ//
ComR_neg	glcB//
CpxR_neg	gabP//dpiB//yccJ//wecE//gcvA//hypC//eda//cysN//rffC//phnD//entS//mazE//purR//ccmF//dcuB//umpH//cynT//rutR//sdhD//araE//dcuS//prpB//yciX//manZ//
