#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	pdeL//napA//
AcrR_neg	ccmA//mnmG//yiaJ//ydeO//fbaB//paaA//hcaC//nhaR//fixX//metY//mtlR//
Ada_neg	acnB//recN//
Ada_pos	ssuC//folE//fixX//hcaB//
AdiY_pos	yeiL//dinB//yidQ//fadR//umuD//uxaB//araH//napF//
AgaR_neg	ada//agaV//pgaC//phoQ//caiB//nuoH//glmY//casC//ynbD//bioD//phnG//
AidB_neg	dcuS//
AlaS_neg	psiE//
AllR_neg	carA//sbcC//pagP//ydeM//mdtE//nhaR//grxA//dgcZ//uxuR//
AllS_pos	torA//gadY//bglF//
AlsR_neg	nuoM//ycdZ//galK//zwf//gudD//leuA//
AppY_pos	chbR//dkgB//caiC//ftsI//chbB//betI//rhaT//sucA//alsE//mngB//
AraC_neg	ykgM//murG//rbfA//hycB//phoE//rplU//hflD//tyrP//
AraC_pos	ydeN//phnF//artJ//nfuA//yegR//cdd//add//feaR//trpC//moaA//
ArgP_neg	cusB//
ArgP_pos	cvpA//dicC//eda//ygdB//argP//hybD//ttdB//lsrC//polB//tauC//tehB//potH//mgrR//
ArgR_neg	chbF//fecB//hslJ//hyaD//rtcB//hyfB//glpX//oxyR//malI//ytfE//gspO//ykgO//asnC//purK//nagC//phr//hyfA//ruvA//ompF//murC//yjjZ//fecC//fhuD//yciF//fhuE//yefM//yaiA//erpA//psiE//acrD//gnd//mhpA//ybhF//
ArgR_pos	fliZ//dinJ//yfiB//bluF//pgpC//
ArsR_neg	pflB//cadA//aroL//
AscG_neg	rybB//phoU//xapA//treC//allA//
AsnC_neg	iraM//malI//nuoI//
AsnC_pos	gloA//
AtoC_pos	pstC//polA//cspD//gltL//
BaeR_pos	fecR//flhA//nikE//fabB//nanE//gspG//sgrR//phoP//
BasR_neg	hybO//pspE//
BasR_pos	oxyR//sgbU//cyoD//grcA//tauC//osmC//alsC//rpoS//moeB//flu//yeaE//
BetI_neg	bioB//ung//hslJ//yfiB//
BirA_neg	gudP//rnlA//tdcE//fimB//rutG//
BluR_neg	ulaC//tdcC//ftsQ//kdpB//
BolA_neg	wecC//nikA//
BolA_pos	glcA//yebE//
CadC_pos	caiC//rbsD//hcaD//
CaiF_pos	nuoI//purB//pck//fepD//ydfH//flgF//fabB//phnC//tdcG//yfiB//
Cbl_pos	ynbB//moeB//gatA//mhpD//pheT//betT//metY//gltB//ydfN//
CdaR_pos	pepD//gspO//lon//acnA//hypA//yaiA//ydfN//tdcC//insK//ygaC//
CecR_neg	zraP//citF//dinQ//phnL//nuoI//
ChbR_neg	atoB//napD//seqA//emrA//mntH//oppD//
ChbR_pos	codA//pyrD//yaiA//iraM//argR//ykiA//
ComR_neg	cspE//
CpxR_neg	cheW//yhbT//omrA//fliM//yhbS//glcA//psiF//dgkA//glxK//hcaF//yciF//accB//phnF//lsrK//sdhA//glnP//mhpF//feoA//bluF//hypE//ykiA//allC//kdpA//add//
CpxR_pos	ryhB//gspO//cvpA//mtlR//ynbD//fadI//narI//atoE//narJ//metN//dinF//mntS//motB//galR//phnI//flgL//rarA//feaR//idnO//gabP//gntP//ybaS//ubiX//rprA//ydiV//hyaA//rutE//caiA//alsB//mqsA//fldB//atoB//gntP//umpH//ttdA//ariR//dnaN//uvrB//yhjX//fruA//phoP//ydfE//hha//yiaL//yidL//hdeA//
Cra_neg	motB//ydbK//ompC//hcaC//aslB//aspA//garD//yagK//ynfF//narG//omrB//tdcG//lsrC//pstS//kbp//asnB//sucB//ymgA//higB//bolA//gcvT//yegR//glpD//nemR//fhuE//nuoK//glyA//flu//rcnB//cysG//psiE//ybhL//agaA//yecT//ccmF//prpB//argA//adiC//dinG//ecpR//sdhB//lgoR//poxB//rimP//exbD//fixA//dnaG//nrfC//alsB//uspE//edd//torC//ydfD//ybfE//phnC//flgK//fur//cspE//chbG//
Cra_pos	fecR//prpD//nrfE//gatC//ccmG//thiP//nrdE//nagB//lon//malZ//dinB//codB//ynbD//artP//lldP//gabP//truB//argT//purL//yefM//recC//fdnH//hycE//
CreB_neg	ccmD//luxS//gadY//
CreB_pos	rcnA//nfuA//
CsgD_neg	wzb//araC//pdeH//ybjG//moeA//glnA//cysJ//ugpC//araD//sufC//cydD//prpD//rcsA//pykF//nfuA//
CsgD_pos	relA//hycE//agaI//sfsB//pgi//kbp//osmY//mhpB//seqA//purN//waaY//zraR//pdeR//
CsiR_neg	gatD//xylH//cueO//aroM//accA//
CspA_pos	puuD//lsrF//
CueR_neg	nhaA//casA//napH//allA//katG//
CueR_pos	yhcH//yeaE//
CusR_pos	nimR//wrbA//infB//ndh//yjbF//nanE//nikR//metA//ibaG//allA//yneM//mepH//
CynR_neg	astB//
CynR_pos	yciX//atoE//pspE//
CysB_neg	yeaG//paaB//hcaC//tnaB//allB//phnE_1//poxB//
CysB_pos	manZ//emrY//wza//hisP//argD//gudD//tsr//acrR//flgB//caiE//flgB//entB//murF//rcnA//fadL//mcbA//nuoE//cysK//ugpA//glpC//malG//mntS//glcD//treB//mgtA//
CytR_neg	dsbG//yiiS//lldR//hflD//pqiB//sufD//mdtA//dcuB//amtB//gcvH//pspE//dcuB//fhuC//
