#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ompF//allS//
AcrR_neg	yrbL//ppiD//citD//nrfB//murG//dsbG//ompW//tonB//malQ//fepB//lgoR//
Ada_neg	ompT//rcnR//
Ada_pos	purH//phoE//yfaE//moaA//
AdiY_pos	nadB//araD//ynbA//tauC//hybD//gspF//lpxD//allB//
AgaR_neg	dhaK//phoP//xapB//cusB//tyrR//deoC//alaS//cirA//ccmG//glgX//fepC//
AidB_neg	hybD//
AlaS_neg	melA//
AllR_neg	ygeA//rplT//purL//atoA//ydbD//rarA//cyoE//iscA//hcaE//
AllS_pos	ybhR//dapD//caiD//
AlsR_neg	ydbD//cysP//torA//garK//qseB//moaB//
AppY_pos	phoE//dinB//kbaZ//ftsI//hcaC//trpD//mgtA//ryhB//ykiA//ibaG//
AraC_neg	ydjM//hyaD//dsbA//baeS//mpaA//ecnB//csgB//cyoC//
AraC_pos	recF//ydeO//mhpF//gspI//nuoG//treB//infC//folA//cbl//fadR//
ArgP_neg	hycC//
ArgP_pos	gadE//xylF//mraY//ycjF//recF//nusA//nadB//hyaE//nrdD//mlc//iscR//higB//grxD//
ArgR_neg	agaS//sfsB//pykF//nrdD//mdtF//ppsA//galS//gadB//yafP//nrdI//dcuA//cytR//bolA//lsrA//pheM//fliC//nrfD//dpiA//ygeA//mioC//znuC//astC//chbR//leuA//ompN//marB//relA//glnK//oppC//uidB//cyoD//gyrA//aspA//
ArgR_pos	garR//mraY//glnQ//yefM//glmY//
ArsR_neg	fucA//hypC//nagC//
AscG_neg	osmB//ulaA//moaA//glcA//glpQ//
AsnC_neg	puuE//yncE//ymgA//
AsnC_pos	creD//
AtoC_pos	yiaJ//flu//puuC//mntH//
BaeR_pos	rutG//araC//murI//mdtF//ppdC//caiD//uspE//ccmD//
BasR_neg	rarA//yagK//
BasR_pos	ygdB//phnP//cysD//ybiT//phoQ//ompF//cspD//fixA//ssuB//lsrG//ydfN//
BetI_neg	cho//glcF//ssuE//malZ//
BirA_neg	yjbG//allC//metB//argH//chiP//
BluR_neg	entD//betT//trpR//araC//
BolA_neg	sbmA//mngA//
BolA_pos	tam//atoD//
CadC_pos	paaE//edd//murC//
CaiF_pos	gapA//ddpD//hypB//lon//xylB//relB//ihfA//ydfX//ynjI//uidA//
Cbl_pos	rprA//rffT//nimT//caiT//ygdB//rbsB//ycgR//metH//adhE//
