#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ydbK//ygiZ//
AcrR_neg	purB//tadA//cysK//hydN//malG//mioC//relA//hybO//fbaB//oxc//paaC//
Ada_neg	fucR//sucD//
Ada_pos	fpr//puuP//nrfB//dmsD//
AdiY_pos	lamB//fliZ//kbaY//polA//ptrA//fliH//tdcC//pdeL//
AgaR_neg	cpxR//artQ//hycB//flgC//purC//ftsA//frdB//nagC//rhaA//rdoA//gudX//
AidB_neg	gadE//
AlaS_neg	yiiS//
AllR_neg	marR//bioC//csgF//yhbE//yhjA//tdcD//dpiA//uvrY//efeU_2//
AllS_pos	yqhD//csgE//ynbA//
AlsR_neg	kdpF//edd//manY//glpT//ccmG//aceF//
AppY_pos	paaZ//cas1//fliT//infB//ugpE//fpr//dkgB//fixA//cusS//trpA//
AraC_neg	znuC//purA//pgi//dinD//fecC//nikR//ftsK//paaY//
AraC_pos	rutG//ugpQ//flgN//tdcA//ulaA//yeaR//yeaG//casD//uvrD//trpA//
ArgP_neg	gapA//
ArgP_pos	putP//metN//moaA//nirC//prpB//rtcB//glxK//ugpB//glk//hyfF//dinJ//mioC//ydjM//
ArgR_neg	dgcN//malY//iscS//pdeR//cspD//caiA//flgB//chbG//yhiD//tdcC//galM//gspD//yqjI//dinG//hyaF//sbmC//nimR//alsA//ppsA//pnuC//yecR//pheS//fabB//ynfH//cusB//srlE//ldtB//zraR//hyfD//relA//nagB//flgD//artM//
ArgR_pos	gspI//nfsB//rutG//ilvC//casC//
ArsR_neg	mgtA//fdhF//cysK//
AscG_neg	murE//mngB//bolA//cysD//hypD//
AsnC_neg	kdpB//gatC//codA//
AsnC_pos	potH//
AtoC_pos	argB//sroA//napB//cpxR//
BaeR_pos	ogt//flhE//fadE//hycF//hcaF//paaH//gspH//yhhY//
BasR_neg	mqsA//uvrC//
BasR_pos	bioA//yeaH//znuA//hyfR//sufC//nhaR//tyrR//hyfD//iscS//nupG//mntH//
BetI_neg	sufB//nuoB//norW//mazG//
BirA_neg	melR//polA//rhaS//ygbA//fhuB//
BluR_neg	gltB//ydcV//gcvB//caiF//
BolA_neg	gspE//gltJ//
BolA_pos	ynfG//fdnI//
CadC_pos	manX//rhaT//aceB//
CaiF_pos	ymjD//mntP//atoD//dhaK//aroP//nrdH//sutR//yidQ//paaY//yfdE//
Cbl_pos	caiD//pnp//wrbA//cusR//garP//yncE//glpC//molR_1//glcA//
CdaR_pos	pstC//dapD//umuC//codB//ybbW//lhgO//ppiD//recN//csiD//nanC//
CecR_neg	frc//ascB//gfcA//ompF//fliZ//
ChbR_neg	fdnI//malP//norR//hybE//lpxA//dsdC//
ChbR_pos	pyrD//pnuC//cecR//cusR//hyaD//kbaY//
ComR_neg	gdhA//
CpxR_neg	malE//wecE//glpF//frdC//gatZ//nhaR//cusF//alaS//yjjQ//rob//hycB//pgaC//lpd//kdpF//yeaH//ykiA//hyfB//yjhC//hybE//tcyJ//cyoA//decR//malX//cyoA//
CpxR_pos	hisQ//cynX//argP//ccmB//rbsR//gor//gspG//araA//rcnA//dsbA//murF//gnd//hypD//pspF//glcF//znuB//waaY//hipA//yjbF//ygiA//phnJ//soxS//iscU//gatZ//garR//gcvP//acnA//glpB//ycgR//zwf//yqjH//fliI//ydfD//murF//yeaD//hdeB//rcnB//mraZ//yneM//fliM//gntU//bglF//znuA//uxuR//glpF//mhpB//
Cra_neg	yjbF//bglF//iscS//uvrC//nupG//rimP//pflB//grxA//napA//sbcD//moaA//dhaK//csrC//araG//lacA//ydhX//narH//nemR//ybjN//decR//narJ//rdoA//slp//ndh//yhdZ//putP//deoB//narI//astD//argI//rutR//metE//aroP//metA//hmp//yjbG//xylA//ubiC//ccmH//ttdT//hokD//galM//relE//appB//moaE//moaA//fepG//flgK//umuD//dhaM//fliC//gadB//sufA//ddpF//rbsC//glnL//agaS//cytR//sucD//
Cra_pos	asr//hisM//entS//rprA//caiT//speA//gcvB//fixC//dkgA//appX//mdh//dgcC//dinD//ugpE//puuR//higA//yqhG//murD//dmsD//marB//tktB//csgF//talA//
CreB_neg	paaE//arsC//dnaA//
CreB_pos	ybfN//yfaE//
CsgD_neg	leuA//cusF//entC//rhaA//gltB//uidA//fliH//dsbG//pheT//entS//glnQ//inaA//speA//luxS//emrK//
CsgD_pos	nikR//fhuA//bioB//allA//ulaD//exuT//aldA//acnB//malK//torC//uxaA//hyfG//allA//
CsiR_neg	arsR//inaA//cvpA//moaA//dicB//
CspA_pos	murP//napA//
CueR_neg	glpX//srlE//hisP//artQ//wecC//
CueR_pos	gcl//glpF//
CusR_pos	pgaC//nimR//ruvB//hybD//wzb//tehA//malT//purC//nrdG//glgP//sucD//gadY//
CynR_neg	feaB//
CynR_pos	lysO//yqjH//cysP//
CysB_neg	gntP//ssuC//cheW//paaX//yccJ//hcp//cadB//
CysB_pos	exbB//hha//cusA//motA//mipA//gspK//nanT//phnE_2//ygbA//ygeA//mipA//modA//ydhY//caiE//dnaA//hycA//mhpA//psiF//gspK//recC//aidB//psiE//hyfA//xylR//alsC//
CytR_neg	torR//ftsK//baeS//rseB//rprA//sdhB//cyoB//mtlD//yjhC//nuoC//gatA//sroC//grcA//
Dan_pos	rclB//bacA//adiA//fabI//
DcuR_pos	cyoE//ybfN//yhiM//mhpT//metF//ydhW//nrdF//glcA//manY//
DeoR_neg	hyaD//chbG//yafP//mgtA//yfiB//ygdB//
DhaR_neg	allC//
DhaR_pos	chbG//fadI//mraZ//
DicA_neg	cheA//entD//xylA//sra//ftsL//leuC//ymgC//araE//
DinJ-YafQ_neg	pyrC//murP//psiF//
DnaA_neg	sufB//spy//flgB//fiu//ompF//cadC//aceA//glgC//mdtF//oppA//fepB//
DnaA_pos	ybdZ//hypD//accC//purL//gudX//mgrB//mdh//
DpiA_neg	mdtB//
DpiA_pos	rplU//bioB//ybiT//metI//ssuD//ung//fliS//uvrA//fabA//leuD//
DsdC_neg	ybhG//
DsdC_pos	nhaA//nuoN//
EbgR_neg	pdhR//moaE//
EnvR_neg	uidB//yhbE//
EnvY_pos	phnG//rstB//
EvgA_pos	ydfW//yciW//fliI//ompT//idnD//ydhU//dps//ybfE//pgk//yedX//metA//entC//inaA//allD//yfiB//argR//lpd//gloA//ydcT//
ExuR_neg	rnlB//uvrC//cydA//ccmH//cueO//yhbS//ecpA//acnA//arsB//
FabR_neg	mdtD//pykF//
FadR_neg	waaY//caiF//gspG//oxyR//rnlA//casE//cysW//gspK//uxaA//erpA//yoaG//
FadR_pos	rpmA//aspA//fiu//aroM//ihfA//fbaA//cspE//yeiB//nadB//fixX//deoC//fau//
FeaR_pos	ydhX//manX//
FhlA_pos	nuoL//mqsA//norV//treR//yhdZ//hcaC//lsrK//pgpC//tauC//fadI//narK//bluF//uvrY//fliO//ssuE//galS//osmB//tsx//mhpB//rtcA//ynfG//gcvA//tehB//leuD//ccmD//eda//hypD//phr//cysN//nupG//
FlhDC_neg	moaC//mraY//bamE//tdcG//
FlhDC_pos	gfcA//sucA//cysG//rcnA//omrA//fliF//gntT//bacA//glpF//nupG//modB//yafP//argE//rfe//cytR//fucA//pdeL//murI//agaA//garP//fepE//garP//hcaE//zntA//tomB//codA//moaA//fhuC//srlA//ttdT//bioB//ybfE//yiaM//gadX//mlrA//allC//moeA//yaiA//uvrY//nemR//fliC//uxuR//phnL//torC//nanS//ychF//ruvB//pqiA//aspC//ftsI//agaB//caiF//ppsA//mprA//focA//qseB//csrC//citG//dctA//gadW//iscU//gltB//fruK//nagB//hyfC//nuoE//gatD//fliL//gor//fliS//phnL//zraS//ybjG//eda//purA//ybfE//puuA//gcvA//
FliZ_neg	lysA//cspI//ddpC//wza//ssuC//ydbD//gspI//recC//hycF//narL//nuoE//yefM//seqA//yqhD//patD//mlrA//yhjC//psiF//metF//ptrA//ddpC//
FucR_pos	gspO//arsC//potG//nusA//allE//allC//sucC//
Fur_neg	yegH//cpxP//araE//aroL//bolA//csrB//puuR//fliJ//aspC//frc//uof//acrA//ydcS//relA//dmsC//rpmI//leuC//tdcE//ydhU//fruA//paaE//bioC//fliM//yedX//nimR//isrC//dacC//ydhV//prpD//ppsA//gntX//flgL//nuoM//udp//gfcA//argF//ecnB//edd//allB//agaW//gor//lsrB//sufE//psiE//cyoB//patA//cydB//purN//hokD//gspO//nohA//dkgA//uxuB//flgN//glpA//mtr//yegH//glyA//ydhU//cra//ada//glcG//fixB//garK//dinQ//glcF//sucB//infC//fliT//ybhL//srlA//mepH//phoA//bglF//gspE//csgC//sufS//chbF//rplU//gspK//cvpA//napF//ppdB//nrfG//sdhC//dinJ//phnF//gadW//pflB//mtlA//mlc//leuB//iraP//fadH//mepH//yhdW//mdtD//adiC//murR//iclR//hypE//thiQ//fumB//leuB//rffC//yafN//gfcA//ttdB//puuC//hcr//pflB//bglJ//sfsB//tdcE//rybA//
Fur_pos	puuB//hokE//yeaR//rpmI//nagB//rob//mqsR//feoB//murQ//gspO//kdpA//nfsB//cyoB//nanS//wecC//yfdX//frc//pgaB//pepD//acnA//yqjI//
GadE-RcsB_pos	stpA//rbsB//ycgZ//ftsQ//nrfF//ampC//potG//dinD//argO//
GadE_pos	ldtB//flgD//nikE//caiE//rutR//yjbG//uvrB//ubiA//yeaH//ppiA//flhE//hcaC//mpl//hyaD//purE//dinQ//prpC//moaD//gatB//ychF//flhD//hcaB//mnmG//argO//osmY//deoC//feoB//prpC//lsrC//
GadW_neg	nuoH//mltF//sodA//nagE//creC//glpT//pspC//gspF//dcuD//gadY//pspD//
GadW_pos	iraM//fliN//sgbU//ydcT//alsC//pspF//uspA//ydeP//ygeH//fucU//yjhB//
GadX_neg	yjbE//gltJ//wcaB//murP//yjbE//safA//
GadX_pos	ribA//hlyE//feaR//rob//ldtD//nohA//ytfE//hdeA//yecR//fliR//fhuF//gadF//araJ//rhaS//yiiS//flgA//fhuE//alaC//rutE//rfe//cysH//narH//glmS//caiC//caiE//rstB//uhpT//
GalR_neg	tbpA//potF//rutR//atoB//gltD//sucA//ydfH//gltJ//ubiA//cdd//
GalR_pos	artM//uvrC//cas1//alsB//
GalS_neg	hcaD//uvrB//aroG//bacA//tauD//narK//glmU//agaB//norR//efeU_2//
GalS_pos	caiC//sroC//flgH//adiA//
GatR_neg	araE//fruA//cyoD//galT//fhlA//gatZ//
GcvA_neg	melB//rhaB//lsrC//ccmA//
GcvA_pos	tsr//molR_1//norV//glcF//
GlcC_neg	baeS//
GlcC_pos	trpC//ulaA//glnK//wecB//ftsK//rpiR//
GlpR_neg	kdpB//soxR//rpiR//cysD//mdtB//cpxP//rutC//speB//ydeP//
GlrR_pos	nemA//moaC//yfdV//cra//phnF//
GntR_neg	hyaE//citF//ycdZ//uxuR//tolC//arsR//rpoS//lgoR//rpsU//purB//bioA//dsdA//
GutM_pos	ahpF//ymiA//pck//feoC//ddpB//paaE//sgrR//
GutR_neg	degP//ymjC//mazG//xylA//recN//gfcA//setA//
HU_neg	luxS//pstA//yegZ//rfe//gadX//argE//ybdN//rpmA//
HU_pos	ydfE//
HcaR_neg	aceF//
HcaR_pos	astD//wzc//gloA//ygbA//gabT//
HdfR_neg	tyrR//pgaB//
HdfR_pos	mtlR//ppdC//psd//
HigA_neg	cpxQ//cysU//
HigB-HigA_neg	casB//gspC//
HipAB_neg	envC//bioF//ydbD//glmU//metL//
HipB_neg	aroP//ydbK//infC//pqiA//lyxK//yhdW//
HyfR_pos	creB//rnlB//allD//nmpC//cysJ//araG//eno//uxaC//puuC//hyfB//pstB//slt//
HypT_neg	zwf//paaZ//chbF//mltF//sdhB//
HypT_pos	ftsL//fadJ//fldB//glpX//cynX//ybhS//fliS//fixC//
IclR_neg	rbsR//fecD//dcuB//galM//
IdnR_neg	hyfB//trpD//
IdnR_pos	gadW//rutG//mdtA//hycD//ygbK//
IlvY_neg	hyaD//
IlvY_pos	rcnA//
IscR_neg	fliS//garR//yagK//tpiA//idnK//dnaA//gabD//mlrA//agaA//ydcV//mgrB//thiP//yeaH//puuC//gspD//ycgZ//epd//casE//yeaH//cydB//ompC//
IscR_pos	chbG//rseC//pspF//nuoK//pqiB//yjbE//ydeM//ilvC//frc//fepE//pstB//
KdgR_neg	molR_1//phoB//
KdpE_pos	araH//pncB//ybhR//caiA//
LacI_neg	dhaL//pncB//atoD//
LeuO_neg	glgB//rpiB//yiaO//
LeuO_pos	dsbA//feoB//atoA//dnaN//kdpF//cyoA//narK//fecC//mtlA//dcuA//ompN//ttdR//prpD//ynbA//creD//hyaF//allD//add//
LexA_neg	mgrR//yjeV//cecR//nagB//dsbA//trpB//waaH//seqA//lacY//alsC//yccT//gspH//ynfG//slyB//bglG//lldP//cysJ//zwf//hyaC//dcuR//ydcU//nemR//cspD//frdB//poxB//agaV//ccmD//ykgO//lgoR//iscU//iscS//yeaD//dkgA//lysA//mhpB//rnlB//emrB//fepA//entH//ecpA//eda//mgrR//mazG//poxB//ldtB//ulaA//leuO//zraP//codB//murR//tdcA//uof//rffH//adhE//hyfB//galE//yhdZ//garD//sgbE//
LldR_neg	rpoD//aspA//yeiB//
LldR_pos	norW//prpE//ygdB//
LrhA_neg	bolA//codA//
LrhA_pos	alkA//feoC//
LsrR_neg	aspA//mhpC//sufD//hns//zraP//astB//mdtC//ada//dacC//
LysR_neg	cynT//
LysR_pos	ppsA//
MalI_neg	speA//baeR//phoE//
