#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	asnB//moaD//
AcrR_neg	nagC//bacA//fixA//yrbL//ppiD//lrhA//phoR//flgN//ppiA//ynfG//idnR//
Ada_neg	betA//tauD//
Ada_pos	yefM//yccA//puuB//ddpB//
AdiY_pos	hcaR//motB//oppD//hokE//ycjF//caiB//ybhF//gcvA//
AgaR_neg	ilvC//gabP//fdnG//nuoM//wcaB//rpiR//lacA//argE//recN//crl//nuoG//
AidB_neg	phoE//
AlaS_neg	rhaR//
AllR_neg	atoB//cysE//nirD//sufC//flhE//alsB//hycI//dsdX//ybjN//
AllS_pos	norV//glgB//fucU//
AlsR_neg	zwf//glnL//sodB//mazF//motA//fadJ//
AppY_pos	sufD//phoA//baeS//mdh//torR//sufC//ynbD//ybhR//ulaF//argT//
AraC_neg	glgX//yegR//gatZ//phoR//aceB//gatD//focA//lpd//
AraC_pos	sgrR//flhC//dctA//gadB//gspF//hybC//folE//napH//ccmF//tehB//
ArgP_neg	bluF//
ArgP_pos	pitB//creB//lexA//fimE//lpxA//umuC//artJ//leuB//uidR//glnQ//artP//pstC//htpG//
ArgR_neg	gatY//tdcE//fliS//gltD//fliD//lacA//alkA//fliN//yciF//sbmC//nuoK//srlD//napD//ybbW//nrfG//dgkA//yefM//glpF//ndh//glyA//appB//citG//tyrP//gadW//lldD//atoD//nanM//pheS//polB//mdtE//efeU_1//gntP//mhpT//
ArgR_pos	ygaC//ymgC//zraP//pflB//sufE//
ArsR_neg	mdh//waaH//hybG//
AscG_neg	flhB//ydcT//hyfI//metK//metC//
AsnC_neg	casB//glnD//ascB//
AsnC_pos	relA//
AtoC_pos	fliO//lamB//purC//cusC//
BaeR_pos	ykgO//hns//nikC//frdD//rnpB//pnuC//glcD//ycjF//
BasR_neg	mtlD//aceA//
BasR_pos	ynfG//hycA//insD//ppsA//ecpA//nuoN//amtB//ygiA//yafP//soxS//cysJ//
BetI_neg	zinT//agaV//paaF//inaA//
BirA_neg	hyfJ//rutG//agaB//yhdY//cvpA//
BluR_neg	allA//uxaA//emrA//accA//
BolA_neg	hyaC//cpxQ//
BolA_pos	ruvB//dinG//
CadC_pos	yjhB//erpA//hyaF//
CaiF_pos	dhaK//flhB//lacA//mhpD//gudX//yeaD//fliR//gpmM//fecR//nuoJ//
Cbl_pos	wzb//iraP//entH//artJ//hycC//fliF//yjiY//fhuA//fabA//
CdaR_pos	pgm//fadI//glcG//zinT//aroL//yagK//ubiA//ecpA//ykiA//dnaN//
CecR_neg	purF//nanS//rfe//ibaG//micF//
ChbR_neg	gadX//chiP//nikE//hdeA//cspI//ung//
ChbR_pos	csgC//codA//yciE//acnB//sgbE//leuA//
ComR_neg	cueO//
CpxR_neg	hycH//nagC//amn//gabD//higB//hlyE//xapB//yqjI//hha//gntP//gspF//dmsA//hyfR//hisP//lpd//soxR//gntX//mlc//fliC//rhaR//garP//hypA//tsr//skp//
CpxR_pos	sgrS//lsrK//molR_1//gspG//ydhY//tomB//mhpF//casC//paaY//lexA//cysH//caiD//potG//cheW//hyi//wza//appA//paaG//treB//ydfN//mglC//hypC//ulaE//fldA//hcaD//accA//hypB//nikB//gcvA//sufS//gpmM//tdcC//rutC//mtr//glcE//ybfN//nikC//uvrD//poxB//ydeO//bioB//agaC//ldtC//mngA//ibaG//nemR//
