#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	phoE//hyfB//
AcrR_neg	paaD//astD//ydfX//fepD//yecT//baeS//glxR//argO//bluF//sufD//argT//
Ada_neg	uxaC//deoC//
Ada_pos	rutR//srlR//flgD//truB//
AdiY_pos	hisJ//feoC//flhB//gadF//sufD//tktB//ydhY//ulaF//
AgaR_neg	yefM//yiaO//nadB//tynA//zntA//ydcS//nrfC//dinG//hmp//bglG//yrbL//
AidB_neg	fumB//
AlaS_neg	tauB//
AllR_neg	idnR//zraS//purM//ynjI//fur//katE//lsrF//atoE//yebG//
AllS_pos	glcB//ydcS//gcvB//
AlsR_neg	yjbF//mazF//dmsD//glpK//hypD//mntH//
AppY_pos	yhbT//hlyE//murE//ftsI//sufE//ydeM//fabI//hycD//dnaA//sfsB//
AraC_neg	phnK//gcvP//ybiT//sodB//moaA//hycC//ptsI//galS//
AraC_pos	guaA//dinB//ydfD//argC//yagK//cbl//phnM//fabG//gyrA//dctA//
ArgP_neg	metH//
ArgP_pos	sgrS//torD//lpxD//ydfX//glpC//pstA//pgaC//ppdA//zntA//motA//mglC//citG//hyfF//
ArgR_neg	wzyE//ssuE//pgi//astC//allD//tsr//mraZ//sgrR//cheW//fucR//argA//osmC//mtlD//idnT//cadB//ydhY//puuR//ulaB//rcnR//glpC//norV//appY//lsrG//glpD//fdnI//cyoC//mdtB//pspE//sroD//ftsK//murG//ykgO//nadA//
ArgR_pos	hyaC//idnO//mdtC//tnaA//nrdH//
ArsR_neg	arsR//norW//insK//
AscG_neg	yhbT//patA//mdtF//phoR//fadR//
AsnC_neg	purN//yjbE//fau//
AsnC_pos	fliH//
AtoC_pos	fliR//argD//tcyJ//citG//
BaeR_pos	fadJ//ung//pdeR//argO//ftsQ//sbmC//yccA//paaE//
BasR_neg	isrC//malG//
BasR_pos	frdD//ygdB//btuB//hyfR//csgB//feoC//ccmF//relE//eno//gspL//cytR//
BetI_neg	cysC//fdnG//hyfA//cysE//
BirA_neg	hyaD//rbsB//paaI//ulaE//fldB//
BluR_neg	pdhR//fliJ//phoP//cydC//
BolA_neg	feoC//dhaM//
BolA_pos	dinI//flgN//
CadC_pos	hdeD//ssuA//fumC//
CaiF_pos	ilvY//tyrP//ulaC//citC//pgi//gltJ//flu//fepC//cdaR//flgM//
Cbl_pos	sufE//leuB//araF//ugpA//lacZ//ybaS//mngR//phnN//gutM//
CdaR_pos	nfsB//ycjG//nagB//entC//nfsB//lsrA//metI//cusC//hcp//citE//
CecR_neg	nuoH//metQ//argB//paaJ//alsB//
ChbR_neg	oxyR//tnaC//sucD//phnC//katG//soxS//
ChbR_pos	rob//recA//uxuR//polB//argG//obgE//
ComR_neg	dctR//
CpxR_neg	ddpX//purR//idnR//rpoD//bioA//sodB//araH//efeU_2//hcr//btuB//nikB//gabT//ulaE//ppdA//entS//pnuC//agaA//phnK//fabH//galK//gltI//fadR//dmsD//hycG//
CpxR_pos	tehB//rplT//fdnG//yeaH//wecC//cynX//rpoH//paaH//malK//arsC//epd//erpA//ppsA//tauB//gatB//rutB//gspM//fabI//glxK//slp//manZ//csgF//gltL//molR_1//lsrR//kdpF//gcvA//rhaA//relE//creB//spy//tyrP//pyrC//tyrP//cysE//feoC//narI//fecC//psiF//spy//dgcN//bglB//gspG//narJ//pspF//phnJ//
Cra_neg	paaG//cbl//fixX//yjhC//ruvB//araA//hokD//dhaR//nrfF//lysP//moaA//hycE//csgD//csgF//ulaB//fadA//oppF//rpoE//murC//murF//argD//tdcG//ybjC//xylA//tehA//wrbA//narH//pspC//tdcB//nrfB//yfiB//feoC//wzc//flgI//mazF//mdh//ccmB//ccmB//napC//potF//crr//sodB//dsbG//glpK//rsmH//entE//phnF//dhaL//fhlA//yqjH//yjeV//ybdN//bdcA//pspF//ccmD//nanM//nadB//lolA//hlyE//
Cra_pos	lgoR//inaA//ftsW//waaZ//infC//fliH//tdcA//mprA//ccmC//tnaB//mraZ//flgH//cynT//yfaE//setA//katG//ygdB//tbpA//eda//aspC//cusF//rffT//pheM//
CreB_neg	tktB//galM//melA//
CreB_pos	mglB//fdnI//
CsgD_neg	ulaG//dgcZ//ung//fau//araD//ybhL//paaG//cysD//flgK//yjjQ//nupG//mdtB//cdd//sdhC//polA//
CsgD_pos	ung//yjbG//ydfW//allE//ydbD//tcyP//exuT//gor//ccmF//katE//astE//manY//fdnI//
CsiR_neg	phnE_1//creD//argR//yoaG//pgaD//
CspA_pos	mtlA//cpxP//
CueR_neg	dhaM//gabT//pstA//recB//sdhB//
CueR_pos	cas2//mhpF//
CusR_pos	deoC//yegH//oppF//csgG//paaG//puuP//agaI//fdhF//tbpA//gspM//tsr//tsr//
CynR_neg	lldD//
CynR_pos	ygbA//ybdZ//xylR//
CysB_neg	putA//dctA//pgi//pepA//yaiW//araC//manX//
CysB_pos	rclA//leuB//ppdC//pnp//flgC//gudX//acrR//fabZ//glnP//wzyE//ihfA//xylB//lgoR//idnD//fliS//ldtC//phnP//nrfC//mhpF//ogt//fldA//accC//purD//phnK//lgoR//
CytR_neg	xylR//yeaR//fabZ//dps//nuoN//argF//lpxA//ybhG//adiC//gadA//rclB//nuoG//oppD//
Dan_pos	fepC//uspD//rsmH//arsB//
DcuR_pos	chiP//puuD//ahpC//dsdC//phoP//znuC//fabA//yiaN//rhaA//
DeoR_neg	ynfG//ecnB//fecC//wecB//gltL//sroA//
DhaR_neg	cadC//
DhaR_pos	ybbY//nemA//gspJ//
DicA_neg	bioF//fabZ//ycjY//glnQ//flgJ//gatC//symE//lldD//
DinJ-YafQ_neg	waaZ//ptsG//hdeD//
DnaA_neg	rbsD//lsrC//ascB//cpxP//hyfH//agaS//fecE//dsdC//yccA//uspE//fecI//
DnaA_pos	entB//sgbE//nrdA//mglB//cysG//baeS//cusB//
DpiA_neg	recD//
DpiA_pos	glcG//tyrB//sroC//znuC//ldtC//hcaB//hyaD//fepA//molR_1//leuA//
DsdC_neg	fecB//
DsdC_pos	rcnA//hyaB//
EbgR_neg	nikR//yhhY//
EnvR_neg	yncE//hyaC//
EnvY_pos	csrB//purH//
EvgA_pos	gspK//yfdV//lacZ//glcB//asr//yciW//manZ//rarA//adiC//glnP//glpT//cydA//appA//fucI//dinJ//yhdY//yiaM//polB//fliD//
ExuR_neg	wcaA//cysI//fadI//fliL//ytfE//envC//icd//dgkA//dinI//
FabR_neg	phnM//cspI//
FadR_neg	yjbE//fliR//ogt//efeU_2//chbG//nrdD//sgbH//lldP//mazE//mgrB//yoaC//
FadR_pos	aroP//mdtB//molR_1//gatY//ydeP//htpG//ttdR//sbmA//ydfX//yfdE//rpsO//osmC//
FeaR_pos	pnuC//caiE//
FhlA_pos	entB//yfdX//casE//yiaL//sgbE//tyrA//glgA//oxc//betA//caiC//mltF//ynfH//cusB//nikD//rbsK//pdeR//cysP//aroP//nupC//sroD//ryhB//gudD//yhjC//gcvP//slyB//cbl//hdeD//aroP//yoaC//gudX//
FlhDC_neg	prpD//flgK//sucA//hyfG//
