#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	psiF//flgB//
AcrR_neg	argE//ynfE//yciW//mpaA//cspE//uhpT//rpmI//pgaC//tpiA//moaE//hypC//
Ada_neg	glnQ//rseC//
Ada_pos	pstC//bglJ//gpmM//oxyR//
AdiY_pos	flgE//fdhF//purR//cadC//ydfX//ccmE//tehA//hydN//
AgaR_neg	aroF//dcuR//prpD//sbcD//carB//accB//nanK//phoH//cysJ//rutG//osmC//
AidB_neg	ecnB//
AlaS_neg	yidQ//
AllR_neg	rhaD//psd//nhaR//efeU_1//argC//trpE//hyfR//ulaG//leuB//
AllS_pos	artQ//hyfC//gadE//
AlsR_neg	rhaS//fixA//mngB//rybA//fabB//hcaC//
AppY_pos	carA//metC//truB//rhaA//dinQ//ulaA//lysR//ddpB//ygaC//mdtE//
AraC_neg	cynX//gatY//nrdE//gcvA//acrR//yjhB//napB//accC//
AraC_pos	glnP//mhpF//fadH//glpX//citF//phr//degP//focA//appC//agaC//
ArgP_neg	purN//
ArgP_pos	bglF//caiA//fadJ//ynfF//ycjG//yebG//ygiA//idnD//yjjQ//gspG//alsB//ccmB//moeA//
ArgR_neg	phnG//rpiB//garR//narI//yegH//dinI//nanT//purD//gutM//nikA//nlpA//leuD//cysE//intQ//argO//deoB//dapD//flgC//fhuC//ompN//mtr//cysU//glgX//wrbA//yefM//ptsI//ilvY//ytfE//wrbA//agaC//aslB//rsmH//yjbG//
ArgR_pos	flgM//zwf//fliJ//yiaL//motA//
ArsR_neg	tauA//rclA//nanT//
AscG_neg	ccmD//dcuD//lhgO//rplU//fliT//
AsnC_neg	ldtB//torR//ihfA//
AsnC_pos	caiF//
AtoC_pos	folE//garL//paaH//nhaA//
BaeR_pos	flhA//caiT//oxyS//lrp//cheW//xapA//waaZ//napA//
BasR_neg	ulaC//yqaE//
BasR_pos	yncE//pflB//entC//eno//nadA//yhbT//sroD//fadH//sdhD//ybfN//yhjX//
BetI_neg	ttdA//hisJ//alsC//nimR//
BirA_neg	glpD//paaA//nanC//glmY//fadB//
BluR_neg	nfsB//gatD//mhpA//cra//
BolA_neg	tsr//rob//
BolA_pos	ydjM//malK//
CadC_pos	acrR//fruB//znuA//
CaiF_pos	glgX//fliE//fimE//nrfB//fabZ//hypD//mlc//pspG//glmY//manY//
Cbl_pos	ebgA//hybF//fadI//putA//ycgZ//phnL//xylF//ppdA//ycgZ//
CdaR_pos	tdcE//hipA//appX//mdtF//phnH//puuC//tsx//rob//rclC//yefM//
CecR_neg	kbp//nikD//ftsK//treB//narH//
ChbR_neg	betT//yhbS//napA//hisQ//ihfA//gutM//
ChbR_pos	pyrD//glpF//yjbH//caiT//nrdF//lexA//
ComR_neg	yafN//
CpxR_neg	cysG//ttdA//sbmA//ccmF//wzb//fliE//dmsC//nrdB//exuR//fliN//ydfD//yeiB//purF//dkgA//chbB//mglB//bdcA//gabT//paaH//grxA//phnH//entH//lgoR//citC//
CpxR_pos	nfo//sufB//psiE//erpA//ydhT//pgm//wzzE//bdm//gadF//deoB//rseC//umuC//paaJ//potF//glcB//hcaE//kdpC//agaD//ecpR//araH//lacA//nrfG//cpxR//ugpE//guaA//rpmA//phnL//dnaN//alsC//cydC//flgC//flgK//tdcC//feaR//kbaZ//seqA//napD//cyoE//pgpC//galM//ssuD//nuoB//dps//fpr//hyfC//osmC//
Cra_neg	ompT//ydhW//hyaF//bioD//tomB//zraR//rpiB//talA//fliI//paaJ//nrfD//rutC//metK//puuC//eda//gltL//yegR//yoeB//crp//ybjC//efeU_1//tfaQ//hokE//putA//yqjA//hyfA//flgE//leuD//uidC//ebgA//nfuA//ybaS//glcD//paaD//fhuC//astD//tnaA//uspD//amn//puuB//ftsI//fadJ//thiP//csgE//cadC//rutA//garP//dctR//phnC//deoA//rpiR//sucA//araA//tauB//phnD//nemA//frdA//rbsR//ppiA//
Cra_pos	fepG//paaG//deoB//glnH//atoA//citD//focA//casE//ebgC//napF//yaiA//cyaR//dgcZ//yhiM//dhaL//mtlR//rtcA//patA//tehB//emrA//molR_1//garK//mdtE//
CreB_neg	lexA//gspL//rpoD//
CreB_pos	yebE//ulaG//
CsgD_neg	feoA//dapB//hypF//yqhG//cadB//alsB//caiF//caiC//nrfG//gutQ//xapB//mazG//mlc//ybhL//epd//
CsgD_pos	dsdA//frdC//ytfE//ydeI//fliN//zraR//dinJ//fimE//ddpF//gadB//napC//argP//slp//
CsiR_neg	ugpC//rhaD//ydhW//metF//dmsD//
CspA_pos	aroP//metE//
CueR_neg	norR//melR//purR//rybB//zntA//
CueR_pos	relE//pspC//
CusR_pos	paaX//higA//ybhL//bolA//araE//ccmB//aceA//nuoK//pykF//lsrA//ppdA//cysP//
CynR_neg	gdhA//
CynR_pos	guaA//serA//casE//
CysB_neg	atoB//nuoE//betT//phr//wzzE//sgrR//torA//
CysB_pos	melA//ttdR//ryhB//cysE//epd//rbsR//paaJ//fliK//envC//trpC//bioA//pitB//dsbC//rffH//ynbA//mngB//carB//aceB//nhaR//sgbU//glcF//nrfA//ydfW//cas1//torC//
CytR_neg	fliF//napG//lamB//leuL//glnA//fucA//ftnA//hypB//glnG//tonB//gabT//ribA//tcyP//
Dan_pos	casB//napG//pgaA//mhpF//
DcuR_pos	lysC//pheM//sgbH//mgtA//gadE//ybjC//bglF//paaJ//yaiW//
DeoR_neg	norR//nikB//bhsA//citF//glxR//yneM//
DhaR_neg	phnM//
DhaR_pos	aceE//chbB//nanK//
DicA_neg	narL//ynbD//gltI//cas1//phoB//phnM//torD//psd//
DinJ-YafQ_neg	nagE//talA//melR//
