#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	fecD//puuD//
AcrR_neg	araG//dinB//agaB//znuA//pgm//rhaB//ppdC//exbD//nrdA//sucB//iscU//
Ada_neg	uxuB//yecT//
Ada_pos	fadI//copA//ygbK//allB//
AdiY_pos	araB//agaI//paaG//appX//alkB//ftsQ//tnaC//ihfA//
AgaR_neg	mtlA//manY//exuT//flgA//appX//tadA//dmsD//xylB//artJ//rutB//metA//
AidB_neg	gltF//
AlaS_neg	phnG//
AllR_neg	icd//ftsQ//gcvT//lysO//trpE//ybhF//ccmG//arsR//ycdZ//
AllS_pos	csgD//nmpC//frdA//
AlsR_neg	yidQ//glnP//ftsA//metY//pyrD//lpxD//
AppY_pos	idnD//cysH//narH//fabG//marB//metF//mhpA//argP//gabD//flgF//
AraC_neg	zinT//nuoN//yoaC//fliQ//ppdB//cysK//nuoM//ybjG//
AraC_pos	leuD//yeaE//lsrF//uidB//rclC//nrfD//fecI//dsbA//htpG//yqhD//
ArgP_neg	yeaR//
ArgP_pos	crr//flgL//feoA//cirA//chbC//hcaF//metJ//idnO//lamB//cydC//tcyJ//nrdI//fruK//
ArgR_neg	phr//stpA//mltF//oppD//nagE//dctA//dhaM//yjhB//araF//hycA//yccA//flgK//entB//yjbG//dicC//ykgM//dcuR//pgm//hokE//nuoG//nac//rcsA//fliP//yhbE//isrC//cra//malZ//gabP//pheM//mhpE//frdA//pgaC//flu//
ArgR_pos	wecE//fhlA//fumB//nhaR//yidL//
ArsR_neg	yecR//wzc//wzzE//
AscG_neg	fliM//fhuA//argD//hcaF//gutQ//
AsnC_neg	chbA//pspB//fadI//
AsnC_pos	ddpD//
AtoC_pos	moaE//treB//sufD//ccmA//
BaeR_pos	qseC//csgE//gadF//nikB//glpF//rcsA//idnR//glcE//
BasR_neg	nupC//phnC//
BasR_pos	flgK//ecpR//gadB//ymjD//yqhD//nfo//gatD//mazG//rimP//emrY//ynfF//
BetI_neg	cusA//ascF//betT//insK//
BirA_neg	allA//spy//bioB//tdcD//ynjI//
BluR_neg	glpC//tsx//fabG//glnH//
BolA_neg	yhjA//xapA//
BolA_pos	bdm//nikC//
CadC_pos	ulaC//ddpF//citF//
CaiF_pos	araJ//yjhC//dcuB//appY//rpmA//hyaC//yhdX//rbsK//entD//katE//
Cbl_pos	yciF//tadA//add//paaZ//metK//moeA//pheT//dsdX//flu//
CdaR_pos	rsmH//higB//ptsG//dsbG//fliT//tnaC//metQ//ccmG//nuoN//yeaE//
CecR_neg	rimK//mhpB//ydfX//malX//cpxP//
ChbR_neg	sbmA//csgD//glnG//yiaJ//cbl//ddpD//
ChbR_pos	nfuA//fbaB//frdA//fixB//murQ//ebgC//
ComR_neg	uspA//
CpxR_neg	gspJ//relA//mdtF//lldP//sodB//casD//yccA//paaC//hcaF//ulaF//glpF//aceF//yqaE//fixB//hyfC//kbaY//trpD//hyfC//pfkA//hyfD//pyrC//lysO//norV//cysI//
CpxR_pos	ccmB//fliF//manZ//yhhY//copA//nagE//ydfH//nuoM//glcD//nadB//ybdN//rprA//tauC//cysJ//rutB//yeiB//ydfD//yciW//sbmC//rybA//yefM//ccmD//rhaD//paaZ//pstA//metI//gadX//znuC//glmU//tdcA//ascB//allC//caiF//prpB//slp//glgA//rob//entE//ydfN//fliR//ssuD//sgbH//hybD//araH//yciW//mgrB//
Cra_neg	adhE//fbaB//uxaB//argE//kbp//malQ//paaA//yjbG//glk//appY//hyfC//cheA//fucK//creB//yafN//dcuD//cysN//hyaB//nrfC//nfsA//sufB//rhaA//sufE//yegH//fhuF//asr//allS//csiD//relB//recA//narL//ascB//fliL//moaE//guaB//fliS//chbR//accA//ddpX//nuoM//napH//yjbH//csrB//srlB//lamB//ribA//ascB//dsrA//paaY//fadD//ybhL//polB//cas2//pepA//lyxK//dinI//rcnB//ykgM//putP//
Cra_pos	ssb//aroM//ddpB//tauC//rseB//torA//csiD//baeS//pagP//thiP//entF//thrS//ynfK//yhhY//pspB//rhaD//potI//zwf//tsr//ddlB//glcD//araD//nuoG//
CreB_neg	tnaA//puuD//ydeI//
CreB_pos	argO//ybiT//
CsgD_neg	nrfA//hlyE//ydeP//ynbD//recX//gntK//yiaJ//appX//ytfE//gatC//psiE//zraR//ybhL//ccmG//gutQ//
CsgD_pos	crl//yjhB//ulaC//oxc//ydhU//ynbB//paaE//astD//yafP//nrfE//ppdC//hyfD//fhuC//
CsiR_neg	pgpC//kdpA//astB//cynR//metH//
CspA_pos	yebG//lexA//
CueR_neg	trpL//rutG//rpiB//pepA//nrfB//
CueR_pos	ynbA//ygdB//
CusR_pos	paaD//uof//murC//ccmA//gor//gspE//hdeA//nfo//pfkA//dinF//erpA//iscA//
CynR_neg	fepE//
CynR_pos	nuoG//hns//yjhC//
CysB_neg	uhpT//cvpA//glnA//yidL//fau//rbsC//citE//
CysB_pos	yqjH//hyfD//sgbE//creB//rhaD//wzb//purE//ddpA//fadI//lolA//gcvH//phr//hycC//kdpF//purK//rhaD//rhaB//tsx//fadR//rsmH//mngR//ybaS//atoA//cusA//higB//
CytR_neg	narI//fruA//cydC//pitB//ssrS//gspH//codA//gadX//ybiT//borD//ybjN//tomB//iraP//
Dan_pos	umuD//cusS//yciE//rimK//
DcuR_pos	gor//zraR//yfdV//agaW//ribA//mhpB//evgA//yafQ//gabT//
DeoR_neg	hyfB//torC//gcvH//yiiS//paaB//hyfD//
DhaR_neg	pitB//
DhaR_pos	yegZ//ychF//osmY//
DicA_neg	hyaA//ompC//slp//yjjZ//ccmE//hcp//betA//mtlA//
DinJ-YafQ_neg	sodB//hcaF//higB//
DnaA_neg	rbsC//ytfE//glgX//potI//rdoA//tnaA//pgm//csrB//flgJ//ulaD//creC//
DnaA_pos	ompN//ccmE//pgi//gatA//ymgA//paaD//skp//
DpiA_neg	gspO//
DpiA_pos	setA//phnN//astC//flgE//betB//lhgO//yjbG//rbsD//uxaB//frdA//
DsdC_neg	leuB//
DsdC_pos	dpiA//nrdD//
EbgR_neg	amn//rdoA//
EnvR_neg	alkA//lpxC//
EnvY_pos	ycgZ//argC//
EvgA_pos	phnM//hipB//idnT//dinF//asr//hisJ//purN//sufD//flgM//gor//allS//yidL//nrdI//melB//ydfH//yecT//tonB//argH//hycB//
ExuR_neg	hcaB//tsgA//csiD//creB//ppiA//tdcB//codB//hisM//murD//
FabR_neg	edd//hycH//
FadR_neg	focB//fepA//gadC//polA//puuA//metJ//ygiZ//caiE//ssuC//ddpD//rhaA//
FadR_pos	fhuF//dpiB//fdnH//aslB//asnC//fliF//astE//nadA//ynjI//ulaD//pqiA//sufE//
FeaR_pos	paaA//tktB//
FhlA_pos	fumB//cpxR//rimP//borD//accC//creB//nikC//ulaG//fabB//fliT//bacA//murD//tam//caiA//ydcV//gntX//pspA//phoR//yafP//fabH//hokD//dnaN//rhaT//dnaA//ugpC//cheW//napF//recX//fixX//ppdC//
FlhDC_neg	rhaB//moeB//acrR//sroC//
