#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ebgC//envC//
AcrR_neg	mgtL//uvrY//micF//hisJ//gspC//astA//serA//lysC//oppC//glgC//hypA//
Ada_neg	hipB//dhaM//
Ada_pos	rpsU//yeaG//nirD//nlpA//
AdiY_pos	glnG//fepE//caiE//glmY//trpB//fldA//rffT//yeaG//
AgaR_neg	pdeH//chbB//sucC//csgC//ulaF//cyoC//hydN//gadE//hemL//ilvY//accD//
AidB_neg	metH//
AlaS_neg	mazE//
AllR_neg	manX//tauC//gudD//entF//tdcC//yiaK//sucB//betB//gatB//
AllS_pos	dnaG//lldD//prpE//
AlsR_neg	ygaC//fliO//melA//caiD//caiT//cydC//
AppY_pos	mtlA//fliD//qseC//glxR//uxaC//glgC//ndh//rbsK//gltJ//tauD//
AraC_neg	ddpB//motB//norW//relB//nikC//phoH//nadA//lysC//
AraC_pos	nikC//tonB//ompN//fdnG//fliK//dsbG//sufA//ulaB//higA//uvrA//
ArgP_neg	ariR//
ArgP_pos	fhuF//glgA//treC//umpH//ahpF//rstA//nupG//gatZ//phnD//sutR//polB//ompC//allA//
ArgR_neg	yecR//gadA//rdoA//ycjG//hlyE//pagP//ykgM//sbcD//efeU_1//sgbH//relA//nikR//cspD//sufB//manY//fimE//lysO//dgkA//adiC//fliA//ychF//trpD//purN//yfiR//asnC//sdhD//rbsR//cydD//alaC//bglF//appX//mlrA//gudD//
ArgR_pos	ydiU//dapD//rtcA//hcaR//lrp//
ArsR_neg	ppiD//cyoD//napA//
AscG_neg	cas1//ybfE//yoeB//glxR//hokD//
AsnC_neg	sgbH//gatY//ompW//
AsnC_pos	nikB//
AtoC_pos	araC//rimK//allA//rpoD//
BaeR_pos	soxR//casC//nuoH//frdC//kdpC//flgA//dhaR//puuD//
BasR_neg	gspH//yqaE//
BasR_pos	sgbE//malI//tonB//norV//glgP//agaS//hyfR//cytR//infC//mraY//ybhG//
BetI_neg	nuoI//idnT//hisP//aroP//
BirA_neg	argP//lldP//chbC//yegR//hyi//
BluR_neg	hisQ//ybaT//soxS//fdnG//
BolA_neg	ilvY//hycA//
BolA_pos	mntH//yqhD//
CadC_pos	pdeL//ykgO//mnmG//
CaiF_pos	mcbA//ugpC//fiu//flgF//appX//rseC//dapB//cysH//hycA//glpD//
Cbl_pos	glmY//appX//glmY//fliT//purM//waaZ//tauA//srlE//csiD//
CdaR_pos	fixX//entC//ddpX//fdhF//rplT//chbG//mipA//pspD//hydN//gutM//
CecR_neg	isrC//oppC//hisQ//metI//hcaC//
ChbR_neg	nadB//narK//ccmC//fumB//yjjZ//citD//
ChbR_pos	purK//xylF//codB//melA//ybbY//cynR//
ComR_neg	yhdY//
CpxR_neg	zwf//malZ//tnaA//cynS//polA//ptsG//galS//bglF//tnaA//umpH//hybD//tisB//grxD//yeaD//ccmD//gpmA//hybD//dnaN//malF//pspF//treB//mepH//manZ//gspD//
CpxR_pos	moaA//rcnB//rffT//rsmH//ycjG//nohA//phnK//fepC//fadD//gudD//fabA//mtlR//ugpE//ssuD//ulaF//pck//fliP//yfaE//ugpC//fepD//gspF//exuT//ydfH//gatD//garK//ybhG//yhjX//nfo//treC//pgaA//mqsA//ydeO//gspI//yagK//yjbH//cdaR//yfdX//nanK//nikC//araC//hyaC//ydhX//mnmG//metB//flu//galT//
Cra_neg	umuC//ulaA//ulaG//cecR//tpiA//tcyP//uspD//tdcA//erpA//mgrB//sgbH//flgC//argT//lsrB//znuA//nagB//lysR//sucA//dmsB//amn//mqsA//hyfG//thrS//mepH//nfo//dmsB//nrfF//focA//frdC//fliG//tktB//yhjC//sutR//ydbK//sufB//mtr//entE//fadJ//umuD//citC//lrhA//ymjD//nrdA//prpC//flhB//setA//yeiL//agaA//ecpA//nagA//fdnI//tauC//chbF//seqA//yhjX//appA//gabP//lsrD//argA//
Cra_pos	yafQ//dhaL//yhbS//purC//cyoB//ybhF//sgbE//malY//gntU//tauA//tcyJ//ydiU//caiB//ybjC//mraY//gadB//metA//oppA//nuoM//yegR//zraS//metH//dgcN//
CreB_neg	yciW//rpiB//ldtC//
CreB_pos	fadH//moaD//
CsgD_neg	fixA//gcvA//ttdA//atoB//rhaT//nrdG//tnaC//murI//ddpC//ttdR//alsA//crl//aroG//cspI//allA//
CsgD_pos	amtB//puuB//dsdC//pdhR//dhaM//mqsA//rpoE//nimR//dkgB//purF//fliN//ariR//glcD//
CsiR_neg	sufS//norR//micF//iscA//efeU_1//
CspA_pos	ykgM//hypB//
CueR_neg	fadJ//csgG//waaH//ybaT//fadR//
CueR_pos	fhuA//aspC//
CusR_pos	fliS//bioD//gyrA//ydhT//tpiA//cadC//argA//nanK//glgC//gspM//ytfE//nrfG//
CynR_neg	nadB//
CynR_pos	feoC//murQ//nagB//
CysB_neg	rutD//sgrS//glnG//ygdB//nohA//hyaE//recD//
CysB_pos	slyB//polA//glpF//amtB//melR//lyxK//araC//nadB//trpA//yiaJ//exbB//fldA//chbG//allS//hyaE//ycdZ//psd//emrB//zwf//ulaE//fliK//hybD//yeaD//nrfC//citC//
CytR_neg	lsrF//garP//fucU//hisQ//yiaL//purH//bglB//argR//citE//ymgC//yjhC//ynbD//ftsW//
Dan_pos	gatZ//yegH//glgC//mhpC//
DcuR_pos	hycA//gntT//argR//murI//alsC//csgD//exbB//sroD//idnR//
DeoR_neg	purN//yiaK//relA//yhbT//inaA//paaK//
DhaR_neg	ttdB//
DhaR_pos	flgA//hyaC//dgcC//
DicA_neg	murE//pflB//wecE//chbC//accD//pflB//yfdE//flgA//
DinJ-YafQ_neg	narL//fhuF//yeaE//
DnaA_neg	waaZ//csgA//rutE//ftsA//hycA//pgaB//ygiA//dsbA//acrA//fabH//emrK//
DnaA_pos	ydhW//fes//uidR//rutC//mscM//ppc//srlD//
DpiA_neg	rutD//
DpiA_pos	emrB//ydeO//hyaA//phoU//ryhB//arsR//gatZ//cydB//ynbC//gcvT//
DsdC_neg	soxS//
DsdC_pos	gltD//yibQ//
EbgR_neg	isrC//modA//
EnvR_neg	mglB//mdtE//
EnvY_pos	glpQ//ftsW//
EvgA_pos	sroC//ftnB//glgP//gadB//hlyE//gabP//yaiW//nimT//yfdX//yjbF//hokE//leuB//fepD//fliP//phoH//wcaB//hipA//ymjD//wcaA//
ExuR_neg	nikE//aroH//modB//ccmH//ubiC//nrdA//argE//tehB//paaB//
FabR_neg	melA//flgJ//
FadR_neg	mhpE//ftsK//dinG//thiP//sucD//gadX//fliN//ykgM//glnA//cadB//ibaG//
FadR_pos	mraY//ldtB//fadL//pgk//uvrA//sdhB//phnG//phnH//phoA//ygeH//galE//ribA//
FeaR_pos	oppF//xylG//
FhlA_pos	rhaS//lhgO//sufC//carB//mntS//dnaN//argC//ddpC//idnO//lpxC//fecR//cpxR//nuoG//ttdR//fhuE//yhdZ//phnF//allS//malF//gudP//omrA//moaA//moaC//ybhR//lysO//appY//cas1//isrC//ompC//mhpE//
FlhDC_neg	gadA//dinI//cyoA//gabD//
