#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	hcr//cysC//
AcrR_neg	appB//ebgA//ecpR//lysA//ynbB//hypE//infB//idnO//sufS//xylR//cadB//
Ada_neg	pepD//nlpA//
Ada_pos	ygiC//creC//malK//spy//
AdiY_pos	hyaC//uspA//pfkA//ycjG//yjbF//fliG//rutR//flgL//
AgaR_neg	patD//gntU//rcsA//glnL//ecpR//ttdA//purL//mzrA//ogt//yeaG//glk//
AidB_neg	yeaE//
AlaS_neg	ybhS//
AllR_neg	sgbH//ada//rffT//pdeR//ddpA//caiD//yciX//rtcB//isrC//
AllS_pos	modA//pheM//ydeM//
AlsR_neg	leuA//cysW//tonB//rtcB//rcnA//mglA//
AppY_pos	prpC//sgbU//yeaE//ybbY//ycgR//hemH//cysE//hypA//iraP//mhpB//
AraC_neg	chbA//lysC//idnR//lysP//ydhY//paaC//feoC//ppsA//
AraC_pos	fucI//yjjZ//cyoD//agaB//betI//rnpB//aceB//wcaA//moaB//gutM//
ArgP_neg	purC//
ArgP_pos	paaZ//emrY//nhaR//idnR//manZ//hisP//zraS//purL//lon//osmY//dtpA//cho//napA//
ArgR_neg	ydbD//cynT//chbF//ribA//yeaD//dhaL//ybhG//csgA//caiF//ydiU//fucR//sutR//prpE//gabP//flgD//phnG//hybB//rplU//recN//modA//ydhW//psiF//ybdN//glnQ//rseB//soxS//fecB//codA//mglC//arsC//treC//tauC//accD//
ArgR_pos	yefM//paaI//carB//pstB//ppsA//
ArsR_neg	metK//ccmE//asr//
AscG_neg	bioF//srlE//yhbS//katE//csgB//
AsnC_neg	uxuA//fliL//bioA//
AsnC_pos	fliT//
AtoC_pos	patA//fabI//nanS//fadJ//
BaeR_pos	degP//adiA//hyfD//obgE//nupG//atoE//ddlB//lldP//
BasR_neg	dkgB//ydcU//
BasR_pos	bolA//ampC//ydhX//phnO//csiD//ymiA//artP//murR//wzzE//pflB//metA//
BetI_neg	dinD//folA//nirB//araE//
BirA_neg	glnG//baeR//putA//dinQ//bamE//
BluR_neg	yegZ//prpE//pnuC//mqsR//
BolA_neg	gutQ//cysD//
BolA_pos	slt//treB//
CadC_pos	emrK//mtlR//nanS//
CaiF_pos	cysC//cysW//yciF//uidB//csrC//phnG//paaI//ynbB//oppD//ccmC//
Cbl_pos	exbB//tdcA//flhC//fucU//rpsU//glnL//guaA//zraP//ygiA//
CdaR_pos	flgK//murI//hcr//fadR//artP//agaA//argI//fixA//glpD//slp//
CecR_neg	edd//narI//glpD//phnC//hyaC//
ChbR_neg	ssuA//baeS//ddpB//gadE//murQ//xylB//
ChbR_pos	fumC//mqsA//allC//dkgA//fruK//lgoR//
ComR_neg	ycdZ//
CpxR_neg	hybB//entF//ilvC//grxD//exuR//zwf//bluF//alaS//puuA//glgC//csgC//ttdR//treC//yccT//ykiA//argA//tdcE//metH//ykgO//gadA//betT//tynA//yhiM//ruvB//
CpxR_pos	putA//ssuC//aslB//hipB//cytR//tadA//putA//fadH//malQ//safA//lacY//agaA//ssuB//htpG//rutA//fucP//leuL//flgD//ftsA//ssuE//oppC//trpR//yafN//hokD//galE//hns//argE//aceB//ttdA//nuoE//setA//bolA//lon//malK//pgm//idnR//cusC//cysA//hcr//malX//osmY//hypC//sgbU//puuC//astE//hybG//
Cra_neg	glnQ//csrB//fadM//hycG//sodA//phnF//ung//ydbK//csiD//sufB//ygeH//lsrK//flhD//dicB//lrp//sucC//mhpB//pflB//hyfF//recD//lacZ//nagC//tnaC//casB//lsrD//crr//ubiC//rpsO//hycD//purF//nanA//hycI//ymgA//lgoR//gudD//entB//oppC//tbpA//murG//cynR//envC//gltD//cusF//ppsA//manY//purE//hycD//sufB//yaiW//ybhG//nrfF//grcA//ygeA//hyfR//hyaC//bglG//ygiC//hdeA//metH//
Cra_pos	hyfF//btuB//glcB//ymiA//glpF//allE//frdB//fucP//lsrG//ugpA//moaB//caiC//puuP//ygiA//astD//mdtC//hipB//yjbH//murE//cvpA//fliF//nagE//fepB//
CreB_neg	psiF//mpaA//hypA//
CreB_pos	sbcD//ppdC//
CsgD_neg	araH//mioC//caiC//psiF//rimK//ecpR//agaA//oppF//fliC//ccmF//gutM//phnC//aroL//murQ//ttdR//
CsgD_pos	galE//rbsC//dkgA//glgC//poxB//lpd//paaH//creC//rffM//motA//murQ//csgD//mngB//
CsiR_neg	gudX//cdd//nimT//chbC//norW//
CspA_pos	caiE//cysM//
CueR_neg	dsrA//dnaA//dgkA//alsC//cusA//
CueR_pos	hmp//lamB//
CusR_pos	rfe//hcr//yhjX//manZ//pgk//moaA//gadX//folE//rdoA//cyoD//mtlR//sucD//
CynR_neg	hycC//
CynR_pos	folE//yciF//entD//
CysB_neg	fliZ//rob//ppc//ptsI//umuD//oxyR//mlc//
