#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	nanT//rutE//
AcrR_neg	yhbS//nanT//argO//betI//rpoH//hycI//ynfE//bdm//agaI//marB//dinG//
Ada_neg	metF//fliG//
Ada_pos	ptsG//csgF//phoA//rffT//
AdiY_pos	asnC//ilvC//nfsB//glnD//hycG//hcaD//nikC//asr//
AgaR_neg	mhpA//mpaA//wzc//rdoA//mscM//nagA//higB//ascB//paaC//murP//dicC//
AidB_neg	metF//
AlaS_neg	yfiB//
AllR_neg	yfdE//argC//pykF//nuoK//fbaA//ydcU//acrB//ftsI//rtcB//
AllS_pos	dinF//bglG//alaC//
AlsR_neg	yeaR//gadX//ydfE//nrfG//metI//fecB//
AppY_pos	yoeB//hyaE//dhaR//emrY//uvrB//atoA//glgC//alsA//pdeL//yneM//
AraC_neg	aldA//gspG//evgS//dicB//gabD//ulaG//rseC//glyA//
AraC_pos	dsbG//yhdZ//tauC//uvrD//glxK//lhgO//creB//relA//hcr//phnG//
ArgP_neg	cra//
ArgP_pos	prpD//yafP//uvrY//recB//yhcH//micF//rstA//mgrR//efeU_2//acrA//prpR//fliM//ugpE//
ArgR_neg	acrB//baeS//sufA//malY//metE//manX//ccmG//oppC//trpC//ycjF//cbl//dmsC//cytR//ampC//motA//phnL//ulaA//artP//entF//ddpX//torD//glmS//pgaC//hha//pepD//gltB//ascB//yjjZ//insD//dcuS//nanE//dicC//ydcU//
ArgR_pos	ydfD//cusR//rpiR//ydeM//copA//
ArsR_neg	glnB//tyrA//rhaS//
AscG_neg	mdtB//trpD//sufB//cvpA//fiu//
AsnC_neg	fabB//mdtA//paaY//
AsnC_pos	tcyJ//
AtoC_pos	fliO//fliQ//nrdA//yafP//
BaeR_pos	seqA//mtr//purA//ynfK//ldtD//pgaD//malX//rpoD//
BasR_neg	hdeA//gcvH//
BasR_pos	mdtC//ibaG//ydfH//dgcZ//aidB//fbaA//ykgO//kbaY//intQ//astA//hslJ//
BetI_neg	speB//mntP//fepE//gltI//
BirA_neg	uidR//ynfH//rnpB//decR//folE//
BluR_neg	pck//yhdW//glxK//ydfN//
BolA_neg	ccmH//fabG//
BolA_pos	garL//hmp//
CadC_pos	gpmA//ubiA//betT//
CaiF_pos	atoD//hemL//csiD//ychF//nimT//lpxC//glnL//artJ//pqiB//uxuB//
Cbl_pos	malG//feoC//nuoH//hisQ//nagE//yiaN//hyaF//carA//mnmG//
CdaR_pos	fhuA//ilvC//argA//rplU//tyrB//ybhL//fadA//entE//araJ//tdcC//
CecR_neg	betA//grxD//amn//ybhR//yiaO//
ChbR_neg	cusA//rhaT//emrB//flgK//hyfR//rhaT//
ChbR_pos	moaD//nirB//hdeA//galS//rob//ydhV//
ComR_neg	alsE//
CpxR_neg	speB//fliS//ybfE//rhaT//ygiC//hycH//fixB//cas1//phoE//gabD//garD//ecpR//gcvH//rpiR//fadB//uvrB//emrA//allD//dinI//tdcD//mtr//torR//rsmH//fhuA//
