#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	oppC//ryhB//
AcrR_neg	gadW//fepB//ssuC//fliE//mhpC//garL//dcuR//flhC//mcbA//gltK//fabI//
Ada_neg	bacA//gntU//
Ada_pos	trpC//sgbE//rpmA//pncB//
AdiY_pos	hcaR//dsbG//gadB//ttdR//fucI//bacA//puuR//csgG//
AgaR_neg	phoP//molR_1//feoB//recX//sucB//fliG//fepE//pck//marR//phnL//argG//
AidB_neg	phnL//
AlaS_neg	cueO//
AllR_neg	hyfF//wzyE//motB//ddpB//astE//gspE//ygiC//argT//rnpB//
AllS_pos	yeaG//motB//ynjI//
AlsR_neg	pspF//fixA//fadH//gltL//erpA//pqiA//
AppY_pos	rplT//malQ//paaB//ybjG//hyfI//tdcG//yafQ//xapA//trpL//ybaT//
AraC_neg	cspD//caiA//flhD//rcnR//glnB//araD//fliZ//yhdY//
AraC_pos	btuB//allE//rbsR//ymiA//pgk//pdeR//cvpA//ddpB//gltI//molR_1//
ArgP_neg	alaC//
ArgP_pos	casB//ompN//cysC//fecA//dgcN//eno//ynfE//malG//tauA//sbcD//gatD//puuD//yedX//
ArgR_neg	mgtA//xylR//mgtL//cusF//fhuD//ybfE//yqjA//malF//pspF//yccJ//ssuC//ibaG//nrfD//rutA//csgA//entE//phoE//frdA//purE//yebG//fhuA//fadB//yjbF//sulA//pyrC//slyB//ssuD//flgI//yciW//yneM//aroG//fabI//fes//
ArgR_pos	phnF//sgbH//hycC//fadA//nikD//
ArsR_neg	sucB//sra//yiaM//
AscG_neg	tdcF//ydcT//rcnR//uvrD//fepD//
AsnC_neg	hybD//cusA//yoaG//
AsnC_pos	cdaR//
AtoC_pos	stpA//uidA//bdcA//puuC//
BaeR_pos	infB//cyoB//moeA//fiu//ccmF//argD//oxyR//accD//
BasR_neg	fabH//nrdI//
BasR_pos	moeA//dinF//caiT//bglJ//frdA//lldD//mtr//ulaG//hyfA//rimP//nemA//
BetI_neg	rcnB//gntU//fliK//pnuC//
BirA_neg	cyaR//hcp//cyoD//ihfA//pspE//
BluR_neg	uxaA//phr//cra//iraP//
BolA_neg	waaH//oppA//
BolA_pos	relE//baeR//
CadC_pos	ygeA//uxaC//creA//
CaiF_pos	glpA//ulaE//gltF//tauA//nuoL//srlB//puuB//rplT//ssb//ydiV//
Cbl_pos	purA//pgaA//rcnR//tdcC//uof//lldR//fadA//nrdH//phnJ//
