#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	nikA//yhiM//
AcrR_neg	casC//leuC//rob//hypC//fecE//yaiA//yfdX//fbaA//rseB//ftsK//sroC//
Ada_neg	yciW//molR_1//
Ada_pos	rbsK//tpiA//cynS//rnlA//
AdiY_pos	nfsA//aroH//nrfC//rpoD//sodA//leuD//cusB//galM//
AgaR_neg	dinJ//yciW//yaiA//thiP//ttdT//caiT//glcC//trpA//ugpA//torC//edd//
AidB_neg	purC//
AlaS_neg	oppA//
AllR_neg	rpoD//dsbC//mdtA//psiE//rpsU//bglG//galT//phoH//entE//
AllS_pos	dgcN//sdhA//gutQ//
AlsR_neg	phnG//puuE//cydA//fbaA//alkB//agaS//
AppY_pos	rpoE//garK//asnC//narG//appY//chbB//sroC//purK//sbmC//garD//
AraC_neg	yjbG//modA//glpT//argT//hybG//caiC//ydiV//gcl//
AraC_pos	gabP//dinI//fecB//ppiD//oppA//agaC//aceA//nuoF//narH//paaB//
ArgP_neg	ydbD//
ArgP_pos	nrfF//artI//leuD//fabH//galE//agaR//mzrA//fdnI//gntP//adhE//tyrR//gadA//tyrR//
ArgR_neg	yciE//murF//argO//betI//ydhT//ascB//yiaJ//melR//ydcT//fabI//yciE//ybaS//hdeD//hycD//ttdT//fdnG//cynR//yiaN//sdhC//casC//ulaF//chbC//hcaC//glgA//wzb//rpsO//katE//murG//gntP//sufD//yiaJ//osmB//ftnA//
ArgR_pos	fabG//yiaM//idnK//zntA//nikR//
ArsR_neg	cas1//glk//ccmB//
AscG_neg	amtB//garP//ssuB//nirD//uxuA//
AsnC_neg	idnK//yidQ//yciG//
AsnC_pos	hcaE//
AtoC_pos	pflB//xapB//caiT//nohA//
BaeR_pos	purN//rclA//ampC//truB//gadW//pepD//fes//gatC//
BasR_neg	lsrG//glcA//
BasR_pos	fabD//murI//aroH//ftsL//ytfE//idnD//znuC//ecpR//narL//yjbG//nhaR//
BetI_neg	dmsC//hdeB//idnD//ssuD//
BirA_neg	ydfD//gntP//sbmA//nuoJ//slt//
BluR_neg	folE//dicB//kdpA//pheT//
BolA_neg	ydfH//aslB//
BolA_pos	allE//allB//
CadC_pos	mhpD//gabP//skp//
CaiF_pos	polA//ppdB//ppdC//yegR//caiD//sgbU//cadA//nohA//fecB//uxuB//
Cbl_pos	prpE//ybiT//csgC//ppdA//fhuE//uspE//iscA//fpr//umuD//
CdaR_pos	paaH//acnA//ugpB//seqA//pgaC//gnd//wrbA//fdhF//oxc//glcB//
CecR_neg	fabH//fadD//yqhD//sra//caiD//
ChbR_neg	srlR//fepE//purC//crp//kbaZ//yciE//
ChbR_pos	galE//ilvY//cueO//phnC//nrfD//purK//
ComR_neg	yiaK//
CpxR_neg	srlB//yhjX//prs//acrD//nuoK//crp//yjbH//fadI//kbp//rffT//omrB//soxR//cysP//amtB//evgA//ycdZ//astB//mpaA//motB//hycB//idnO//flgI//nanK//nadA//
CpxR_pos	ptsG//gntX//fliD//ugpC//bioF//malF//uxaC//rffT//ssuB//nanT//ygiB//grxD//csiD//fadH//mipA//cynT//manX//modA//ygeH//pfkA//flgB//nrfC//gspK//fecE//oppF//xylF//ppdB//paaF//aroG//argO//infC//tpiA//trxC//galM//ydcS//gspK//uidR//lsrF//pdeR//nagC//srlA//treR//rclA//flgN//sra//srlA//
