#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	phoB//ariR//
AcrR_neg	hcaF//ynfG//adiA//oxyR//xapB//ydjM//yafQ//gspJ//tcyP//accA//add//
Ada_neg	mtlD//ftsZ//
Ada_pos	leuO//evgA//mlrA//narG//
AdiY_pos	paaZ//hydN//metJ//gadX//hns//sdhA//manX//mipA//
AgaR_neg	gloA//alsA//focB//entS//dgcN//pgaC//nupC//nupC//mraY//puuR//ftsZ//
AidB_neg	ydiV//
AlaS_neg	rybA//
AllR_neg	omrB//gspE//yidQ//ppiA//rybA//gltL//mqsA//motB//evgA//
AllS_pos	purD//safA//ychF//
AlsR_neg	yhcH//flgG//soxR//ogt//fepE//cysE//
AppY_pos	gudP//dkgB//pck//ftsQ//srlB//hybE//cyoA//mpl//narH//poxB//
AraC_neg	adiC//aroG//nuoN//ada//ymjC//wzxE//efeU_1//ydeO//
AraC_pos	aroG//grxA//dmsC//oppC//baeR//gudX//alaS//rcnB//znuB//ybdZ//
ArgP_neg	zinT//
ArgP_pos	chbB//trpD//dmsA//trpL//agaW//wecE//hybO//rpmA//yeaG//flgD//narL//pgaD//ycdZ//
ArgR_neg	fabD//pspC//csgC//malG//nuoM//fadB//cysC//ybaS//ynbB//cynS//ydfH//leuD//rpmI//sufS//ulaE//hyfE//nfo//csrC//lsrK//dcuD//ykgO//pgm//lhgO//fecI//folA//lpd//mdtA//pdeL//potH//oppD//yhjC//flgJ//ynbD//
ArgR_pos	molR_1//mdtF//nusA//ydeI//yecT//
ArsR_neg	ycdZ//gntK//gadE//
AscG_neg	nagA//yqjA//moaB//pnp//feoC//
AsnC_neg	umpH//yafQ//cysD//
AsnC_pos	yeaG//
AtoC_pos	allD//rybB//rnlA//yoeB//
BaeR_pos	yhjX//nimR//yccJ//yidL//cusC//entF//dinQ//yhhY//
BasR_neg	nrdH//dgcZ//
BasR_pos	fabI//flhD//pgm//sulA//puuP//hybF//ulaF//nac//xapA//lsrD//puuB//
BetI_neg	leuA//sgbH//arsC//uxuB//
BirA_neg	glcD//dctR//ompW//gadF//gpmA//
BluR_neg	frdD//gcl//gatC//pgpC//
BolA_neg	yafN//melB//
BolA_pos	nrdA//rtcA//
CadC_pos	mazG//wzzE//casB//
CaiF_pos	yeaR//ddpA//ftsW//cadC//tpiA//hyfB//glxR//hycH//hslJ//fruB//
Cbl_pos	dhaR//fliK//sulA//relB//cysJ//dgcZ//bluF//nikC//galM//
CdaR_pos	garP//argH//fadI//ynfE//gntU//bioD//yhhY//ybhF//umuD//tauA//
CecR_neg	yfdX//phoB//dinF//stpA//bioF//
ChbR_neg	lysR//cynX//tpiA//uidA//malQ//hipA//
ChbR_pos	ymgC//gadY//ppiA//asnC//rprA//gcvA//
ComR_neg	asr//
CpxR_neg	gfcA//hcaR//pepD//frdA//dmsB//guaB//lyxK//oppF//feaR//nagE//ddpF//decR//fliJ//acrZ//rutE//creC//mdtB//manY//hybA//yjeV//ynbC//lacZ//nikB//torA//
CpxR_pos	citG//omrB//gntT//tauA//uxuB//kbaY//ygeH//mdtD//gapA//murG//sdhA//hha//yfdV//hflD//napG//fliN//fliK//flgD//infC//ftsI//yeaD//ftsL//mhpD//amn//ynfH//argC//sufC//mhpF//evgS//rseB//narL//ynfE//cdd//metN//grxA//ebgC//ydcV//yafQ//ydcU//purK//gadW//dicC//glnK//cspI//pgaC//fbaA//
Cra_neg	fes//pyrD//borD//acrD//narJ//nemR//cysM//ygiA//hokE//mdtD//rffC//gspI//tonB//glpT//creA//hipB//fepE//cra//znuB//mcbA//trpA//fliG//dinJ//fecE//phnK//pgaC//allA//cadB//metY//nrfF//ihfA//purC//betB//prpB//yeaD//fbaA//chbA//paaE//pheS//acrR//pepD//aspA//metR//decR//casA//gor//ampC//uidA//manZ//glcC//udp//hyfJ//araB//ynfH//hyfF//napC//ydbD//rutG//zntA//
Cra_pos	phoE//alkB//motB//nagC//iscS//ygeA//rbsC//dsbA//idnK//ddpB//tehB//gadA//ymjD//nirC//gatY//purA//deoB//nrdD//cusB//ptsH//cysB//trpC//fucA//
CreB_neg	ftsL//rhaR//artJ//
