#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	bluF//napF//
AcrR_neg	ydfW//glcC//cyoA//pstB//glnD//zinT//yiaL//cyoB//metL//gabP//yhbE//
Ada_neg	bolA//ugpB//
Ada_pos	treB//mdtF//uidC//nupC//
AdiY_pos	mazE//napB//rclC//focA//ihfA//dinD//codA//lpxD//
AgaR_neg	yhbE//yidL//metE//argD//ydeN//acnB//patA//fadD//alsA//fecC//hcaD//
AidB_neg	znuC//
AlaS_neg	aidB//
AllR_neg	baeS//phnC//yegR//ada//ubiX//yfiB//ddpF//hha//paaX//
AllS_pos	uxaB//yedX//truB//
AlsR_neg	malY//rpiR//pspC//fbaA//torC//cydD//
AppY_pos	ada//metN//fimE//rpmA//nuoM//pgpC//efeU_1//recD//recD//fnr//
AraC_neg	mdtC//fliR//ydhW//csgG//argT//pyrD//asnA//gabD//
AraC_pos	fliC//ydeM//mipA//soxS//accC//fumB//mraY//mipA//rbsK//murQ//
ArgP_neg	uidC//
ArgP_pos	creB//entC//appA//mhpB//fnr//bamE//hcaR//rbsB//glcA//hyfH//ccmD//oppC//kbp//
ArgR_neg	cspI//gspM//hypE//gapA//dnaN//nusA//sodB//hybC//gpmM//rybA//adiA//rbsR//gntK//dhaM//citC//sdhB//gabP//cysG//cusR//ydhX//nanS//glgA//nemA//osmY//ruvA//sucB//fes//fliE//yfdX//wecB//glnD//fliG//hycG//
ArgR_pos	lacA//rtcA//rcsA//ynfH//dcuD//
ArsR_neg	fldA//slyB//cheW//
AscG_neg	glpD//fhuA//paaZ//nagB//mltF//
AsnC_neg	argE//nohA//gabP//
AsnC_pos	glgA//
AtoC_pos	nfsB//glnD//uxaA//dicC//
BaeR_pos	caiB//ybhL//grxD//phnJ//glnH//gloA//chbB//ykiA//
BasR_neg	ygdB//lhgO//
BasR_pos	appY//gspM//deoC//lsrG//ubiA//cysB//ygbK//lysC//purE//flgL//gntP//
BetI_neg	rpiR//gapA//nrdF//tcyJ//
BirA_neg	mpl//fecR//nrdI//isrC//citD//
BluR_neg	fadM//ttdB//dgkA//yqjI//
BolA_neg	psiF//slp//
BolA_pos	cysG//evgS//
CadC_pos	gltB//caiF//yjhB//
