#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	fhlA//gadF//
AcrR_neg	relE//aidB//glcD//yqjI//nanC//sodB//aceA//gudX//rtcA//agaD//tdcE//
Ada_neg	acrZ//cecR//
Ada_pos	mazG//kdpB//gatY//rob//
AdiY_pos	betB//xylR//phoA//betA//nuoC//agaS//uxuB//rtcB//
AgaR_neg	aceF//ybhS//phoE//erpA//ykgM//uxuA//dinJ//wcaB//accC//insD//sdhD//
AidB_neg	arsB//
AlaS_neg	fhuB//
AllR_neg	phoE//ompW//dsdX//mhpT//ulaB//cas1//ydfN//trpD//metI//
AllS_pos	mraZ//ydcS//nuoJ//
AlsR_neg	flgA//ihfA//ldtD//ftsL//ada//ppdB//
AppY_pos	malP//fimE//prpB//galM//fur//ppdC//sufA//speA//csgF//rcnB//
AraC_neg	hyaB//ynbB//ulaB//deoC//ygaC//astE//sra//fliR//
AraC_pos	mdtF//wzzE//hemH//nikA//dmsB//yncE//aceA//ihfA//napH//yiaN//
ArgP_neg	emrY//
ArgP_pos	recD//mtlA//paaX//rutA//lpxC//fdnH//uxuA//rcnB//tonB//galK//sroC//rpoH//yhbE//
ArgR_neg	norW//gadX//treR//katE//gspL//napB//ynbC//flgN//yeaE//yqhG//lsrC//ydhT//ftnA//cyoD//truB//umuC//aceE//wza//dtpA//nfsB//allE//hybF//crp//napA//murC//atoE//ychF//tdcD//rbsD//phoU//nuoI//nrdG//yhdW//
ArgR_pos	glpA//agaD//mdtF//yecR//phr//
ArsR_neg	hyaE//cadA//mepH//
AscG_neg	mpaA//fur//agaD//nrdE//murR//
AsnC_neg	tktB//araF//uspE//
AsnC_pos	prpC//
AtoC_pos	zraR//lsrK//ycdZ//bioB//
BaeR_pos	cheW//glnL//yciE//glcC//allS//ugpC//ecnB//cydA//
BasR_neg	pykF//gadB//
BasR_pos	yafO//rfe//lamB//oppB//phnI//torC//paaG//rffC//ftsQ//gltD//ibaG//
BetI_neg	glmS//pheT//fixC//flhB//
BirA_neg	rpoD//yjbG//copA//yeiL//lacY//
BluR_neg	yfbR//ymjC//yecR//wzb//
BolA_neg	fadI//wzzE//
BolA_pos	cynR//murC//
CadC_pos	gltI//phnG//cadB//
