#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ygdB//argD//
AcrR_neg	dmsC//xylG//csgA//gcl//yqhD//allS//mhpB//ccmB//lpd//yhjC//gadB//
Ada_neg	nupC//torR//
Ada_pos	crr//uxaA//ppc//kdpA//
AdiY_pos	btuB//tnaC//araG//glpB//grcA//cyoD//xylB//moeA//
AgaR_neg	cusF//phnF//rffH//paaF//dgkA//ynfE//marA//gadE//trpE//paaJ//flu//
AidB_neg	ydbK//
AlaS_neg	cysB//
AllR_neg	argH//cspD//insD//mngA//gabP//spy//fliO//yncE//uidC//
AllS_pos	cynT//argI//srlB//
AlsR_neg	nadA//sgrS//glnK//uspA//metB//dhaM//
AppY_pos	uspD//ycgZ//nikR//gspO//higA//mlrA//dinG//metR//dinD//hflD//
AraC_neg	fdnH//ada//ihfA//ydeM//fecI//slp//csrB//fecB//
AraC_pos	pyrD//spy//tdcF//polB//seqA//ygiZ//leuA//fabZ//malM//cas1//
ArgP_neg	uxaC//
ArgP_pos	slp//nadB//dctR//entC//rimP//ppdA//iscU//lysR//rutF//omrA//folA//treB//phr//
ArgR_neg	fnr//insK//mngA//higB//dhaR//ogt//gabP//pspD//lsrA//dtpA//galT//nagE//ybhG//nrfG//chbF//cas1//gspC//tpiA//rarA//yneM//ybiT//sgbU//yjhB//lsrC//yeiL//rob//citE//garP//sulA//acnB//ydeO//tcyJ//casA//
ArgR_pos	hybF//uvrC//pflB//fadJ//aceB//
ArsR_neg	nemA//citG//astD//
AscG_neg	lacZ//csgD//ppc//nusA//leuC//
AsnC_neg	leuC//puuP//marR//
AsnC_pos	wrbA//
AtoC_pos	exuT//xapB//rutB//sdhC//
BaeR_pos	lysR//sdhD//ddpF//treB//lon//fliC//xylA//slp//
BasR_neg	tdcD//pspA//
BasR_pos	napF//torD//gatD//ariR//fucU//yhbE//bolA//mltF//norV//yeiB//emrA//
BetI_neg	leuO//fpr//cadB//fliA//
BirA_neg	recF//yiaM//modB//rutG//yhhY//
BluR_neg	nfo//hyaF//nimR//pitB//
BolA_neg	entC//agaA//
BolA_pos	mscM//srlA//
CadC_pos	deoD//fes//napG//
CaiF_pos	kdpF//fumB//idnD//relE//rcnB//citX//yhjA//yciE//ybhR//nuoI//
Cbl_pos	ydcS//fadA//fliI//fucO//mltF//cpxP//cadC//fumB//ydbD//
CdaR_pos	chiP//gadE//fepB//fliO//relB//gatB//fixA//icd//moaB//astC//
CecR_neg	lysR//flgG//fadL//setA//nuoM//
ChbR_neg	nrdH//potF//bglG//rutR//murG//rbsC//
ChbR_pos	rbfA//yefM//dpiB//pepD//rhaS//hipA//
ComR_neg	ftnA//
CpxR_neg	cydB//murE//sucD//yedX//ydbD//frdA//higA//mgrR//copA//acrR//torD//ompT//uvrD//fhuA//wcaB//recN//yefM//citF//mioC//ddpX//fliO//alkB//yfiR//purM//
CpxR_pos	csgF//patD//phoH//tehB//trpL//lhgO//narJ//treC//oppC//argO//entE//edd//sgbE//cdaR//tnaB//sgrR//ydjM//obgE//tauD//yiaM//ybdN//ssb//zraR//purC//hcr//phnG//potI//fliK//moaA//fdnG//sroD//grxD//araH//ydfD//relE//nadB//yhjX//tauA//ppdA//mdtC//thiP//rbfA//allD//fliE//ycgZ//paaX//
Cra_neg	cyoD//argI//sbcC//araA//hisM//murC//slyB//ascF//argF//artP//fadL//yefM//nohA//yciW//malZ//iraP//grxA//ddpF//cspI//iscR//marA//hcaC//agaB//flgF//yhhY//rstA//moeB//pagP//ynfH//ftsZ//flgF//wecC//nikC//sdhA//glcD//rob//hybE//ldtD//ccmC//emrY//lysA//zraR//moaA//entS//yciE//leuO//trpB//zraP//hha//sdhC//mtlA//zraP//nrfD//glmS//ugpA//yeaG//katE//pspF//frdA//
