#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	yciX//purA//
AcrR_neg	lacA//flgH//sbcD//grxD//yhdX//murP//deoC//agaV//caiD//glmU//melB//
Ada_neg	yqhD//marR//
Ada_pos	skp//yjhC//nuoA//gadE//
AdiY_pos	nikR//ydeN//alsE//fucU//galM//cdd//ybjN//fadB//
AgaR_neg	rutD//mltF//modA//dcuB//artI//fliO//ydeP//leuA//ygeH//evgA//gdhA//
AidB_neg	appC//
AlaS_neg	hyaC//
AllR_neg	rhaS//tauD//gcvA//malQ//katE//sdhB//glmU//pspF//tynA//
AllS_pos	ybfN//mpaA//gspH//
AlsR_neg	dmsB//argE//gspM//dps//fhuE//grcA//
AppY_pos	nac//mqsR//dctA//zinT//ftsA//phnH//ybhF//fdnG//relB//nrdA//
AraC_neg	yqhG//ahpF//frdC//lysA//ymgC//ccmC//hokD//metI//
AraC_pos	phnJ//yhjC//cecR//tomB//dgcN//yciW//sra//accD//fliQ//thiQ//
ArgP_neg	prpB//
ArgP_pos	yafN//nagC//codA//polB//nikB//argH//gadC//nanK//wzb//cusS//betB//caiA//gcvA//
ArgR_neg	malE//betB//carA//ygeA//fliP//betA//mdtA//hcaR//hyfI//relE//caiE//agaV//rpoS//cytR//prpR//narJ//rybB//phoA//ymgC//nimR//leuC//argI//artI//ydeI//symE//cysM//ybjG//cydB//ydeO//pncB//gabP//paaH//galP//
ArgR_pos	gadY//nrdH//ycjX//rpiR//erpA//
ArsR_neg	btuB//ygbA//uspD//
AscG_neg	rstB//ccmC//nimR//tomB//fruB//
AsnC_neg	rutF//alsE//mhpB//
AsnC_pos	acrD//
AtoC_pos	nadA//mhpE//pepA//fdnH//
BaeR_pos	amtB//lysP//yciF//ompC//betA//rnlA//exbB//flgM//
BasR_neg	narI//yhhY//
BasR_pos	marR//hybO//patD//osmB//rffC//fnr//tauB//paaB//idnD//ruvB//srlR//
BetI_neg	rcsA//bglJ//rybB//mazG//
BirA_neg	fliG//dcuA//uxuB//omrB//fimE//
BluR_neg	chbA//hycA//cdaR//epd//
BolA_neg	hns//ynfH//
BolA_pos	trpE//chbF//
CadC_pos	tauD//yebE//rtcB//
CaiF_pos	hyfE//fabA//emrY//recA//tnaC//frdA//trxC//add//manZ//adiA//
Cbl_pos	ydjM//cysK//tnaB//putA//kdpA//folE//fliA//eno//murI//
CdaR_pos	yecT//idnD//epd//yjbE//nuoN//oppC//ydfN//aceA//ddpX//pgi//
CecR_neg	carA//yafO//rutC//srlB//ptrA//
ChbR_neg	fhuE//tyrB//argT//ynfK//rpsO//napB//
ChbR_pos	uxaC//nuoK//ydjM//tnaB//soxR//flu//
ComR_neg	sgbU//
CpxR_neg	cysA//ugpC//emrA//citC//ddpB//ugpC//recN//fdnI//alsC//fdnG//cusA//puuE//phoQ//oppC//yfiR//norR//gltD//fecD//gabD//ccmH//yegR//lldR//acnA//phnJ//
CpxR_pos	citE//prpC//rhaT//tehB//crl//dmsD//argO//rpsO//rutF//frc//nuoJ//tsgA//bacA//rhaS//phnK//mtlD//gadC//flgE//symE//fhuE//ygbK//sucD//fucA//accB//leuO//fecA//araA//agaS//mhpB//relA//entB//pspG//crp//ychF//ybfN//ycjF//hlyE//agaD//sfsB//tauD//dapD//agaI//ilvY//ogt//dmsC//decR//
Cra_neg	yqjA//mhpD//gpmA//ssuD//asnB//murF//ulaG//gabT//phnE_2//argR//acnB//ymjC//fabZ//sucA//kdpA//tnaA//nlpA//kbaY//malF//qseB//lolA//phnF//yegH//rutC//cysG//yhcH//ssuA//hcaR//mglB//nuoG//pheT//folA//prpR//phnL//recF//hdeD//ecpR//hycC//rdoA//paaF//metR//glnQ//tynA//kdpA//nuoL//rhaR//ssuA//hyfD//ecpR//entB//dcuR//aroL//paaK//glpD//fdhF//ykgO//gltJ//ycjG//ecnB//
Cra_pos	pnuC//flgA//ydhW//cysA//puuP//hypD//pheM//xylB//gadF//bioC//sra//narX//nimT//artI//ssuE//glpX//betB//ahpF//oxyS//murC//fecC//fhuA//ybfE//
CreB_neg	dhaL//torD//creA//
CreB_pos	casA//katG//
CsgD_neg	hflD//lacZ//fruK//hemL//gadE//ykiA//melB//entH//nanK//mgrB//mngR//ppsA//gltD//metY//astA//
CsgD_pos	modB//dcuB//agaB//crl//ydfD//tolC//lldD//tsgA//mipA//cspI//focB//dhaK//hyaA//
CsiR_neg	umpH//gcl//yjhC//fumC//appB//
CspA_pos	seqA//fhuF//
CueR_neg	nikB//mqsR//fldB//hdeA//iscR//
CueR_pos	pitB//betI//
CusR_pos	modB//entD//xylF//malS//adiC//rplU//malG//pgaC//motB//ybhR//ftnA//dacC//
CynR_neg	nikB//
CynR_pos	rimK//fnr//ycjX//
CysB_neg	yhbS//adiA//gatY//allD//gltL//chbA//ydfE//
CysB_pos	gntX//carB//nrdE//ugpA//phnG//nrfC//yccJ//galE//aroP//malM//dsrA//ybhF//metB//rbsC//acrD//yagK//asnA//uxuB//nikC//dsdA//trpC//fliP//glxK//fhuB//yeiB//
CytR_neg	ynjI//glnQ//fpr//glk//evgS//htpG//nrfC//hydN//ydfX//phnL//torC//zraP//prpC//
Dan_pos	napH//prpD//manY//iscU//
DcuR_pos	cspI//argA//fhuC//tfaQ//envC//yjiY//ssuA//tsx//dinG//
DeoR_neg	torR//yeaR//sufA//allE//glyA//rffG//
DhaR_neg	ccmA//
DhaR_pos	hipB//mdtD//fpr//
DicA_neg	dhaM//napB//ssuD//ccmB//atoD//nmpC//yafO//fhlA//
DinJ-YafQ_neg	xylF//dnaN//allE//
DnaA_neg	ymjC//ccmC//ulaF//agaV//lysP//oppD//citC//pfkA//glmS//glxK//yafN//
DnaA_pos	glgA//mtlA//mraZ//purE//baeR//acrA//uspA//
DpiA_neg	ynfG//
DpiA_pos	nupC//aldA//fucU//nanA//gspM//uxuR//paaH//uxaA//cytR//malE//
DsdC_neg	cusR//
DsdC_pos	kbaZ//ydfX//
EbgR_neg	metC//asnB//
EnvR_neg	ybbY//nanK//
EnvY_pos	ytfE//rpsU//
EvgA_pos	yccJ//yfdV//rutD//malG//casE//gltL//manY//ybhG//ynbD//ybfE//rhaB//ccmB//artP//argT//ymgC//tdcF//ydeO//cydB//hipA//
ExuR_neg	tnaA//setA//nrdA//rcsA//poxB//pgpC//ymgC//mgtA//yccJ//
FabR_neg	ydiU//polA//
FadR_neg	sroC//mtr//mtlA//hipA//metC//rbsB//purD//dinD//gspH//treB//flgH//
FadR_pos	wecB//amn//gabP//iscS//aceK//araH//nrfE//copA//glgB//yeaE//polA//cas1//
FeaR_pos	yiaO//nagE//
FhlA_pos	cusB//mtr//fadD//iclR//rutC//tnaA//yiaO//tisB//glxR//rplU//cpxR//pspC//flgC//tyrP//glpX//bioD//phoP//asnA//fecE//dmsA//flgG//fiu//yebG//astA//ydiU//mntH//nimT//manZ//phnO//exbD//
FlhDC_neg	pnp//ldtC//mzrA//ynfE//
FlhDC_pos	mhpB//pstS//mraY//hyaC//lrp//sra//nuoN//ybhL//ebgA//cpxP//ygbK//betA//alkB//fliH//dsbA//torD//fliQ//idnD//ygiB//tisB//rpmI//hycF//hypE//glpC//znuC//micF//dinJ//nfuA//galK//rimK//nrfG//trpA//add//gspO//phnL//ssuD//prpC//puuP//fadA//fadI//bolA//fucU//lacY//nemA//fabB//narL//nrdB//fucU//nikR//ydeM//fucI//gcvB//fruB//glnD//focA//yjeV//glnL//tomB//fliK//sucD//asr//motB//fliC//fldB//yoaG//hmp//ugpQ//nanA//rpsO//paaJ//motB//ampC//yqjH//srlB//ppsA//mcbA//lamB//yegH//
FliZ_neg	rhaB//emrK//entD//tnaC//nemA//iscR//galR//mgtA//rcnA//fecR//fruB//phnF//gadW//yiaJ//fecE//fadJ//hcaC//gfcA//exbB//fhuE//nemR//
FucR_pos	narJ//insK//ihfA//norW//pgaA//xylR//araA//
Fur_neg	fucU//ybhS//pagP//hyaE//gutQ//creC//gor//paaB//rbsC//csrC//treC//malT//ynfH//fimE//nrfB//sucD//argE//gspD//rpsU//pspC//atoA//yqjA//casE//yeiL//bglB//glmU//uvrD//agaB//ppdB//obgE//csgA//wecE//sdhC//nuoG//sdhD//puuB//csgB//sroC//pstA//sufB//yibQ//moeB//tsx//chbC//rclB//marB//rutG//yhdZ//ccmF//cydC//sbcD//araE//sucB//metA//cydA//glnG//iraP//glcE//bdm//fixA//csgB//hypA//flgL//fecC//mhpT//idnD//fepB//rpiB//argT//fhuB//puuD//bioC//hydN//acnB//ftsI//paaA//uvrA//uxuA//fucR//dhaK//nadA//flgD//metJ//ybfE//ynfG//ascF//ibaG//pheM//zraS//fur//argT//mdh//nuoN//fixB//ydfW//paaH//gcvB//pstC//uspE//yiaM//mraY//wcaA//yfdV//dinJ//adiC//wzyE//ccmC//leuO//bglB//rffH//hyfJ//sucD//srlE//nfsA//murE//
Fur_pos	gadF//ddpB//cynX//fepB//truB//pheM//rpoE//ygaC//entA//ssuA//katE//yafN//fdnI//galR//cas1//yrbL//ttdT//norR//treC//mdtA//nmpC//
GadE-RcsB_pos	hcaE//gatA//phnO//hybF//fliD//bglF//csrB//grcA//purE//
GadE_pos	dgkA//folA//pdeH//codA//nuoC//mqsA//gspG//cusF//nikB//garD//moaA//exbB//speB//accA//fabZ//pfkA//mprA//safA//fucA//csrB//speB//glgA//aroH//flgC//allC//ttdA//marA//exbD//glgX//
GadW_neg	yjhB//glcE//galE//hdeA//yhjA//yfdX//yfdV//waaZ//dgcC//lpxC//paaC//
GadW_pos	deoC//fepG//mraY//argF//ddpF//dctR//creC//hycG//exbB//fucA//cysW//
GadX_neg	malT//pfkA//potH//lgoR//bioA//dsdA//
GadX_pos	paaD//umuD//fadE//recC//treC//ssuC//sgrR//uvrB//aceB//araD//folA//sucB//recN//potH//bamE//uxuB//casD//ompN//leuO//potF//accA//fixC//yjhC//csgD//grcA//ttdA//codA//
GalR_neg	murQ//paaH//yciW//agaV//paaY//appY//hypC//glpK//pgaD//yrbL//
GalR_pos	malK//ybbY//csgG//tisB//
GalS_neg	osmB//ybfN//alsC//exuR//moaE//ruvB//pqiB//rsmH//hycB//hcaF//
GalS_pos	pgm//paaF//envC//fabG//
