#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ibaG//paaK//
AcrR_neg	nlpA//chbA//hyaE//hycD//entS//ompW//aceA//fimE//lldR//phnO//setA//
Ada_neg	lacA//melB//
Ada_pos	dinJ//manY//idnK//ppdA//
AdiY_pos	pepD//acrD//glnP//aroP//exbD//leuO//gpmA//fliJ//
AgaR_neg	hycD//murP//bglF//phnE_2//ymgA//fabA//acrD//dcuR//bluF//ugpE//hyfE//
AidB_neg	flgH//
AlaS_neg	metB//
AllR_neg	isrC//patD//yhdY//moaA//ccmE//mepH//purE//gatY//ydeP//
AllS_pos	cusA//nanM//ybhF//
AlsR_neg	dgkA//yecR//ada//rbsR//poxB//ariR//
AppY_pos	nikA//flhC//glnP//lysR//pqiB//uxaA//hcp//thrS//waaH//purR//
AraC_neg	pgaC//sdhA//aspA//fecB//norR//yjhC//cynR//ariR//
AraC_pos	sdhA//ydeO//glcC//paaX//serA//recB//yqhD//add//potI//pheM//
ArgP_neg	yhbS//
ArgP_pos	csgD//acrD//stpA//ddpD//fimE//hcaE//yafQ//ydhT//fucK//icd//fbaA//dpiB//spy//
ArgR_neg	lacZ//trpC//prpD//ptsG//nimR//ulaD//bglG//yegZ//cysP//gspO//paaA//rpmI//safA//ruvB//yidL//pheT//yagK//ynbC//lysR//fliL//hdeB//lpd//araJ//sroC//rplT//wecC//add//atoA//bluF//garL//hybF//fabH//bacA//
ArgR_pos	kdpB//pqiA//yjiY//fumB//metR//
ArsR_neg	idnR//marA//uidA//
AscG_neg	ynbD//uvrB//rbsR//trpB//flgE//
AsnC_neg	uvrA//ynbC//paaI//
AsnC_pos	glyA//
AtoC_pos	tomB//ndh//slp//amn//
BaeR_pos	rybB//garK//wzzE//feaB//ruvB//chbG//carB//mscM//
BasR_neg	aspA//acrR//
BasR_pos	treB//hisJ//ydeM//rhaT//ydcU//nhaR//gltD//iraM//tauB//lsrC//potH//
BetI_neg	dtpA//dkgB//ydhV//rtcB//
BirA_neg	focA//hyaC//cyoC//uxuB//entH//
BluR_neg	nanT//aslB//pdeH//trpL//
BolA_neg	argE//fliL//
BolA_pos	cspD//ybhL//
CadC_pos	chbF//rffH//grcA//
