#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ybbW//ydhW//
AcrR_neg	phnL//katG//fnr//purL//fadD//acrR//ugpE//insD//cpxP//entB//hokD//
Ada_neg	mazE//mpaA//
Ada_pos	ugpQ//agaR//rplU//bluF//
AdiY_pos	paaZ//yhiD//yibQ//sufS//phoB//metY//nuoA//metI//
AgaR_neg	puuD//higA//mdtC//tnaA//sroD//tsgA//ddpX//agaR//wcaA//araH//hycC//
AidB_neg	yfdX//
AlaS_neg	fepA//
AllR_neg	araH//yjjQ//yiaK//tyrR//ahpC//ecpR//csgD//mglB//ynjI//
AllS_pos	dapD//kdpF//ssrS//
AlsR_neg	alsC//nuoA//tsx//fhuC//aceF//hemL//
AppY_pos	yccT//cadC//thiP//murF//yhdW//ybaT//rpsO//ygiZ//appB//relA//
AraC_neg	cynT//fliO//katG//rpmI//iraP//fbaB//rhaA//uidC//
AraC_pos	nikD//ampC//rhaR//crr//napA//hcp//rstB//nikD//sdhC//metF//
ArgP_neg	aidB//
ArgP_pos	rutG//tktB//araE//uvrD//ribA//yaiA//mhpT//yncE//oppB//pyrD//uxaA//fepB//norW//
ArgR_neg	pagP//ftsA//aldA//cheW//recA//allS//ydeI//gspG//nrfA//artQ//araB//ybhR//aceK//narX//yecT//cra//ugpB//gatC//phoR//mntS//nanE//hyfC//appC//nimT//mngA//nikC//cra//purL//mlrA//bdm//flgD//idnT//yedX//
ArgR_pos	gspK//gabD//cdaR//cysB//glmY//
ArsR_neg	xylG//dmsB//yhbE//
AscG_neg	rbsA//ndh//emrY//nhaR//sbmA//
AsnC_neg	norV//yfiB//ulaE//
AsnC_pos	cydD//
AtoC_pos	ddlB//acnB//ybhS//manZ//
BaeR_pos	sdhD//iscS//pyrD//deoB//fliO//pspD//waaZ//paaF//
BasR_neg	napC//lrhA//
BasR_pos	mnmG//recC//recA//flgJ//tyrP//cysH//frdC//marR//deoA//gyrA//gltK//
BetI_neg	yqhD//dsbA//setA//ygiA//
BirA_neg	umuD//ldtB//phnK//higA//cheA//
BluR_neg	nirC//erpA//rarA//gspJ//
BolA_neg	obgE//ptrA//
BolA_pos	nuoA//hipB//
CadC_pos	entF//yidL//rcnB//
CaiF_pos	fliQ//umuD//hcaR//casB//galR//bioD//yiaM//mhpF//flgD//tdcD//
Cbl_pos	crr//hisP//phnG//fhuF//nirD//murP//ydcS//gfcA//uxaB//
CdaR_pos	galS//efeU_2//cusR//wrbA//hyfB//aroH//nemA//pstA//kdpF//ulaD//
CecR_neg	lldD//flgK//phnK//gpmA//hemL//
ChbR_neg	sufC//slp//fliQ//ycjY//yoaC//cpxA//
ChbR_pos	ybdN//phoQ//ccmE//cynS//fliZ//bglF//
ComR_neg	flgF//
CpxR_neg	ybbW//rffG//artP//ydcS//nanC//cyoC//astD//pstS//pgpC//btuB//zntA//glgC//cynX//appB//cysE//carA//purL//moeA//betA//ompN//rplT//ccmD//yecR//purL//
CpxR_pos	uidC//trpL//yegR//higA//lysC//pepD//purE//nusA//gapA//pncB//murP//rseB//cynX//yiaK//rcnB//cyoE//tdcA//gnd//yafP//yneM//csgD//lsrK//tdcC//folA//wzc//hcaC//hyaB//adhE//phnO//pncB//metA//metJ//gntX//flhB//ydjM//mgrR//rbsB//ynbA//malT//nrdE//soxS//fabA//recX//phnN//katG//micF//
