#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	hcaF//nfsB//
AcrR_neg	flgL//ppdC//yjjZ//gcvT//glgA//fliH//cheW//moaD//ryhB//kbaY//oppD//
Ada_neg	wecE//ychF//
Ada_pos	gnd//yefM//lamB//flhE//
AdiY_pos	dacC//fucA//hdeB//chbG//yqjH//pykF//ppdB//soxR//
AgaR_neg	asr//copA//hlyE//add//pgpC//sbmC//alkA//rob//narL//glpT//agaC//
AidB_neg	pqiA//
AlaS_neg	osmY//
AllR_neg	bdcA//gspD//chbA//ebgC//betA//chbF//efeU_2//dacC//ydhW//
AllS_pos	dctA//bioA//wzzE//
AlsR_neg	dicB//fecE//cysA//frc//wrbA//iraP//
AppY_pos	thrS//kdpF//murC//pdeH//epd//rprA//nanM//ydcV//lsrD//yhiD//
AraC_neg	codA//gspH//leuD//dhaM//murG//efeU_1//cysJ//phnE_2//
AraC_pos	nemR//fabB//moeA//nanM//glmU//deoA//ttdT//kbp//prs//eno//
ArgP_neg	tdcB//
ArgP_pos	crr//garL//gfcA//bglB//purN//nrdE//nusA//pykF//uidA//wzxE//malS//gutM//dctA//
ArgR_neg	yiaJ//fbaB//cdd//yafO//poxB//yhdX//ndh//wza//citG//phnD//ilvY//gadW//aceA//flgB//guaA//flgF//gadC//yjhB//mhpA//ccmG//pqiB//rbsR//ssrS//ldtB//qseC//ecpA//fliN//qseC//sodA//glcB//hha//murR//phoP//
ArgR_pos	galT//gabP//nrfF//sfsB//frdD//
ArsR_neg	sufE//gudX//dacC//
AscG_neg	ygbA//fucP//adiC//flgA//artM//
AsnC_neg	prpR//lpxC//hydN//
AsnC_pos	yegH//
AtoC_pos	aslB//sodB//paaC//yjhC//
BaeR_pos	fecC//acrR//sufD//ygbK//ihfA//hyaB//ftsZ//sufC//
BasR_neg	rimK//mnmG//
BasR_pos	hcaF//fecR//fldA//gudX//ftnA//ahpC//ynbC//yoeB//caiC//gspD//ydfN//
BetI_neg	cas1//ttdT//gltI//hybE//
BirA_neg	norR//paaB//acrZ//trpC//cvpA//
BluR_neg	gadX//atoB//ihfA//cysM//
BolA_neg	paaY//kdpF//
BolA_pos	srlD//cydC//
CadC_pos	bioC//speB//ssuE//
CaiF_pos	sroD//bioC//appB//fliK//hycB//baeS//ydfD//garR//patD//nagE//
Cbl_pos	dcuD//ruvA//crr//sgrT//glpX//mraZ//chbC//cysK//rarA//
CdaR_pos	tomB//fepG//chbR//mgrB//potG//ybaS//yafQ//glmS//kdpC//hyfH//
CecR_neg	csgC//glyA//adiC//uidB//malZ//
ChbR_neg	yaiW//puuD//higB//uvrY//tfaQ//agaV//
ChbR_pos	metR//nikC//mtr//nfo//glnQ//hyfR//
ComR_neg	ssb//
CpxR_neg	pspC//mglC//wzyE//tbpA//hcaE//paaC//udp//chbG//metI//nanM//fliO//yqjI//fldB//guaB//dsdA//uvrY//insK//ygbA//nuoM//yciX//mhpC//modA//asnB//fhuF//
CpxR_pos	tsgA//glxK//rybB//slt//hypE//gltJ//qseC//bioF//phoQ//agaV//putA//hflD//ccmG//gatB//setA//creD//fumC//hycB//hypC//glpX//emrK//dgkA//gntT//fucK//aceB//malM//tsgA//bdcA//treC//sodB//fecE//nfsB//puuR//glcE//gadF//relA//hypD//uspD//glcG//ldtD//ulaA//dkgB//uof//napG//hyaB//lsrA//
Cra_neg	sufA//yciE//ynfG//yncE//ftnB//mdtC//uhpT//ascB//artI//nrfB//melB//flgC//yoaC//mepH//glpF//hybD//sbcD//ybiT//ymiA//ynbC//epd//ruvA//pepA//fixX//glk//ybbY//ybdN//nrdE//gspG//nupC//flgG//murQ//grxA//flhA//dpiB//hypC//narH//alsC//araB//hyfH//umuC//sgrR//citC//ssuC//betB//ybbY//flgH//phoH//allC//glcB//alaS//entH//osmC//baeS//intQ//bacA//nrfE//pdeR//fhuE//
Cra_pos	gadB//metY//pdeH//ptrA//waaY//speB//hyaA//truB//fadR//ecpA//aceE//citF//rffC//modA//narJ//feoB//sucC//pspF//puuA//feaB//nanK//uidA//wza//
CreB_neg	leuO//dcuS//tonB//
CreB_pos	gatB//flhA//
CsgD_neg	aroF//spy//pepA//acnA//yhbT//cydA//napD//recC//ccmC//lsrD//copA//yeaE//yhdZ//efeU_1//bglJ//
CsgD_pos	acnA//zraS//cyoA//caiB//yaiA//csiD//glgA//purB//allC//phnH//hypF//pheT//dcuR//
CsiR_neg	recD//mpaA//glgB//artQ//dgcZ//
CspA_pos	thiP//gutM//
CueR_neg	fliK//fepC//putA//melA//puuA//
CueR_pos	ynfK//rimK//
CusR_pos	argT//ycgR//recX//ybhF//uspD//yaiA//tdcE//nikR//hypB//fucI//nagE//nupC//
CynR_neg	accB//
CynR_pos	nirC//pyrD//ccmB//
CysB_neg	yafP//cadB//nanC//gutQ//ybhG//gyrA//sdhB//
CysB_pos	hybE//efeU_2//glcB//puuP//agaV//nrdE//casD//glnB//sroC//glcF//osmB//hokE//cyaR//ynfE//astA//sdhC//glcF//gpmM//ppsA//ydhT//bamE//ymjC//rpmA//thrS//napB//
CytR_neg	mhpB//nrdB//garP//pspC//appA//cadB//marR//fbaA//murP//tisB//mlrA//rffM//glnP//
Dan_pos	yjbF//rbsR//borD//ygiB//
DcuR_pos	lrp//glnK//ulaB//feaR//rpoD//hyfF//bdcA//oxyR//phnI//
DeoR_neg	dinG//fabH//csgD//phnO//bioF//leuB//
DhaR_neg	dkgB//
DhaR_pos	narX//spy//fadB//
DicA_neg	dmsA//sgrT//fbaB//prpR//yeaR//yebG//phr//manY//
DinJ-YafQ_neg	araB//ynfF//pgpC//
DnaA_neg	rnpB//oxc//entE//hokD//yegH//btuB//hisP//hypD//fur//aspC//glk//
DnaA_pos	adiA//ybbW//zraR//slp//ygiA//nuoI//srlB//
DpiA_neg	fecA//
DpiA_pos	ydfH//evgS//dtpA//malE//frdC//argD//appY//artJ//purD//fliC//
DsdC_neg	napF//
DsdC_pos	fliN//yqhD//
EbgR_neg	amtB//purC//
EnvR_neg	cysI//ydhU//
EnvY_pos	talA//argG//
EvgA_pos	ydiU//agaI//rclA//tnaC//tynA//murI//kbp//rbsB//glnL//ydeO//feoA//lsrR//cynT//malQ//infC//oppF//sdhC//dpiB//paaE//
ExuR_neg	mioC//lsrA//hybO//putA//lsrD//mraZ//iraP//motA//ybaS//
FabR_neg	sufC//truB//
FadR_neg	fliQ//ycjG//alsA//mdtD//ydcS//chbF//pspB//fecE//argE//fhlA//hycC//
FadR_pos	fabZ//alsA//pstB//acrD//dhaR//crr//araC//ftsZ//cusF//yqjH//cynX//araH//
FeaR_pos	appX//evgA//
FhlA_pos	rsmH//astA//alsA//spy//mgrR//gatY//ugpA//ytfE//yiaK//agaD//nac//xylF//garD//citG//nikC//appB//hipB//acrD//kdpB//napH//hyaB//nrfE//copA//fixB//dmsB//ribA//ygeA//dinG//lolA//lsrA//
FlhDC_neg	yjbH//murE//exbD//sgrT//
