#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	cysG//yfaE//
AcrR_neg	ydeI//hyaA//osmC//alsA//glxK//sulA//cytR//fimE//gor//oppD//bolA//
Ada_neg	adiC//yaiW//
Ada_pos	sufS//nrdB//fepG//mscM//
AdiY_pos	uxaA//argI//prpB//amtB//sroC//spy//lpxD//atoE//
AgaR_neg	creD//lldP//fliL//lamB//mntS//artQ//galT//narX//entS//pspB//iraM//
AidB_neg	tnaB//
AlaS_neg	cra//
AllR_neg	ftsQ//ydhV//yjjZ//ppiD//hdeD//adiA//cysB//rybB//hemL//
AllS_pos	caiB//artM//bioC//
AlsR_neg	phoP//fliZ//trpA//gspG//folA//ompW//
AppY_pos	gatC//sdhA//cheW//chbA//emrA//qseB//ppdA//ybaT//cytR//ydfD//
AraC_neg	motA//mzrA//hisQ//rtcB//sra//lysC//flgE//ulaG//
AraC_pos	feaR//trxC//glgC//fruK//wcaB//alaS//nuoM//ptsG//nrdD//entA//
ArgP_neg	gatB//
ArgP_pos	lacY//aspA//pncB//pdeH//fldB//safA//ssuB//metJ//mntP//hypF//puuR//ulaD//sra//
ArgR_neg	mpl//bamE//fecA//fliE//argB//tcyP//cydB//ftsQ//hokD//ttdR//appA//phnE_2//yjeV//speB//lon//ybaS//adiC//phoB//dgkA//metB//cusC//cvpA//fucI//udp//citE//allS//pspF//uhpT//leuL//lysR//tdcG//pspG//hyfF//
ArgR_pos	rnpB//gcvT//omrA//ccmF//gnd//
ArsR_neg	metC//fecD//malF//
AscG_neg	gatD//yiaK//rffH//mgrR//dmsD//
AsnC_neg	crp//flhB//bglF//
AsnC_pos	galS//
AtoC_pos	nuoL//fecA//dsdX//fbaB//
BaeR_pos	fhuB//nuoK//hypD//caiF//trpB//chbB//gltD//hyfR//
BasR_neg	metH//poxB//
BasR_pos	dinF//hcaC//tfaQ//mglC//fadI//ahpC//purM//ybjN//yccJ//ydhY//cysE//
BetI_neg	atoA//fhuC//ompT//nirB//
BirA_neg	dkgB//nuoC//lamB//glpD//ynfG//
BluR_neg	glnB//hdeD//ftsA//yjjQ//
BolA_neg	citE//mhpD//
BolA_pos	fau//pepA//
CadC_pos	fliZ//nrdG//yeiL//
CaiF_pos	rob//gspO//qseC//uof//leuB//tynA//accB//sufC//ydfN//fucR//
Cbl_pos	deoB//gutQ//ybaS//caiE//yciX//yafP//ttdT//gcvT//frdC//
CdaR_pos	ynbD//wzxE//tcyP//bioA//hns//gspG//asnB//evgS//glmU//cynR//
CecR_neg	gntT//agaD//aceK//aroF//tam//
ChbR_neg	yqjH//ddpC//isrC//hycB//frdC//napF//
ChbR_pos	fruB//hybO//prpE//leuC//ybhS//yidL//
ComR_neg	malM//
CpxR_neg	recF//puuP//phoU//srlD//astC//ompC//mazF//fhuD//rutD//sucC//yeaG//ybbW//ycjX//malT//hypA//mraY//ycjY//nirB//ydfW//ychF//acrB//tadA//hypF//oppA//
CpxR_pos	gabD//ybhL//yiaO//malP//ccmH//rutA//omrA//glgB//pgaC//rffM//nfo//glpB//rutC//recD//ybbW//ybhF//infB//betT//glcE//rplT//higB//ilvY//gcvH//fliR//tauB//ybfN//lolA//gatZ//phnL//paaK//dpiB//gcl//cspD//nuoH//setA//dsbA//agaW//pheT//sdhD//setA//hyaB//purL//nupC//nadA//torD//gapA//
Cra_neg	araF//malQ//cyoB//nrfF//hslJ//nmpC//nrdH//sufE//aceB//gspD//metR//iscU//hybC//dmsB//cydC//yecR//codA//idnK//sbmC//ptrA//ynbC//leuC//flhB//alkB//rprA//ybfN//osmC//yciF//flgA//yafP//garR//uvrA//uvrY//srlD//fabI//argB//csgE//aceK//aroM//fdnH//ubiX//csrC//hycC//lpxC//cynS//rutB//yqhG//ynjI//ubiA//dpiA//chbC//nagE//gcvA//malE//nfsA//araC//arsR//ldtB//fepC//
Cra_pos	ftsW//nuoI//tonB//ftsA//uvrY//potF//fruA//nagB//caiF//sutR//dapB//amtB//cusR//galP//nfsA//cysK//sgbU//prpB//dmsA//cysU//nuoL//envC//leuD//
CreB_neg	yciX//metH//dsbG//
CreB_pos	recB//pnuC//
CsgD_neg	hisQ//dsdA//lexA//hdeA//yegZ//treC//glnP//emrB//agaB//wecB//pagP//malE//gatD//fepA//yhdX//
CsgD_pos	paaZ//gcl//ptsG//gspJ//pdeL//nagA//nanC//amtB//symE//gltL//rffC//mhpC//nuoE//
CsiR_neg	setA//nuoF//chbG//fes//ygbK//
CspA_pos	rstB//fepD//
CueR_neg	emrY//ygeH//bhsA//tyrP//nuoN//
CueR_pos	dinD//citX//
CusR_pos	lpd//sodA//tcyP//puuC//yneM//molR_1//hcr//gntX//chbB//nuoJ//ydeP//gcvT//
CynR_neg	insK//
CynR_pos	tsr//galS//gapA//
CysB_neg	fepC//rffM//paaE//alsC//ybfE//yfiR//phnC//
CysB_pos	hcaC//mscM//ydhW//purE//csrB//pspA//lldP//ssuE//aroM//sufE//cspI//crr//hns//phnG//rutR//uvrA//lsrK//yciF//gcvT//csgG//relB//ybaT//metF//yoeB//puuA//
CytR_neg	serA//astD//chbR//pgk//pgaD//gyrA//hcaB//hcp//mpaA//chbG//ompC//rcsA//nfsB//
Dan_pos	yebG//osmC//lysO//focB//
DcuR_pos	ppiA//flgA//ldtB//moaA//glnA//leuL//fucI//mtlR//dnaG//
DeoR_neg	chbB//amtB//glmS//tauB//phoH//sufS//
DhaR_neg	dmsB//
DhaR_pos	cheA//casC//gspK//
DicA_neg	allC//hybF//ccmD//metF//ssuA//wzxE//galM//oppA//
DinJ-YafQ_neg	pepA//fepB//gadX//
DnaA_neg	ydbD//gadA//fadI//lysP//ydeM//nrdB//dinB//osmB//nikC//glpB//fruB//
DnaA_pos	fhuC//srlB//ynfG//gadY//gapA//yneM//kbaY//
DpiA_neg	araJ//
DpiA_pos	accC//allC//paaB//rcsA//wzb//osmY//dmsD//bglB//metI//hokE//
DsdC_neg	xapB//
DsdC_pos	ftsW//ariR//
EbgR_neg	gadA//tyrA//
EnvR_neg	gspF//treC//
EnvY_pos	paaG//feoA//
EvgA_pos	gapA//cysJ//gadY//garL//glnL//entE//bioF//lsrD//ybhS//yeaD//hlyE//dcuA//emrY//gnd//chbR//cra//tauA//glxK//puuR//
ExuR_neg	iraP//fliZ//feoB//cyaR//ydiU//hipA//alkA//wzzE//motA//
FabR_neg	fdhF//phoU//
FadR_neg	dinF//hmp//pdeH//accC//yfaE//acrZ//mngA//ebgC//borD//flhA//hisQ//
FadR_pos	fucK//soxS//argO//infC//trpC//bglG//uxuR//purF//wecC//nirB//rhaA//phoQ//
FeaR_pos	hokD//phr//
FhlA_pos	sgbU//casD//isrC//bhsA//pstS//tdcC//ychF//cysB//agaA//lsrF//fliQ//flhB//idnR//yoaC//murI//uxaB//gadE//argH//hcaR//tcyP//cysU//rcnR//relA//mqsA//puuP//ascB//ddpC//trpC//artJ//astC//
FlhDC_neg	garK//rnpB//glk//flgN//
FlhDC_pos	appA//purR//cspI//phnM//gltJ//mraY//uidC//malI//nikD//phr//intQ//gspK//idnD//yqjI//trpD//truB//nirB//iscU//hybC//nmpC//nuoJ//slyB//gatA//cysI//napF//fbaA//tyrP//ldtD//pgaC//cpxQ//yiiS//pgpC//flhB//fadL//rpsU//rcsA//caiC//hmp//adiC//evgS//nuoG//yagK//rarA//agaA//aceK//fadR//glnG//recF//ssrS//rutE//prpE//rclA//insD//potG//ydeO//flgK//casE//fepG//codB//ftsL//argF//sutR//xapA//ruvB//accA//gcvP//appA//ascF//fepE//entB//chbB//phoP//agaC//yhbE//tsr//ynfF//cas2//ddpC//
FliZ_neg	umuC//eno//hycD//nanC//flhE//fruK//yjiY//adhE//motB//tehA//ydcU//entH//lsrG//yhiD//aroP//borD//pspF//feaB//lsrA//lacY//sbcD//
FucR_pos	phoU//accA//torC//yafO//sufD//garP//ydcV//
Fur_neg	sgbE//amn//uxuA//cynX//ydeO//fabZ//yegR//glpK//fimE//aspA//nemA//ecpA//fabG//ddpA//trxC//ttdA//nrdF//ydcV//ymgC//gntU//ariR//allB//fimE//torA//frdC//glcD//ydeO//pck//tomB//grxD//hslJ//psd//creD//uvrA//nfuA//hypF//kdpB//nfo//cysE//evgS//ynbA//glgB//puuD//gntT//puuD//mngB//pdeH//nrfG//ybhL//mscM//purK//lamB//wzb//gatA//hyfF//chiP//yjhC//hcaF//dinB//pstB//erpA//sucC//ubiC//yciG//gltF//rstB//lrp//mscM//hybB//dhaL//edd//dsdA//aspC//cpxP//hypC//caiT//ptsI//cspI//atoB//rbsB//mtlA//rffT//waaH//metH//glgB//acrD//hypE//sulA//tdcE//mpaA//galP//yciW//purB//symE//glmS//ulaA//chbC//yedX//infC//xylG//prpD//yhdW//csgD//yeaG//phoA//csrC//fiu//sulA//rhaT//puuB//allD//yneM//dkgB//sdhC//argH//
Fur_pos	rpiR//rseB//hipA//yqjH//cvpA//tyrB//recD//rpoS//ydfD//yecT//mntH//nrfD//uof//yqjA//bluF//lysC//ddlB//fliP//gspD//uhpT//glcD//
GadE-RcsB_pos	fixC//ppdB//lysO//rimK//phoE//icd//feoB//fes//murF//
GadE_pos	sbcC//adhE//potG//degP//mhpD//napH//potI//yjbH//tktB//chbA//gspK//fepB//yccA//malX//paaK//ddpA//sgbU//appA//mgrB//ompC//malG//nanT//aslB//kbaY//accC//uidR//add//artI//dnaG//
GadW_neg	guaB//yhjA//rnlA//lpxC//grcA//yqaE//sucC//gspL//uspD//narG//yjbH//
GadW_pos	phnD//allB//phnH//phnH//nrfE//lacZ//ydcS//phnD//pspD//mdtC//metI//
GadX_neg	ymgC//rpmA//focB//rbfA//mntH//argI//
GadX_pos	cysP//ppsA//hyfR//argT//thrS//betI//slt//aroP//glmY//mdtD//yhdX//dhaR//glpF//nuoB//ascB//ppiD//glcF//flgN//acrR//fliE//acrD//fadJ//lsrD//ptsH//hokE//pykF//yjeV//
GalR_neg	csrC//metN//hyfB//hybB//nrfB//cspD//ftsI//rpoE//rbsK//yhiD//
GalR_pos	dmsA//nemA//sodB//mepH//
GalS_neg	tnaB//nagE//motA//mraZ//fucA//sdhC//ddpB//cydA//uvrY//phoH//
GalS_pos	hcaC//ybhL//glmS//ahpC//
GatR_neg	nrdH//yqaE//wecE//entH//metE//metE//
GcvA_neg	phnE_1//gpmM//gspF//atoE//
GcvA_pos	sgbE//ibaG//nlpA//oppF//
GlcC_neg	nrdB//
GlcC_pos	fixX//malE//fecB//pnp//mntH//cyoB//
GlpR_neg	sgrS//tpiA//ymiA//hyaC//murP//allE//ybaS//nirD//tsgA//
GlrR_pos	wzxE//yiaN//deoD//glgA//fecE//
GntR_neg	hycG//hycH//rimP//luxS//flgJ//cynS//ppsA//gcvH//nfsB//pepA//talA//guaB//
GutM_pos	bglJ//phoU//cydA//zraP//tdcG//murP//hyaB//
GutR_neg	cadB//ttdB//entE//nanS//metL//paaA//fabH//
HU_neg	bamE//glnH//sgrR//rcnB//patD//bglJ//entD//pqiA//
HU_pos	fucO//
HcaR_neg	phr//
HcaR_pos	dgcZ//gntT//glnK//amtB//feoB//
HdfR_neg	astC//nuoF//
HdfR_pos	tsx//mgtA//degP//
HigA_neg	tdcC//mngR//
HigB-HigA_neg	yqjA//fepD//
HipAB_neg	cysB//glnQ//yiaN//ydbK//seqA//
HipB_neg	fliA//metK//gspM//cvpA//nrfC//nrdB//
HyfR_pos	pepA//mazG//casD//napC//rcnB//nupG//gspG//sufE//hyfD//nrdF//nrdE//katE//
HypT_neg	carB//gspO//edd//hyfD//eno//
HypT_pos	dnaG//aroH//lrp//yhbT//hdeA//nanS//mhpC//nemR//
IclR_neg	phnJ//ccmC//metJ//dnaA//
IdnR_neg	cadC//zraS//
IdnR_pos	ttdB//tauC//aspA//ppdB//ydiU//
IlvY_neg	fadJ//
IlvY_pos	araE//
IscR_neg	fdnG//ccmF//wcaA//uxaA//cra//moeA//glnA//envC//ascB//chbA//pyrC//rcnA//glgC//ydiV//ccmH//fdnG//borD//yagK//yjbG//codA//lysR//
IscR_pos	fixX//putP//rffG//lysP//yibQ//hcaF//ugpB//tauB//arsC//dinB//mglA//
KdgR_neg	potF//speB//
KdpE_pos	fbaA//galP//lsrR//ulaC//
LacI_neg	gpmA//caiB//gspK//
LeuO_neg	envC//treC//garD//
LeuO_pos	hokD//pstC//glpD//flgM//argH//cyoE//malS//phoQ//mtlR//serA//chbG//rdoA//yoaG//paaK//argA//exbD//ydfN//ihfA//
LexA_neg	amn//yeaE//gadY//nuoM//phoP//idnK//metY//envC//dhaR//fruB//bioA//argC//obgE//nanA//ynbA//hyaF//paaF//sufD//nac//kdpB//hisP//agaC//purA//nrdE//dmsC//bdm//norV//yccJ//osmC//hypC//napC//artP//lolA//bioF//pdhR//purK//mcbA//tsr//galE//fes//trpC//epd//rtcB//dgcZ//phoQ//exuT//fumC//kbaZ//potF//astE//yqjA//grxD//xapB//dctA//aslB//galK//gudX//creD//ssuE//
LldR_neg	dsdX//stpA//fadE//
LldR_pos	gudP//mnmG//leuA//
LrhA_neg	wzc//sodA//
LrhA_pos	fucR//dctA//
LsrR_neg	katE//artJ//dnaN//aspC//caiE//dicC//ddpX//dhaK//rcnR//
LysR_neg	fhuA//
LysR_pos	ihfA//
MalI_neg	cdaR//cyoC//carA//
MalT_pos	pyrC//rfe//ymjD//ydhY//idnO//pdeR//hha//ahpC//nanE//moeA//
MarA_neg	galP//yegZ//dgcC//chbG//polB//waaY//astD//
MarA_pos	flhB//napD//gadF//yhcH//rseB//lysC//pspC//purA//fumB//crp//patD//oxc//ybhG//trpB//ydfH//cysE//phnC//srlE//osmC//prpB//pspE//cadC//gltD//aroP//ssuD//tyrB//recF//fdhF//ttdB//envC//cysG//
MarR_neg	zraR//argD//ydfD//
MatA_neg	agaR//yfaE//fur//bluF//flhD//potG//
MatA_pos	dtpA//sgbH//
MazE-MazF_neg	malE//dcuB//tdcG//
MazE_neg	epd//exbD//nrdG//
McbR_neg	mglB//
McbR_pos	xapB//napB//baeS//
MelR_neg	glpK//yaiA//metB//
MelR_pos	pflB//puuP//mdtA//
MetJ_neg	hcr//leuB//rnlB//oppB//cysK//lysP//mazG//ynbA//nuoM//pgk//sbcC//argP//dinB//iscS//asnB//
MetR_neg	yhiD//araA//
MetR_pos	uvrB//xylA//entE//bglG//
MhpR_pos	tynA//chbB//glpB//ldtC//cysG//recC//
Mlc_neg	prpR//exbB//mntH//tehA//ftsA//motA//feoA//tam//ybbY//hyaE//
MlrA_pos	dpiB//artM//emrY//ykgM//fdhF//ybbY//truB//yqhG//glcD//yjiY//
MngR_neg	gcvT//ptsI//sdhD//
MntR_neg	rtcA//sgbH//uxaC//moaA//
MntR_pos	ssuC//
ModE_neg	rbsB//cyoE//tdcG//frc//wza//glpX//glcB//yefM//yjiY//glpX//crl//nikB//hisQ//yjbE//bhsA//
ModE_pos	pspC//paaE//ftsQ//pheM//deoD//recX//nagE//yccA//ydeM//lpxA//gltB//garP//nuoI//fadR//gltJ//mnmG//ydfN//mlc//dsdA//fnr//lsrK//allE//appB//tsr//appA//hycD//treC//exbB//gspM//pgaA//citF//
MprA_neg	ubiA//yqaE//nac//paaE//grcA//rffT//
MqsA_neg	gcvT//gatB//edd//paaD//cysN//agaS//sucB//ynfE//
MraZ_neg	alaC//yeaH//ygdB//yrbL//degP//cyoC//fucU//gcvA//feaB//ariR//thrS//modB//ssuB//glnP//trpL//araJ//uxuB//
MtlR_neg	rpsU//ssrS//glcA//
MurR_neg	fiu//grxD//hyfC//
MurR_pos	gadA//
Nac_neg	fdnG//sucA//ssb//yhdX//fabB//galS//dmsC//cusC//rutG//
