#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	polA//yafQ//
AcrR_neg	malX//sufA//ybdZ//sgbE//dgcZ//sroA//bamE//murQ//sdhB//prpE//lpxC//
Ada_neg	ahpF//xylA//
Ada_pos	mltF//allS//frdD//fecB//
AdiY_pos	cusB//moaA//rob//allB//dcuD//paaH//mipA//nimR//
AgaR_neg	dinG//folA//ptsI//cusS//dnaA//rtcA//srlB//xapB//ugpE//ynfG//tfaQ//
AidB_neg	hybO//
AlaS_neg	lsrR//
AllR_neg	sgbE//napG//metN//gspL//ttdB//rtcA//gltF//truB//dapD//
AllS_pos	gudD//glcG//ydhT//
AlsR_neg	wrbA//cdd//rtcA//mglB//purB//phnM//
AppY_pos	glgP//cas2//hcaE//ttdR//purD//ruvA//mazG//purB//hybO//lsrR//
AraC_neg	dgcC//rtcA//betA//yoaC//ynbD//dsbA//obgE//garP//
AraC_pos	entE//iscA//napC//purC//mzrA//baeR//ccmD//ydiU//ribA//malP//
ArgP_neg	rpsO//
ArgP_pos	motA//mscM//caiF//yfaE//cyoD//phoE//dnaA//yhhY//mraZ//entF//omrB//agaB//fhuE//
ArgR_neg	sbmA//yccA//glcC//hyaC//tdcG//ttdA//entE//sdhD//zwf//pnuC//rhaB//mdtD//prpR//metA//fabH//flgD//hyfI//lsrR//nlpA//zinT//glyA//hisM//ogt//nirD//prpR//emrY//torD//dpiA//tolC//mtlR//hns//glcD//cusB//
ArgR_pos	potG//cydD//ccmA//pyrD//lpxD//
ArsR_neg	yciW//pspD//yhiD//
AscG_neg	accD//thrS//bioA//napC//melR//
AsnC_neg	prpR//tbpA//mnmG//
AsnC_pos	puuP//
AtoC_pos	gcl//napD//hyaC//fabD//
BaeR_pos	paaF//insK//lsrF//gadB//deoA//ycjG//ppiD//entC//
BasR_neg	tomB//tehB//
BasR_pos	yfdV//bglF//ugpB//glnQ//rffC//manX//hybE//dcuR//ybjC//prpE//ptsG//
BetI_neg	casC//exuT//csgD//rhaS//
BirA_neg	mhpC//nagB//yagK//guaA//nrfG//
BluR_neg	zinT//uxuA//nikE//argD//
BolA_neg	ydeN//agaW//
BolA_pos	dnaN//cysU//
CadC_pos	hyfC//yhdW//paaZ//
CaiF_pos	yiaL//iscU//cas1//fecB//paaH//phnP//aceB//aroF//acrA//mscM//
Cbl_pos	rutD//wecC//paaX//yhjC//fabB//recD//tyrB//rseC//ydcT//
CdaR_pos	ddpF//ptsH//hycA//mngA//idnD//flgA//norV//recF//narX//cirA//
CecR_neg	flgM//hyfR//tomB//ompN//pspF//
ChbR_neg	phnL//ybhF//tcyJ//hybD//fepE//dmsB//
ChbR_pos	ddpB//gspD//fecE//tyrP//cytR//hybF//
ComR_neg	cueO//
CpxR_neg	sbcD//xapA//fruA//nanK//ftsA//moaA//ykiA//nohA//cdaR//bglG//osmY//seqA//cspI//pagP//ssuE//recA//gspF//ccmD//nagA//rcnA//agaR//nemR//chbF//phnP//
CpxR_pos	nlpA//creC//uxaB//fliR//metI//ddpC//gadB//cysB//sufC//rutF//phnE_1//btuB//narH//ycjX//efeU_2//pgk//pdeL//hdeA//lacY//astE//malP//pstC//mipA//leuD//recF//uxaB//yebE//yiaO//yjbH//ykgO//rffH//ccmA//ppc//fhuF//glmU//gspC//slt//yebE//nuoF//yeaR//xylF//csrB//murF//leuO//ilvC//nemA//
Cra_neg	gntT//prpC//rplU//speB//yhbT//fnr//hyi//ubiX//narK//ahpC//napG//recA//caiT//pspF//phnC//rpsU//erpA//cusS//omrB//prs//ybiT//ftsW//rpiR//recN//prpC//narJ//flgE//glgA//yjhC//ompW//glnH//glgA//pnuC//pyrC//lrhA//flgG//yhdY//ybfN//cysM//rutC//lldP//gcvH//ydcS//ydeM//cysC//fliQ//mglA//icd//cpxP//gltL//agaS//uvrD//ybfN//rplT//nuoA//crl//ssuC//glnP//yciG//
Cra_pos	entF//nrdI//umuD//htpG//mioC//fhuB//rpsU//gspI//kdpF//rbsK//leuB//cecR//pitB//gatZ//betA//xylR//agaD//fnr//mtr//dhaR//hydN//prpC//ychF//
CreB_neg	yoaG//phnJ//gcvB//
CreB_pos	fhuB//yibQ//
CsgD_neg	ariR//gspK//rutD//lhgO//waaZ//lsrF//phnL//lpxA//cysH//glxK//recA//kdpF//ecnB//paaI//yrbL//
CsgD_pos	gadX//cydC//fldB//agaS//mngB//allD//ldtC//marR//amn//ccmG//cysA//fiu//narX//
CsiR_neg	grxA//exuR//skp//hybA//fliL//
CspA_pos	ptrA//higA//
CueR_neg	aceK//ykiA//casB//arsB//tauA//
CueR_pos	ariR//evgS//
CusR_pos	iscS//bioF//idnK//nemR//csgG//dsdA//fau//nadA//fabH//tehA//ogt//yeaG//
CynR_neg	ftsZ//
CynR_pos	ulaE//tnaC//fepC//
CysB_neg	nuoG//hisM//ygiA//ydeN//rpoH//purR//nikR//
CysB_pos	ycjY//epd//fecA//nikB//malK//yiaL//bglJ//nuoL//kbp//umpH//ymjD//uxuR//grxA//glgA//hyfB//glgP//puuR//dsdX//glpX//pspA//wecE//cpxQ//pfkA//moeB//xylB//
CytR_neg	yqaE//metK//flgM//fecE//nanT//dsbG//entS//glpQ//lrhA//nhaR//gadW//cbl//ydhW//
Dan_pos	higA//entS//tnaB//prpE//
DcuR_pos	deoB//omrA//creB//allD//glnK//alkB//sgrT//gabD//sra//
DeoR_neg	gspD//tdcC//fabH//nagB//evgS//argA//
DhaR_neg	cysM//
DhaR_pos	mhpB//galP//uvrD//
DicA_neg	iraP//glgA//sdhA//obgE//gabD//fecC//galK//ugpQ//
DinJ-YafQ_neg	agaI//lacY//infB//
DnaA_neg	ymjC//pqiB//guaB//nagC//yqjH//hyaC//yccA//allB//ynfG//yafP//znuB//
DnaA_pos	sufD//dcuD//yhdZ//tdcC//tpiA//nfsA//malP//
DpiA_neg	glnB//
DpiA_pos	mazF//fliZ//truB//entB//ydeI//aroG//guaA//gudX//hycD//lsrC//
DsdC_neg	ygaC//
DsdC_pos	ddpC//argB//
EbgR_neg	nanC//hcaF//
EnvR_neg	gcvH//dmsC//
EnvY_pos	sucA//fhuF//
EvgA_pos	cysB//ymgA//yncE//codB//intQ//tsx//aspA//ebgC//lysR//ompC//envC//dhaL//paaX//amn//aidB//glcE//ccmB//gltJ//rseA//
ExuR_neg	uxaA//sgbH//ssuE//emrA//flhD//dicB//betB//eda//moaB//
FabR_neg	rybB//pspA//
FadR_neg	gpmM//evgS//frdB//nuoI//kbp//hdeA//narH//pdhR//ygeH//citG//phoQ//
FadR_pos	flgI//tbpA//tdcB//fliE//napG//ycdZ//fadI//tehA//gudP//yhjA//hyfR//hypF//
FeaR_pos	appC//ymgC//
FhlA_pos	rcnR//nuoG//hcp//yoeB//yciW//gabT//fabG//ycjF//ygiZ//ccmD//hyaB//leuC//moeA//uvrY//nanT//trpA//pdhR//lysP//dpiA//appB//csgF//fadH//gcl//fldB//soxS//phoB//nhaR//glcG//rffM//zinT//
FlhDC_neg	rsmH//entF//argA//ynbC//
FlhDC_pos	yhjA//recD//phnI//tdcD//phnI//ruvB//glmU//phnI//cspD//ssuE//mraZ//feaB//exbD//araF//glpK//ygeH//gudP//dmsD//pgi//cydA//nagE//ssuA//yncE//fliM//wzyE//sroD//cysI//hyaD//ulaE//gcvT//pgm//paaA//ompT//xylG//hdeB//csrB//ttdB//betI//pykF//codA//phnD//focB//glmU//cydD//sufE//argE//chbB//purR//tsr//prs//cysH//pdeR//pgk//rcnA//fhuF//sufE//fliL//rutR//wecB//prpC//cheW//rpsU//tcyJ//amn//sodA//srlR//creD//ddpX//chiP//rimP//argH//tdcA//lpxA//envC//treB//nuoI//wzyE//ttdR//
FliZ_neg	idnR//hybD//lsrR//leuC//metC//oxc//asnA//ascF//fabI//cas1//glnQ//dacC//yegH//caiB//fldA//ydcU//recF//cysD//paaA//dinQ//relB//
FucR_pos	hmp//ykgM//recX//amn//higA//flgE//hycC//
Fur_neg	hcp//rcnB//flgK//rbsK//galP//phnN//obgE//exuT//icd//nuoI//yeaH//hypB//hyaE//tauC//idnO//nfsB//ydfD//gspO//phnK//purN//marR//ecpA//ydiV//sodA//polB//mntS//malS//rutE//metQ//glpA//paaG//glpQ//narX//mgtL//agaD//yiiS//arsR//rffG//hdeB//gadY//glpF//sucD//csgB//mnmG//dinJ//aroF//lexA//mazE//gadW//nfuA//rfe//ybhS//arsR//dsbG//artQ//yhdW//pgk//astC//fabH//exbD//htpG//nanK//fliM//tehB//ariR//pstB//oxyS//nagC//ymgA//rfe//nuoJ//kdpF//nfsB//malS//mdtB//cusC//osmY//gntK//fliA//yjjQ//dsbA//phoA//potH//ycjG//mpaA//cysJ//sodB//lldD//feoA//ykgM//cyoC//yfbR//csgB//hisM//srlD//dinB//metL//lolA//dhaM//ycjF//ilvY//ydfX//tktB//eno//oppA//garL//ulaA//nagA//ftsQ//phnL//tnaB//gspF//ftsZ//dmsD//aroM//
Fur_pos	mtr//dgcN//hypB//carA//yjjQ//alsB//dicB//nrdI//bglG//dcuS//citF//glxR//zraP//uxuB//sulA//yncE//glcB//argB//appX//fliL//ccmF//
GadE-RcsB_pos	cyoA//bioF//rpsU//fhuA//frdC//malG//ptsI//glnG//gntK//
GadE_pos	trpD//sdhC//cysK//gspM//tolC//purL//yebG//lrhA//frc//argI//waaZ//lpxC//ybfE//csgB//yeaE//mgrR//yaiW//nupC//gcl//nanM//dnaN//murE//cpxP//uvrA//moeB//yebE//ydjM//gatY//hyfJ//
GadW_neg	gltL//isrC//recF//tyrA//slp//srlD//oxc//nirD//thiQ//talA//yhdW//
GadW_pos	phnL//appX//ynfK//fabD//narX//malT//evgS//zwf//hcaE//ddpF//uspA//
GadX_neg	ydfH//fliJ//paaA//nmpC//fliZ//purH//
GadX_pos	fadI//malM//speA//flgG//ddpF//fabZ//rimK//gltJ//ssuA//fadM//iscU//frc//nemR//csgE//malK//srlD//pgi//tyrR//phnN//glk//phnN//pitB//yqhD//oppA//hycG//rimK//phoU//
GalR_neg	yagK//dkgA//ybhL//rdoA//entE//rffH//omrB//yciE//nemA//gudP//
GalR_pos	tdcC//yjjZ//glxR//dhaM//
GalS_neg	ftsW//ybjN//emrK//gadC//chbA//gcl//gntP//intQ//chbC//aidB//
GalS_pos	nirC//ytfE//xapA//paaC//
GatR_neg	nanK//recA//hyfB//lgoR//dsdA//yneM//
GcvA_neg	gspC//aroP//ccmA//feoB//
GcvA_pos	yhjA//kdpA//ppiD//eda//
GlcC_neg	uxuA//
GlcC_pos	lyxK//uvrA//phnC//tdcB//tdcD//ihfA//
GlpR_neg	amtB//mazE//rtcB//ccmF//ecpR//hemH//ygiB//hycA//rhaB//
GlrR_pos	glcB//patA//nrdF//tfaQ//spy//
GntR_neg	galT//murI//iscS//malF//chbC//nuoB//paaI//lysP//puuE//flgB//glgP//glpA//
GutM_pos	rhaD//gltL//malZ//cysM//pgm//yiaM//tyrP//
GutR_neg	entF//aspA//higB//lexA//pdeL//yfaE//cydC//
HU_neg	hyfB//arsB//bglF//rimP//mdtE//flgF//yciX//lhgO//
HU_pos	nikD//
HcaR_neg	dapD//
HcaR_pos	rseC//fbaB//tpiA//rcsA//entF//
HdfR_neg	relA//glcG//
HdfR_pos	ascB//oxyS//patD//
HigA_neg	polA//glnG//
HigB-HigA_neg	marA//tdcE//
HipAB_neg	accA//pspD//symE//lsrK//ybaS//
HipB_neg	ompN//flgK//metN//frdA//metN//rseC//
HyfR_pos	xapB//cysH//lexA//gcvH//frdB//flgB//malM//malX//relA//gcvA//nuoG//mtr//
HypT_neg	appC//sgrR//znuA//appA//astE//
HypT_pos	hycF//purE//argE//mhpC//xylA//yjbG//ykiA//entE//
IclR_neg	osmY//pgi//gltD//ung//
IdnR_neg	dicC//leuB//
IdnR_pos	fliI//psiF//nrfF//argT//ycjY//
IlvY_neg	ogt//
IlvY_pos	dinJ//
IscR_neg	gltL//potG//purK//glnK//agaW//pitB//tdcA//potH//gpmA//recB//gloA//gspL//ahpF//purK//waaY//zwf//csgB//pnp//dcuD//fliS//hisQ//
IscR_pos	astB//ppc//yccA//ymiA//wzxE//gltF//hyfE//cyoA//folE//sdhA//ybaS//
KdgR_neg	betB//nrdB//
KdpE_pos	ahpC//garL//yeiL//hycI//
LacI_neg	focA//copA//murC//
LeuO_neg	yhjX//puuA//yciW//
LeuO_pos	tauC//cynT//ybaS//ycdZ//ulaG//aslB//tnaA//ybhR//gyrA//ubiA//gntK//lyxK//rseA//pqiA//ppdB//fdnH//sucC//nuoB//
LexA_neg	tdcF//ynfG//appC//sbcD//ymiA//csgC//ycjX//ecnB//nuoE//rybB//mpaA//mntS//fdnI//lldD//cueO//csgC//appB//lysP//ygbK//lolA//flhB//gabT//iscS//ftnB//gcvH//seqA//rimK//lsrR//cyoB//ddpB//yjjZ//argE//hyaA//malP//bioC//rhaA//mdtC//ydhU//creD//puuB//hyfJ//dpiA//mdtB//fhuC//gcvB//alkB//glgC//alsB//ymjC//pspA//cysU//glcE//talA//focA//aroG//ssb//phnE_1//yiaO//argA//
LldR_neg	ftsI//entB//ppdA//
LldR_pos	wzc//allS//ykgM//
LrhA_neg	ecpA//hybG//
LrhA_pos	lrhA//fhlA//
LsrR_neg	nadA//kbp//dicB//ynjI//fucK//hycB//betA//ebgC//cirA//
LysR_neg	dsdC//
LysR_pos	gpmM//
MalI_neg	nanA//flgL//betA//
MalT_pos	allS//alsB//purL//hns//yeaE//rutG//fbaB//sdhB//hipB//alsE//
MarA_neg	xylH//hypC//stpA//gadA//argD//fhlA//ftsL//
MarA_pos	pdhR//metH//rcnB//ttdA//argT//phnN//phoA//dinQ//potF//sra//rpiR//cysG//phoE//ykiA//flhE//mglB//yeaE//crr//nrdI//malY//aroG//csgB//hycG//lsrG//mtlA//ybjN//pyrC//cueO//gltF//ibaG//sbmC//
MarR_neg	lrhA//bioA//yciE//
MatA_neg	dsbC//mtlA//hha//metN//pspB//cyoE//
MatA_pos	lldR//hybD//
MazE-MazF_neg	hdeD//dhaK//accB//
MazE_neg	araD//manZ//trpE//
McbR_neg	truB//
McbR_pos	argF//idnD//ugpQ//
MelR_neg	rhaR//tsx//rhaB//
MelR_pos	sufE//arsR//mgrB//
MetJ_neg	gloA//murE//ynbC//gcvH//uxaC//tdcA//phnF//yiaN//flgN//ppiA//fhuF//frdB//yjhC//pgaC//nemA//
MetR_neg	tdcF//hyi//
MetR_pos	fhuF//nupC//carB//ymjD//
MhpR_pos	trpR//rtcB//efeU_2//yjbF//fucR//flgM//
Mlc_neg	patD//iraP//soxS//tsx//ulaB//potH//feaR//mhpA//lolA//murR//
MlrA_pos	appB//csgF//dcuR//metE//ydfH//wzyE//dctA//yfdV//gadX//fhuD//
MngR_neg	fdnG//wecB//carB//
MntR_neg	dhaK//ymjC//ydeM//ykiA//
MntR_pos	nemR//
ModE_neg	mpl//purH//hyi//hydN//leuO//yqjI//yqhG//rbsA//fliH//dgcC//rstA//yeiB//ihfA//moaA//yebG//
ModE_pos	ygbA//rimP//mgtL//lrhA//crp//cheW//napH//tauC//phoR//sdhA//hycA//ribA//lpxC//glcD//dcuD//modC//ptrA//tdcB//cdaR//fepC//carA//phnN//soxS//ygaC//torC//allD//fabH//gltF//creA//yoaG//rplT//
MprA_neg	zraS//ulaD//yagK//ulaG//flu//arsC//
MqsA_neg	borD//fldA//cysD//yqaE//hns//ttdB//phnO//ung//
MraZ_neg	ftsI//nfuA//tam//lacA//chbR//higA//malQ//phnN//ibaG//torD//uof//gyrA//bamE//nrfG//glcB//fliM//glxK//
