#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	appC//dhaR//
AcrR_neg	wecC//lpxC//nac//recN//rpmA//kdpB//malE//dnaN//gfcA//psiE//nanE//
Ada_neg	cydC//baeS//
Ada_pos	mglC//relB//phnH//pfkA//
AdiY_pos	ydcS//bdcA//rseB//pykF//argO//acnA//metJ//nadB//
AgaR_neg	infC//cynX//mhpE//hybO//zntA//yidQ//caiT//galK//fruB//ydeM//nrfD//
AidB_neg	casD//
AlaS_neg	metF//
AllR_neg	rbsD//mazF//oppF//ydfD//hybA//ttdA//acrA//ykgO//murR//
AllS_pos	phnK//hyfJ//fhlA//
AlsR_neg	ptsI//dinD//manZ//marB//phnE_2//nrfA//
AppY_pos	mhpA//sgrS//phoA//appY//yafN//napH//lsrD//araD//ssb//edd//
AraC_neg	mhpF//ynbD//rimP//hycF//rfe//prpC//ynfH//tsgA//
AraC_pos	hycI//hycC//yegH//ydhT//mhpB//tnaC//casA//entF//yjjZ//phoQ//
ArgP_neg	aspA//
ArgP_pos	qseB//gpmM//rhaD//metI//pflB//recX//cheW//artM//glcE//gutQ//pspG//ulaE//ygeA//
ArgR_neg	ecnB//nimT//rybB//trpR//aceK//recC//agaC//dctA//gutM//napH//hycD//phnD//yibQ//agaV//ybaT//accD//hdeD//fliS//bioF//sgbE//ybdZ//inaA//ptsG//yciW//malM//patD//nrdI//flgC//allS//cysA//agaD//motA//fiu//
ArgR_pos	yrbL//paaB//gcvH//bdm//hybC//
ArsR_neg	napF//lysC//pitB//
AscG_neg	fecC//murF//fucK//dctA//iraM//
AsnC_neg	yeaR//nuoB//prs//
AsnC_pos	fepA//
AtoC_pos	glnH//paaH//ygeH//purC//
BaeR_pos	ttdA//omrB//ruvA//pheS//ftsQ//metB//ydhY//citE//
BasR_neg	uvrC//ychF//
BasR_pos	nimT//fliD//slt//fpr//borD//hdeA//tehB//caiF//gudD//appC//leuD//
BetI_neg	rhaS//cadB//iscU//yeaH//
BirA_neg	hisM//murE//moeB//phnF//mlc//
BluR_neg	murI//ydhV//yeaH//nrfD//
BolA_neg	fhuD//fecC//
BolA_pos	nagA//nmpC//
CadC_pos	allB//trpR//gltL//
CaiF_pos	gltF//ulaF//nrfC//ddpB//deoA//ynfH//wzzE//amn//speA//gspL//
Cbl_pos	cydC//rprA//metA//ssuD//rbsB//accB//ddlB//talA//nrfG//
CdaR_pos	fepB//mgtA//ompT//sufS//ppdB//intQ//kdpA//nuoK//ygbK//cyaR//
