#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	dinF//artQ//
AcrR_neg	gadC//oxyS//araH//nfsA//yhjA//ampC//fliS//wecE//yeaR//tnaC//yccT//
Ada_neg	rtcA//sdhD//
Ada_pos	waaH//rffM//seqA//phoE//
AdiY_pos	glpQ//gspL//gspO//fliF//wecC//glnP//puuC//tyrP//
AgaR_neg	ynfG//fabI//gadY//narH//moaE//purF//mdtB//thiQ//galE//exuT//relE//
AidB_neg	fadE//
AlaS_neg	mioC//
AllR_neg	hyfD//iraM//araD//flu//hycI//puuC//ygiA//ygbK//yeaD//
AllS_pos	puuE//tdcC//iscU//
AlsR_neg	manZ//dpiB//tehB//fdhF//fadR//caiD//
AppY_pos	glgX//galS//ppiD//hyi//gltJ//tauD//pgpC//marR//metH//asnA//
AraC_neg	dctA//entC//chbB//phnC//qseC//yeaR//yafN//trpD//
AraC_pos	fadE//fliI//fabA//moaD//fumB//prs//uxaA//pgm//flgG//gatD//
ArgP_neg	yccA//
ArgP_pos	fruB//mgrR//treB//feoB//tisB//pagP//appX//waaY//yjhB//garR//agaB//iclR//csgA//
ArgR_neg	purE//ycjF//hycC//yiiS//hyfF//fhuE//creC//lpd//yiaN//trpR//efeU_2//tnaC//uxaC//rffC//oppB//glnB//phoP//metL//wzxE//dacC//sufA//uvrA//yhbT//cdaR//ttdA//oppC//ftsL//acrR//gatA//aspA//ompC//sroC//rcnA//
ArgR_pos	nuoG//lysP//hyaC//leuA//polA//
ArsR_neg	csgG//rutC//grxD//
AscG_neg	tdcE//fadJ//acnA//ydhT//rclC//
AsnC_neg	cvpA//agaS//yhiM//
AsnC_pos	ycjG//
AtoC_pos	psd//hypF//sutR//yeaE//
BaeR_pos	hyfR//narG//metE//glnK//glxK//lpd//glpC//nuoE//
BasR_neg	exuT//ynfH//
BasR_pos	hypC//ydbD//pgaA//sgrR//entD//epd//dmsB//nrdI//codB//mdtD//hdeB//
BetI_neg	pgaD//cpxQ//paaI//nmpC//
BirA_neg	bolA//xylB//cusC//sucC//gatD//
BluR_neg	yhjX//tnaC//wzzE//ybjC//
BolA_neg	pyrD//artP//
BolA_pos	pqiA//flgH//
CadC_pos	rffG//nirD//xylF//
CaiF_pos	entC//ybhR//purA//exbB//paaB//sbcD//ybjG//gor//fepG//sdhB//
Cbl_pos	glgA//ydfH//puuR//yoaG//lpxC//mhpA//purA//ykgM//dinD//
CdaR_pos	atoD//glpA//iscU//gspE//modA//hycE//paaX//ydeI//phoB//hokE//
CecR_neg	malI//ybhG//gatB//efeU_2//dcuD//
ChbR_neg	gabP//cynR//melA//deoC//gabP//mazG//
ChbR_pos	copA//ychF//paaG//aldA//ada//csgF//
ComR_neg	nupG//
CpxR_neg	cyoC//rcsA//purL//lysP//cusS//truB//csgF//ynfG//fadR//ydeM//nuoF//sucD//uidA//mngR//pykF//flu//glnD//araH//puuP//add//betB//acnB//ppiA//ygeH//
CpxR_pos	fldB//rseC//cadA//glpQ//nrdD//metN//dcuR//idnT//ydcV//astE//baeR//ybhL//flgG//yccA//appC//uvrY//rtcA//ogt//hypC//ydhV//glmS//micF//hyfR//napB//lon//tauA//csgF//phoB//uidB//dsdX//ydiV//flgN//hycD//tcyP//phnF//arsB//asnA//uof//ecpR//sucD//lexA//xylB//ykgO//ydfW//puuA//csgG//
Cra_neg	malM//nrdD//adhE//mioC//creC//zntA//udp//aroF//cyoD//cspD//mglA//yebE//hypF//yjbF//appA//argB//ybaS//phnN//ykgO//recA//truB//ebgA//yeaE//lpd//argC//flhC//accD//gltL//fiu//pstC//fldB//dmsB//patD//entH//nrdB//hybG//ompN//hyfR//sodB//metN//rpsU//malP//citC//ycjX//trpC//gadE//malE//yhbT//wzb//yhdZ//purR//fixX//xylA//agaV//hisM//thiP//phoE//pepD//cysD//
Cra_pos	skp//qseB//narJ//codB//mazF//narI//ubiC//fadD//ccmF//hyfH//fhuC//csgB//fecE//phnE_1//adiC//narJ//flhA//adhE//csgF//garK//agaC//rutA//yhdZ//
CreB_neg	rtcA//hyaA//tdcF//
CreB_pos	ccmA//gapA//
CsgD_neg	znuC//yneM//yeaD//yecT//ddpF//entC//tauB//malK//aspA//kbaZ//pstC//ydeO//pspF//tktB//hdeA//
CsgD_pos	pnuC//phnP//recC//tonB//adiA//rpoD//mgtL//yjbG//gspJ//sucB//efeU_1//mazG//tdcA//
CsiR_neg	tbpA//flgJ//glnQ//dcuS//uspE//
CspA_pos	fruA//gadY//
CueR_neg	speA//rffG//flgA//gfcA//omrB//
CueR_pos	crr//glgX//
CusR_pos	grxD//lysR//tauB//moaE//moaC//ybjC//wecC//hycB//fabB//narL//ycjG//bglB//
CynR_neg	fliR//
CynR_pos	norR//udp//frdC//
CysB_neg	marA//hycI//cas2//dsdA//ybjN//dinG//nemR//
CysB_pos	feoA//creB//iscA//iscR//mscM//bluF//sodB//nirB//rbsD//gatD//aspA//ymgC//pspA//recC//dacC//ccmD//malS//infC//gltF//phnJ//leuC//cysM//bdcA//rpsO//evgS//
CytR_neg	hslJ//srlR//hyaA//deoC//tisB//hyfH//emrY//rhaD//caiC//ydiV//cusR//gspH//uxaC//
Dan_pos	rstA//yfdX//rtcA//fepG//
DcuR_pos	fadJ//caiA//oppA//srlR//cirA//srlD//bolA//ompN//xapA//
DeoR_neg	yiaJ//adhE//hycF//tsgA//htpG//rhaA//
DhaR_neg	marR//
DhaR_pos	idnT//atoE//malQ//
DicA_neg	araB//hybD//astD//umpH//yjbH//omrB//hycF//citX//
DinJ-YafQ_neg	wzyE//artI//ahpF//
DnaA_neg	ruvB//acrR//yhjA//fliS//yeaH//galT//murC//phnE_1//dnaN//uhpT//lldR//
DnaA_pos	rffC//lamB//fecC//fepB//poxB//tonB//ompF//
DpiA_neg	cydC//
DpiA_pos	torA//dkgA//nirB//folA//rhaT//rutC//glmY//trpR//ulaD//galR//
DsdC_neg	dinB//
DsdC_pos	recX//pgaB//
EbgR_neg	casE//gabD//
EnvR_neg	recF//purC//
EnvY_pos	nhaA//iscU//
EvgA_pos	sdhC//malM//mdtC//nrfD//ydeO//ugpA//galT//acnB//speA//nrdD//pheS//yeaG//ycjG//znuB//leuC//caiE//argP//emrB//ascB//
ExuR_neg	sucD//hisP//alsA//oppD//galS//ygdB//hcaE//mglC//paaA//
FabR_neg	rob//relB//
FadR_neg	micF//fadI//trpE//srlB//glmS//metE//pgaD//yoeB//rpiB//pagP//murD//
FadR_pos	hcaC//yccJ//entC//tsgA//ybhF//potH//caiB//skp//ynfK//torA//dinI//gpmA//
FeaR_pos	flgL//idnT//
FhlA_pos	treR//phnL//ssuD//add//csiD//deoA//artJ//dapB//fliZ//dinJ//ycjF//phoQ//cpxA//ftsW//astB//yqjI//tpiA//sodB//casE//ugpB//glgX//fliP//galR//atoA//cusR//yhhY//sdhA//fliQ//infC//agaR//
FlhDC_neg	mdtE//yhbE//ttdT//mngR//
FlhDC_pos	fadH//lon//glnA//ascB//metE//ugpQ//casD//fadJ//xylR//lldR//nac//metF//phnF//mlrA//hemL//galK//infB//yecT//hyfI//hyfD//ytfE//prs//cadB//yfiB//purD//galS//guaA//yjbH//glcA//hemL//deoA//argH//yaiW//idnD//fliL//psiE//rbsK//xylR//fliM//agaD//appA//glmY//fliK//pdhR//hyaC//ybhG//ykgM//sodB//nimT//osmY//fbaB//sucB//adhE//ruvA//yhdY//gadF//argE//pheM//glcF//arsC//serA//fimE//acrA//melA//xapA//hemL//araD//caiB//setA//csrC//inaA//ydhV//flgB//cysH//higA//yebG//yiaJ//tpiA//
FliZ_neg	thrS//acrZ//yccJ//ddpF//rhaD//btuB//alaS//manX//epd//gcvA//ydeN//rutB//rhaR//acnB//tdcA//potF//pspE//mlc//fepE//uvrC//rstA//
FucR_pos	nagE//katE//ygiB//oppC//artM//yaiW//metB//
