#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	paaK//entF//
AcrR_neg	sucD//dcuB//paaF//appX//mgtL//seqA//mtlD//murC//ihfA//cysM//cynR//
Ada_neg	ybhG//dnaG//
Ada_pos	trpD//nrdG//fdnG//exuR//
AdiY_pos	nikD//infC//nupC//slp//gabP//dps//frdC//phoE//
AgaR_neg	agaR//ybfN//fadE//dgcC//sgrR//cysJ//gltD//grxA//gcvT//napC//fucP//
AidB_neg	ydhU//
AlaS_neg	aroL//
AllR_neg	iraP//cusA//alkA//psiE//leuA//gudD//modA//malQ//mtlR//
AllS_pos	narL//gfcA//creD//
AlsR_neg	fucR//rhaS//galM//ptrA//hyfR//uidR//
AppY_pos	ahpF//hycD//paaX//trpR//fadJ//pfkA//cysK//tyrR//edd//rpiB//
AraC_neg	gntU//nimR//manX//malZ//hycB//asnA//araJ//mazE//
AraC_pos	casA//fhlA//ycdZ//mglA//wzb//gadF//acrB//argR//yqhG//sbcC//
ArgP_neg	betI//
ArgP_pos	uspE//phnL//mngR//narX//guaB//bluF//katE//mcbA//ttdB//rhaT//ssuE//tdcD//casD//
ArgR_neg	nrdA//gntT//ddpF//ydiV//fucK//sdhD//epd//ppc//acrA//entD//fepB//trpC//metR//safA//prpB//paaK//fucU//nuoF//rffM//araJ//chiP//seqA//argT//aidB//feoA//aceE//ygdB//yagK//hcaE//glnB//tdcF//ydfD//ndh//
ArgR_pos	astE//dinB//codB//nikE//rpoS//
ArsR_neg	agaR//rhaD//hypF//
AscG_neg	rhaD//fimE//ppdB//nuoF//edd//
AsnC_neg	spy//rcnA//emrY//
AsnC_pos	erpA//
AtoC_pos	rffC//fliP//cysJ//nrfC//
BaeR_pos	nrfA//dicC//zraS//rprA//tdcG//rdoA//ecnB//nemR//
BasR_neg	tauC//glcG//
