#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ydhY//dinD//
AcrR_neg	tbpA//treB//ogt//cysD//acrZ//cysK//allS//cysE//glgA//gntT//yqjI//
Ada_neg	ahpC//prpB//
Ada_pos	kdpA//hdeD//ynfE//gloA//
AdiY_pos	dctR//yhbE//atoB//slyB//fadB//oxyS//atoE//nrfE//
AgaR_neg	allD//fabB//xylH//hyfD//argD//moaD//melR//fadJ//fliD//yiaL//rbsK//
AidB_neg	wcaB//
AlaS_neg	rnpB//
AllR_neg	fadH//acrZ//ynfE//paaC//carA//osmC//exbB//flgE//murF//
AllS_pos	dsrA//stpA//napH//
AlsR_neg	paaH//paaX//gntP//fucA//rutC//murQ//
AppY_pos	fliL//nikR//moaD//acrR//gntK//tauC//umuD//entA//cas1//flgB//
AraC_neg	tauA//nrdH//agaB//uspD//deoB//ymgA//yhdY//hyaB//
AraC_pos	moaB//alaC//bglJ//ruvA//moaE//nagA//appB//chbR//gspO//yafO//
ArgP_neg	poxB//
ArgP_pos	flgF//cydB//nimR//cpxP//yiaO//acrA//argB//ubiA//motB//caiA//ssuE//citG//gadC//
ArgR_neg	caiD//creC//puuA//fabI//talA//acrZ//glnA//araH//rob//murE//cspD//fadA//grxA//idnO//yjjZ//folE//yhjA//micF//lsrK//nadB//pspE//nuoC//serA//tyrP//folE//purD//cydA//bglG//yhdX//lysO//murQ//galM//hcaC//
ArgR_pos	tcyP//ykiA//acrB//fadR//fucU//
ArsR_neg	fumC//ibaG//garK//
AscG_neg	mazF//cyoB//wecC//uvrC//hypD//
AsnC_neg	hybE//ascB//fhuF//
AsnC_pos	cysH//
AtoC_pos	ymjC//grxA//fdnG//hcaC//
BaeR_pos	entF//mhpD//rhaR//osmY//hycC//araB//cysN//fimE//
BasR_neg	ecpR//umuC//
BasR_pos	ruvA//casC//ybhR//ompF//hycG//mngA//cydB//gspL//sbcC//paaX//lsrK//
BetI_neg	nrdG//yjbF//yjhB//kdpC//
BirA_neg	cysN//csiD//argE//rfe//feoB//
BluR_neg	lsrD//citG//narJ//cadA//
BolA_neg	psiE//nfo//
BolA_pos	soxS//gspM//
CadC_pos	fhuA//gspC//ydbK//
CaiF_pos	fliG//idnK//sufA//baeR//glnD//gapA//cdd//tnaA//nikR//aspA//
Cbl_pos	moeA//sbmA//tfaQ//yjbE//narG//pdeH//torC//fecD//tdcE//
CdaR_pos	sufE//caiT//hycI//fadE//ilvC//yrbL//patA//gspC//argI//recC//
CecR_neg	baeR//entH//higB//nrdD//dsdC//
ChbR_neg	lpd//mnmG//ndh//fliJ//rybB//dsrA//
ChbR_pos	dps//tcyJ//garR//fldA//gudX//ftnB//
ComR_neg	ykiA//
CpxR_neg	fliO//cas2//nanS//nanS//pdeR//uvrC//sdhD//mglA//lysO//yqhD//dinD//marR//rutA//lrhA//ftsK//recF//kdpB//focB//purF//alaS//idnR//hyaC//potG//phnC//
CpxR_pos	fixA//treB//lsrD//wzb//sbcD//flgH//leuA//glnL//rpsU//fabI//rutR//rhaB//moaE//hyfE//sfsB//rutC//katG//gadX//prpB//aroH//glgX//fliT//tdcD//metB//aroG//cheA//sra//argH//rnlA//betA//garP//dnaA//fecD//tdcG//kbp//pgaD//mdtD//wzc//sgrT//sgrT//cytR//murI//sulA//sgbH//rcnR//artM//
Cra_neg	flgH//yhjA//deoD//iraM//dcuA//hybA//tomB//grxA//rprA//metR//grxA//xylG//prs//cusR//emrB//flgM//purD//kdpB//ompT//pgaC//ybjC//yhdW//ihfA//hyaA//mpl//sutR//appX//nrdD//araG//waaH//hybG//napG//pnuC//ybjG//moaD//alsB//gspF//frdC//pitB//gatA//metH//fliL//hyfA//cadB//yafO//paaC//artI//ybjG//gcl//ompF//nuoA//purF//hypF//dsbG//sodA//xapB//spy//pstB//yjbG//
Cra_pos	pfkA//rpoE//ccmH//pgpC//mraY//acrZ//nuoL//tdcA//flgH//tam//gltK//gltD//gspL//puuP//caiT//ydhW//ompF//citG//mazE//pdhR//dpiA//fdnH//fabA//
CreB_neg	relA//sra//norR//
CreB_pos	pgaB//ykgM//
CsgD_neg	glmY//mazF//stpA//rpoS//fbaA//nfuA//dinF//mdtB//moaA//alsE//mdtD//rpoS//argG//norV//nuoH//
CsgD_pos	nirD//ssuC//ascB//uxaC//sufA//lpxA//pspE//dinG//fadB//napG//garK//mqsA//ynfH//
