#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	uof//psd//
AcrR_neg	uidR//appA//asnA//cysU//yqjA//uxuA//hybB//thiP//mdtE//bhsA//citG//
Ada_neg	tdcB//fliP//
Ada_pos	dnaG//iclR//murG//idnK//
AdiY_pos	puuP//guaB//ugpC//paaD//alaS//yfbR//fdhF//cysD//
AgaR_neg	ftsI//hemL//dtpA//ftsA//csiD//glxK//wzzE//lsrG//ihfA//csgB//pck//
AidB_neg	glpK//
AlaS_neg	dapD//
AllR_neg	agaS//uidR//aspA//dhaM//hipA//dtpA//rpmI//nuoE//prpE//
AllS_pos	dcuR//cydD//ecnB//
AlsR_neg	hokD//soxR//sodB//kbaY//ubiX//tehB//
AppY_pos	hybG//znuB//ddpF//metN//hybB//pspC//tauD//fliI//fdnI//hcaR//
AraC_neg	murC//murF//lpd//entS//appB//lon//paaX//gspD//
AraC_pos	uspA//fabA//narI//pheT//eno//agaS//manY//nfsA//glnH//tonB//
ArgP_neg	nrdD//
ArgP_pos	gpmA//ppsA//dinB//yiaJ//pspC//qseC//cynR//cpxR//pstS//sutR//wzb//malE//ycgR//
ArgR_neg	nlpA//artI//flgJ//agaV//bamE//astD//xylH//dacC//lsrG//gspF//wecB//aslB//ydeN//yefM//lrhA//cpxR//ycgZ//alsA//gltL//malG//mpaA//cpxP//galR//lysP//sgrS//codA//yqjH//tfaQ//ybjN//pdhR//purN//fnr//ydcT//
ArgR_pos	cysA//ycgZ//malG//nikA//metN//
ArsR_neg	lpxC//zraS//hisM//
AscG_neg	metF//araG//cpxR//flgD//entB//
AsnC_neg	dctA//mdtF//ruvB//
AsnC_pos	agaW//
AtoC_pos	oxc//glgA//nuoC//cadA//
BaeR_pos	nuoG//pagP//leuO//yecR//puuR//phnL//rhaA//dnaG//
BasR_neg	pgk//nuoL//
BasR_pos	oxyS//asnB//wzyE//cas2//ydiU//paaZ//tnaA//rtcA//flgI//hemH//ynfK//
BetI_neg	acrD//creA//ecpR//rutR//
BirA_neg	gpmM//trxC//metH//purB//nanA//
BluR_neg	norR//paaB//nuoN//deoC//
BolA_neg	sulA//tfaQ//
BolA_pos	yneM//hypD//
CadC_pos	fadJ//dnaA//fecR//
CaiF_pos	pnp//gcl//rutD//nrfG//yaiW//chbG//agaS//paaE//yeiB//rcsA//
Cbl_pos	ulaF//rstB//flgH//caiF//dapB//grxA//dsbG//relB//hisM//
CdaR_pos	uhpT//tolC//evgA//gadA//yjbF//nohA//cyoC//ddlB//adiA//chbF//
CecR_neg	tdcG//dnaA//mprA//allD//galR//
ChbR_neg	grxA//garL//yoaG//psiF//dinF//hyfA//
ChbR_pos	bdm//ldtB//fliT//lsrA//hycC//gadW//
ComR_neg	cspD//
CpxR_neg	acrA//ulaF//phnC//pqiB//uxaC//cynT//hyfJ//tdcG//mcbA//nac//atoB//murI//glcC//ydeP//ytfE//yhjA//purH//idnK//hha//rimK//symE//uxuA//kdpB//cpxA//
CpxR_pos	rutG//csgF//purR//fruA//grxA//kbaZ//nrdA//mcbA//uxuB//degP//ccmB//lpd//argO//yidQ//mgtL//gutM//ugpE//sdhB//yiaJ//chbF//gpmA//hcr//yeaH//nanE//mdh//cvpA//flgD//puuD//cysH//flgI//metI//rbsD//rhaD//dinF//lysR//fumB//nuoN//ulaG//caiB//gloA//pdeH//mngB//hyfH//araB//adiA//gltF//
