#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	argH//aslB//
AcrR_neg	evgA//metF//rprA//lpxD//nagC//murR//wecB//uidA//cvpA//ddpA//ydfX//
Ada_neg	fliT//mqsR//
Ada_pos	torA//fbaA//ygiZ//marA//
AdiY_pos	tdcD//gyrA//sufB//mazG//yhhY//mdh//gatC//rutB//
AgaR_neg	leuO//glnD//fixB//purC//ybiT//hmp//alsE//ymjD//cyoE//tauB//ybdN//
AidB_neg	lldR//
AlaS_neg	araF//
AllR_neg	pgi//yrbL//tonB//uvrB//tyrA//trpA//rffM//ydcU//nadA//
AllS_pos	isrC//mntS//carB//
AlsR_neg	katE//yfiR//phoP//sutR//dtpA//truB//
AppY_pos	psd//pheT//oxyS//ybhF//rclC//nagE//ftnB//crp//napH//cysJ//
AraC_neg	nimR//aceA//lrp//pykF//glcG//gutQ//argF//hypA//
AraC_pos	cytR//trpB//glk//entA//malY//yqaE//fhuE//cdaR//nuoN//evgS//
ArgP_neg	hcaD//
ArgP_pos	fixB//cspD//bglF//pgaC//metN//gntP//gntX//appC//soxR//hyfI//cadC//ung//yhjA//
ArgR_neg	tauD//acnA//rclC//fepG//ymgC//purN//ftsA//dinG//glpB//yecT//recN//ebgA//ryhB//fnr//glmS//yfiB//fes//mprA//fucO//tam//glpD//pdeH//nanT//focB//malF//feoB//srlA//fecB//ldtC//glcA//chbC//leuB//dmsA//
ArgR_pos	artQ//rybA//metN//nrfA//allE//
ArsR_neg	ygbK//gadF//kbp//
AscG_neg	cpxA//fabD//hycA//yhbS//nirC//
AsnC_neg	fliQ//dcuD//norW//
AsnC_pos	argI//
AtoC_pos	gatA//flhB//codB//sufS//
BaeR_pos	oppA//csgG//nikD//xylB//cysI//nrdD//melB//gudP//
BasR_neg	yoeB//aroG//
BasR_pos	hyfA//bolA//hybO//cysP//srlE//talA//paaJ//gudX//tynA//yjjZ//nimT//
BetI_neg	acrZ//nemA//zinT//glcB//
BirA_neg	gatZ//ssuE//xapB//dinB//glcD//
BluR_neg	xylG//napC//yciX//gadC//
BolA_neg	dcuS//mraZ//
BolA_pos	gspJ//ddpD//
CadC_pos	patD//uxuB//yccA//
CaiF_pos	ynfH//ydjM//mgtL//csgB//lsrK//puuE//flgG//wzc//allS//pgaC//
Cbl_pos	alsE//puuR//cysE//hyfJ//gabT//puuD//allS//sdhA//ung//
CdaR_pos	yeiB//uspE//pgaA//kdpF//cheW//lldR//ssuA//sufC//purE//rffC//
CecR_neg	pyrD//yhiD//ttdB//tdcF//deoB//
ChbR_neg	agaA//yeaE//nupC//sbmC//yafP//paaE//
ChbR_pos	yoeB//caiE//osmY//csiD//gspE//aspC//
ComR_neg	phnG//
CpxR_neg	ndh//lpxA//nusA//gntP//cyoD//ymjD//rutC//flgI//metQ//xapB//ymiA//nanM//paaY//ynjI//gcvA//yiaK//tyrB//dinF//manY//narL//nrfC//appB//mdh//hycC//
CpxR_pos	lpd//bolA//ycjX//csgD//phnE_1//caiC//mdtB//ftsL//tadA//yebE//ccmG//purE//osmC//exuT//yjbF//dmsD//cdd//fadE//yciF//mntS//yqjH//aceB//sgbU//cysE//atoE//wzyE//nupG//deoD//yfdV//ynfF//acrD//fadD//flhB//ygbK//yhdX//dsdX//galM//phnC//hybC//arsC//ibaG//recC//hycH//hypE//wrbA//ydiV//
Cra_neg	torR//rfe//lexA//udp//mipA//mgrR//dmsB//tyrA//cynR//ycdZ//deoC//oppF//pgm//acrD//entF//potG//cydB//gntK//chiP//metK//cirA//fucO//agaW//aspC//galP//amtB//sodA//gcl//mqsR//ymjD//mgtA//tisB//torR//hypA//garK//amtB//tsx//xylA//copA//carA//fecI//gltK//glgC//glcC//mngB//uvrY//bamE//torC//btuB//ilvC//lexA//nanK//phnK//dsdA//glxR//argA//yccT//tomB//modC//
Cra_pos	aceE//mhpF//dnaN//gntU//ftsZ//xylF//araB//crp//yccT//deoC//atoB//cysU//fes//pnuC//treC//carB//ulaG//glnB//cysM//ybdN//rpmA//ppdC//allD//
CreB_neg	araD//rbsA//flgA//
CreB_pos	mntH//pspF//
CsgD_neg	emrA//hha//emrB//ygbA//emrB//fliO//ecpR//leuB//rnlA//dinI//iclR//purE//fucU//rbfA//gadE//
CsgD_pos	fliC//mhpB//fliO//yaiA//cydD//murP//dpiA//flgD//ychF//lamB//ycjX//iscU//cysH//
CsiR_neg	higB//citD//allA//gntK//gcvH//
CspA_pos	cynT//hyfG//
CueR_neg	murR//mngA//metE//lsrC//mraZ//
CueR_pos	idnD//appA//
CusR_pos	lrp//soxR//agaR//uxaA//araG//pstS//metQ//rimK//yoeB//allA//tdcD//ssuB//
CynR_neg	allS//
CynR_pos	csgC//tehA//fliS//
CysB_neg	arsC//flgL//yqhD//ydeP//cadA//artP//tisB//
CysB_pos	glmY//gyrA//infC//flhA//wzzE//bioB//ompW//cheW//yafQ//nhaA//relE//malY//yoaC//manZ//glpA//yoaG//gspM//agaW//nhaA//ecpA//fliK//nrdD//deoD//ugpE//fixX//
CytR_neg	gor//uvrC//phnF//yegH//skp//hyaE//yhhY//ymjC//rclA//manY//ddpD//cbl//fadH//
Dan_pos	fabZ//sufE//ybjC//norW//
DcuR_pos	marB//ybbY//yccA//gatB//uvrA//moaB//ugpB//ydhY//uvrC//
DeoR_neg	atoE//hyaC//acrA//ydfN//hslJ//hisM//
DhaR_neg	dinQ//
DhaR_pos	ddlB//gyrA//napA//
DicA_neg	flhB//ygbA//decR//fldB//cysK//relA//glcA//nfsB//
DinJ-YafQ_neg	pgaA//chbB//higB//
DnaA_neg	rtcA//yjhC//folA//fliJ//glnH//fliE//yiaK//metA//fucU//ihfA//mgrR//
DnaA_pos	ompT//moaB//paaF//narJ//pepA//motA//purD//
DpiA_neg	ddlB//
DpiA_pos	yfiR//fadI//appX//purN//glnQ//ccmG//kdpB//trpR//xylR//wzc//
DsdC_neg	hyaB//
DsdC_pos	dsdC//torR//
EbgR_neg	dkgA//gadC//
EnvR_neg	intQ//argA//
EnvY_pos	cas2//yccJ//
EvgA_pos	ung//mlrA//serA//frdA//nanC//ykgO//nrfE//hns//cirA//phnP//allA//yafP//araB//norV//sgbU//phnC//feoA//cyoE//gutM//
ExuR_neg	rhaA//aldA//fucU//galT//bglF//ulaC//paaY//ilvY//amtB//
FabR_neg	efeU_2//ydeM//
FadR_neg	ppiD//gudP//ahpC//hdeA//cyoB//flgJ//fabA//tyrR//ydeN//gudD//pqiB//
FadR_pos	malG//ycdZ//nagB//nimT//gcl//yiaJ//allA//ykiA//pdhR//ygiZ//tauD//patA//
FeaR_pos	yhdW//ynbC//
FhlA_pos	wecB//glcG//lhgO//rhaA//phnL//fabI//mdtF//adhE//rpmI//yidQ//yibQ//dcuR//ccmE//rcnR//frdD//gspO//hyaF//edd//caiE//fhuF//casC//yiaM//rstB//yjjQ//nuoL//moaB//rob//glnG//fadD//bglB//
FlhDC_neg	ssuB//gspL//srlB//hipA//
FlhDC_pos	hdeB//narX//ptrA//purB//ugpB//flhD//yccT//tam//infB//agaB//rpoH//yhhY//fabI//yqhD//csrC//yiaL//ydfH//molR_1//cadC//zinT//gspH//cynT//paaF//modC//puuP//rstA//skp//pstB//ynfH//sucA//chbG//waaY//araB//grcA//oxyR//mraZ//pspD//ppdA//yqjI//ygbK//cadC//nanS//infB//lolA//paaI//rtcB//ftsZ//bioF//dgcC//paaX//nanM//pgm//tomB//symE//casE//fumB//cheW//nadB//hemL//fdnG//fixX//glpF//astE//trpL//gfcA//fliZ//alaS//citX//hipB//flgB//allB//hyfF//fliA//fliZ//cpxQ//deoD//pspB//flgM//
FliZ_neg	nrdF//mglB//uvrA//alaC//ddlB//sroD//paaG//purE//nuoB//phnM//cspE//chbA//pqiB//mioC//napF//accD//gcl//oppB//pgk//artJ//rprA//
FucR_pos	pqiA//prs//sfsB//rpiR//nagE//rpsU//malE//
Fur_neg	dmsC//uxaA//qseC//yhhY//acrD//leuC//phnJ//cydA//yafP//omrB//ycjX//phoA//idnR//yjhC//cynR//yjiY//cra//gatC//betA//gspM//gnd//nanM//puuC//nfuA//pgpC//fliE//purL//tonB//torA//fumB//metE//malE//rpiR//gatY//wecE//hemL//hyfF//sbmA//rpoH//pdeH//puuB//metN//cas1//flgC//fadH//cynX//pdeL//dkgB//ydcT//accD//yafP//lpxD//bioF//araH//phnD//ssuA//gatC//cusS//flhE//murF//cusS//deoD//appC//alkB//fdhF//wecE//slp//yecR//psiF//gntP//fdnG//paaF//hyfG//chbA//nhaA//argG//ascB//citF//prs//ddpB//paaX//entB//sdhD//treC//treR//wcaB//rcsA//fabZ//appC//nanE//sroD//glpQ//gltF//rutR//uspA//phnH//lsrR//dsdA//gloA//nrdE//gntT//yidQ//higB//udp//ldtC//argH//pfkA//gcvA//phnE_1//purR//ttdR//sucC//cusB//ydhT//qseB//
Fur_pos	potI//ydfN//sbcD//sdhA//phnO//truB//wzb//ugpC//pgk//xylB//aidB//ulaC//ynbD//guaA//ulaG//ssuE//yeaG//ptsH//sodB//phoB//hdeB//
GadE-RcsB_pos	ykiA//pykF//chbR//hyi//nrdE//galE//gadY//edd//insD//
GadE_pos	yidQ//rbfA//ribA//ddpD//ynbB//alkA//glcE//paaK//gcvA//cas2//ydfH//metI//mdtE//motB//nadA//moaC//yebG//gatD//hyaB//hcaB//slp//tauA//dacC//flgK//phoE//melR//potF//sucD//ttdR//
GadW_neg	srlR//mipA//yjeV//pflB//chiP//tdcE//psd//flgN//fecR//dmsC//nanA//
GadW_pos	yhdX//agaD//qseB//araG//ccmE//puuC//hokD//ygeH//cusF//ogt//fliF//
GadX_neg	umuC//soxR//yqjH//ddlB//malY//cysD//
GadX_pos	pqiB//yeiB//infB//yafP//rnlB//rnpB//ydfN//ftsW//ldtB//puuA//ulaG//yhjA//cysJ//gatY//hyaF//chbC//dinF//stpA//bluF//fdnG//cueO//gatD//sgbH//ascB//recD//ccmA//slyB//
GalR_neg	pgaD//hybG//dicB//gspH//cusS//metF//cdd//cheA//murF//nikB//
GalR_pos	csgA//mqsA//gntU//oxc//
GalS_neg	ftnB//hyfA//purB//osmC//yhdX//aldA//ttdT//cydD//cyoC//oppA//
GalS_pos	ecpR//nanE//paaF//ebgC//
GatR_neg	ompF//dcuR//aceF//lrhA//puuC//ompN//
GcvA_neg	oppD//fhuA//cyoC//dicB//
GcvA_pos	ycjF//mglA//glnH//fabD//
GlcC_neg	xylH//
GlcC_pos	metB//yccT//fliH//sufC//katE//malF//
GlpR_neg	purM//ppc//glxR//ydeO//aceK//ahpC//lon//manZ//leuA//
GlrR_pos	hslJ//paaE//phnC//decR//malP//
GntR_neg	casA//luxS//udp//yhjA//agaD//pgaA//ftsI//mntH//ccmG//glpC//pepA//folE//
GutM_pos	ydcS//entA//gcvT//cysI//mtlA//flhC//ugpE//
GutR_neg	chbC//iscR//nagE//paaX//osmB//yqhD//rplU//
HU_neg	artI//lysA//flu//gspL//yeiL//nrfF//phnE_2//rutE//
