#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	wecC//hybD//
AcrR_neg	yciW//serA//sfsB//ccmF//gadC//thiP//tehB//rpmA//fimB//treR//hybO//
Ada_neg	glnB//baeR//
Ada_pos	hyfA//fpr//purM//fdnG//
AdiY_pos	nrfG//nemR//phnM//ybhF//nuoL//torA//deoC//yedX//
AgaR_neg	aroF//entE//atoE//cysH//rclC//sucA//ydfD//dsbC//yqjH//hemH//ppdB//
AidB_neg	hcaB//
AlaS_neg	trpC//
AllR_neg	fadI//nanK//ascB//fpr//accB//ydcV//glcC//gadX//dcuD//
AllS_pos	fliP//ibaG//flgD//
AlsR_neg	cusB//nusA//atoA//fdnH//gadA//flgB//
AppY_pos	nanC//rybA//cpxR//gudP//yiaN//dkgB//cas2//csgD//cysK//crp//
AraC_neg	phnJ//yjbG//dkgA//flgK//ubiX//murF//metQ//hyfA//
AraC_pos	sgbE//rbsA//araJ//gntU//purN//dsdA//yccT//rstA//lsrD//phnP//
ArgP_neg	cydB//
ArgP_pos	dmsB//hns//moeA//fliS//fiu//yfdV//mazF//purC//ubiC//uidA//ydfD//ahpC//glnG//
ArgR_neg	treB//fabA//insK//nuoG//rpsO//tyrA//yedX//fliR//nikD//puuR//glpB//znuA//ilvC//yjeV//malT//folE//alaS//seqA//mnmG//hisP//argT//ugpC//tcyJ//flgH//ttdB//gspI//rimK//ybbY//ybiT//rimP//lrp//metF//uhpT//
ArgR_pos	soxS//dsbC//hcaC//atoB//atoE//
ArsR_neg	hypA//aroP//nikR//
AscG_neg	recN//yjjZ//nuoA//cynS//norV//
AsnC_neg	atoB//yhjA//torA//
AsnC_pos	yafQ//
AtoC_pos	pdeR//alkB//borD//phnO//
BaeR_pos	cydB//mtlR//argE//sulA//hyaE//hybB//nirB//narG//
BasR_neg	ygiB//puuR//
BasR_pos	gspD//wecB//tadA//erpA//putP//yhdW//idnR//ilvY//zraP//cadB//hypB//
BetI_neg	ybbY//dpiA//ccmA//flgA//
BirA_neg	safA//argR//citX//deoA//yqaE//
BluR_neg	paaH//rbsC//ssrS//ibaG//
BolA_neg	ptsI//tktB//
BolA_pos	rpiB//nupG//
CadC_pos	pspD//glgA//aroF//
CaiF_pos	rseC//exuT//yccA//acrB//fadD//sodB//katG//phoB//betT//fliR//
Cbl_pos	sufA//yeaE//iscA//hcaB//carA//fliF//rffM//rffT//iscU//
CdaR_pos	fimE//yjbE//ompW//dapB//hyfE//sra//glmU//bglB//arsC//tonB//
CecR_neg	ycjF//nuoE//fliI//flhC//ydhX//
ChbR_neg	glnL//feoB//frdA//arsR//glpF//recX//
ChbR_pos	ycjF//tolC//yegH//flgG//relA//hisM//
ComR_neg	gloA//
CpxR_neg	hyaC//cecR//napF//cysH//soxS//ynfH//hybE//hycD//ascB//nrdF//envC//artI//aslB//idnT//nmpC//murR//kdpB//fruB//yqjA//casD//cra//paaK//prs//yegH//
CpxR_pos	narG//ydeP//csgG//ydhV//fadJ//rhaS//dinB//srlB//glnK//cynT//metK//ygaC//yeaD//patA//alsA//zwf//hemL//fliA//bioF//ariR//fabA//ptrA//mglB//ynbB//alkB//rffG//bluF//iraP//psiE//dps//yhdX//fbaA//yaiA//rseA//glmY//oppF//fabZ//ecnB//bioC//phnD//sdhA//gadC//focB//chbA//tcyP//alaC//
Cra_neg	ydcU//acnB//nusA//frc//leuC//napF//codB//rpiB//ygaC//glnA//dinQ//bdm//omrB//acrA//pspC//tolC//araF//qseC//cadB//mglA//iscA//fliN//cydC//sgrT//rstB//fepE//phoR//ulaA//araB//deoA//nuoC//yjjZ//entE//ynfK//yhjX//phnM//fimB//frdA//yhbE//tauA//rpoD//argF//gadA//potI//aidB//gatB//fhuB//gspF//gadE//arsC//ppdA//uidA//ldtB//rpoE//nfo//ccmF//dgcZ//napF//ybjC//
