#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ftsK//sroC//
AcrR_neg	tcyJ//fldA//gpmA//setA//argT//hdeA//iclR//narI//araF//trpA//paaJ//
Ada_neg	alsC//fhlA//
Ada_pos	glcE//chbA//nfo//rutB//
AdiY_pos	araB//dmsB//skp//mntP//ssuB//paaE//kdpC//kbaY//
AgaR_neg	xylB//malI//lsrC//aroM//rnlB//serA//yccT//yegH//lacZ//hyaC//pstS//
AidB_neg	entF//
AlaS_neg	cheW//
AllR_neg	rclA//gatZ//grcA//paaX//ndh//metJ//leuA//nrdE//puuA//
AllS_pos	wcaB//galE//ymjC//
AlsR_neg	potG//dsbG//tcyP//uidR//glcA//uvrD//
AppY_pos	xylA//gspM//chbA//alsE//alsE//nrdB//mcbA//yqhG//glpF//aceB//
AraC_neg	ompC//gadW//phnP//entH//hypB//fabI//thiQ//speA//
AraC_pos	hflD//aspC//malP//sucD//phoA//lsrK//bglF//higA//nfo//purH//
ArgP_neg	entA//
ArgP_pos	alsC//rutA//glnD//rstA//efeU_2//ulaB//serA//lon//malK//fixB//lrhA//fliG//dsrA//
ArgR_neg	znuA//ydhT//glpT//murF//xylH//rcnR//recC//argR//ilvC//umpH//yfaE//gspD//gntP//gltI//glcC//ada//appX//hyaA//mprA//pnuC//bioD//cirA//fepC//flgA//idnT//dnaA//metB//yfiB//fepC//lsrG//srlR//serA//aldA//
ArgR_pos	slyB//gutM//recA//ptsI//exuT//
ArsR_neg	metF//norW//galK//
AscG_neg	sdhA//yegZ//aroG//tadA//dnaG//
AsnC_neg	poxB//tonB//aslB//
AsnC_pos	ynfE//
AtoC_pos	gdhA//fliO//cecR//pgk//
BaeR_pos	paaX//yfbR//gltF//potF//chbR//paaA//nrfA//pepD//
BasR_neg	araG//rcnA//
BasR_pos	cysN//uhpT//mntP//speA//higB//micF//rbsK//acrA//idnT//putP//sdhB//
BetI_neg	rclA//metI//ariR//gltK//
BirA_neg	tnaB//pstA//glgA//hyaB//potF//
BluR_neg	fpr//cysE//murR//tnaC//
BolA_neg	cysE//yafN//
BolA_pos	hisJ//metK//
CadC_pos	bglJ//kdpF//bglJ//
CaiF_pos	fruA//paaK//mgrR//exbD//hyfC//exbD//melA//mcbA//rpmA//mazF//
Cbl_pos	araH//ydhT//fadJ//hycI//atoD//arsC//puuP//marR//ddpA//
CdaR_pos	ybhR//gabD//umpH//crp//rtcB//csgC//fepE//rimP//rcnB//fhuB//
CecR_neg	glnP//nrfB//putP//moeA//murC//
ChbR_neg	dmsD//entB//flgK//ada//pheS//atoD//
ChbR_pos	yccA//amtB//hcaB//crp//metJ//rnlA//
ComR_neg	fepD//
CpxR_neg	bglJ//ynfE//acrZ//nanS//iscS//ccmE//higA//cusR//exuT//rcnB//ccmF//nikA//lldP//moaD//ydfD//fimB//ptsI//hisM//dmsD//omrA//phnH//fepC//yciG//hybA//
CpxR_pos	pagP//murG//araD//pstA//allD//murD//argR//sfsB//gltB//sutR//ddpC//epd//sufE//galT//dcuA//ppiA//argE//nagB//accD//ftsL//ruvB//zwf//treB//rarA//hemL//dsdA//phoE//ccmG//artQ//argP//ycdZ//ascB//aslB//yhdW//yciE//cysJ//pepA//gntT//caiT//aldA//xylH//yjjZ//gltJ//tdcB//glk//citG//
Cra_neg	uof//ydeP//ftsQ//astA//paaC//yjeV//tcyJ//pitB//phnL//thrS//cyoB//metJ//soxS//fiu//dhaM//nrdA//cysK//fruB//feaR//trpE//pspG//degP//exuT//argT//treC//casC//fepB//yhdW//hyaE//tdcG//mdtA//dmsA//hcaB//garP//nuoL//cysM//glgB//hycF//tyrP//lamB//hisJ//fadH//ppdA//ihfA//yoaG//ynfH//ynbA//puuR//oppA//ftsZ//nirD//fumB//lsrR//gabP//dpiA//entD//yjbF//pnuC//malM//
Cra_pos	csgF//rutA//ynjI//yeaE//sra//recC//dmsC//sgrT//epd//dmsC//xylR//argG//allE//hycD//hisQ//tfaQ//phoQ//gspO//sgrS//rutR//oppC//bdcA//hdeB//
CreB_neg	sgbH//yaiW//yciF//
CreB_pos	alsE//hyfD//
CsgD_neg	xapB//pdeH//murR//nrfB//purC//gor//nrfA//rfe//nrdB//glnH//deoC//uvrY//fhuF//metN//metQ//
CsgD_pos	bglB//hyfC//rutG//pyrC//phoU//mazG//agaS//citE//ompT//nrdE//umpH//metQ//fixX//
CsiR_neg	cpxA//yaiW//alsE//pdeL//entS//
CspA_pos	nrdD//uvrB//
CueR_neg	araF//rcnB//osmB//mhpA//dnaN//
CueR_pos	malX//yhhY//
CusR_pos	manY//mpaA//glpX//fdnH//nrfF//ttdR//hlyE//wecE//dmsD//lsrB//patD//artQ//
CynR_neg	xylA//
CynR_pos	argA//arsR//aspA//
CysB_neg	chbB//agaI//mtr//ubiA//tomB//ulaD//yaiA//
CysB_pos	ssuC//emrA//ubiX//dhaK//narL//gatB//ymiA//potG//pitB//yhbE//cusB//ccmA//gadE//allS//zwf//argC//moeA//rpiB//tyrB//fliH//cspD//flhA//phnG//fepD//deoA//
