#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	pepD//ttdR//
AcrR_neg	dacC//oxyR//caiD//ymjC//lysO//hipB//alkA//yjjZ//bioD//glcB//adhE//
Ada_neg	rclA//cytR//
Ada_pos	yccA//xylR//feoB//ccmB//
AdiY_pos	stpA//agaR//lhgO//ddlB//yfdX//rhaD//creA//waaH//
AgaR_neg	gapA//dcuA//tdcC//dcuD//yafO//phnE_1//uspD//ribA//hyfG//ugpC//acrZ//
AidB_neg	pagP//
AlaS_neg	cydA//
AllR_neg	nupG//nmpC//fecE//rffM//narH//flgE//yhjA//mgrB//glyA//
AllS_pos	nrdI//lldP//atoD//
AlsR_neg	citC//prpC//pgpC//paaD//glcB//folA//
AppY_pos	ompN//fliA//isrC//soxR//potF//gatB//nmpC//dpiA//ynfK//cysC//
AraC_neg	rpoE//nfsB//ldtD//sgrR//luxS//cpxA//dapB//bamE//
AraC_pos	dapB//relB//puuC//fliJ//wecB//garP//katG//yfaE//ugpB//rimP//
ArgP_neg	puuD//
ArgP_pos	acrR//ymiA//pqiA//zntA//yedX//fliG//kbp//lysR//phoB//narI//rpiR//recD//mgrB//
ArgR_neg	nfsB//malX//rpoH//nirC//norW//purH//sucD//tcyP//cspE//fabZ//nrfA//gabD//rplT//cueO//nupC//hdeA//glmS//dkgA//gabT//ppdA//yhhY//yoaG//argT//csiD//lysO//cydB//moaE//mhpF//rpoH//ahpF//bioC//galM//oppB//
ArgR_pos	thrS//tdcE//bolA//carA//ddpD//
ArsR_neg	bdm//fepE//moeB//
AscG_neg	mazE//mazF//yiaL//yjjZ//rclA//
AsnC_neg	nuoC//pspA//yqjI//
AsnC_pos	hcaE//
AtoC_pos	rclC//ptsH//fliP//yhiM//
BaeR_pos	hmp//lsrA//wecE//ydcS//ugpQ//ynfK//wrbA//hyfC//
BasR_neg	dhaK//glcB//
BasR_pos	caiA//caiD//fixC//gor//inaA//hypB//gadF//ppsA//phnM//moaB//potF//
BetI_neg	gudP//kdpB//sucA//chbB//
BirA_neg	araF//uxaB//uidC//ftsW//moeB//
BluR_neg	yhjX//nadA//fepG//guaB//
BolA_neg	pgaA//fliE//
BolA_pos	ybaT//tisB//
CadC_pos	ynbA//fadL//sgbH//
CaiF_pos	appY//betI//ycjY//dsbC//gspM//tyrA//yibQ//flhA//rffT//prpE//
Cbl_pos	paaB//mntS//moaE//nanM//mltF//murC//mscM//napG//alsB//
CdaR_pos	aspA//malS//emrK//betB//gspL//ppdB//cyoE//garR//guaB//ruvA//
CecR_neg	recA//lacZ//moeA//argH//phoB//
ChbR_neg	sdhC//glnL//codB//omrB//hypC//fucR//
ChbR_pos	aroH//tyrP//garR//glnB//osmB//ddlB//
ComR_neg	caiF//
CpxR_neg	exuR//hyaE//marB//sdhB//yegZ//fepG//yeiB//phnF//cysI//hdeB//gltB//sodA//wrbA//ytfE//yhbT//argA//cusR//cynS//bglG//fhuC//potI//lsrD//ppsA//gcvT//
CpxR_pos	glnP//nagE//dkgA//adiA//glpA//xylF//atoB//entS//ldtB//gadX//folA//evgA//mtlR//narJ//relB//nanA//kdpB//ykgM//ycjG//lysA//bglF//sufS//lpd//murD//nuoL//gntT//tdcG//metQ//murG//ugpQ//acnA//dcuA//bioF//ftsI//entC//srlR//rhaT//chbF//grcA//hyi//ascF//pyrD//fliR//aceA//narI//yafP//
Cra_neg	dnaG//sdhC//agaB//umpH//hcaR//srlD//emrB//casB//ygiA//ccmB//phnH//nrdH//trpD//yoaC//ptsG//dcuR//tdcG//napG//murI//glnB//mpl//sdhC//ydhU//ygiA//uspD//metY//yhiM//artJ//napA//fliA//xylH//atoE//yqjH//cydD//ydfX//feoB//narL//ompW//rimK//yeaR//ydiU//yhcH//pyrC//gdhA//ccmF//gltJ//zraS//prs//tehA//add//paaE//uxaA//cpxQ//fecR//umuD//malP//leuO//fucR//dapD//
Cra_pos	ppdC//ttdA//ccmA//yhhY//fdnI//phoH//paaB//sufD//sucB//glnL//fhuB//nimR//gpmA//wecE//sgrS//prs//hyaB//sufB//yiaM//modC//gltK//galE//rseC//
CreB_neg	ygiZ//oppB//acrZ//
CreB_pos	yecR//ompT//
CsgD_neg	mzrA//citD//thiQ//ycjY//malT//ruvB//fliG//uidA//hypA//fliG//gspJ//psiF//sutR//nagB//moaB//
CsgD_pos	nuoF//mltF//lldP//glnD//yhdY//purM//rhaT//cytR//nuoF//ahpC//ulaC//cysP//aldA//
CsiR_neg	murI//gltF//dgcC//ulaF//cysE//
CspA_pos	gabP//ydhX//
CueR_neg	ptsH//citE//araA//glyA//luxS//
CueR_pos	accA//sutR//
CusR_pos	deoB//uspE//puuA//oxyS//pstS//ymgC//ppiD//ybbY//yqjH//allB//phoR//acnB//
CynR_neg	puuD//
CynR_pos	micF//paaI//uof//
CysB_neg	ynbB//rhaD//glpA//guaB//glcA//pdhR//ydbD//
CysB_pos	nemR//yfdX//malK//xylA//mdtB//paaG//ddpC//sufC//acrB//nupC//rutA//iscS//pstB//torR//infB//argE//pgm//exbD//ydfX//pspC//ygdB//artM//gpmM//crp//hcaD//
