#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	yecT//fecE//
AcrR_neg	casA//mntS//hyfR//yiaK//glk//nikC//nagB//pheS//dinF//acrZ//mglC//
Ada_neg	edd//ptsI//
Ada_pos	allA//artP//caiC//pstS//
AdiY_pos	sufB//entB//purC//allA//mazG//nusA//mprA//gspK//
AgaR_neg	ybbY//xylH//cyoD//ykgM//hha//yfbR//gltI//fimB//csgA//dicC//ompW//
AidB_neg	araC//
AlaS_neg	yefM//
AllR_neg	atoD//mtlD//entB//tauD//iraM//rutE//fabG//hemH//uxuB//
AllS_pos	astC//ynbB//napG//
AlsR_neg	ybbW//gspG//malP//chbR//garK//ttdA//
AppY_pos	accC//tdcB//ydhW//agaB//gutQ//fdnI//yhiD//ydcS//uspA//cytR//
AraC_neg	pspB//cysC//ecpA//rstB//lysR//katE//yciW//casC//
AraC_pos	yiiS//mdtD//nikE//cvpA//rbsA//ygeH//ccmA//mngA//ccmC//yhiD//
ArgP_neg	fucA//
ArgP_pos	ydcU//fhuC//nuoL//skp//aldA//melB//nemA//putP//nrdI//lsrG//glnH//allE//ecpR//
ArgR_neg	hlyE//dtpA//ariR//gatC//oppB//nrdE//yhhY//lldP//frdC//nuoN//ftsI//fdnI//uxuB//fliQ//paaC//fabH//fhuA//cas2//sufD//pspA//arsR//ydjM//narG//yqhD//poxB//yqjH//xylG//kbaZ//phoH//purM//nrdD//argP//entH//
ArgR_pos	fhuF//argA//glxK//argA//tam//
ArsR_neg	uxaA//soxS//arsB//
AscG_neg	umuC//hycE//alsE//acrR//malX//
AsnC_neg	yagK//dinQ//rpoS//
AsnC_pos	aceF//
AtoC_pos	cysW//rffG//malF//ymjD//
BaeR_pos	gspL//pflB//nrdB//allD//inaA//isrC//fepC//torR//
BasR_neg	ynbC//zraP//
BasR_pos	ptsG//nhaR//amtB//glpD//glcB//poxB//ppsA//gabD//phnN//gspM//ulaD//
BetI_neg	pqiB//pspE//znuA//nupC//
BirA_neg	uidA//waaY//melB//caiC//dnaA//
BluR_neg	aceF//rffM//fecR//rffH//
BolA_neg	paaA//nimT//
BolA_pos	yqhG//ydhY//
CadC_pos	ftsZ//creA//ompC//
CaiF_pos	galM//pgaD//paaZ//uvrB//sucA//ddpC//fdnH//hypD//recN//yiaK//
Cbl_pos	nupG//mntS//nuoF//gatB//nac//astA//flhE//rnlB//rffM//
CdaR_pos	gltK//glnQ//cvpA//thrS//lsrC//modC//ftsZ//glnA//metL//osmY//
CecR_neg	nagC//cdd//metA//hemL//nrdA//
ChbR_neg	acrD//trpD//fucO//caiE//stpA//frc//
ChbR_pos	phnL//poxB//yjiY//chbG//aldA//idnK//
ComR_neg	tyrA//
CpxR_neg	codA//fhlA//modA//glnQ//glmS//yiaM//purL//uvrY//nemR//bglB//rnlA//deoA//lsrD//pyrC//ynbA//grxA//yncE//polA//ynbB//ymgC//paaA//rbsB//flgE//araH//
CpxR_pos	sufB//ydhY//napB//nfsA//lacY//sbmC//pstB//uidC//mprA//creB//znuA//malS//chbA//hybE//poxB//pgi//nfuA//trpE//metJ//rseC//ihfA//feaR//yebG//tyrB//oppC//betI//xylF//luxS//ykgM//uidC//phnG//csgC//ybaS//caiD//polA//safA//lacA//ecnB//nirD//phoU//nanT//leuC//cyoA//narJ//phnE_2//gltF//
Cra_neg	rcsA//cysW//dcuA//accC//yhbT//pagP//allB//malK//rybB//iscR//nikD//icd//garP//ydhW//lexA//psd//fhuD//mpl//fliJ//cyoA//metA//narI//ymgA//mgrR//rpmI//cysC//ddpB//oxyS//ycjF//cusC//tbpA//aceA//yhdY//artP//nuoF//murR//trpE//fliK//lacA//ecpR//aslB//aceB//artJ//aceA//dgcN//rhaR//nfo//ruvB//hyaC//dhaK//ascB//yfiR//ynfG//mngB//nuoH//nanC//ydfH//pgaB//ruvA//
Cra_pos	symE//sroD//prpE//rhaS//luxS//cdaR//mltF//ilvY//cirA//nemR//pgaD//nrfE//gfcA//kdpA//tktB//phoH//ssrS//purE//fliN//nirB//nuoH//pqiA//dctR//
CreB_neg	casA//crr//yfiB//
CreB_pos	nagC//hemH//
CsgD_neg	appC//ygdB//csgC//flgG//lldR//trxC//napB//crp//bglG//truB//pgaC//glgX//csgE//yegZ//ybjG//
CsgD_pos	gabT//mdtA//rbfA//creD//nirC//fixB//caiD//gltI//flgA//sgrT//hcaB//mpl//fliF//
CsiR_neg	safA//rbsB//yjeV//rpoE//cysM//
CspA_pos	isrC//feoA//
CueR_neg	hypF//paaE//hycF//gltK//aspC//
CueR_pos	fhuB//hisQ//
CusR_pos	gadA//ptrA//acnA//yidL//ycjY//tnaC//malQ//yfiR//fliL//rbsD//aceF//dkgB//
CynR_neg	metR//
CynR_pos	poxB//yeaG//yaiW//
CysB_neg	moeA//ugpE//gudX//yccT//kbaZ//oxyS//agaC//
CysB_pos	dacC//deoA//fbaA//yccJ//mhpD//pheT//fdhF//mzrA//ybbW//yhiM//mgrB//marA//yhbT//yaiA//ebgC//ccmG//yfbR//speB//pstC//dhaM//glcC//yhbT//cusA//allC//hcaF//
CytR_neg	iscA//dgcC//cysI//nuoF//gadE//cynX//hyfC//bioD//lrhA//gadF//ccmF//recN//ymjD//
Dan_pos	phnL//gltI//lysA//purE//
DcuR_pos	tcyJ//relA//iraM//argI//flhA//psd//yciG//garL//appC//
DeoR_neg	fabI//tyrA//rbsR//argT//trpA//prs//
DhaR_neg	folA//
DhaR_pos	acrR//ecnB//oppD//
DicA_neg	manZ//ydbK//pstS//moaB//hyfH//mngA//glmU//fliA//
DinJ-YafQ_neg	cheW//gadX//uxuA//
DnaA_neg	intQ//cysP//slp//bioD//mdtD//xapB//potG//gspF//copA//nfsA//ychF//
DnaA_pos	baeR//wzxE//gltI//nrdF//serA//fliN//icd//
DpiA_neg	yciF//
DpiA_pos	csgA//dinI//bglF//paaY//trpC//lldP//argI//uhpT//ynbA//dcuA//
DsdC_neg	tomB//
DsdC_pos	sucA//fhuC//
EbgR_neg	phnF//pspE//
EnvR_neg	fliN//moaA//
EnvY_pos	yeiL//gspH//
EvgA_pos	cheW//yjbG//nupC//ahpF//bglG//yncE//nuoL//ycjG//yafO//lysA//ddlB//fdhF//rclA//puuA//flgI//purR//flgE//aroL//gadA//
ExuR_neg	nuoN//marR//gspO//glnB//agaI//phnP//chbA//hcaB//rstA//
FabR_neg	gcvP//sra//
FadR_neg	lhgO//uidB//pgpC//rnpB//phnF//ulaG//metC//flgG//ssuA//lsrD//mscM//
FadR_pos	nimR//ryhB//xylH//aspC//glpF//ulaE//nlpA//mprA//hycD//adiA//recD//fhuB//
FeaR_pos	napG//puuA//
FhlA_pos	tktB//tdcD//hokD//lhgO//ecpA//ydhT//rarA//tdcC//cas1//mhpT//xylF//fhuA//nuoA//flgB//malM//cho//fepG//paaI//flgJ//glnH//rhaR//alsE//rpsO//yiaM//fadM//srlB//phoU//symE//phoA//mhpD//
FlhDC_neg	copA//leuL//flgJ//idnR//
