#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	garK//yhdX//
AcrR_neg	pgi//nrdD//prs//rutE//purA//fepE//nfsB//tauA//pheM//glgA//kbaY//
Ada_neg	entE//yegR//
Ada_pos	cspD//ydiU//mscM//phnG//
AdiY_pos	csgE//pyrD//hybD//cysD//pheT//ybfN//mhpE//dsdX//
AgaR_neg	leuB//cysW//argA//cusR//dps//napC//caiF//hyfC//ptsH//malF//nrdB//
AidB_neg	lacA//
AlaS_neg	ybhR//
AllR_neg	rtcB//dnaG//metR//bdm//nirB//rffC//yeiB//mqsA//glcB//
AllS_pos	astD//putA//flgH//
AlsR_neg	ybhF//metL//dsbA//dgkA//fecC//fhlA//
AppY_pos	wzb//ddpB//glgC//kbaZ//flgE//cyaR//glnD//metL//kbaZ//rbsD//
AraC_neg	hycB//flgK//hcaC//lpxD//ftsI//flgJ//erpA//srlB//
AraC_pos	murP//mtlD//uvrD//dhaR//lrhA//gapA//oppC//flgN//ybjG//ugpQ//
ArgP_neg	ldtD//
ArgP_pos	efeU_1//srlR//rarA//purN//cra//kdpF//marB//cyaR//ldtB//ftnB//trxC//rbsC//ibaG//
ArgR_neg	rbsR//relE//oppA//ftnB//gadX//sra//pnuC//metJ//gspK//paaA//gcl//modA//gcvB//cysG//ybhR//ftsI//lpxC//mltF//folA//ccmG//alsC//argC//dapD//yafO//nrfB//recB//glmS//yjeV//speB//frdA//ydhV//yegZ//exuR//
ArgR_pos	cyoB//nuoG//infB//artP//putA//
ArsR_neg	sulA//guaB//nuoK//
AscG_neg	ompW//fecD//pflB//oppA//paaZ//
AsnC_neg	yhcH//ulaD//yhdW//
AsnC_pos	mngB//
AtoC_pos	ycjY//rseA//gcvA//flhB//
BaeR_pos	sra//cysW//yccT//yfdE//ddpX//pgaA//grxD//mglB//
BasR_neg	fimB//zntA//
BasR_pos	pepD//puuB//rpmI//nrdI//metJ//bdm//trpB//entF//fecA//trpB//paaZ//
BetI_neg	pdhR//uvrA//dinF//patD//
BirA_neg	sdhB//tauC//ahpF//purM//gudD//
BluR_neg	hyfB//napG//degP//fhuD//
BolA_neg	micF//infB//
BolA_pos	dicB//fliM//
CadC_pos	rpsU//ugpC//fepE//
CaiF_pos	metJ//flhD//araE//phnH//oxyS//alaC//hflD//hokE//ftsZ//nrdF//
Cbl_pos	creD//yaiW//csgF//kdpF//garP//bacA//dinB//lacA//ubiX//
CdaR_pos	moaA//lacA//xapA//fliQ//rutD//katE//lpd//appB//iscU//flu//
CecR_neg	yhbE//yfdV//yccJ//garL//fecA//
ChbR_neg	hemH//yjbH//fecD//ssuA//leuO//spy//
ChbR_pos	fbaB//fbaA//oxyR//folA//hybC//manY//
ComR_neg	metC//
CpxR_neg	ogt//ebgA//xylA//lpd//phnN//gadW//hyfB//hyaF//fadB//chbF//ada//sbmC//ybhR//accA//ygaC//phoE//edd//hypA//omrA//oppD//nrdE//pspC//prpE//ydfW//
CpxR_pos	edd//argF//pspB//iclR//cbl//talA//paaK//caiD//mtr//fabB//umpH//fbaA//rhaT//rybB//waaH//dicC//tyrP//rhaT//pspC//hycB//nikE//gabP//baeR//rffM//nrfE//hyfA//cysK//yciF//hlyE//gatB//cysP//asr//borD//hycH//fau//deoA//malK//yiaL//nohA//nrfC//cho//yhbE//sucB//dicB//pqiA//glgA//
