#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ybhR//mdtF//
AcrR_neg	aspC//puuP//fimE//nuoE//dnaN//potF//puuA//appC//argC//nanS//uspE//
Ada_neg	yebE//umuC//
Ada_pos	dgcZ//glnQ//mlrA//xylH//
AdiY_pos	casD//cysE//yecR//casD//iscA//csgC//hyfH//creB//
AgaR_neg	katE//fruK//fabD//nadB//mdtE//ampC//carB//entB//dsdA//yhjC//tauB//
AidB_neg	sucD//
AlaS_neg	hyaB//
AllR_neg	citC//glk//tpiA//artP//purF//fabH//yjbH//bamE//flgC//
AllS_pos	nuoN//csgB//nrfA//
AlsR_neg	rstB//nuoN//nanE//uxaC//glcD//higA//
AppY_pos	rtcB//talA//fixX//mtlD//narG//nrdF//agaS//nuoL//ybbY//fecB//
AraC_neg	hflD//yciF//fliL//nemA//ygiZ//nhaA//mraY//dkgB//
AraC_pos	ugpB//carB//uvrD//polB//hypC//paaA//araC//fldA//gadB//argP//
ArgP_neg	modA//
ArgP_pos	ygdB//fliT//glgP//fepE//ynfG//gadB//hydN//uvrC//malX//fepG//fhuA//lyxK//fdnH//
ArgR_neg	guaB//slp//nuoM//fdnI//fadD//fecB//purE//bioC//nfsB//malZ//wrbA//umpH//ydbK//gatA//rclA//yhjX//uidB//htpG//nrfB//malS//tnaC//tauC//xylF//bhsA//gspL//ddpB//wzb//pnuC//ihfA//ddpC//mnmG//glnG//yeaR//
ArgR_pos	fecB//ynfE//ymgA//gntX//dctR//
ArsR_neg	galP//cysC//hcaR//
AscG_neg	ecpA//cas1//gdhA//glpA//cirA//
AsnC_neg	yfaE//glmY//galR//
AsnC_pos	paaD//
AtoC_pos	entB//mdh//csgG//ecnB//
BaeR_pos	sgbH//yaiA//fliD//flgA//cdaR//dhaL//gatY//rbfA//
BasR_neg	ybhR//leuD//
BasR_pos	casE//ariR//yidL//lsrF//hns//ytfE//ibaG//guaB//modC//murG//ygeH//
BetI_neg	frdD//marA//cecR//fhuC//
BirA_neg	nanC//manY//dctR//carA//dcuS//
BluR_neg	argC//aceK//fldB//znuC//
BolA_neg	manZ//fliO//
BolA_pos	garP//feaB//
CadC_pos	ydfE//yqhD//fixB//
CaiF_pos	nikC//napH//cueO//nfuA//hycH//ptsI//nuoF//hycD//yiaJ//ccmG//
Cbl_pos	hycC//metA//rutE//ynfK//sdhD//dapB//narG//cyoD//psd//
CdaR_pos	kbaY//acrA//amtB//gatB//uvrY//nuoC//yccJ//nmpC//nimT//entC//
CecR_neg	lsrC//rffH//cdd//dinI//pspD//
ChbR_neg	recC//fliK//ymjC//moaE//gabP//rhaR//
ChbR_pos	aspC//srlA//manX//wzc//umuD//fhuA//
ComR_neg	nuoE//
CpxR_neg	phnE_2//ychF//bhsA//torC//aroH//gltK//ymjC//emrB//malF//prpR//ybjG//dmsC//rffT//ynbB//thrS//murF//lolA//uspD//lhgO//ybdZ//rbsA//exuR//rybA//flgC//
CpxR_pos	gspE//ssuC//lysC//melA//hycH//pgk//cyoD//garP//ycjX//malI//dinQ//ftnB//cyoA//sgbU//glnP//nanE//ttdA//ppc//cysD//dctR//citE//ndh//leuB//nanM//gspI//exuT//yjhC//murQ//galS//acrZ//ydhX//yjbF//cusB//fliL//pitB//yeaD//dsbG//gspI//tyrB//acnB//ftsQ//argI//mazE//cas2//nrfD//murG//
Cra_neg	pgk//yciF//alaC//rcnR//mhpC//phoE//uof//torC//yeaG//caiE//gadX//hyaC//mntP//ybaS//fdnI//agaC//bioB//fliQ//creB//trpA//tauA//murE//ynfE//emrY//rdoA//argR//murP//mcbA//rpoD//ulaB//phnG//mgrB//lldR//gspC//yjbE//yqhG//mqsR//casB//mgrR//gspO//mdtC//nuoI//nikD//uxaA//sroC//iscA//nfuA//ugpC//cdd//qseC//ccmD//appC//mgrB//sufA//mdtC//gatC//paaB//chbB//paaK//
Cra_pos	ccmC//alsE//murF//ybjC//fadD//hycF//sucC//murP//galM//rybB//metF//ttdB//ydeI//fadR//glgP//yoeB//feaR//cusF//rpsO//yaiW//fabI//dctR//hycH//
CreB_neg	flhC//oppF//arsC//
CreB_pos	emrY//molR_1//
CsgD_neg	xylH//paaJ//hcaC//rutB//nrfD//tdcC//rutB//garL//cydC//lgoR//dsrA//aspC//osmB//nrfG//ydiU//
CsgD_pos	hyaC//fliS//pheM//mzrA//flu//gfcA//yhdX//sbcD//cirA//fliZ//fiu//focB//glcC//
CsiR_neg	lsrK//yegZ//atoD//rob//purR//
CspA_pos	flhD//fliN//
CueR_neg	ycjY//fepA//kbp//dsdA//yjiY//
CueR_pos	glpB//tadA//
CusR_pos	ecpA//yegH//ompF//purC//yegZ//ybfE//nikA//mlrA//nanS//gspH//puuA//gcvA//
CynR_neg	malM//
