#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ptsI//cas2//
AcrR_neg	ssb//paaD//potF//eno//hmp//nupC//copA//ubiA//tauC//araG//ccmG//
Ada_neg	fimE//mdh//
Ada_pos	glxK//degP//astB//uxuA//
AdiY_pos	pheS//accA//pgaA//bioF//xylR//sbcC//tauA//rffH//
AgaR_neg	fliE//kdpC//pdhR//nrdD//phnL//sgbE//yeaE//ymgC//pspG//allS//metE//
AidB_neg	chbF//
AlaS_neg	argO//
AllR_neg	ftsZ//cysM//sroC//yiaN//frdD//nrfD//tsgA//cysG//murP//
AllS_pos	ybhL//ssuB//wzb//
AlsR_neg	mngR//chbG//ugpA//skp//nrfB//fepB//
AppY_pos	ygdB//yefM//appX//dhaR//hyaE//wecC//baeS//fliC//yfdV//lysP//
AraC_neg	csgE//spy//yfiR//ynfG//fhuF//gcvB//feoC//aceK//
AraC_pos	hcaE//trpE//zraS//ccmC//ygiC//tolC//hyfD//ptsI//speA//chbR//
ArgP_neg	fadJ//
ArgP_pos	betA//rplT//asnA//fucI//murC//creB//tdcG//hycF//exuT//allC//ddpC//idnO//mdh//
ArgR_neg	ccmF//hybF//uidC//rsmH//focB//ybdN//caiA//mprA//astA//allE//gatC//dtpA//phnM//chbG//oppC//ptsI//rtcA//yagK//ulaG//sutR//fixA//sodA//nikB//paaH//ybaT//guaB//tyrR//higB//fucI//paaC//uspD//rbsC//ycdZ//
ArgR_pos	hns//dsbA//argB//umuD//lldP//
ArsR_neg	adhE//fadH//dtpA//
AscG_neg	pdeH//soxR//oppB//mqsR//gdhA//
AsnC_neg	flgE//rseB//paaF//
AsnC_pos	fldB//
AtoC_pos	insD//tyrA//dctR//artP//
BaeR_pos	appB//evgA//cbl//mngR//fucA//dgcZ//pspB//prpE//
BasR_neg	aspA//crl//
BasR_pos	asr//ascF//mazF//ibaG//rclB//dhaR//fucA//mgtL//agaC//ydhX//yefM//
BetI_neg	pagP//napF//cecR//waaH//
BirA_neg	gadW//ydhX//nusA//fadA//artM//
BluR_neg	dinQ//fliJ//ydfW//nrdE//
BolA_neg	rutB//fhuE//
BolA_pos	cysW//ariR//
CadC_pos	xylB//recX//hycA//
CaiF_pos	lldP//asnB//entB//pnuC//evgA//setA//modB//pgi//yegR//ebgA//
Cbl_pos	gntU//cecR//hyfR//nrdH//dps//ddpC//pnuC//fecD//tdcC//
CdaR_pos	intQ//pdeL//dcuR//narX//yhdZ//bioC//nrfG//fabD//yjeV//codA//
CecR_neg	mgtA//fecI//fecE//metA//mdtA//
ChbR_neg	metQ//ogt//nikD//hybA//evgS//ppc//
ChbR_pos	paaI//nemR//patD//ygiA//cysA//yqjH//
ComR_neg	cusA//
CpxR_neg	tfaQ//nemA//fruA//acrZ//cas2//dsbC//xylF//skp//nuoC//icd//metC//nirD//skp//polA//serA//psiF//cueO//cysH//grcA//frc//aceE//yiaJ//mprA//flhD//
CpxR_pos	rarA//nuoN//accC//nanC//flhD//fliF//lsrA//purL//agaS//murQ//yccA//ymgA//acrA//ynfK//cydC//phoR//betI//dnaG//chbB//fucI//malQ//artI//bacA//ygbA//fdnG//uidR//pykF//creA//csiD//malT//hypF//rbfA//phnE_1//dsbA//ybhR//nrdE//cspI//putP//dgcZ//fliD//phnM//gspI//argP//trxC//accA//aroF//
Cra_neg	puuC//murG//lhgO//gltL//napH//rpmA//putP//insD//ydeI//hypC//nirC//ytfE//flgG//dctA//nanE//ssuA//flgI//zwf//edd//nuoL//rcnA//casE//sgbE//casA//nadA//casD//ubiA//qseC//ssuE//dps//exuT//aidB//frdD//ykgO//cpxR//melB//wrbA//rutC//soxS//cas1//aroH//napD//hyfI//oppA//glnL//baeS//glnH//cbl//rdoA//ribA//creA//cirA//pgaD//tdcF//purF//acrA//mipA//sgbH//narJ//
Cra_pos	garR//ytfE//trpC//dicC//nuoK//bamE//ydiV//astB//patA//metQ//gadF//norW//cspD//moaB//mgrR//hemH//mglC//narX//cdaR//mltF//ybdN//tdcD//fecR//
CreB_neg	fucI//hha//prpE//
CreB_pos	artJ//bioD//
CsgD_neg	copA//mepH//mpaA//rpmI//folA//ugpA//flgK//yiaJ//dinQ//purN//allB//uvrA//accB//nuoN//entE//
CsgD_pos	treB//dinD//hemL//moeB//putP//carB//moeB//rutE//hdeD//lldR//pncB//ydeN//recB//
CsiR_neg	mdtC//gltJ//ppiA//argA//yhbE//
CspA_pos	idnK//cas1//
CueR_neg	cynS//ptsG//argB//mdtE//yaiA//
CueR_pos	purE//leuC//
CusR_pos	ssuB//qseC//fecC//mdtC//yecT//glxK//phoU//flgL//alsC//insK//lyxK//sbmA//
CynR_neg	tauC//
CynR_pos	rclB//sufS//metF//
CysB_neg	zraS//hyfJ//carA//murR//sodA//flgD//cecR//
CysB_pos	qseB//ydcT//ynbC//agaV//gspC//lyxK//evgS//pgaD//astA//yibQ//cho//fldA//argT//arsB//oppD//ung//phoB//glnG//metJ//sodB//trpA//paaY//gntX//nanA//phoP//
CytR_neg	pgm//fecD//gutQ//glnG//dgcN//ynbB//tsgA//folA//nirB//mzrA//mioC//cydA//kbaZ//
Dan_pos	sufD//cecR//hypF//gcvA//
DcuR_pos	fixA//cydC//wzzE//ccmG//malZ//garL//araH//argP//soxS//
DeoR_neg	ykgM//agaW//aidB//yjbE//fnr//dpiA//
DhaR_neg	acrA//
DhaR_pos	nikB//entD//nemA//
DicA_neg	fur//add//hyaD//psd//cysN//setA//adiA//cusF//
DinJ-YafQ_neg	yccA//hypC//dps//
DnaA_neg	hflD//bacA//malZ//yhbT//hypE//trpA//artM//evgA//ftsZ//rprA//ftsW//
DnaA_pos	hycF//hycB//waaY//glcC//dinI//yeaR//malY//
DpiA_neg	wecE//
DpiA_pos	pgaC//uxuA//metC//rarA//cydD//nikD//napH//glgB//glmU//dapD//
DsdC_neg	csgD//
DsdC_pos	dsdC//pck//
EbgR_neg	nrfF//trpB//
