#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	argI//phoA//
AcrR_neg	mcbA//grxD//yrbL//malK//paaG//chbA//cusA//gloA//glcG//hyfF//cysC//
Ada_neg	cysD//purA//
Ada_pos	soxR//sutR//galM//yafQ//
AdiY_pos	ycdZ//hyfD//hha//moaC//pitB//gadF//dapB//napC//
AgaR_neg	ttdT//ompF//ygeH//flgH//narI//alsE//tdcB//mcbA//pgaB//fbaB//yebG//
AidB_neg	garP//
AlaS_neg	glmS//
AllR_neg	narH//hslJ//lysC//lpd//csgA//asnA//poxB//fldA//yeaD//
AllS_pos	gatA//rclA//fixC//
AlsR_neg	glnP//ymgA//fucA//cspI//ygbA//ydfD//
AppY_pos	fabH//ssrS//ribA//ompW//glmS//ompT//yeaH//ydcS//bglB//ppdB//
AraC_neg	malK//rseB//hybB//aroF//dsbA//ttdT//fliJ//glpB//
AraC_pos	rstA//cspD//caiC//artM//ppdC//tam//rpiB//ttdB//add//fepD//
ArgP_neg	astD//
ArgP_pos	ynbB//fnr//rpiR//rpoD//rutR//gspJ//glmS//fliL//mtlA//glmY//uspD//puuB//ccmB//
ArgR_neg	gspJ//araH//gntT//feoA//fucP//araE//nadB//nanK//ompN//rseB//lysR//rprA//agaC//hybC//melA//metQ//ebgC//hyaE//fhuB//hmp//nikA//pqiB//csgG//tsgA//uof//insK//gdhA//leuD//cas1//ddpC//glk//zraR//codB//
ArgR_pos	yegR//glcB//purB//mdtE//hcr//
ArsR_neg	gspD//hokD//acrZ//
AscG_neg	flgF//tynA//gatD//sufD//ftnB//
AsnC_neg	rybB//alkA//fliO//
AsnC_pos	ndh//
AtoC_pos	cas1//oppC//ydeN//xylR//
BaeR_pos	lacY//codB//gadE//yjhC//yhbE//nhaR//bioB//kdpA//
BasR_neg	puuC//entE//
BasR_pos	dcuB//phoR//gspK//gnd//rnlA//ahpF//fhuE//ybfN//glyA//yneM//nrdG//
BetI_neg	rbsK//ftsA//recF//tyrR//
BirA_neg	cysM//phnP//bioD//luxS//yiaK//
BluR_neg	malX//allD//moeB//nuoE//
BolA_neg	cvpA//hypE//
BolA_pos	allE//phnN//
CadC_pos	phoU//hypA//cas1//
CaiF_pos	dicB//trpE//ybiT//cvpA//creD//yqhG//tsgA//purE//gadA//creB//
Cbl_pos	glpB//hybB//rprA//argG//frc//artM//trpL//ubiX//kdpB//
CdaR_pos	cusA//rcnB//rutR//nrfG//bluF//ubiA//yiaJ//ptsG//yjbE//yfaE//
CecR_neg	pfkA//crp//gcvB//sgrS//lhgO//
ChbR_neg	gspO//gspD//lrhA//dcuS//kbp//idnK//
ChbR_pos	fbaA//manX//ykgM//dinF//ykgM//mntP//
ComR_neg	aroL//
CpxR_neg	lyxK//gltF//yafN//gcvT//wzzE//ybhR//ulaF//dkgA//ccmD//dsdA//ssuC//yfbR//cecR//cysM//cpxP//nikD//wcaA//evgA//nuoI//zinT//gltD//ebgA//srlA//rhaT//
CpxR_pos	gadY//kbp//yafP//isrC//yhbS//artI//uxaA//guaB//lsrB//gudD//fliR//fadR//rpiB//sdhD//rplU//mngA//mntP//nimT//hycH//nanS//insK//trpL//flgN//treB//mltF//fucR//oxyR//cynX//prpE//mltF//frdC//ccmC//ybdN//argT//rpsU//tauC//umuC//ccmA//phnI//potI//lrp//gabT//pspA//purM//araJ//pgaA//
Cra_neg	rpmI//adiC//appC//mqsA//leuA//xylR//murC//codA//rcnR//ydiU//yhiD//mngR//metF//glcF//csrC//mnmG//nikE//ecnB//uhpT//guaB//yecT//cyaR//nfo//mdtB//ccmD//tsx//metR//lsrG//kbaY//dctR//acnA//yecR//mdtB//gadA//murP//araD//ydfE//zinT//yafQ//ybdZ//ygiC//rpmI//ssuE//nupC//yagK//uvrB//recF//recD//ftsQ//lysO//aceE//cusR//aroP//ahpF//yfdX//fadB//gadW//uhpT//cadC//
Cra_pos	cynR//gapA//fliA//rfe//fpr//puuR//yqhG//alsE//nrdA//nrfC//hycF//uxaC//sgbE//dicB//chbF//uxaC//dicB//thiP//ydeO//glcA//uspA//recX//recA//
CreB_neg	ugpC//yhbT//metR//
CreB_pos	argB//gltB//
CsgD_neg	glmY//glxK//lpxD//ynjI//hyi//flgC//creA//hisP//narL//puuA//rnlA//nanC//atoE//tyrP//ahpC//
CsgD_pos	cysC//trxC//oppA//rhaB//sufE//fdnI//accC//polB//ybhL//flgI//ydhV//umpH//fabB//
CsiR_neg	qseC//dtpA//rffC//potG//fabI//
CspA_pos	sroD//dsbA//
CueR_neg	gatY//uidB//gadX//fliH//nupG//
CueR_pos	rimP//zraR//
CusR_pos	sdhD//mhpA//hokE//xapA//exuR//rdoA//oxc//yccJ//asr//cysC//fepC//eno//
CynR_neg	dtpA//
CynR_pos	yeaD//obgE//rplU//
CysB_neg	pepD//appA//gudX//degP//trpR//rutC//rfe//
CysB_pos	phoU//dinG//malZ//fadR//cpxA//fabH//pqiA//rbsA//lyxK//yjbF//norV//gadC//citD//flgH//glyA//iclR//ycjY//yebE//dps//speB//kdpB//fliD//malE//manY//fadJ//
CytR_neg	acrA//tcyJ//fabI//ulaB//adiC//fucP//trpC//mltF//gspM//purD//tauC//appC//iscA//
Dan_pos	gltF//psiF//yeaD//rdoA//
DcuR_pos	cspD//atoD//galM//infB//cspD//rpiB//hflD//yecT//ftsW//
DeoR_neg	nuoG//tsx//prpD//nrfC//yebE//fabH//
DhaR_neg	lolA//
DhaR_pos	artI//umuC//modC//
DicA_neg	ybjC//creD//ygbK//rcnA//gabD//yaiW//phnF//gspO//
DinJ-YafQ_neg	agaS//uidR//hycG//
DnaA_neg	mngA//lrp//fepA//flhD//zinT//phnE_1//bolA//hflD//phnG//yhbE//zwf//
DnaA_pos	gltJ//glyA//aceF//casA//lysA//mhpC//phnH//
DpiA_neg	frdD//
DpiA_pos	mzrA//malT//dapD//yncE//lrhA//aslB//fucO//gspL//narX//aroP//
DsdC_neg	gltF//
DsdC_pos	aroM//wcaA//
EbgR_neg	osmB//glnH//
EnvR_neg	amn//metL//
EnvY_pos	cyoD//rhaB//
EvgA_pos	tdcC//entA//glxK//rdoA//chbA//agaC//ulaE//mpaA//ada//focA//mpl//gspK//pgk//gadF//malK//osmY//cysH//hcaD//paaI//
ExuR_neg	glyA//wza//ddpC//uhpT//fliD//nirB//appX//yneM//yecT//
FabR_neg	tsgA//cysM//
FadR_neg	nupC//rseA//ulaE//accA//hybO//wcaB//rhaR//yiaN//csgD//paaJ//seqA//
FadR_pos	wzzE//tauD//metQ//dmsC//idnD//rcnA//gcvH//cynX//edd//feaR//metL//rpsU//
FeaR_pos	argD//metE//
FhlA_pos	hcaC//cirA//mntH//atoD//dicB//yeiB//pspF//rbsR//ttdR//tpiA//kbaZ//nemR//ssuA//dmsB//yfdV//pspD//fabD//emrA//acrB//aroH//setA//acrR//cadA//aspA//ydfH//emrK//znuC//envC//nuoN//csgF//
FlhDC_neg	fabG//napF//yafP//molR_1//
FlhDC_pos	qseC//yfdX//dicC//folA//rarA//phnK//aceF//leuD//rclB//nadB//yciF//nrdA//ppiA//napC//ccmB//glcG//hycI//ddlB//cysM//alsC//csgB//frdB//gspC//tcyJ//gspG//astC//cdd//nagE//hyaE//ydcT//mprA//aroM//cysE//torA//citD//csgE//rhaS//eno//napF//acrR//moaB//cspD//allB//lolA//hyfB//fepC//thiQ//gatC//ahpF//hyfH//accD//dpiA//ulaB//flhB//nagC//yidQ//glcB//dnaG//malZ//nanK//mgrR//cpxP//rutD//citX//motA//gntK//ssuB//nikC//exbB//flu//lrhA//tbpA//ecnB//mdtC//hyaC//gadB//fecB//fliN//
FliZ_neg	dcuR//prpR//fdnH//agaD//uvrY//glnP//nagA//zinT//cas1//sgbU//yeiL//yfiR//fixX//pspF//mgtA//paaZ//flu//aroH//frdB//dinD//glxK//
FucR_pos	ydhV//uof//murG//aldA//allC//nuoB//copA//
Fur_neg	dinB//moaD//artP//zinT//malT//srlD//fliD//znuA//fadL//glnP//ybhR//acnA//wrbA//arsC//envC//iscR//gabT//envC//gabD//edd//slyB//potG//frc//lacZ//hisM//ompW//yhdZ//cadC//dnaA//flgC//yebE//hyaB//fdnG//crr//pheT//recA//nanA//mlc//yhiM//mdtA//cysU//metQ//dinI//ugpA//glnD//narL//napC//cas1//hyi//gadX//sroD//mglB//bioB//aroP//murE//moeB//lhgO//mtlA//yqjA//ydbK//norW//narK//mdtB//mtlR//feaB//ydhV//fadL//fldA//rnpB//osmY//mpaA//nusA//oppC//idnK//dmsB//metL//moeA//yafN//ugpC//mpaA//nupG//mhpA//hypA//fhuB//ymgC//lldR//ilvC//gabP//phnM//puuP//ygiC//rcnB//pgk//osmC//iclR//rpoH//mdtC//ppiD//nrdB//cysB//astC//phoQ//prpR//fdnI//murR//ascF//frdD//lsrG//nuoC//csgF//entC//rffC//hcaF//potH//polB//
Fur_pos	dgcZ//wcaB//gntX//galP//sufD//hyaA//ttdT//uvrY//dhaL//wcaA//mngA//csiD//allD//ddpF//rstA//yiaK//nemA//dinJ//ruvB//yoaC//ddpB//
GadE-RcsB_pos	leuD//oppB//acrZ//caiA//hyaD//hcaD//nemR//xylR//cirA//
