#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	mepH//flhD//
AcrR_neg	phoH//ybaS//cydC//cspE//osmB//ahpF//gadC//cusR//gadY//polA//fabA//
Ada_neg	potG//speB//
Ada_pos	gadW//rbsK//glcC//argB//
AdiY_pos	lsrG//glpB//purB//ecnB//infB//wrbA//alsA//cysD//
AgaR_neg	rhaD//narX//hmp//argH//soxS//dkgA//yfbR//frdD//ybhF//hcr//iraM//
AidB_neg	gspD//
AlaS_neg	gcl//
AllR_neg	fabD//leuA//fdnG//znuA//mraY//hipA//kdpB//cydD//yhjC//
AllS_pos	srlR//amtB//yqjI//
AlsR_neg	ccmH//fnr//rutD//dinB//mdtA//yqhG//
AppY_pos	treR//purN//phnI//fhlA//araC//fbaA//gpmA//ecpR//csrB//paaF//
AraC_neg	csgA//argB//flhC//yccA//argI//cadC//ydhT//argI//
AraC_pos	relE//yqaE//nikD//nadA//nikB//nimT//rpmI//yfdE//fucA//fliF//
ArgP_neg	rpsU//
ArgP_pos	wzb//rpoD//phoP//gabT//ynfK//mcbA//mazE//ymjD//flgA//lsrD//ampC//murP//rpmA//
ArgR_neg	ecnB//tehA//kdpB//chbR//prpD//ydbK//yiaO//wza//nrdB//agaV//fabZ//nemA//hybA//yiaK//fliG//hisM//ugpQ//ttdR//tdcD//potH//pheM//galR//rbsC//fnr//nusA//ycjY//glnL//ppsA//dsdC//napD//dcuB//puuE//pykF//
ArgR_pos	dnaA//moaD//ydcV//marA//rfe//
ArsR_neg	ampC//hisJ//oppD//
AscG_neg	cydB//omrA//yibQ//idnD//mzrA//
AsnC_neg	soxS//glgX//hdeA//
AsnC_pos	ymjC//
AtoC_pos	fadD//gltB//dsrA//mntP//
BaeR_pos	entA//mngR//ompC//znuB//leuD//ndh//hmp//metJ//
BasR_neg	fliI//rhaD//
BasR_pos	emrB//lsrC//fpr//adiA//trpR//nrdE//nrfB//uspD//dgcC//betT//ilvC//
BetI_neg	agaR//nlpA//ygiA//cyoD//
BirA_neg	fecB//ecnB//mscM//cytR//nupC//
BluR_neg	rob//hydN//ydhT//pspB//
BolA_neg	ydhV//ftnA//
BolA_pos	dctA//pck//
CadC_pos	acrZ//sfsB//sfsB//
CaiF_pos	tyrR//gutQ//glpQ//ydhW//erpA//inaA//baeS//yhiM//rbsB//mdtB//
Cbl_pos	tdcE//mazG//guaB//fiu//paaK//lsrK//adiC//uspE//phnK//
CdaR_pos	nirC//phnE_1//tnaA//cyoB//nikE//entS//isrC//sulA//dcuB//rarA//
CecR_neg	cynX//aroP//ybbW//ycjX//hycF//
ChbR_neg	fucA//yoaG//bglF//yjbF//fecI//yegH//
ChbR_pos	motA//degP//phnM//tauB//gpmM//sra//
ComR_neg	puuE//
CpxR_neg	phr//pnuC//hypB//yeaH//hslJ//ybhG//icd//caiT//argR//glgA//aceB//speA//baeR//moaD//sroD//alsC//bolA//ldtC//creB//nemR//rutG//glgC//dsbC//sodA//
CpxR_pos	modC//astC//wzzE//erpA//fumC//gudP//fadM//micF//micF//ybdN//puuB//rnlA//fecB//araC//fdnI//ruvB//mtlA//umuD//kdpA//infC//ydhV//cysM//katG//malZ//lsrF//glpQ//rcnA//sdhA//dnaN//adhE//narH//pdeL//stpA//napG//marB//yiiS//ulaB//yecT//fucO//allE//cusA//purE//ftsA//fixB//puuR//metJ//
