#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	pheS//rplU//
AcrR_neg	kbp//fadA//gspC//lgoR//nagA//narX//ruvB//glcE//fadH//nupG//rffM//
Ada_neg	iraM//motB//
Ada_pos	spy//metY//metK//ykgO//
AdiY_pos	malI//nemR//hisQ//ddpA//gadB//cynR//rseC//lysR//
AgaR_neg	galR//potF//cpxP//rimP//rpsU//srlE//cynT//mdtB//speA//fhuB//ssuA//
AidB_neg	flgK//
AlaS_neg	dacC//
AllR_neg	fliQ//galR//tauA//paaJ//mprA//slyB//gspE//yefM//wecE//
AllS_pos	hipA//sufS//entF//
AlsR_neg	fhuB//ydbD//fliQ//metE//dcuA//aldA//
AppY_pos	malQ//murC//yfaE//uvrB//flgN//ftsA//accA//mhpC//ahpF//nikC//
AraC_neg	yafP//uxuB//yhdX//rcnA//hyaB//gadF//uidA//yiaM//
AraC_pos	uidA//yegR//ycjF//metN//moaC//focA//hcr//pdeR//fdnI//ymjC//
ArgP_neg	nmpC//
ArgP_pos	narX//dmsB//glcE//lpxD//trpB//hybA//nupG//citF//oppC//tktB//csiD//ccmF//glcA//
ArgR_neg	glnH//wecB//flgD//rybA//uidC//agaR//gcvB//dcuB//znuA//pdhR//hisM//yqhG//gcl//ada//gntP//malG//metR//luxS//dhaR//amtB//pdeH//yeaR//ppdB//phoH//waaZ//evgA//sroA//nrdI//dhaR//nemA//moaD//dinJ//ppiD//
ArgR_pos	acrD//fliC//yiaM//nuoA//fepG//
ArsR_neg	ydcS//rnlB//asnC//
AscG_neg	lpxD//glgX//hcr//rnlB//aceK//
AsnC_neg	malS//ykiA//fadJ//
AsnC_pos	flhE//
AtoC_pos	icd//leuO//ccmB//appA//
BaeR_pos	ribA//yjjZ//malM//oppF//trpC//lyxK//uxuA//exuT//
BasR_neg	fliI//gpmA//
BasR_pos	yqhG//gspI//tynA//pspE//purL//cecR//phnC//lpxA//sufE//lsrC//yhbE//
BetI_neg	ompT//ydjM//cdd//asnB//
BirA_neg	uidC//dmsD//gatZ//dinG//yegZ//
BluR_neg	ydfD//dacC//garD//gcvT//
BolA_neg	yhhY//sucB//
BolA_pos	ahpF//araH//
CadC_pos	yqjH//agaV//decR//
CaiF_pos	insK//flgB//xylA//rutR//gyrA//yciF//phoB//accC//aldA//gcvP//
Cbl_pos	gltI//evgS//gadA//prpD//paaI//hybE//chbR//astE//dinQ//
CdaR_pos	prpE//gutM//kdpC//argC//galK//purK//hycE//fhuD//ygiC//dinI//
CecR_neg	fumC//chbB//lysO//aceA//soxS//
ChbR_neg	mngB//amn//sufS//melB//alsB//sgrS//
ChbR_pos	tyrP//glpB//pgi//yhdW//nagE//dinQ//
ComR_neg	mraZ//
CpxR_neg	ybaS//fadR//fhuC//metI//caiD//ulaG//yafO//gudD//deoB//alsB//recF//ulaD//fbaB//trpE//fucI//uof//infB//ydeP//cspE//fhuF//asnC//add//astB//metK//
CpxR_pos	cas1//idnO//thrS//mazG//fumB//sucD//pspD//entE//rbfA//ptrA//acrR//fecA//guaA//nhaA//hcaC//moeA//exuT//phoB//gadY//garK//yedX//lon//ycjX//gadF//gadE//amtB//rnlB//phoU//oxc//kbp//fliD//dtpA//rbsC//glpF//ulaB//hha//moeB//rclA//hdeB//gntK//relA//sucA//sufE//torR//argI//oxc//
Cra_neg	lon//frdA//malK//bioC//fliN//garD//recA//wzb//cysA//ybdN//fabZ//iraM//gadF//rutA//wza//fldB//nuoL//gspG//slt//srlA//insD//dgcZ//gspD//fecI//rbsA//rcnB//yiaM//deoD//tdcE//nrfF//pdhR//gatY//bioB//cynT//sucA//argG//artJ//dpiB//ccmF//chbB//hcaF//nanT//dinG//dinD//asnA//dsbG//htpG//fumB//mprA//yjiY//metC//flgF//gadB//copA//pheM//omrB//metI//hybE//yafO//
Cra_pos	hslJ//paaZ//ssuC//caiE//gcvH//tnaB//nrdH//metI//ynbA//asnB//yibQ//entB//mzrA//dhaM//malZ//mdh//acrR//nuoL//nfo//yqjA//phnN//oxyS//purM//
CreB_neg	gudX//dgcN//glpT//
CreB_pos	flhD//prpR//
