#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	aroH//mcbA//
AcrR_neg	guaA//citF//ygeA//mhpB//creB//infB//nimR//hlyE//ydcS//cirA//tyrP//
Ada_neg	yjhB//glpC//
Ada_pos	nimT//uspE//gudD//znuB//
AdiY_pos	hyi//cysC//mngB//exbD//hycF//gntP//trpA//ecpR//
AgaR_neg	hydN//ibaG//hyaD//glk//phnH//pdeL//xapA//nikB//dsdC//cbl//ulaB//
AidB_neg	nuoA//
AlaS_neg	fecB//
AllR_neg	mlrA//yeaE//wecE//sroA//cysJ//argO//katE//csgA//accD//
AllS_pos	paaD//leuB//zraP//
AlsR_neg	ybjG//xylF//nirC//dcuA//fdnI//tehA//
AppY_pos	flgJ//nrdI//sufA//tdcF//deoC//ygiC//gspH//ydfN//tpiA//yeiB//
AraC_neg	feaR//rpoS//asnC//aroF//nfsA//sbmC//fixB//fabI//
AraC_pos	glcE//atoE//yncE//sgrT//dgkA//glpD//ldtC//lamB//rpoS//glmU//
ArgP_neg	glpD//
ArgP_pos	rutE//rstB//grcA//gapA//hypA//sroC//ppdA//argI//fliJ//ccmC//glcF//feoA//nrdI//
ArgR_neg	znuB//chbR//dinD//rutG//ascF//yqjA//cspD//yhdW//bluF//waaH//idnK//yaiA//emrB//ydfN//ompF//ddpX//oppB//allS//hcaC//icd//nagC//rbsB//modA//acnA//nrfC//fucP//fimE//ydhT//rtcB//fliR//codA//fruK//ddpF//
ArgR_pos	hypB//rpmI//idnR//hyfI//nikB//
ArsR_neg	garD//leuL//setA//
AscG_neg	sroA//rpsO//gspI//glpT//mgtL//
AsnC_neg	glnD//mdtB//gspJ//
AsnC_pos	lldR//
AtoC_pos	ddpX//mscM//wecB//nuoE//
BaeR_pos	phnJ//appA//lsrR//ubiC//hipA//focA//zinT//ulaD//
BasR_neg	dnaG//appC//
BasR_pos	ruvA//motB//hyi//uhpT//frdA//stpA//cynR//entB//grcA//srlR//safA//
BetI_neg	pdeH//csgF//galP//idnK//
BirA_neg	nuoB//ulaE//feoB//dnaG//mioC//
BluR_neg	flgG//guaA//cusF//gspG//
BolA_neg	mioC//pepA//
BolA_pos	gcvT//phnO//
CadC_pos	norW//chbG//fhuD//
CaiF_pos	ppiA//yegZ//gfcA//wzb//gor//rcsA//pspG//yoaG//pnp//nagB//
Cbl_pos	crl//ulaB//paaK//copA//lsrF//nlpA//ycgZ//acrR//ygiA//
CdaR_pos	sufA//puuE//ugpE//cysB//lsrB//tolC//rhaR//hdeB//tcyP//lhgO//
CecR_neg	gltJ//btuB//lpxC//rybB//yafO//
ChbR_neg	tnaA//mntH//paaE//gspF//yjhB//prpB//
ChbR_pos	wecB//gntP//gpmA//cynS//gabD//fadD//
ComR_neg	feoC//
CpxR_neg	mntP//cysB//glnK//rcnR//lyxK//uidC//dctR//sbmA//gcvA//treC//bacA//oxc//cydA//fucI//hha//mhpT//yccT//narI//ycgR//ydbD//trpR//adiA//citC//araG//
CpxR_pos	csgD//dinG//rybB//phoR//lsrF//cadA//slt//uxuB//dhaM//fadB//flhB//evgA//flhE//ycgR//gltK//tpiA//murR//hokE//dps//rhaT//nfsA//infB//fecB//sgbE//thiP//ssuC//yhiM//frdC//znuB//leuA//cadC//dsbG//fliP//ycjG//argT//hycA//ydiU//ddpB//sroC//flhE//cusF//ssuA//rcnB//rnlB//ftsW//gntK//
Cra_neg	rpsU//amtB//wecE//acnA//srlD//yjjZ//ptsG//nrdB//ldtB//pgk//nagE//chbR//yhdW//uspD//hemL//degP//pspG//yagK//yfbR//mglC//torD//skp//lexA//metF//atoB//rhaB//rprA//ccmC//dtpA//lldP//speA//chiP//dsbC//aroM//phnM//ebgC//caiE//sgrS//leuL//cytR//tpiA//metC//argC//tonB//narK//glcG//zwf//alsA//ascF//chbA//casA//dnaG//prpC//caiF//dinQ//fliZ//yaiA//envC//mnmG//
Cra_pos	mgrB//glnA//csgG//allS//yafP//glpK//safA//rpmI//alaS//fbaB//yeiB//caiE//frdC//caiC//srlE//mdh//modA//hypB//ybdZ//astB//epd//efeU_1//metE//
CreB_neg	ttdB//hyaB//asnA//
CreB_pos	ftsW//ubiA//
