#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	eno//nrfG//
AcrR_neg	tynA//rpoS//hybC//gadA//ydfE//gutQ//rffT//spy//araE//allD//tdcC//
Ada_neg	glgC//pnp//
Ada_pos	fimB//lsrR//gabT//dsbA//
AdiY_pos	phoB//yjjQ//prpE//bamE//nhaA//cyoA//atoB//alaS//
AgaR_neg	trpL//tyrR//pgaD//hyfR//uxuB//fliM//rpiR//wzzE//rhaS//dgcN//emrK//
AidB_neg	tcyP//
AlaS_neg	cysP//
AllR_neg	ymjC//rhaT//glpD//acnA//yecR//lldR//fruK//csgB//fadD//
AllS_pos	slt//ulaD//higA//
AlsR_neg	rybB//argO//yfdX//fucA//yqhG//yciG//
AppY_pos	emrB//sufD//yhdY//fdnI//galE//hcp//ycdZ//cyaR//phnO//gatD//
AraC_neg	fdnI//ygeH//yhcH//yhjC//yiaO//hyaE//nirB//alsC//
AraC_pos	phnJ//galS//pqiA//rutD//yhbT//ssuD//malS//pspA//truB//tdcE//
ArgP_neg	carB//
ArgP_pos	exbD//tynA//flgD//dicB//idnK//fucP//nmpC//hyfB//ydcV//gspI//tauD//araH//chbA//
ArgR_neg	lldR//bdm//yneM//pflB//ccmF//fliK//dnaG//nrdD//purK//hyaE//ydeO//slp//alaC//zntA//wza//nrfB//ydcU//ydeO//fepC//ahpF//ppc//rhaA//leuL//fepB//gadX//fabD//dkgB//mlc//ruvB//ftsQ//yqhG//prpD//hybO//
ArgR_pos	ptsG//accD//yeiB//agaW//flgB//
ArsR_neg	hipB//asr//prpR//
AscG_neg	gntT//tisB//dpiA//fbaB//ddpA//
AsnC_neg	idnO//dnaA//flgN//
AsnC_pos	rutR//
AtoC_pos	gatA//ruvA//kdpC//nrfC//
BaeR_pos	cynR//argE//nuoJ//yhiM//yafO//accB//xylB//poxB//
BasR_neg	garR//fliT//
BasR_pos	nrdA//hybO//gspM//tsr//eno//ygiA//creD//rbsC//garP//hyfI//mltF//
BetI_neg	entC//ubiA//cadA//torA//
BirA_neg	argI//rstA//gatB//asnA//astC//
BluR_neg	yfiB//zwf//nagE//ugpQ//
BolA_neg	fepD//rutA//
BolA_pos	glcD//amtB//
CadC_pos	aceK//osmY//argH//
CaiF_pos	nrfF//pspB//dhaL//sdhA//rdoA//cyoE//ddpC//tdcB//exuR//metB//
Cbl_pos	nanC//dps//xylH//chiP//tomB//ydeN//yidL//flgD//pheS//
CdaR_pos	yfiR//srlA//ptrA//htpG//caiE//ubiA//nuoL//dcuS//rutC//potG//
CecR_neg	xapB//paaZ//uxuR//acrZ//rhaS//
ChbR_neg	appX//cysE//rpiR//yqjH//iclR//eno//
ChbR_pos	sbmC//yhjX//flhE//uxaA//ybhF//recD//
ComR_neg	dsdA//
CpxR_neg	araD//dkgA//frdB//cysK//cynX//lacA//ynbC//allS//allA//rcsA//lgoR//hcaD//dinG//mpaA//ldtC//narX//napB//aidB//yhiD//acrR//metA//wcaB//mhpE//gadE//
CpxR_pos	rffG//ascF//ybfE//gspH//ugpQ//oxyR//casB//melA//kdpC//ydeP//csgA//mhpT//hycH//yqjA//ydhV//rfe//modC//grxA//lolA//fliZ//pqiA//dhaM//rplT//glpT//dsbA//yjbF//yeaG//flgA//torA//wzb//rutC//citG//fecB//chbF//pgaC//agaA//gspD//ftsK//sgrT//gltK//bioB//flu//cynR//ydfN//cpxR//argP//
Cra_neg	degP//yegH//hdeD//citG//hcp//purR//ribA//cusF//emrB//yeiL//frdD//arsC//asnC//ycgR//mazF//rutD//glgB//rclB//galP//manZ//bluF//paaE//ccmE//pck//argB//yhbT//nac//murD//ssrS//mglA//mgrB//pstS//hisM//purB//fecI//yiaM//iscA//acnB//gspL//ihfA//gatD//casE//fabG//flhA//adiC//yegR//ibaG//kbaY//glnD//katG//yfdE//arsR//pspD//cyoE//recD//psiF//lamB//glcF//sra//
Cra_pos	murG//metK//sroD//casE//cas2//folE//chbC//hlyE//yjhB//phoA//mdtC//mhpT//ydiV//decR//phnF//ycgR//cysD//agaW//mglC//paaX//cra//ybdN//ccmA//
CreB_neg	nhaA//pqiA//fucO//
CreB_pos	yoeB//potG//
CsgD_neg	dkgA//dkgB//rpsU//mglC//gpmA//caiD//yciF//osmC//ribA//mltF//fliF//fruB//fepB//nikD//hyfJ//
CsgD_pos	fadR//nuoB//nirC//ssuA//rnlB//mhpE//argT//ppiD//flhD//gnd//arsC//marB//fau//
CsiR_neg	gadX//hycH//yjbG//ydjM//flgF//
CspA_pos	pgaC//purR//
CueR_neg	yfiR//waaY//nemR//fimB//appA//
CueR_pos	casC//acrR//
CusR_pos	gatB//emrK//glk//hybD//dnaA//cydA//mltF//yqjH//hyi//sra//atoA//ydcT//
CynR_neg	yegZ//
CynR_pos	glcA//potG//fixB//
