#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	mdtD//ecnB//
AcrR_neg	alsC//borD//atoA//cecR//rnlB//torC//gspJ//fhuD//ppiA//napF//narK//
Ada_neg	nadA//adhE//
Ada_pos	ugpE//fecC//lysR//tdcB//
AdiY_pos	glpA//cbl//recA//deoA//xylR//fixX//osmC//rbsK//
AgaR_neg	motA//ppiD//sdhA//osmB//xylR//yiaN//yncE//cho//mglB//rcsA//relB//
AidB_neg	pgaB//
AlaS_neg	mglC//
AllR_neg	puuE//rhaD//caiB//narL//puuE//cas1//glyA//emrA//tyrR//
AllS_pos	bolA//intQ//hisJ//
AlsR_neg	pgk//uhpT//gcvB//mtlD//yiaO//ygiC//
AppY_pos	rybA//hycA//gltL//cysB//recD//yhdY//tcyP//fixX//agaW//napD//
AraC_neg	oppB//metB//yhbT//napB//yeiL//phnC//pdeR//dctR//
AraC_pos	rpmI//cadB//yhjC//flgG//pnuC//hyaF//dinG//rplU//paaD//astE//
ArgP_neg	ccmH//
ArgP_pos	psiE//hcr//hdeD//fixA//ppiD//pykF//ddpF//spy//cirA//garR//argB//ycjX//tbpA//
ArgR_neg	metF//ydcT//glpX//cysP//nikC//ynbD//ydhW//bioA//prpB//aidB//rcnR//ftsZ//frdB//melR//aroP//metB//cysP//fumC//aroL//cheW//rcnA//argA//obgE//napB//iscR//yegR//nanK//adhE//hycG//leuA//gspH//hokE//evgS//
ArgR_pos	murP//allC//fabD//lolA//tpiA//
ArsR_neg	argG//nrdH//hydN//
AscG_neg	slt//lsrC//phoR//nrfC//nrfG//
AsnC_neg	cydB//lldD//mazG//
AsnC_pos	fruB//
AtoC_pos	pyrD//alaC//mdtD//ftsK//
BaeR_pos	dsdC//rbsK//tbpA//ilvC//rbsC//paaE//osmB//fixA//
BasR_neg	nuoL//rpiB//
BasR_pos	hyi//nusA//hipB//citX//yjeV//deoC//tdcE//fliH//flgG//cysG//cynT//
BetI_neg	cpxA//gadY//exuT//yhbT//
BirA_neg	ygiZ//dcuR//tpiA//purL//nuoI//
BluR_neg	mgtL//yfiB//ygdB//dcuD//
BolA_neg	gspL//ulaG//
BolA_pos	tsx//nhaR//
CadC_pos	tdcE//ybjC//mhpA//
CaiF_pos	aspA//araD//mhpB//fecE//mtr//tyrR//carB//fecB//idnO//paaX//
Cbl_pos	chbC//fliM//fur//yafN//infB//dicB//pdeH//idnK//agaD//
CdaR_pos	nhaA//alsC//ydhY//flgL//recF//dinI//ydhV//tyrP//fdnH//ftnB//
CecR_neg	cusS//pstB//psiE//mipA//glnP//
ChbR_neg	amtB//lldP//flgI//wcaB//fabI//glpX//
ChbR_pos	isrC//yeaD//ulaE//citG//uvrA//uidR//
ComR_neg	ugpE//
CpxR_neg	yneM//purE//accC//gltL//phnH//allB//kbp//dnaN//hyaD//phoA//glmU//gabP//phnP//decR//kdpF//chbR//yhjA//yidL//ydeO//uxaA//hybB//aslB//ccmA//dhaK//
CpxR_pos	yiaJ//cysA//argF//gadB//gabD//hcaF//fecD//fabA//argH//mioC//nagA//bglF//nikC//dmsC//fucI//argR//rclC//sufS//tnaB//fixC//micF//ybhL//aspA//cusA//fhlA//tyrB//napA//cueO//norW//alaC//emrA//gntT//fdnG//inaA//nikE//prpC//mltF//lsrR//narL//mnmG//acrA//gadX//nanE//glmY//yjhB//agaV//
Cra_neg	kdpA//ogt//pstA//allB//znuB//thrS//puuD//phr//murC//murR//cydA//argF//adhE//flu//nanT//purF//dpiB//paaG//relE//lrp//rcnA//ribA//ariR//fliT//pepA//ycgR//flgN//sufB//tehB//ftnA//fadA//nikA//galK//flhD//argA//yhcH//rprA//fadB//gadW//ycjG//cusC//pdeH//cysN//phnE_2//sbcD//phoR//fdnI//metQ//mhpE//pykF//cysU//yqjI//ptsH//casC//ssuC//ptsI//cysK//citC//fbaB//
Cra_pos	hycG//cadC//ftnA//phnD//glpQ//narI//fes//dhaM//setA//dcuB//ssuB//dcuA//mipA//fliT//uxuR//ppdC//pdeH//ydeI//rseA//galM//ilvY//nmpC//ascB//
CreB_neg	nrfE//ydcS//fbaA//
