#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	nemR//lsrG//
AcrR_neg	ygeH//yagK//tam//fepA//fnr//fliD//sfsB//hisP//yebG//cynR//qseC//
Ada_neg	accA//ycgR//
Ada_pos	ompN//hycE//uxuA//cusA//
AdiY_pos	adhE//cytR//feaB//yciG//hyaF//nrdB//casD//ykiA//
AgaR_neg	metC//fhuE//fliH//lysP//treR//murC//nagE//yhdW//dcuS//oppC//borD//
AidB_neg	ecnB//
AlaS_neg	idnT//
AllR_neg	ulaG//skp//ydfD//flgL//ydeP//paaE//pgaA//treR//hemH//
AllS_pos	oppA//fbaA//cyoB//
AlsR_neg	gspC//fumC//ftnB//galT//purA//puuB//
AppY_pos	ymgA//glgA//yqjA//hycF//dtpA//pqiB//yegR//rpiB//relB//puuB//
AraC_neg	crr//mtr//guaB//malI//ybjN//lyxK//ddpD//norW//
AraC_pos	cysM//nupG//mazG//fadI//cyoE//dapD//hybB//atoA//envC//mraY//
ArgP_neg	uxuR//
ArgP_pos	gpmA//ascB//galT//mltF//metK//nrdA//malY//ulaA//yaiA//ftsZ//infB//mdtC//hcaD//
ArgR_neg	cysI//nrfF//rcnA//hypB//rhaB//fepG//cysN//mltF//ccmE//ydhX//ftsZ//iraM//galT//sufB//pgaC//gatC//phoU//emrY//bluF//tbpA//pspB//gntP//pnp//agaD//znuC//ydeM//prs//phnD//ydiV//yafP//flgN//ftnB//ubiX//
ArgR_pos	murG//nagC//entC//fepE//srlD//
ArsR_neg	yjbG//caiC//cysB//
AscG_neg	nadB//ndh//nanK//rbsB//rseC//
AsnC_neg	uxaB//nimT//dinB//
AsnC_pos	arsC//
AtoC_pos	nuoC//gfcA//cynR//ftsK//
BaeR_pos	manZ//yneM//nuoL//ung//sulA//tehA//fadB//glgA//
BasR_neg	fhuF//hybE//
BasR_pos	nikB//prpE//galS//rsmH//fruK//dsbC//artM//ftsK//ascB//frc//glcA//
BetI_neg	napG//rcsA//alkB//ydfH//
BirA_neg	hycC//nuoG//paaH//wzc//agaA//
BluR_neg	ulaC//phoQ//yqhG//ompC//
BolA_neg	ydcU//fliT//
BolA_pos	purN//sgrR//
CadC_pos	fepD//glpK//acrA//
CaiF_pos	omrA//pstC//malS//isrC//agaD//ydeN//fadA//tehA//ldtD//sfsB//
Cbl_pos	nohA//malM//mntS//srlB//sdhB//puuP//hisM//cynR//yiaL//
CdaR_pos	phnK//fliT//cyoA//glcE//nanK//pgk//ynjI//mlc//ybfN//ada//
CecR_neg	pdhR//hyaE//hypB//melA//gadB//
ChbR_neg	yqjH//srlA//dhaR//ccmC//glnP//aroF//
ChbR_pos	srlR//dmsA//pgk//slt//gcvH//cdaR//
ComR_neg	rbsK//
CpxR_neg	isrC//mdtD//chbC//ahpF//norR//rcnR//lyxK//gntK//nanC//bacA//ftsQ//citF//evgS//yhbS//mdtD//ykgO//pitB//gadX//pstC//sutR//puuP//nuoB//iscS//potF//
CpxR_pos	dkgA//puuB//mhpF//lpxA//cbl//tdcD//rbsC//nikD//yjeV//fnr//micF//ydcT//lpxC//metE//caiD//fepG//pstB//ihfA//feoB//marA//fucI//nhaR//mzrA//efeU_2//torA//sgrT//rpoD//malE//aceA//speA//hemH//yeaD//nac//asnC//fabG//bglJ//lpd//ccmE//osmC//rutE//hcaB//nirC//cusS//lhgO//cysA//nirD//
Cra_neg	torD//astD//cusC//yhcH//dinQ//murC//gcvH//gutM//yjiY//fecD//yegZ//puuA//cadB//argA//fecA//hyi//htpG//yjjZ//pqiB//hcaC//hybC//agaI//fliQ//ynbD//iraP//fau//nanE//torA//lldP//ssuD//putP//evgS//gspD//malM//citX//ycdZ//mdtB//yciF//kdpC//paaI//ccmE//epd//napG//metR//betA//ymjC//deoA//yhdW//tnaA//moaB//phnL//fimE//gltJ//glmS//gspI//aceK//murD//mhpA//gspC//
Cra_pos	tyrR//tnaC//hns//ccmA//rutF//cas2//ydeN//ddpC//gspH//baeS//yhdX//gltI//phnE_1//pspE//agaW//rffH//fecD//cadA//mglA//malF//argT//hycH//rpsU//
CreB_neg	ynbD//ydfW//hybD//
CreB_pos	ssuB//napD//
CsgD_neg	ygaC//yaiA//creA//dsbC//ompC//relA//yaiA//fliI//nikB//mepH//lpd//dmsD//fecA//glpT//ydhW//
CsgD_pos	acrD//nrdI//yafO//ydeP//tisB//purN//hyfD//paaY//nuoB//yedX//dgkA//rprA//gspM//
CsiR_neg	mhpD//carA//decR//codB//flu//
CspA_pos	paaY//nirD//
CueR_neg	creB//iclR//fadM//thiQ//mdtA//
CueR_pos	bglG//nikR//
CusR_pos	iscS//cspD//galP//malT//yaiA//setA//rpiB//hybD//hyfH//adiA//ptsH//puuE//
CynR_neg	ydjM//
CynR_pos	fhuB//tolC//glpF//
CysB_neg	nuoJ//cho//ydeN//cydD//ftsA//fhuC//emrK//
CysB_pos	murF//rimK//metA//fliT//atoB//rbsD//napB//alaS//ydhW//tonB//emrB//agaA//rstA//csgC//ccmG//focA//modC//gcvT//fucA//hycG//malF//ptrA//insD//hyaE//glpD//
CytR_neg	glcA//aspC//trpR//ubiC//glpK//argB//crl//decR//entA//bglB//lgoR//napC//nagB//
Dan_pos	chbB//poxB//artQ//mdtC//
DcuR_pos	exbD//yjbF//cas2//yjjZ//speA//gltF//gadF//fimB//gcvB//
DeoR_neg	rcnA//wzc//narG//waaH//melA//yiaN//
DhaR_neg	bdm//
DhaR_pos	yegR//dacC//galE//
DicA_neg	flhB//aceK//potG//paaY//entC//relE//pdeL//cytR//
DinJ-YafQ_neg	tpiA//bioC//fixA//
DnaA_neg	glk//putA//tdcB//yjjZ//lsrC//gspM//phoR//sucB//rutB//phnF//uspD//
DnaA_pos	patD//xylG//udp//glcA//fepG//emrA//bdcA//
DpiA_neg	allB//
DpiA_pos	ugpA//ydcU//ptsI//paaZ//hyaF//rbfA//purE//cpxA//sfsB//pflB//
DsdC_neg	ulaD//
DsdC_pos	fliZ//torC//
EbgR_neg	ugpC//ybjN//
EnvR_neg	caiB//iclR//
EnvY_pos	rstB//agaA//
EvgA_pos	lysO//nupC//dctA//hycC//treR//fecC//frc//hyfC//aldA//oxyR//nanS//glpC//glcD//cho//tdcD//phnG//kdpC//rob//ptrA//
ExuR_neg	gltB//araC//malI//tonB//csrC//wecE//yjbE//fabG//lpxC//
FabR_neg	hcp//glpT//
FadR_neg	ydhV//gpmM//cusR//lsrA//fliQ//rplT//lrhA//gspD//dtpA//wcaA//cusF//
FadR_pos	lldP//casD//feoB//ulaF//fliI//putA//purF//dsdX//fucO//paaB//sgbE//aspA//
FeaR_pos	dmsA//ydcV//
FhlA_pos	ssrS//yccA//nanA//csgG//nikE//cysP//fimE//xapA//cyaR//paaE//ynfF//bdcA//rpoS//mtlR//sdhB//tadA//cas2//rstA//paaD//nanC//nrfA//bdcA//sbmC//hokD//cydB//uidC//gatB//fdnH//lon//nikD//
FlhDC_neg	ydfD//ydbK//feoC//chbB//
