#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	betA//ulaF//
AcrR_neg	ppiD//allE//patD//hyfB//argR//trpA//znuA//tnaC//paaB//rbsC//nagC//
Ada_neg	rstA//ldtC//
Ada_pos	psd//glcC//aceK//ydfX//
AdiY_pos	metF//mntP//fur//rpsO//higA//arsB//rbsA//rutA//
AgaR_neg	argA//nrfG//gspI//murQ//pfkA//fdnI//fliS//ydeN//fliO//argB//idnK//
AidB_neg	fhuD//
AlaS_neg	carA//
AllR_neg	flgD//paaB//yidL//phnM//tnaC//mpaA//mngB//ptsG//crr//
AllS_pos	hyfI//ygaC//rimK//
AlsR_neg	mhpC//ydeP//fldB//hyaC//malX//yiiS//
AppY_pos	kdpF//fdhF//sucB//sufD//feaB//gcl//nrdA//symE//ybjN//pspF//
AraC_neg	pgk//betB//gnd//dsbG//oppB//thiP//fecC//flhE//
AraC_pos	fepD//cynX//srlE//uhpT//lgoR//rtcB//prpB//slp//fdnH//cra//
ArgP_neg	nrfB//
ArgP_pos	hyfH//pepA//hns//glnK//slt//yeiB//cyoE//baeS//gadX//nrfB//cas2//moaE//mntH//
ArgR_neg	gadF//norV//appC//cysA//crl//inaA//nrfF//manZ//ptsG//purR//wza//yhjC//rhaR//ihfA//efeU_2//fucO//arsR//tyrA//gcvA//ldtC//glmS//casB//creD//flgN//murF//wrbA//puuP//ynfF//tnaB//higB//rutB//glpT//yhdY//
ArgR_pos	ybiT//lacA//hybD//metE//alsC//
ArsR_neg	nupG//bamE//efeU_2//
AscG_neg	purR//ygbA//gyrA//fliN//ddpF//
AsnC_neg	alkB//crl//entS//
AsnC_pos	ybhS//
AtoC_pos	csrC//ompT//lacY//lpxD//
BaeR_pos	cynX//ybjG//galT//yeaG//argT//yiaK//yhdW//gabT//
BasR_neg	sroD//ptsH//
BasR_pos	puuA//nanS//rdoA//alaC//qseB//trpE//napD//yfdV//yfdV//znuB//ptsI//
BetI_neg	waaY//ruvB//puuE//manZ//
BirA_neg	hybO//oppC//gadY//murC//rsmH//
BluR_neg	higA//purA//phnK//pitB//
BolA_neg	paaH//carB//
BolA_pos	hybC//yjjZ//
CadC_pos	gadC//rutB//allS//
CaiF_pos	fimE//potI//pgaA//ytfE//nrdB//gspG//dmsB//garD//bioA//dnaA//
Cbl_pos	bioC//bhsA//entS//recF//baeS//zwf//lldD//seqA//astB//
CdaR_pos	wza//dhaM//rdoA//waaH//tpiA//kdpC//ybfE//sucA//rclA//mhpF//
CecR_neg	tauC//sfsB//zwf//fecE//dapD//
ChbR_neg	moaC//omrB//fucA//ugpE//trpR//pspD//
ChbR_pos	pyrD//mntP//rhaR//hyfD//nfuA//tcyJ//
ComR_neg	oppC//
