# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	cynS//nanE//
Ada	dmsC//frdB//aroH//fadD//
AdiY	nanK//kbaZ//cysG//paaJ//
AgaR	ygeA//
AidB	fadJ//
AlaS	glmS//
AllR	poxB//garK//hemL//cysE//pck//paaB//
AraC	hcaD//acnA//malY//ada//argE//ppsA//
ArgP	umpH//hcaE//rhaD//ilvC//murF//narG//hycD//pnp//nanK//
ArgR	rsmH//acnA//cdd//murI//paaA//ung//citX//paaA//rnpB//ubiX//gltB//ynfF//dgcC//gcvH//pgaC//purD//phnN//slt//wrbA//hyaC//fbaA//phnM//kbaZ//
ArsR	recD//treC//
AscG	ftnA//malQ//
AtoC	dapD//mhpA//ldtD//
BaeR	cysM//glpD//
BasR	trpE//dmsA//hyaB//
BirA	garR//caiC//pflB//malP//astC//
BluR	
BtsR	purN//
CadC	purF//ssuE//caiC//
CaiF	fadI//deoC//mhpE//nemA//ada//
Cbl	bioD//moaD//waaZ//umpH//garL//
CecR	caiA//
ChbR	nfsB//mpaA//glpA//
ComR	
CpxR	ulaD//gdhA//glpK//murD//fadH//kbaY//puuA//fadH//ynfE//rnpB//uvrB//ftnA//slt//torC//ldtC//
Cra	tdcG//murI//mngB//purN//argG//aldA//ascB//astA//treC//tyrA//aceA//rutA//caiD//fadE//aceB//argA//folA//moaC//nrfA//puuB//ddlB//trpB//lysA//accD//aceF//bglB//
CreB	
CsgD	ulaG//atoB//truB//fabH//
CspA	
CueR	trpE//argC//
CusR	lpxC//tauD//
CynR	frdA//nanK//fdhF//
CysB	waaZ//purB//mhpE//oxc//gadB//frdA//malQ//recF//murI//
CytR	ldtD//puuB//ubiX//dgcZ//ulaE//cynT//rutA//phnI//alaC//
DcuR	ssuD//caiA//puuC//ttdB//
DeoR	hyaB//wrbA//bioA//hcaC//
DicA	
DinJ-YafQ	acnA//
DnaA	purN//hyaA//hypB//nrfC//glcD//murG//
DpiA	purA//citE//pykF//mhpF//argH//
EnvR	nfsA//mhpC//
EvgA	add//fabA//dmsC//uxuA//eno//
ExuR	
FabR	paaG//truB//trpA//
FadR	yqhD//ulaE//tynA//tdcE//folE//murQ//ulaE//yqhD//fabI//codA//ndh//glcD//fabH//lysA//hemH//
FeaR	mhpC//hcp//
FhlA	hemL//ahpC//gdhA//nrdD//glcF//aceF//rhaD//
FlhDC	sodA//aroG//
FliZ	ssuD//entB//paaA//metE//ung//
Fur	nanM//ynfH//rhaB//wzc//rbsD//sbcD//hcaD//trpC//hycC//argE//fabI//astD//purN//hcaB//phnO//lldD//nanM//luxS//rhaB//mpaA//trpC//fumB//mdh//ynfE//waaZ//cueO//murG//galM//recD//nrfA//trpE//
GadE	malP//lsrK//ssuD//
GadE-RcsB	metF//bioA//murI//sbcC//paaC//
GadW	nanK//mpaA//folA//
GadX	lsrK//frdB//glcD//malQ//pgk//
GalR	recD//mazG//nagA//rsmH//adhE//
GalS	bioA//tdcB//yqjH//caiB//appA//
GcvA	tdcB//dmsC//recF//
GlcC	fabA//fabA//chbF//
GlpR	ugpQ//fadH//trpC//glpX//cysK//rbsD//entE//
GlrR	
GntR	gltD//hcaF//hycB//pfkA//metE//
HU	ribA//hemH//relA//gpmA//
HcaR	trpC//mhpC//
HdfR	
HigA	glxR//
HigB-HigA	waaZ//
HipAB	cueO//adhE//
HipB	napA//gdhA//atoB//
HprR	waaZ//paaC//
HypT	pykF//narG//
IclR	bglB//hycG//fabD//
IlvY	nanM//
IscR	gltB//entC//purN//nrdF//truB//murC//icd//
KdgR	mtlD//
KdpE	galE//
LacI	phnJ//ftnA//hycC//
LeuO	pspE//hyi//lsrK//
LexA	argE//lacZ//dmsB//argG//tnaA//glcE//glxK//mazG//atoD//
LldR	torC//nirD//
LrhA	
LsrR	purF//trpC//nrdF//uvrB//fabB//
MalI	trpD//umpH//
MalT	hyaA//moaC//mraY//puuA//
MarA	gcvH//napA//phnG//hyaB//moaD//citG//fadI//nanA//rhaD//patD//ynfE//nirB//
MarR	
MatA	murF//
MazE	nfsA//
MazE-MazF	tyrA//
McbR	
MelR	aceE//mraY//
MetJ	ydcS//ycjG//galM//glcE//fabD//
MetR	gcl//accD//umuC//
MhpR	puuA//rutD//caiC//pfkA//ung//fabD//
Mlc	cueO//dapB//ogt//
MlrA	trpD//
MngR	purN//recF//
MntR	citC//
ModE	pflB//narI//hycG//iscS//mhpB//accC//argF//pyrC//frdC//wzc//trpE//hyaC//gltD//bglB//purC//
MprA	alkA//
MqsA	acnA//gloA//
MraZ	argG//guaA//atoD//glpA//carB//napA//glxK//frdB//ogt//nagA//
MurR	glpQ//katG//caiB//
Nac	poxB//argG//gcvT//fadI//
NadR	fadH//
NagC	carB//ahpC//galE//ygeA//nanE//frdB//udp//trpC//ulaE//phnH//ttdB//aroF//ascB//astD//
NanR	fadI//hemL//aldA//accA//metA//appA//
NarL	moaA//chbF//gadB//frdC//paaK//deoB//fdhF//frc//gloA//glpA//araB//paaB//ynfE//hcaC//phnN//recD//citX//ssuD//kbaY//carB//yedX//icd//ppsA//gcl//
NarP	malY//citF//frdA//ttdB//bioB//rnpB//iscS//hycG//tdcG//
NemR	yqhD//rutD//
NhaR	deoD//paaY//ahpF//luxS//allB//
NikR	ssuE//
NimR	argC//
NorR	argB//
NrdR	gcvP//paaB//fbaA//entE//
NsrR	folE//atoA//pdeL//carB//feaB//aceF//
NtrC	eda//nanM//purD//ascB//tauD//waaZ//mhpF//paaH//
OmpR	paaC//torC//phnM//arsC//ssuE//aceB//alkA//hycF//
OxyR	metF//ndh//srkA//glmU//gcvH//mhpC//iscS//ynfG//fabG//purC//napA//dmsA//yqjH//
PaaX	trpB//yqjH//slt//nrdE//gdhA//cysM//entD//gapA//hycB//
PdeL	paaJ//
PdhR	mhpE//paaK//alaS//sbcD//ubiX//entC//puuE//fadD//glcB//glxK//fabI//ascB//napB//chbG//glpK//alkA//pck//rimK//poxB//gcl//chbG//ada//
PepA	ubiX//frdB//
PgrR	wzb//nfsA//
PhoB	bioF//fau//murG//fdhF//hcaF//tauD//fadE//entB//glnA//glcB//napG//hyi//gdhA//fdhF//phnG//
PhoP	bglB//allA//paaF//
PspF	mraY//
PurR	allA//entC//ndh//caiC//fabI//moaC//rnpB//nagA//trpB//dmsC//nirD//sbcD//
PutA	glxK//mhpC//
PuuR	tyrA//glcE//pdeR//tam//argD//melA//
QseB	
RbsR	hmp//argB//glcE//gadB//cdd//gcvT//
RcdA	araA//
RclR	
RcnR	aceB//
RcsAB	fadD//galM//
RcsB	aroH//purC//
RcsB-BglJ	gntK//arsC//
RelB	lpxC//
RelB-RelE	gdhA//
RhaR	
RhaS	entB//folE//fabA//fadH//
Rob	lacZ//gcvH//bioB//gadA//
RstA	umuC//
RutR	eno//eda//entB//malQ//folA//puuE//moaC//bioF//umpH//tynA//
SdiA	
SgrR	aroL//sbcC//paaB//
SlyA	aroG//dmsC//gadB//alaC//aroL//rsmH//trpC//hmp//gltD//
SoxR	poxB//
SoxS	dmsA//srkA//mhpF//glcD//mhpF//trpD//trpB//chbF//citX//napH//fbaA//bioA//phoA//nrfC//nanM//argD//
StpA	hcaC//
SutR	deoB//mhpD//
TdcA	murQ//ruvA//hyaB//ubiX//aroG//
TdcR	citC//nrdD//guaB//gcvP//rhaD//
TorR	hcaF//nrdE//entD//hycC//
TreR	carB//dgcZ//
TrpR	mraY//gcvH//carA//fadH//deoC//nanK//aceB//entE//fumC//
TtdR	cynS//trpA//
TyrR	nagB//ubiX//torA//gltB//hycE//astC//garK//mhpA//paaI//
UhpA	carA//
UlaR	cadA//ogt//mhpD//nrfC//nrdD//
UvrY	hcaB//ubiX//
UxuR	hcaE//zwf//glcB//
XylR	nrdB//metE//murI//
YdeO	gcvT//adhE//gltB//
YefM	ftnA//
YefM-YoeB	paaA//
YhaJ	
YjjQ	
YpdB	
YqhC	mngB//gcvP//
YqjI	nrdE//
ZntR	hyaC//
ZraR	
Zur	gloA//
