# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	aceB//recF//
Ada	nrfC//glcE//phnP//appA//
AdiY	nagB//nanA//cysG//paaC//
AgaR	phnO//
AidB	ugpQ//
AlaS	pfkA//
AllR	hmp//hycE//hemH//uxuB//hcaB//puuA//
AraC	nrdF//argC//katG//ada//garL//argD//
ArgP	purN//caiA//kbaZ//murD//gcl//ppiA//grxA//dapB//metF//
ArgR	nanK//nfsB//mhpF//murD//argI//fbaA//recF//citG//frdC//dmsC//tdcB//edd//nrdD//lacA//relA//dgkA//ada//murG//ulaD//gcvP//cynS//purA//hyaC//
ArsR	aroL//luxS//
AscG	deoA//narG//
AtoC	mhpB//murG//umpH//
BaeR	murD//entC//
BasR	add//phnO//codA//
BirA	trpA//puuB//pfkA//nrdD//astE//
BluR	
BtsR	ulaD//
CadC	ssuE//astE//purN//
CaiF	argA//paaG//paaJ//hypF//ulaG//
Cbl	mhpC//sodA//katG//nrdF//ogt//
CecR	cadA//
ChbR	purM//mhpE//mhpE//
ComR	
CpxR	rhaA//eno//rnpB//puuD//ubiX//tauD//hycE//napH//mhpC//putA//puuC//hycF//rutE//malY//truB//
Cra	appA//hyaA//argF//rimK//entH//purM//ulaF//fadE//lacA//rutA//ftsI//hemL//murI//ychF//fadH//tam//pgk//carA//argC//rutD//hcaE//polB//ttdB//galE//glpB//galE//
CreB	
CsgD	bioF//dapD//dkgA//allB//
CspA	
CueR	glmS//nrfD//
CusR	ddlB//nrdA//
CynR	gcl//ulaE//ldtC//
CysB	fabG//fbaA//bioA//cdd//tdcB//zwf//narG//glmU//recF//
CytR	tynA//entF//guaB//tyrA//glpQ//dgcZ//nadB//araB//ttdB//
DcuR	pgaB//dgcC//sufS//argI//
DeoR	narH//dgcZ//pdeR//caiC//
DicA	
DinJ-YafQ	katG//
DnaA	argD//ynfH//gloA//atoA//paaI//pflB//
DpiA	nrdF//ynfG//nrdF//argF//polB//
EnvR	murD//fabB//
EvgA	carA//sufS//gcvT//purB//frdA//
ExuR	
FabR	trpB//ynfG//ccp//
FadR	phnI//hcaD//dmsA//hemH//pspE//purM//umuC//frdC//gcl//napB//cysE//deoB//tdcD//puuC//dgkA//
FeaR	tnaA//mhpF//
FhlA	nagA//gpmA//nanM//galM//ynfG//cadA//frdD//
FlhDC	frdC//purN//
FliZ	ahpF//napA//kbaY//bioB//gadB//
Fur	argI//citE//paaI//paaF//waaY//fadI//sbcC//ung//rhaA//metA//glcB//cysG//glcB//hcaC//phnL//chbG//alkB//dmsA//paaI//moaC//eda//alkB//patD//recF//garL//glxK//argI//puuC//lacZ//caiB//nrdB//
GadE	phnN//dkgA//dmsC//
GadE-RcsB	icd//ung//malP//luxS//narI//
GadW	ppiA//lpd//eno//
GadX	aroF//ynfG//astE//guaB//dgkA//
GalR	garL//glcD//accC//aroL//ahpC//
GalS	hcaD//fabD//cysK//phnP//frdC//
GcvA	paaH//cadA//metF//
GlcC	yfdE//phnJ//bioB//
GlpR	pspE//nrdA//glyA//lsrK//deoA//aroG//metA//
GlrR	
GntR	oxc//hemL//deoB//nrdD//umuC//
HU	appA//ulaG//mdh//entE//
HcaR	accD//metF//
HdfR	
HigA	recB//
HigB-HigA	napA//
HipAB	carB//glpK//
HipB	glcB//frdA//glpQ//
HprR	dmsC//mtlD//
HypT	puuE//accA//
IclR	arsC//srkA//add//
IlvY	argB//
IscR	gloA//mhpA//argE//carB//puuC//eda//glpD//
KdgR	araB//
KdpE	lldD//
LacI	mdh//pck//polA//
LeuO	hyi//ccp//wzb//
LexA	fabH//aroH//dmsB//tdcE//phnI//murI//deoB//rbsK//lsrF//
LldR	gcvT//ung//
