# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	gltB//katG//
Ada	polB//fabD//murQ//tyrB//
AdiY	dmsB//pykF//tyrA//torC//
AgaR	nirB//
AidB	ynfG//
AlaS	recB//
AllR	glyA//tdcG//mpaA//argA//alkA//bioD//
AraC	citX//nfsB//fadJ//malP//iscS//purC//
ArgP	yedX//ruvA//rnpB//rsmH//nrdE//caiA//ndh//glmS//rutD//
ArgR	argC//arsC//dmsA//ynfG//tnaA//icd//sufS//citE//nrdF//yedX//pdeL//hcaC//nrfD//kbaY//puuB//mhpF//araA//pgk//garK//phnN//fabA//ynfE//adiA//
ArsR	araD//putA//
AscG	trpA//ppsA//
AtoC	ruvA//entB//nagB//
BaeR	fabI//appA//
BasR	pfkA//rutD//hcaD//
BirA	phoA//phoA//gcvP//uxuB//argI//
BluR	
BtsR	cysK//
CadC	pgaB//paaK//argF//
CaiF	hycE//ccp//grxA//cysM//fabI//
Cbl	eno//slt//glcB//phnM//accD//
CecR	tnaA//
ChbR	dmsC//paaH//ruvB//
ComR	
CpxR	rhaB//ruvB//nirD//citC//mtlD//chbG//fumC//gadB//adhE//paaC//phnL//mtlD//glpX//fes//astE//
Cra	folE//nrdD//trpB//hycB//aspA//treC//katG//purB//fadE//ydcS//glpD//cynT//patD//mhpC//glxR//murI//puuD//ubiX//fau//argH//argB//gadB//fabB//hyaC//ynfF//mdh//
CreB	
CsgD	nrdF//ssuE//uxuA//gcvH//
CspA	
CueR	nfsB//polB//
CusR	iscS//acnA//
CynR	gcl//astA//pgaD//
CysB	aroG//gntK//narI//narH//hmp//argG//guaB//galK//zwf//
CytR	araD//moaC//napH//citF//fadI//guaB//lpxC//purB//hypB//
DcuR	ndh//polA//phnO//galE//
DeoR	nanK//frdA//rhaA//garL//
DicA	
DinJ-YafQ	arsC//
DnaA	glcF//lpxC//citF//mhpD//tauD//sbcD//
DpiA	codA//glmS//galK//rutA//ndh//
EnvR	phnJ//puuB//
EvgA	citF//rutA//treC//waaY//dapB//
ExuR	
FabR	citC//nirB//nrdE//
FadR	astE//glpX//ugpQ//glcF//atoA//hcaB//gdhA//puuE//rutD//mhpC//tynA//phnJ//murQ//paaE//hycG//
FeaR	murQ//murI//
FhlA	tnaA//nanE//ulaG//aroF//tnaA//argD//sbcC//
FlhDC	hemH//tauD//
FliZ	ppsA//dmsB//metE//cysK//moaA//
Fur	phnP//pykF//hypF//dgcC//astE//cynS//hcaC//bioF//ulaD//nirB//dmsA//glpX//ftnA//argG//citG//alkB//entH//rutA//glxK//puuE//add//ssuE//dgkA//argH//ttdB//puuB//cynT//wrbA//waaY//recF//galT//
GadE	sbcC//argI//yfdE//
GadE-RcsB	murC//phnI//bioB//recB//murF//
GadW	deoA//allB//trpE//
GadX	ahpC//fbaA//glpD//napH//add//
GalR	trpB//gdhA//aceF//citX//gadB//
GalS	phnG//hycE//rutD//yfdE//bioF//
GcvA	sufS//bioD//glpX//
GlcC	torC//fabD//caiD//
GlpR	sufS//fabI//cysK//murF//tynA//purC//caiD//
GlrR	
GntR	metC//mhpD//dmsC//glpQ//cadA//
HU	hcaB//argD//trpE//glcE//
HcaR	lsrF//moaE//
HdfR	
HigA	arsC//
HigB-HigA	eno//
HipAB	entC//argF//
HipB	mhpC//purH//edd//
HprR	paaK//luxS//
HypT	pdeR//mhpB//
IclR	hcaF//lsrG//glpC//
IlvY	hcaF//
IscR	mngB//galE//ilvC//rimK//wrbA//torA//fabG//
KdgR	yqjH//
KdpE	poxB//
LacI	gadA//sufS//ribA//
LeuO	malY//araA//glpD//
LexA	glcF//lacZ//ycjG//galK//luxS//nirD//glpD//moaE//ssuD//
LldR	slt//uvrB//
LrhA	
LsrR	arsC//astD//lsrF//zwf//purC//
MalI	paaK//glpA//
MalT	poxB//eno//mtlD//narG//
MarA	slt//narI//ynfG//mhpE//puuA//ruvA//feaB//citC//napB//nemA//cynT//recB//
MarR	
MatA	chbF//
MazE	murG//
MazE-MazF	ppiA//
McbR	
MelR	ada//srkA//
MetJ	hyi//lldD//rutA//ugpQ//deoA//
MetR	gdhA//mhpF//citC//
MhpR	pdeR//adhE//kbaY//hyaB//luxS//galE//
Mlc	narH//argE//poxB//
MlrA	tam//
MngR	phnJ//tdcD//
MntR	allA//
ModE	ilvC//pgaD//gapA//ssuD//citG//ttdB//caiA//lpd//phnH//fumB//purH//glcE//entB//hemH//wzc//
MprA	nrdF//
MqsA	metA//murD//
MraZ	argG//pdeR//atoB//phnL//codA//alkA//cysM//ttdA//argF//hyaA//
MurR	aroL//glcB//metE//
Nac	glpQ//cysG//alkB//entA//
NadR	ppiA//
NagC	rutD//tdcB//lysC//nfsA//mtlD//citF//folA//lldD//umuD//rbsD//fes//nanM//aroF//mraY//
NanR	nemA//carA//zwf//paaE//argG//purN//
NarL	sbcC//astB//pdeR//entD//argE//alkA//aldA//paaE//gcvH//garK//udp//zwf//mtlD//tdcB//rutE//waaZ//aldA//narH//gcvP//malY//napG//paaY//murG//carB//
NarP	lsrF//waaZ//hycG//gadA//mhpB//entF//purH//fes//waaY//
NemR	napH//cynS//
NhaR	srkA//moaA//metA//ddlB//hycB//
NikR	pgaB//
NimR	purF//
NorR	fes//
NrdR	tauD//caiA//ynfE//metA//
NsrR	wzb//purN//oxc//metC//ychF//rutB//
NtrC	alaS//ccp//hcaF//paaJ//entD//polB//ahpC//purN//
OmpR	rnpB//entE//ndh//entD//nanK//metE//alkA//lysC//
OxyR	appA//gloA//accD//rutB//rhaD//folE//puuB//phnI//glyA//aceE//patD//glpC//fadI//
PaaX	napB//lacZ//polB//ttdA//yqjH//udp//paaZ//narG//astC//
PdeL	lsrF//
PdhR	paaI//mhpE//phnP//ygeA//purH//glmU//cadA//mtlD//purB//appA//pgaD//pgk//nrdD//gapA//narH//mraY//sodA//argB//glpX//citD//glpC//rutC//
PepA	moaE//tnaA//
PgrR	rhaB//bglB//
PhoB	lysC//entE//rhaD//ulaG//fes//purD//hyaA//lacZ//rutA//umuC//ppsA//lysA//argF//uxuB//caiC//
PhoP	tnaA//glxR//metA//
PspF	paaB//
PurR	polB//fadJ//napB//ynfH//atoB//oxc//murD//lacZ//adhE//argG//lsrG//argH//
PutA	entH//paaI//
PuuR	moaA//oxc//nrdA//hycF//sodA//glcB//
QseB	
RbsR	sbcD//nrfD//paaG//pspE//arsC//trpB//
RcdA	paaB//
RclR	
RcnR	umpH//
RcsAB	glcE//aroF//
RcsB	torC//entD//
RcsB-BglJ	hycF//gltB//
RelB	lacZ//
RelB-RelE	citD//
RhaR	
RhaS	uvrB//poxB//ruvB//glmS//
Rob	bioB//tam//ccp//ppsA//
RstA	gcvT//
RutR	hyi//citF//luxS//nfsB//deoA//garL//argH//ynfG//uvrB//ttdB//
SdiA	
SgrR	purN//rhaD//murF//
SlyA	metE//nfsB//fadI//galK//tam//ddlB//hcaF//galT//argB//
SoxR	tnaA//
SoxS	alaS//ulaD//fumB//folA//glpC//puuA//fdhF//tynA//rimK//uxuB//nrdD//fbaA//gcvH//sodA//mdh//gdhA//
StpA	cdd//
SutR	rhaD//hcaC//
TdcA	umpH//edd//lacZ//fumB//aceE//
TdcR	accC//luxS//waaY//deoD//metF//
TorR	murF//glpX//ascB//aroL//
TreR	gapA//atoD//
TrpR	gadB//ulaF//gadB//edd//atoA//puuD//dapD//glcD//mhpC//
TtdR	ldtD//bioD//
TyrR	codA//slt//trpA//pgaB//bglB//ung//fadH//napA//ttdB//
UhpA	metF//
UlaR	mazG//ascB//purB//purH//glcE//
UvrY	lsrF//fabH//
UxuR	entB//hypF//metA//
XylR	fadE//polA//hcp//
YdeO	argC//garK//grxA//
YefM	atoB//
YefM-YoeB	fadH//
YhaJ	
YjjQ	
YpdB	
YqhC	carA//pfkA//
YqjI	astB//
ZntR	hyi//
ZraR	
Zur	tyrA//
