# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	ubiX//recD//
Ada	murG//torA//entD//citC//
AdiY	gloA//purF//sodA//gntK//
AgaR	metE//
AidB	fabH//
AlaS	caiC//
AllR	rbsD//add//entB//ynfG//hcaE//mhpF//
AraC	phnG//kbaY//pck//mazG//argD//purC//
ArgP	entH//pflB//phnJ//phnN//dmsC//tdcG//ynfG//hcaD//xylA//
ArgR	hypF//phnJ//paaG//deoC//nirD//nagB//trpD//adhE//relA//ugpQ//purM//hemL//phnN//gntK//add//nrfC//mraY//pck//nrfD//fumC//glxK//uxuB//hcaF//
ArsR	hycD//hcaD//
AscG	paaJ//gpmA//
AtoC	wzb//nrfD//dmsC//
BaeR	napH//glcE//
BasR	argI//hcaF//rutC//
BirA	nemA//argI//ulaF//araD//kbaZ//
BluR	
BtsR	ulaD//
CadC	argA//argF//ruvB//
CaiF	nfsB//accA//guaA//pgaD//gcvP//
Cbl	murI//hcaD//malQ//aspA//paaF//
CecR	astD//
ChbR	hcaC//ilvC//yfdE//
ComR	
CpxR	rutA//aroH//narH//mhpF//slt//nrdF//narH//narH//fabB//ppiA//chbF//glmS//hcaE//tdcG//gapA//
Cra	metA//entA//argF//tyrB//gltD//codA//frc//aspA//carB//atoB//fadD//ilvC//cueO//araA//trpC//slt//nanK//caiC//nrdB//pgaC//argF//entH//paaF//dgcC//hcaD//kbaZ//
CreB	
CsgD	frdC//ttdA//hcaF//purC//
CspA	
CueR	cyoE//ppiA//
CusR	ascB//alaS//
CynR	recD//gadB//trpC//
CysB	arsC//citC//ulaD//slt//argE//hmp//uxuA//lpxC//pgaD//
CytR	hycD//paaC//ftsI//narI//umuC//murF//ynfG//citE//glyA//
DcuR	hmp//tam//murD//rhaD//
DeoR	ldtD//sbcD//alkB//waaZ//
DicA	
DinJ-YafQ	malP//
DnaA	murC//murC//poxB//ahpF//ulaF//luxS//
DpiA	glyA//metF//bioD//fdhF//nfsB//
EnvR	nfsA//rutC//
EvgA	wrbA//astE//gpmA//gcvH//aroH//
ExuR	
FabR	nrdA//gapA//waaZ//
FadR	paaY//yfdE//gloA//argI//garK//lsrG//fabB//pgaB//gdhA//metF//araB//entE//pnp//nrdE//treC//
FeaR	murI//mraY//
FhlA	gadA//entH//mhpA//argH//uxuB//garR//nagB//
FlhDC	fbaA//hycF//
FliZ	paaB//tyrA//galE//hcaC//murD//
Fur	ulaF//bglB//fbaA//glpA//appA//pflB//ndh//gcl//nadB//cysK//garK//xylA//napH//ugpQ//mtlD//fabG//entC//hypF//lsrK//ygeA//purH//entH//mraY//adhE//phnH//gntK//glcF//trpE//hcaC//fau//ynfE//
GadE	pdeR//paaB//rimK//
GadE-RcsB	nrdD//frdA//deoB//aceB//atoB//
GadW	pyrC//gltD//galM//
GadX	kbaY//gcvH//fes//ssuE//tyrB//
GalR	galE//phnJ//purB//paaI//paaF//
GalS	glpX//fumB//paaY//murG//glmU//
GcvA	tauD//pck//bioD//
GlcC	puuD//argC//phnI//
GlpR	nrdE//hemL//puuB//murF//murG//rimK//argF//
GlrR	
GntR	mhpC//aspA//atoD//rutC//accA//
HU	atoA//purN//dapB//aspA//
HcaR	paaZ//araB//
HdfR	
HigA	hyaB//
HigB-HigA	ppiA//
HipAB	melA//moaD//
HipB	ftnA//fumB//caiD//
HprR	garL//fumB//
HypT	glpX//waaY//
IclR	rutA//fadJ//aroF//
IlvY	galE//
IscR	gcvT//malQ//melA//phnO//murD//glpQ//purH//
KdgR	aceA//
KdpE	garR//
LacI	poxB//iscS//sodA//
LeuO	ndh//atoB//entA//
LexA	phoA//umuC//pflB//moaA//arsC//nanM//grxA//hcp//fadD//
LldR	ruvA//eda//
LrhA	
LsrR	gltD//edd//srkA//gcvH//ftnA//
MalI	glxR//accD//
MalT	phnL//accA//deoB//murG//
MarA	pgaC//nrdF//lldD//malP//mhpF//ruvA//rhaA//dmsC//ogt//aroH//glcB//deoD//
MarR	
MatA	glpQ//
MazE	paaE//
MazE-MazF	dmsA//
McbR	
MelR	aroH//rhaA//
MetJ	pnp//aceE//hemH//hycD//srkA//
MetR	fabH//ssuE//codA//
MhpR	murG//frdB//poxB//lsrK//cdd//melA//
Mlc	tyrA//rbsD//paaY//
MlrA	frdD//
MngR	mhpA//paaB//
MntR	recF//
ModE	uxuB//araD//folA//hyaB//rutE//luxS//glcF//paaE//ldtD//entH//tdcG//ppiA//ulaD//gadB//eno//
MprA	fabB//
MqsA	hypB//narH//
MraZ	nanK//ygeA//ppsA//hcaD//caiC//fadE//deoB//udp//entF//fadE//
MurR	nagA//dkgA//tauD//
Nac	mazG//puuC//aceB//entB//
NadR	ung//
NagC	udp//gcvT//puuA//aceA//argB//wrbA//allB//mhpF//fbaA//paaK//hcaC//entE//hcaB//phnL//
NanR	ynfG//nanA//murC//mhpB//puuB//puuD//
NarL	cueO//entE//gcvP//hycG//tynA//glmU//ygeA//guaB//glcB//bglB//paaI//adhE//truB//nirD//phnP//gcl//ada//ygeA//pspE//hemL//adiA//ttdA//allA//ruvB//
NarP	truB//yqhD//purD//garK//nirD//ccp//fabB//astA//ssuE//
NemR	citG//fumB//
NhaR	glpD//phoA//pgk//ydcS//ttdA//
NikR	pflB//
NimR	frdC//
NorR	glmS//
NrdR	fadE//nanE//mhpE//dgkA//
NsrR	hemL//argA//putA//garL//ldtD//mpaA//
NtrC	glpA//paaA//citF//phnN//chbF//ssuE//fabI//ruvA//
OmpR	citG//astC//yfdE//pgaC//phnI//citG//lacZ//oxc//
OxyR	argF//torC//trpB//bioF//glpB//fabB//moaC//ulaD//katG//purD//hycF//fes//paaJ//
PaaX	argF//mhpC//hyaA//tynA//dapD//entH//folA//paaB//fabD//
PdeL	ribA//
PdhR	accA//tdcD//phnG//purH//murD//entC//fdhF//carB//wzc//mpaA//caiB//paaC//glnA//tnaA//hcaD//acnA//paaZ//garR//eda//glpK//hemH//hmp//
PepA	tdcB//puuA//
PgrR	edd//murF//
PhoB	caiB//frdC//ulaD//rbsD//paaI//paaI//nrdA//ftnA//yqjH//gcl//entC//recD//mhpC//deoA//aroL//
PhoP	yfdE//trpB//puuB//
PspF	puuE//
PurR	fbaA//ccp//frc//cynT//fbaA//paaA//hmp//dmsC//astE//wzb//entH//ttdA//
PutA	lsrK//moaC//
PuuR	puuB//phoA//atoA//malP//pgaC//argC//
QseB	
RbsR	murI//icd//appA//deoC//araD//wrbA//
RcdA	murF//
RclR	
RcnR	nanK//
RcsAB	frdB//glcF//
RcsB	deoA//waaY//
RcsB-BglJ	allB//xylA//
RelB	galK//
RelB-RelE	citC//
RhaR	
RhaS	epd//hcaC//lpxC//deoC//
Rob	ulaD//carB//pspE//purC//
RstA	mazG//
RutR	frdA//purN//fadE//katG//glcE//rutC//phnM//hycB//puuC//slt//
SdiA	
SgrR	epd//paaG//argD//
SlyA	dmsA//hypB//purF//garK//cysG//glyA//frc//patD//lysC//
SoxR	nrdA//
SoxS	guaB//ccp//fadE//puuC//arsC//argA//hycC//srkA//cysK//lpd//glmS//dmsB//polB//glpD//galE//relA//
StpA	glmS//
SutR	ogt//argA//
TdcA	paaC//hypF//dmsC//metA//hcaD//
TdcR	fadE//glcD//narH//mngB//murI//
TorR	xylA//ulaD//aceA//uxuA//
TreR	eno//murF//
TrpR	ynfE//wrbA//sodA//deoA//tynA//pdeL//nrdE//glpQ//edd//
TtdR	puuB//trpA//
TyrR	ttdA//tyrB//wzc//add//deoA//ygeA//ahpC//pspE//mdh//
UhpA	hyaC//
UlaR	pgaD//tyrA//fabD//lacA//tam//
UvrY	hcaC//phnJ//
UxuR	lysC//mhpC//nfsB//
XylR	ung//pyrC//nirD//
YdeO	nrdE//purM//lysC//
YefM	alkB//
YefM-YoeB	glcB//
YhaJ	
YjjQ	
YpdB	
YqhC	rimK//napB//
YqjI	aceE//
ZntR	waaZ//
ZraR	
Zur	aceB//
