# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	chbG//mhpC//
Ada	recF//moaA//phnH//paaG//
AdiY	ynfF//rutC//lsrG//sodA//
AgaR	srkA//
AidB	lldD//
AlaS	umuD//
AllR	ruvB//alaC//argA//ynfG//napH//purC//
AraC	torC//phoA//paaJ//hycE//appA//nfsB//
ArgP	napB//bioC//lysC//rsmH//rimK//allB//purN//dgcC//argE//
ArgR	araD//grxA//ssuD//caiD//rhaD//aroL//rbsD//citC//nanK//codA//fumB//glpK//lsrF//phnJ//wrbA//accD//pflB//slt//puuA//hcaB//mngB//ascB//gcl//
ArsR	gcvP//xylB//
AscG	katG//ruvB//
AtoC	hypB//caiB//fumC//
BaeR	deoB//murG//
BasR	aroH//paaI//entD//
BirA	carA//glxR//dapD//aroL//umuC//
BluR	
BtsR	ttdA//
CadC	lacZ//murI//cdd//
CaiF	yqhD//caiD//entH//glpX//ttdB//
Cbl	hcaB//ssuE//ychF//ycjG//uvrB//
CecR	entH//
ChbR	dgkA//arsC//purN//
ComR	
CpxR	melA//nanM//ssuE//ulaF//ychF//paaG//patD//paaC//fabH//phnP//napB//ppiA//pgk//torC//metA//
Cra	nfsA//phnN//ascB//waaZ//umuD//hcaC//eno//eda//guaA//frc//gcvP//slt//gcvP//garR//ynfE//aceB//aspA//glxK//tam//paaI//gpmA//glyA//ascB//frdC//ubiX//udp//
CreB	
CsgD	slt//nrdE//phnP//nrdB//
CspA	
CueR	gltD//hyaA//
CusR	entH//frc//
CynR	udp//ydcS//pgaC//
CysB	nrfD//entH//purM//argH//adhE//puuC//hmp//ascB//accD//
CytR	kbaY//glpK//fadE//citG//lsrG//nagA//galE//argB//bioB//
DcuR	uxuB//moaE//truB//cysG//
DeoR	fabA//citF//frc//galT//
DicA	
DinJ-YafQ	umuD//
DnaA	acnA//bioC//codA//hcaC//treC//kbaZ//
DpiA	bioD//aroG//rutB//phnH//cysG//
EnvR	mpaA//phnN//
EvgA	nagB//galT//glpX//waaY//trpD//
ExuR	
FabR	lldD//purC//add//
FadR	sufS//fabH//allB//rhaB//frdA//paaB//phnM//guaA//ynfE//entE//umuC//dgkA//tdcB//purB//mhpC//
FeaR	sbcD//purC//
FhlA	ychF//paaC//patD//fadE//metC//nirD//nfsB//
FlhDC	nfsA//tdcD//
FliZ	entH//nirD//murF//pdeR//hycB//
Fur	torA//paaY//dgkA//aceA//argB//ugpQ//putA//katG//grxA//caiD//purH//polA//accD//murI//ogt//glcF//garL//tam//dgcZ//pgaB//ndh//kbaY//paaY//gloA//narG//entB//rutB//trpD//glxK//ynfH//mpaA//
GadE	hmp//trpC//yfdE//
GadE-RcsB	nfsB//hyaB//accA//metE//lsrK//
GadW	hcaC//udp//tdcE//
GadX	allA//murD//pspE//argE//uxuB//
GalR	nadB//srkA//napA//chbG//cysG//
GalS	hcaF//nrdD//puuD//metF//pgaD//
GcvA	phnN//rbsD//lsrG//
GlcC	yqhD//umpH//edd//
GlpR	frdA//mhpF//mhpB//gcvT//moaE//tyrB//wzc//
GlrR	
GntR	dapB//hcaE//entH//alaS//aceF//
HU	argE//ccp//fabH//moaC//
HcaR	edd//uxuB//
HdfR	
HigA	lacZ//
HigB-HigA	sbcC//
HipAB	dkgA//ulaG//
HipB	paaK//gltD//guaB//
HprR	gpmA//ubiX//
HypT	gloA//add//
IclR	glcE//ogt//ppsA//
IlvY	hycC//
IscR	gcvT//rutD//waaZ//aceF//glpA//grxA//rutC//
KdgR	metC//
KdpE	nrdB//
LacI	dkgA//pflB//uxuA//
LeuO	paaB//lsrG//epd//
LexA	purH//moaE//waaZ//murE//argH//purM//appA//murC//aldA//
LldR	lacA//pdeR//
LrhA	
LsrR	alkA//phnN//murD//polA//aroH//
MalI	aceB//paaJ//
MalT	phnO//malY//glnA//dapB//
MarA	purB//mhpD//caiB//bioC//adiA//bioB//frdC//puuC//glcD//entD//murG//lacA//
MarR	
MatA	xylB//
MazE	xylB//
MazE-MazF	pflB//
McbR	
MelR	cueO//kbaY//
MetJ	purN//alkA//gcvH//narG//torC//
MetR	tyrA//gadA//nanM//
MhpR	cysM//accC//argD//moaD//frc//rhaA//
Mlc	hemH//nrfC//moaD//
MlrA	dmsA//
MngR	lsrG//cysM//
MntR	atoA//
ModE	hcaF//arsC//folA//umpH//aceF//fabA//hypF//metE//accA//purN//yedX//mraY//nadB//fadE//yedX//
MprA	xylB//
MqsA	paaA//fabG//
MraZ	dapB//rutA//hypB//adiA//paaG//eno//fadI//puuC//entA//araB//
MurR	yqjH//purB//malY//
Nac	purA//puuA//katG//paaJ//
NadR	alkA//
NagC	glcE//gadA//frdB//gntK//gadA//narH//moaA//ftsI//fabB//aspA//dkgA//fabA//glmU//frdC//
NanR	napB//astB//nrfA//tdcB//gpmA//puuD//
