# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	fabA//ulaD//
Ada	glcF//melA//gadA//entD//
AdiY	aceE//napG//cysG//fau//
AgaR	hycF//
AidB	add//
AlaS	slt//
AllR	phnJ//atoA//chbF//hmp//nrdE//ftsI//
AraC	aceA//nanE//udp//malQ//purC//mazG//
ArgP	rhaD//uvrB//glcB//fadH//purN//lpd//ogt//relA//ldtD//
ArgR	ydcS//entH//aceA//nrdF//gadB//napB//pflB//deoB//uvrB//folA//ruvB//aceA//citD//glcF//phoA//ynfG//napH//deoB//atoD//alaC//feaB//appA//pdeL//
ArsR	rnpB//ynfH//
AscG	sbcD//glnA//
AtoC	mhpE//nirD//purN//
BaeR	glpK//ung//
BasR	guaA//glpA//treC//
BirA	dgkA//bioA//glpC//lpxC//hemH//
BluR	
BtsR	rbsD//
CadC	hyaB//ppsA//slt//
CaiF	tdcD//dgcZ//phnJ//ada//aceA//
Cbl	murI//narH//nanA//phoA//ppiA//
CecR	dmsC//
ChbR	entE//deoB//wrbA//
ComR	
CpxR	guaB//pgk//cynT//cysE//uxuB//hycG//pgk//citF//argB//cdd//fabH//moaA//fau//metF//gcvH//
Cra	cueO//sbcD//citG//feaB//hycC//pspE//glnA//recF//fbaA//hycB//phnL//cueO//xylB//rutA//lsrG//fabH//zwf//hmp//paaC//rutC//adiA//argI//phnN//fabH//xylA//umpH//
CreB	
CsgD	paaG//dapB//phnP//cynS//
CspA	
CueR	paaC//caiB//
CusR	appA//citE//
CynR	gcvH//aroF//murG//
CysB	ldtC//torA//hycB//mtlD//purM//phnG//murG//tam//ldtD//
CytR	deoB//tdcD//paaJ//napA//trpC//fabG//glpD//phnO//lldD//
DcuR	fadE//gltB//rhaD//tam//
DeoR	murD//lpxC//umuD//hycD//
DicA	
DinJ-YafQ	tynA//
DnaA	garK//wzc//mhpA//sbcD//phnM//hcaE//
DpiA	tnaA//aroG//fabG//nrfC//nrfC//
EnvR	glpX//phnO//
EvgA	melA//nanK//moaA//waaZ//feaB//
ExuR	
FabR	katG//ttdA//ndh//
FadR	astD//hyaC//hyaC//ilvC//entF//entC//fdhF//narH//glcF//glnA//ldtD//poxB//pgaB//yqhD//glcB//
FeaR	ygeA//aroL//
FhlA	puuB//trpD//lsrF//ychF//polB//fadH//moaE//
FlhDC	frdD//pfkA//
FliZ	trpB//frdD//pdeL//pfkA//ulaD//
Fur	ulaD//srkA//nadB//tyrB//galK//glmS//tnaA//glcF//nanE//argA//nagB//caiB//aceF//pspE//xylB//bglB//ftsI//nrdE//folE//glxR//relA//folA//rutE//alkB//phnH//gcvH//purF//zwf//trpA//truB//caiD//
GadE	lldD//pgaB//aspA//
GadE-RcsB	guaB//rhaD//ynfF//udp//cyoE//
GadW	ydcS//hyaA//fdhF//
GadX	argG//guaA//argB//cynS//phnN//
GalR	cysE//aroG//argH//pnp//gadA//
GalS	pdeL//mtlD//feaB//entD//umuD//
GcvA	glcD//alaC//phnO//
GlcC	bioA//glpC//tnaA//
GlpR	gcvT//narG//accC//trpB//glpK//dgcZ//fes//
GlrR	
GntR	ulaE//rbsK//umpH//ogt//polB//
HU	phnM//codA//bioF//ssuE//
HcaR	ssuE//fdhF//
HdfR	
HigA	ygeA//
HigB-HigA	cysG//
HipAB	alkB//phnL//
HipB	trpE//melA//paaE//
HprR	ldtC//hcaF//
HypT	recB//glpB//
IclR	polA//entA//pflB//
IlvY	fdhF//
IscR	paaA//dmsB//argA//entE//hycC//caiA//recB//
KdgR	aceE//
KdpE	ddlB//
LacI	cueO//gcvP//paaI//
LeuO	bioB//citD//aroH//
LexA	frdC//hycD//grxA//malQ//alkB//puuE//frdC//gadA//caiA//
LldR	mhpD//gntK//
LrhA	
LsrR	entB//rutD//argB//add//nanE//
MalI	argF//ssuE//
MalT	lpxC//yedX//rutE//mhpC//
MarA	gltD//gcvH//murE//tyrA//atoA//purD//ftsI//nanM//ddlB//dgcZ//entH//phoA//
MarR	
MatA	accC//
MazE	fbaA//
MazE-MazF	gntK//
McbR	
MelR	ftnA//treC//
MetJ	nanM//xylA//paaB//carB//argH//
MetR	napG//metE//feaB//
MhpR	carB//alkB//phnH//aroG//katG//phnH//
Mlc	phoA//garL//metE//
MlrA	galM//
MngR	rnpB//ung//
MntR	aceB//
