# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	mazG//tyrA//
Ada	rhaA//putA//trpB//ygeA//
AdiY	entD//torC//gdhA//udp//
AgaR	metC//
AidB	bioD//
AlaS	carA//
AllR	dkgA//hcaF//pdeR//fumB//hycG//mhpE//
AraC	glpD//ahpC//kbaY//purB//alaS//gadA//
ArgP	gltD//waaZ//dapB//rhaB//ychF//tyrB//nanK//umuC//citG//
ArgR	waaY//xylB//nirB//hemL//uvrB//deoB//ribA//rutC//paaC//hycF//pgaB//fumB//fumC//glnA//ccp//ppsA//pck//nanM//narG//galM//gdhA//murC//purN//
ArsR	puuA//ynfE//
AscG	hyaB//citX//
AtoC	lysC//glpB//gltB//
BaeR	lysA//purD//
BasR	nrdB//paaB//pykF//
BirA	srkA//adiA//waaY//deoB//putA//
BluR	
BtsR	paaH//
CadC	rhaB//cysE//paaC//
CaiF	pgaC//zwf//lsrK//dmsA//phnG//
Cbl	ygeA//gloA//hcp//ulaF//pspE//
CecR	adhE//
ChbR	ppsA//tdcG//glpQ//
ComR	
CpxR	napA//ycjG//alaS//rbsK//feaB//pykF//gcvP//kbaY//rutE//hypB//uxuB//hcaD//cynT//argB//cysK//
Cra	purB//nrdA//mazG//puuD//ppsA//ulaD//dmsB//nrdD//accC//astE//aroL//garR//garK//torA//sbcC//bioB//malY//alkA//lacZ//hycD//rhaB//recF//icd//relA//frc//caiD//
CreB	
CsgD	glpA//treC//garK//pfkA//
CspA	
CueR	glpB//lsrK//
CusR	umuC//nrfA//
CynR	fadI//waaY//torA//
CysB	pnp//galM//treC//glpB//garL//rbsD//ynfG//sbcC//bioC//
CytR	polA//entE//lysA//nrdB//ulaG//cyoE//fbaA//caiD//araB//
DcuR	nemA//ascB//ygeA//aspA//
DeoR	fau//sodA//ssuD//dmsC//
DicA	
DinJ-YafQ	malQ//
DnaA	lldD//purH//adiA//ynfF//murG//hycC//
DpiA	argI//narH//puuB//ftnA//dmsC//
EnvR	galK//bioF//
EvgA	guaA//srkA//hycG//entE//ldtC//
ExuR	
FabR	ftnA//moaD//dmsB//
FadR	mazG//gltB//glcE//glyA//mhpA//argG//aroG//tnaA//gadB//glxK//patD//paaG//pspE//folA//caiA//
FeaR	adiA//codA//
FhlA	argH//phnM//cysM//mhpB//metF//mpaA//ynfF//
FlhDC	hcaF//fes//
FliZ	ynfF//trpC//umuD//rutB//pdeR//
Fur	bioA//argI//napG//entE//murD//slt//caiA//mhpC//alaC//glxR//uvrB//puuD//ynfH//phnI//purD//moaD//yfdE//pgaD//nfsA//pgk//ldtD//torC//sbcC//nrfA//poxB//galT//pck//fabB//murG//fdhF//recB//
GadE	patD//relA//tynA//
GadE-RcsB	bioF//purF//glxR//entA//pdeR//
GadW	entD//paaC//katG//
GadX	carA//lacZ//cysM//glpX//gadA//
GalR	torC//hyaA//paaB//purA//murI//
GalS	putA//ahpF//trpD//folE//adhE//
GcvA	garR//metA//glpK//
GlcC	phnG//tdcB//dgcZ//
GlpR	fabG//mngB//hycF//citC//trpE//puuC//lysC//
GlrR	
GntR	gcvT//nrfA//fumC//nagA//glpC//
HU	pnp//nrdA//lysA//paaY//
HcaR	atoD//kbaZ//
HdfR	
HigA	phnO//
HigB-HigA	pnp//
HipAB	murI//tdcE//
HipB	ccp//allA//aceB//
HprR	glcD//aroL//
HypT	poxB//ttdA//
IclR	hcaF//hypF//paaE//
IlvY	phnP//
IscR	paaZ//fes//mraY//uxuA//allA//treC//uvrB//
KdgR	malY//
KdpE	hyaB//
LacI	hycC//metA//nirD//
LeuO	fbaA//rutB//uxuA//
LexA	pdeL//dgcC//mhpE//gdhA//pdeL//aceB//tam//dgkA//glmU//
LldR	atoA//hypB//
LrhA	
LsrR	narI//gntK//hycC//paaG//nrdD//
MalI	ttdB//mhpD//
MalT	fadI//fabA//dmsB//yedX//
MarA	trpE//nrfC//glxK//nanK//narG//ulaE//pnp//mhpA//glpA//tdcE//ssuE//pdeL//
MarR	
MatA	gcvH//
MazE	ynfF//
MazE-MazF	nrdD//
McbR	
MelR	lsrG//fabI//
MetJ	tauD//cynS//malP//frdA//puuE//
MetR	araA//entE//ruvB//
MhpR	fabH//hmp//truB//aroF//pfkA//pykF//
Mlc	fumC//glxK//hypB//
MlrA	nanE//
MngR	trpA//cysG//
MntR	phnI//
ModE	ynfE//puuC//lacZ//pdeL//hcaB//cysG//glmU//rutB//mdh//trpD//fabH//cyoE//malQ//ilvC//nanE//
MprA	polB//
MqsA	oxc//rsmH//
MraZ	tynA//nrfD//tam//hypF//ung//citC//hycG//dapB//garK//atoA//
MurR	narI//glmS//sodA//
Nac	nrfC//murE//ulaF//trpC//
NadR	napA//
NagC	polB//caiC//entH//ttdA//nrdB//allA//sbcD//gcvP//epd//fdhF//glxR//ndh//lysC//hycC//
NanR	phnJ//ycjG//ahpC//ldtD//purD//rutB//
NarL	ftnA//glxK//xylA//rnpB//adiA//frdB//atoD//purM//rhaB//ada//srkA//atoB//napH//puuE//dapD//entB//folA//metA//napA//napG//arsC//argD//malQ//slt//
NarP	sbcC//ddlB//hcaB//hemL//hcaC//ftsI//ycjG//fabA//alaC//
NemR	frdB//purM//
NhaR	luxS//puuE//bioF//rsmH//hycC//
NikR	moaC//
NimR	glpX//
NorR	hypB//
NrdR	rutD//hycG//paaJ//paaZ//
NsrR	phnM//aspA//rhaD//alkB//ccp//paaF//
NtrC	frdA//mhpF//lsrF//recF//nanE//trpA//phoA//fabB//
OmpR	nfsA//pykF//dkgA//metA//recF//entF//deoC//citF//
OxyR	katG//ssuD//pykF//glxR//paaG//iscS//pfkA//paaE//entF//mraY//narG//moaA//lldD//
PaaX	pfkA//hycD//narH//aroF//kbaZ//gntK//phnG//paaI//bioD//
PdeL	ldtC//
PdhR	fabG//paaG//paaZ//malP//ygeA//fbaA//wzb//pck//atoA//cdd//fbaA//epd//aroF//astE//lysC//uxuA//mraY//argF//lsrK//cdd//fau//fdhF//
PepA	rutA//phoA//
PgrR	edd//adhE//
PhoB	narI//dgkA//cdd//atoD//paaI//moaE//putA//cysM//napH//tdcE//napB//ruvB//recD//purD//yedX//
PhoP	tynA//narI//nfsB//
PspF	astC//
PurR	purF//ndh//tyrA//nagA//nanM//accC//metE//recD//garR//pdeR//xylB//pgaB//
PutA	glxK//glpA//
PuuR	luxS//purD//rhaB//murG//mhpE//pflB//
QseB	
RbsR	glcF//purC//fau//astB//aceA//fes//
RcdA	cysK//
RclR	
RcnR	polB//
RcsAB	murI//rbsK//
RcsB	gpmA//kbaY//
RcsB-BglJ	puuB//paaH//
RelB	moaA//
RelB-RelE	phnJ//
RhaR	
RhaS	deoC//murF//cadA//paaJ//
Rob	dgcC//glmS//citF//slt//
RstA	argA//
RutR	hypF//nadB//rimK//paaZ//araB//rbsD//murE//argG//nirD//astB//
SdiA	
SgrR	treC//glmS//nanA//
SlyA	ulaG//aldA//fabG//murD//yqhD//phnN//yqjH//ssuD//pgk//
SoxR	trpC//
SoxS	hyaA//tauD//rhaD//melA//wzb//paaI//metC//cueO//ftsI//entF//puuB//fadI//bioF//ppsA//puuD//lysC//
StpA	frdA//
SutR	bioA//gntK//
TdcA	ynfG//recB//mhpB//paaF//frdD//
TdcR	napG//nanM//ubiX//caiD//paaB//
TorR	astA//citD//polB//gcvH//
TreR	epd//ppsA//
TrpR	gcl//galM//umuC//gcl//adhE//tyrA//entF//nrfC//dkgA//
TtdR	paaY//recF//
TyrR	fumB//hyaA//fabD//murG//paaH//glmU//nrdB//glpB//rutB//
UhpA	paaC//
UlaR	ldtD//citD//edd//ogt//waaY//
UvrY	mazG//paaJ//
UxuR	paaH//ulaD//rutE//
XylR	glnA//sufS//mhpB//
YdeO	luxS//citG//yqhD//
YefM	argD//
YefM-YoeB	argC//
YhaJ	
YjjQ	
YpdB	
YqhC	ttdA//glcF//
YqjI	ascB//
ZntR	astB//
ZraR	
Zur	paaI//
