# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	phnH//gdhA//
Ada	accA//hcaF//trpC//appA//
AdiY	guaB//ydcS//nrdD//recB//
AgaR	frdD//
AidB	deoA//
AlaS	ttdB//
AllR	mhpD//lacA//tnaA//cynS//wzb//lpd//
AraC	citC//araD//gapA//aroG//citE//glnA//
ArgP	citG//puuD//glxR//narG//glpD//paaY//fau//atoA//gadA//
ArgR	lsrF//fumB//chbF//aroH//ahpF//entB//rhaD//murF//tyrA//ftsI//lsrK//trpC//mhpB//ulaF//astC//astE//udp//ynfE//yqhD//mazG//glcB//nadB//nagA//
ArsR	tynA//napA//
AscG	purH//alaC//
AtoC	narH//narH//moaD//
BaeR	umuD//aceE//
BasR	hcaC//rhaB//galK//
BirA	gdhA//mhpB//accD//paaG//entB//
BluR	
BtsR	kbaY//
CadC	entH//phnL//pgaC//
CaiF	ascB//hemH//mraY//torA//chbF//
Cbl	rutA//torC//rhaA//ssuE//hycF//
CecR	nanA//
ChbR	ychF//ynfH//galT//
ComR	
CpxR	garL//galK//aceF//nemA//fadH//fadI//ahpC//ppsA//nrdA//poxB//murQ//fbaA//fumB//fadD//glpK//
Cra	hcaE//bioA//dapD//rhaB//carB//pykF//fadD//alkA//gadA//katG//yfdE//eno//accD//deoB//glyA//rutA//yfdE//aroF//mtlD//relA//phnO//paaH//ugpQ//add//recF//metE//
CreB	
CsgD	narG//argB//lysA//argI//
CspA	
CueR	eda//malP//
CusR	luxS//sbcC//
CynR	rutD//rutD//pfkA//
CysB	narI//argF//ulaF//argA//atoA//murD//citX//tdcG//frc//
CytR	purN//tnaA//dmsB//cadA//atoB//ulaE//trpB//rhaD//moaA//
DcuR	patD//fadI//ccp//glcD//
DeoR	mhpD//argG//ldtD//lsrK//
DicA	
DinJ-YafQ	poxB//
DnaA	moaC//argF//argB//argC//entA//recB//
DpiA	phnH//nirB//mhpD//umuC//argI//
EnvR	luxS//deoC//
EvgA	add//aceB//hypB//adiA//purD//
ExuR	
FabR	nanK//hypB//ascB//
FadR	argE//galK//gloA//glxK//cueO//mhpF//cysG//nirB//ulaE//glcD//fumB//fadH//ydcS//tdcE//entA//
FeaR	acnA//napH//
FhlA	paaF//ogt//paaG//paaJ//dmsC//galE//treC//
FlhDC	argC//moaA//
FliZ	hycE//phnO//hcaB//nagA//argI//
Fur	ulaD//pflB//tyrA//citX//fabH//fdhF//aceE//pgaB//wrbA//adiA//purH//purC//fabI//polB//murG//gcl//tauD//relA//deoD//araD//dgkA//moaE//astE//phnN//atoD//dmsA//cysE//dgkA//puuE//poxB//pdeR//
GadE	aceB//phnG//lldD//
GadE-RcsB	gdhA//tdcB//pyrC//araB//glpK//
GadW	lysC//aceB//phnI//
GadX	argH//glcB//fabG//araD//guaA//
GalR	entF//murD//moaA//caiA//alaC//
GalS	ychF//hcaB//polB//melA//purM//
GcvA	kbaY//murI//aroG//
GlcC	argF//ydcS//citD//
GlpR	mhpE//wzb//glcE//narH//slt//fumB//hypB//
GlrR	
GntR	glcF//hyaB//glcD//gdhA//pgk//
HU	malP//glnA//bglB//caiC//
HcaR	purF//gadB//
HdfR	
HigA	lysA//
HigB-HigA	hcaD//
HipAB	rhaB//atoB//
HipB	deoD//fumB//hycB//
HprR	frdC//glcE//
HypT	xylA//paaE//
IclR	lldD//citE//paaH//
IlvY	cadA//
IscR	ychF//melA//nemA//lsrG//lsrF//tynA//nrdB//
KdgR	bioA//
