# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	fadI//gntK//
Ada	ogt//purM//araA//cysK//
AdiY	ddlB//dgcC//argC//sbcC//
AgaR	napG//
AidB	ttdB//
AlaS	aceF//
AllR	paaI//polB//sbcC//nrdF//fadI//gadB//
AraC	hypB//purD//lysA//adhE//cyoE//tyrA//
ArgP	sodA//murE//chbF//purB//purF//phnJ//narG//puuC//hcaF//
ArgR	gltB//fes//aroF//ccp//pdeL//metF//mhpC//bglB//pgk//ppsA//gltD//fadJ//astD//araD//truB//slt//araD//hcaF//murD//caiB//zwf//caiC//chbG//
ArsR	ldtC//cueO//
AscG	murC//alkB//
AtoC	argI//nrdA//dmsA//
BaeR	metA//appA//
BasR	kbaY//entH//fumB//
BirA	citX//ychF//glmS//caiC//bioA//
BluR	
BtsR	srkA//
CadC	purC//aldA//hemH//
CaiF	nrfA//gltB//tdcD//ascB//truB//
Cbl	aroF//lldD//katG//hcaB//malQ//
CecR	xylA//
ChbR	uvrB//deoB//hcaF//
ComR	
CpxR	nrfD//recD//nanK//hcaD//nemA//glcB//puuE//citE//puuB//purC//cysG//phnM//paaI//ruvB//citD//
Cra	metC//hcaC//chbG//murI//kbaZ//tdcE//lpd//purC//garK//pnp//paaI//fes//paaB//fadJ//ribA//phnH//hmp//dgkA//bioC//feaB//fdhF//pgk//gcvH//ldtD//nanK//cadA//
CreB	
CsgD	malQ//ttdA//recD//phnP//
CspA	
CueR	oxc//icd//
CusR	ynfG//rbsK//
CynR	pgaB//hyaB//nrdB//
CysB	fabD//pgaB//paaJ//rhaD//hycB//katG//tyrA//oxc//garL//
CytR	argF//treC//yfdE//aroH//astD//glmU//moaA//lpxC//caiA//
DcuR	bioF//alkA//phoA//glxR//
DeoR	mhpC//entD//gloA//garR//
DicA	
DinJ-YafQ	dmsB//
DnaA	guaB//uvrB//nagA//fumC//dmsA//malY//
DpiA	caiC//ilvC//narG//cysK//paaA//
EnvR	pck//arsC//
EvgA	aroG//dapD//ahpC//lacA//phnO//
ExuR	
FabR	ruvB//rbsK//paaC//
FadR	metC//hyaC//araB//rutC//glpC//murF//astE//alkA//rsmH//metC//glnA//fdhF//aceF//sodA//galE//
FeaR	guaA//argC//
FhlA	ppsA//srkA//torA//pflB//araA//allB//deoA//
FlhDC	rbsK//rbsK//
FliZ	rbsD//glxK//glmS//yqhD//hmp//
Fur	ygeA//murG//mhpF//murQ//murF//metF//fadH//gcvH//ulaG//lldD//phnI//purH//entF//ttdB//trpA//malP//yedX//frdC//hycB//feaB//argG//nrdA//puuC//caiC//aceF//argB//phnI//cynT//pykF//puuC//luxS//
GadE	hycF//udp//sufS//
GadE-RcsB	tdcD//gcl//frdA//rhaA//ynfF//
GadW	murD//allA//narI//
GadX	murD//gltD//udp//hypB//murI//
GalR	entA//cynT//accD//garK//torC//
GalS	mhpA//ttdB//ahpC//rhaD//arsC//
GcvA	ccp//hypF//cueO//
GlcC	rhaA//metC//nemA//
GlpR	argF//mhpC//guaB//wzc//kbaY//ygeA//ugpQ//
GlrR	
GntR	uxuB//alaS//yqhD//deoC//recB//
HU	rutC//araD//puuB//citX//
HcaR	phnL//caiA//
HdfR	
HigA	nrfA//
HigB-HigA	eno//
HipAB	sodA//relA//
HipB	ssuD//napB//umpH//
HprR	nrdB//icd//
HypT	dapD//argE//
IclR	napA//melA//ppsA//
IlvY	ulaG//
IscR	aceF//uxuB//cadA//phnI//ulaE//tam//guaA//
KdgR	hcp//
KdpE	murF//
LacI	entF//argH//putA//
LeuO	ndh//glnA//eda//
LexA	fumB//yfdE//caiA//aceE//deoB//malP//astB//caiC//argB//
LldR	treC//ftsI//
LrhA	
LsrR	paaK//argE//purC//citC//relA//
MalI	entF//trpD//
MalT	argE//grxA//malQ//treC//
MarA	ttdB//ulaG//mazG//ynfG//caiA//icd//entF//entA//fabI//nrdD//lysC//epd//
MarR	
MatA	murG//
MazE	metC//
MazE-MazF	argC//
McbR	
MelR	fau//hyaB//
MetJ	lysA//deoB//ynfE//wzc//metF//
MetR	moaD//tnaA//nanK//
MhpR	hycD//glcF//bioB//moaC//hcaC//sodA//
Mlc	deoC//ung//fabH//
MlrA	dmsC//
MngR	narH//purN//
MntR	epd//
ModE	napG//metC//ribA//lsrG//araA//adiA//gcl//accA//codA//glpQ//tdcD//hcp//polB//argA//sbcC//
MprA	malY//
MqsA	ddlB//napG//
MraZ	argF//ilvC//glmS//xylB//nfsA//aceF//paaA//patD//alaC//aceB//
MurR	entH//kbaY//glxK//
Nac	dgcC//entA//nanA//ynfH//
NadR	ppsA//
NagC	hycD//aceA//nirD//moaA//uvrB//alaC//frc//acnA//glcB//trpE//cysE//ddlB//puuD//umuC//
NanR	tyrA//uxuA//purH//umpH//rbsK//paaE//
NarL	hycD//xylA//carB//dapB//paaG//phnI//sodA//pdeR//ttdA//gpmA//fes//ftsI//tynA//paaA//torC//metC//entA//entH//pdeR//gcvH//rutD//glpX//citG//polA//
NarP	katG//paaB//hemL//aceE//glmU//caiD//chbG//hyaA//pdeL//
NemR	glpB//dapB//
NhaR	recB//citX//recF//glyA//hypB//
NikR	lysA//
NimR	recD//
NorR	kbaZ//
NrdR	tauD//putA//gltD//gcvH//
NsrR	recF//udp//treC//malY//paaC//ccp//
NtrC	mhpA//ssuD//murD//folA//cynS//slt//ychF//araA//
OmpR	tdcD//fadI//hypF//tdcG//fadH//glmU//dkgA//glpC//
OxyR	rutD//atoB//murQ//argH//glmS//murG//mhpB//fabA//paaE//cysK//puuD//paaF//yqjH//
PaaX	dmsC//luxS//allA//nrdE//adiA//ynfG//astE//moaD//purC//
PdeL	hcaD//
PdhR	ppsA//glxK//narG//rutB//narG//recB//bioD//glmU//paaA//paaF//fadI//folA//dmsB//fumB//bioA//wrbA//hcp//garL//iscS//moaE//tdcB//argB//
PepA	nrfC//fes//
PgrR	adhE//nirD//
PhoB	astE//citX//gltB//deoB//tdcD//caiA//rsmH//ahpC//ascB//alaS//narG//pflB//mhpD//fabB//ulaE//
PhoP	nrdA//hycG//nirD//
PspF	melA//
PurR	bioA//arsC//rbsK//fadJ//ynfE//mhpF//accC//nirD//hycD//allA//truB//arsC//
PutA	lacA//glpD//
PuuR	ldtD//torA//glpA//fabD//cysK//glmU//
QseB	
RbsR	tdcB//pdeL//pfkA//dgcZ//nanM//cueO//
RcdA	alkB//
RclR	
RcnR	pdeL//
RcsAB	hycG//ydcS//
RcsB	galM//hcaB//
