# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	cysM//araB//
Ada	dkgA//entD//glnA//glpX//
AdiY	dmsB//moaA//fbaA//hcp//
AgaR	fumB//
AidB	gdhA//
AlaS	wzc//
AllR	xylA//glxR//glpA//oxc//glxK//mdh//
AraC	dgcC//ynfF//citX//cynT//luxS//paaE//
ArgP	polB//rhaB//ccp//galK//rhaD//gapA//bioA//folA//pgk//
ArgR	hcaF//lpxC//rutD//garK//purC//trpA//ung//dgcC//trpA//recD//puuE//galK//alkA//epd//deoC//pykF//mraY//frdC//ftnA//dgcC//glxK//rutE//aroF//
ArsR	wrbA//alaC//
AscG	deoC//bioD//
AtoC	gloA//hycE//sbcC//
BaeR	sbcD//adiA//
BasR	ssuE//rimK//phnP//
BirA	dmsB//dapB//dapB//poxB//dmsB//
BluR	
BtsR	aceF//
CadC	ynfG//icd//astC//
CaiF	astB//entH//murQ//murC//gadA//
Cbl	phnL//hemH//argI//galT//deoC//
CecR	phnJ//
ChbR	astC//nrdB//yfdE//
ComR	
CpxR	fabI//purD//paaZ//nirD//pck//yedX//pdeR//rhaB//ulaD//recD//pflB//sbcD//bioA//puuA//xylB//
Cra	polA//hycE//adhE//rbsK//sbcD//gcvH//purN//putA//citX//wrbA//ahpC//deoB//sbcD//entA//ssuD//nfsA//feaB//lysC//fadH//ribA//hycF//purN//chbG//frc//murF//hycC//
CreB	
CsgD	polA//fadJ//malP//putA//
CspA	
CueR	paaC//ilvC//
CusR	fau//mngB//
CynR	sodA//luxS//nirB//
CysB	ulaE//aspA//aceE//murC//puuD//astC//lacZ//caiD//ydcS//
CytR	icd//katG//moaD//luxS//argD//nanK//gadB//pnp//hypB//
DcuR	galT//gltD//gcvH//tyrA//
DeoR	fabG//guaB//bioB//ribA//
DicA	
DinJ-YafQ	argB//
DnaA	hemH//gadB//allA//lacA//entC//glcB//
DpiA	sodA//moaD//ssuD//bioC//feaB//
EnvR	astB//pgaD//
EvgA	add//fadH//moaA//cysG//hcp//
ExuR	
FabR	rbsD//fbaA//ygeA//
FadR	hmp//deoC//purH//rutD//ubiX//hyaA//purN//argH//ascB//gpmA//cdd//melA//purD//citD//pykF//
FeaR	rhaD//caiB//
FhlA	metF//ynfH//xylB//argB//bglB//entB//nanE//
FlhDC	murI//lldD//
FliZ	ugpQ//hyi//rbsD//alkA//eda//
Fur	nrdA//yqhD//yqhD//fabB//fadI//lpxC//phnJ//caiA//gloA//ahpF//adhE//rhaA//trpA//arsC//slt//malQ//fes//frdB//uxuB//ttdB//accD//entF//fadH//pgaD//malY//ubiX//aroG//slt//guaB//ulaE//relA//
GadE	astD//torC//nirD//
GadE-RcsB	purF//arsC//paaK//treC//sbcD//
GadW	lsrG//fadH//bioA//
GadX	atoD//allB//mhpD//entB//glpQ//
GalR	astB//waaZ//deoA//ubiX//murQ//
GalS	ttdB//fumC//slt//slt//arsC//
GcvA	deoD//sufS//putA//
GlcC	purM//moaE//hycC//
GlpR	argF//slt//tynA//glpK//fadD//purH//nrfA//
GlrR	
GntR	paaZ//polB//yedX//sodA//bioC//
HU	hmp//hcp//paaC//rnpB//
HcaR	lpd//narG//
HdfR	
HigA	umuD//
HigB-HigA	ppsA//
HipAB	argH//nadB//
HipB	araD//glyA//aceA//
HprR	cyoE//murD//
HypT	paaE//pgaB//
IclR	rutE//umpH//mngB//
IlvY	bioB//
IscR	glmU//ndh//murQ//argD//uxuB//fumB//fabB//
KdgR	ppsA//
KdpE	putA//
LacI	fadE//mhpA//lldD//
LeuO	purM//argF//frdC//
LexA	caiD//narI//alaC//tdcD//metF//paaF//trpB//nirB//frdC//
LldR	cysM//folA//
LrhA	
LsrR	fdhF//umuC//narI//fadE//lacZ//
MalI	nrdF//metE//
MalT	fabB//astB//narH//phnM//
MarA	metC//gltD//dgcZ//fadI//phnM//purF//uvrB//fbaA//relA//hycC//argG//purH//
MarR	
MatA	citG//
MazE	citD//
MazE-MazF	gntK//
McbR	
MelR	gadA//argG//
MetJ	hycC//atoD//gltB//nagB//galK//
MetR	mtlD//cdd//fabD//
MhpR	ruvB//argH//rutE//relA//umuC//gadB//
Mlc	glmS//napB//glxR//
MlrA	nrdD//
MngR	rhaA//ugpQ//
MntR	galK//
ModE	murD//nrdF//purF//garR//rutA//galM//adiA//caiB//recF//fadH//purN//paaZ//deoA//glpA//astB//
MprA	torA//
MqsA	caiC//dmsC//
MraZ	murE//tdcD//hypB//galE//rhaB//purH//mhpC//deoC//wzb//ruvB//
MurR	glcD//glcE//recD//
Nac	ynfG//gpmA//aceA//nrdE//
NadR	bioA//
NagC	fdhF//guaA//sodA//paaB//galM//pdeR//gntK//rbsD//argA//ldtC//mhpD//murI//allA//eno//
NanR	aldA//fumB//epd//entF//accA//glnA//
NarL	citF//phnM//pfkA//alkB//moaA//ydcS//fdhF//cdd//ccp//rnpB//udp//garL//metC//araD//lpd//bglB//glcF//slt//paaC//dkgA//aroH//add//purC//mhpA//
NarP	tdcB//rhaA//galM//ribA//trpB//ldtC//polA//astC//pck//
NemR	murC//glyA//
NhaR	nrfD//adhE//nrdE//frdA//citG//
NikR	ppiA//
NimR	ddlB//
NorR	mpaA//
NrdR	yqhD//nrfD//hycB//fdhF//
NsrR	glcB//argD//glpX//nrdF//cyoE//nanM//
NtrC	tynA//glpB//rhaD//guaA//atoB//ulaG//hyaA//cueO//
OmpR	purF//purB//sbcC//gcvH//paaJ//phnP//ycjG//luxS//
OxyR	nrfA//argE//paaA//aroG//aceF//araB//malQ//citE//hcaE//fabG//garL//atoD//ccp//
PaaX	paaI//ndh//argI//rutE//carA//paaF//hycD//gcvT//lldD//
PdeL	oxc//
PdhR	nagB//ldtC//cysE//argI//gcl//lsrG//aceF//paaH//hyi//ada//hycG//argD//ung//gdhA//fabG//purC//fumB//chbF//rbsD//mpaA//katG//galE//
PepA	ulaG//gadB//
PgrR	ppsA//fabD//
PhoB	katG//xylB//sbcD//polA//kbaZ//aroL//recB//galM//gadA//entH//glpX//murQ//wrbA//hcaF//nrfD//
PhoP	moaC//frdC//gntK//
PspF	galM//
PurR	glpK//argA//phnO//astB//nagA//fadJ//mhpB//rhaB//fbaA//glpD//ulaE//moaE//
PutA	paaA//deoB//
PuuR	pflB//dapB//udp//phnI//moaE//iscS//
QseB	
RbsR	paaC//adhE//nfsA//grxA//mhpC//cynT//
RcdA	mhpD//
RclR	
RcnR	gltD//
RcsAB	ppsA//uvrB//
