# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	dkgA//hyaA//
Ada	rimK//napB//astD//glmS//
AdiY	ldtD//entE//bioF//epd//
AgaR	murQ//
AidB	rnpB//
AlaS	gcvT//
AllR	poxB//gcvH//aspA//dapB//nagA//carA//
AraC	bioD//uvrB//wzc//atoD//hypB//deoC//
ArgP	yqhD//luxS//ddlB//purC//umuC//nrdE//paaF//frc//cyoE//
ArgR	glpB//lysA//lysA//napH//nrdD//mtlD//fes//fumB//dmsC//arsC//astE//argF//aspA//rsmH//ribA//astC//purN//alkB//appA//rutA//yqjH//recD//nrdE//
ArsR	aldA//paaH//
AscG	glcD//nfsB//
AtoC	rbsK//hycG//entB//
BaeR	mpaA//araA//
BasR	fadE//araB//astC//
BirA	phnI//phnL//lpxC//fadD//mraY//
BluR	
BtsR	nrdA//
CadC	atoD//ycjG//nemA//
CaiF	rutB//sbcD//xylA//cysG//gcvH//
Cbl	cynS//treC//paaE//lsrK//phnM//
CecR	rsmH//
ChbR	hycG//paaK//glmU//
ComR	
CpxR	murG//rimK//accA//cadA//gpmA//alaS//entC//rutE//ldtC//dmsC//udp//rutC//galE//galK//caiC//
Cra	purM//aceE//oxc//paaI//purD//sbcD//deoB//astE//katG//glmU//ulaD//tam//glxR//treC//allA//caiA//galK//pgaD//ttdB//phnM//garR//hmp//waaZ//lsrK//tdcE//ynfH//
CreB	
CsgD	paaJ//pdeR//deoB//allB//
CspA	
CueR	purH//dgcC//
CusR	deoB//mhpD//
CynR	astD//accD//ydcS//
CysB	lpd//paaK//nrdE//folE//deoA//lpd//accC//sbcD//wzc//
CytR	ygeA//moaD//frdA//tdcE//argD//glpX//kbaZ//feaB//malQ//
DcuR	glxK//argA//ccp//gcl//
DeoR	frdB//dmsB//melA//glcD//
DicA	
DinJ-YafQ	yfdE//
DnaA	paaZ//yqjH//bglB//codA//purB//gcvP//
DpiA	truB//trpA//paaK//ynfH//murD//
EnvR	lysA//rhaD//
EvgA	mpaA//atoB//fdhF//edd//lysC//
ExuR	
FabR	nemA//nfsB//ppiA//
FadR	argG//tdcE//zwf//hycE//rutC//astE//entC//folE//sufS//allB//citC//glmS//caiA//relA//aroF//
FeaR	ttdB//arsC//
FhlA	hypF//umuC//atoD//fdhF//sufS//recD//trpE//
FlhDC	gloA//fes//
FliZ	murI//metF//citE//uxuB//wzc//
Fur	hycC//ccp//murC//feaB//narG//metF//codA//iscS//astE//purA//citE//nirD//tynA//ubiX//trpB//pyrC//frc//grxA//xylA//lsrG//lacZ//puuC//sbcD//xylA//nagA//ribA//pspE//dmsB//tdcB//paaA//cdd//
GadE	moaC//puuB//hemH//
GadE-RcsB	fabB//puuE//citG//purB//hcaF//
GadW	accC//murC//glnA//
GadX	pgaB//pflB//phnG//rbsK//ynfH//
GalR	hypF//ruvB//appA//paaA//torA//
GalS	narG//ddlB//sufS//tdcE//relA//
GcvA	glxR//epd//hmp//
GlcC	cysK//tdcB//murC//
GlpR	glcD//folA//accD//hcaC//luxS//cysE//aldA//
GlrR	
GntR	hcaF//fabB//adiA//rutC//mhpB//
HU	fbaA//folA//purF//metE//
HcaR	ruvA//rnpB//
HdfR	
HigA	carA//
HigB-HigA	cdd//
HipAB	purH//iscS//
HipB	nrdF//puuB//aceB//
HprR	purF//citF//
HypT	ppiA//cdd//
IclR	oxc//wzc//nemA//
IlvY	glpD//
IscR	yfdE//folA//caiA//lacA//guaA//hcaD//nanK//
KdgR	aceF//
KdpE	tdcD//
LacI	glpC//ung//hcaE//
LeuO	ugpQ//ychF//hycC//
LexA	purA//mhpD//recF//ascB//rhaD//adiA//hycC//deoC//yqjH//
LldR	dmsB//entA//
LrhA	
LsrR	purM//hcaD//guaB//purF//lsrF//
MalI	purM//napG//
MalT	argD//rhaA//deoA//nfsA//
MarA	murQ//murQ//accA//ulaF//mhpE//tam//astE//alkA//tdcE//nagA//caiA//rimK//
MarR	
MatA	araA//
MazE	hemH//
MazE-MazF	hemL//
McbR	
MelR	pflB//srkA//
MetJ	mazG//dgkA//argC//ada//mhpF//
MetR	nanM//fadJ//tynA//
MhpR	adiA//folA//paaC//nemA//aceF//murQ//
Mlc	wzc//astC//mhpA//
MlrA	ssuE//
MngR	wzc//lpxC//
MntR	entC//
ModE	glcB//gltD//hyaB//hemH//arsC//hcaE//nrdB//hcaD//cysK//phoA//ppsA//acnA//hmp//gdhA//tdcE//
MprA	chbG//
MqsA	tauD//mhpC//
MraZ	rhaA//hycF//glxK//ulaG//cysG//puuE//xylA//rutA//recD//dgcC//
MurR	hyi//carA//rhaA//
Nac	carA//bglB//ulaE//alaC//
NadR	nrfD//
NagC	pgaD//frdD//pgaC//malY//carA//mngB//phnM//fabA//ttdA//entH//glmU//puuE//argE//dkgA//
NanR	gpmA//galK//hcaB//mraY//mhpC//glpD//
NarL	mdh//bioB//recD//lsrG//mhpC//cynS//napA//citC//fes//argI//lacZ//truB//lldD//fabB//hypB//nagA//gntK//rhaA//glpD//moaA//glmS//frdB//purC//aroH//
NarP	umuC//pgaD//ttdB//lsrK//deoA//carA//allB//phoA//glxR//
NemR	xylA//fabI//
NhaR	hcaB//cueO//allB//lldD//aceE//
NikR	nrfC//
NimR	phnG//
NorR	torC//
NrdR	dmsA//entA//malQ//entC//
NsrR	phnL//chbG//ada//rutD//nrdE//srkA//
NtrC	paaK//gpmA//purM//epd//nrdE//argD//galT//hycD//
OmpR	ssuE//cysM//mraY//astE//glpB//gcvP//aroG//lldD//
OxyR	paaG//purN//fabI//moaC//bioD//tynA//ynfG//phnJ//purH//trpE//entE//glpC//purM//
PaaX	murG//araD//tdcD//garL//glmU//nrdE//tnaA//add//metE//
PdeL	guaA//
PdhR	hypB//nirD//argC//nanM//paaH//mhpD//nrdF//patD//codA//epd//aceF//trpB//hyi//glpX//tdcE//citF//murF//rutD//aceA//argF//cyoE//srkA//
PepA	metE//caiA//
PgrR	gcl//glcD//
PhoB	mhpB//poxB//araD//caiD//mhpD//pgk//folA//frdD//nrfD//glpK//recB//glpQ//ldtD//nanM//hyi//
PhoP	glcE//gpmA//narI//
PspF	rutC//
PurR	lsrK//argD//nrdF//fadI//umpH//metC//tdcG//aceE//mhpE//moaA//araB//glpX//
PutA	pyrC//paaI//
PuuR	murQ//yqjH//deoA//trpC//glmU//dgcZ//
QseB	
RbsR	galK//lysC//carA//paaA//ssuD//cyoE//
RcdA	metC//
RclR	
RcnR	truB//
RcsAB	sbcD//moaE//
RcsB	paaB//sbcC//
RcsB-BglJ	ugpQ//murG//
RelB	argI//
RelB-RelE	paaY//
RhaR	
RhaS	mhpC//lacA//ppiA//narH//
Rob	ddlB//cysG//waaZ//puuD//
RstA	aceF//
RutR	citX//fabG//fau//tyrB//uvrB//garL//lysA//nemA//glxK//fadI//
SdiA	
SgrR	eno//rimK//argC//
SlyA	guaB//bglB//murC//paaI//xylB//polA//fes//gdhA//cynT//
SoxR	mraY//
SoxS	mazG//nemA//wrbA//astB//argG//fabD//moaD//glyA//purH//murG//moaE//paaJ//umuD//hycG//nanA//mhpA//
StpA	rhaB//
SutR	entH//deoD//
TdcA	glpB//umuD//purB//murQ//glpD//
TdcR	hemL//cyoE//gadB//metA//metE//
TorR	aceB//dkgA//hcaF//ygeA//
TreR	glxR//puuC//
TrpR	hmp//gntK//ahpF//nrfC//fabB//dmsA//fes//gapA//pdeR//
TtdR	mhpA//hcaF//
TyrR	nirB//pspE//tauD//ulaF//yfdE//araD//appA//fes//paaI//
UhpA	purN//
UlaR	waaZ//astD//aceE//puuD//waaZ//
UvrY	arsC//lysC//
UxuR	recF//ftsI//rsmH//
XylR	entE//hycF//pgk//
YdeO	aroG//fabH//allA//
YefM	cysK//
YefM-YoeB	glcD//
YhaJ	
YjjQ	
YpdB	
YqhC	murG//eno//
YqjI	gltB//
ZntR	aroH//
ZraR	
Zur	nanA//
