# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	glpK//chbF//
Ada	ldtD//malP//pgk//fau//
AdiY	aroG//chbF//gcvH//glcB//
AgaR	add//
AidB	ulaD//
AlaS	grxA//
AllR	codA//gltD//pyrC//relA//garR//xylB//
AraC	argG//nanK//argD//frdB//ribA//phnM//
ArgP	add//guaB//ttdA//ahpC//hmp//fadI//lsrF//lacA//glcD//
ArgR	fbaA//hemH//purM//ssuE//eno//glxR//argB//polB//araD//glnA//rbsD//ftsI//mhpC//recB//phnN//pyrC//umpH//hemL//fadD//pnp//fadI//adhE//dmsC//
ArsR	pck//caiC//
AscG	ulaG//mhpC//
AtoC	cynT//nrdD//glpD//
BaeR	waaZ//entC//
BasR	murE//fau//glpC//
BirA	fadI//puuD//deoC//glmS//mngB//
BluR	
BtsR	puuA//
CadC	nirD//alkA//epd//
CaiF	patD//hcaE//glnA//allB//allB//
Cbl	galK//cysG//aspA//hyaC//gloA//
CecR	fumC//
ChbR	lpxC//carB//ttdB//
ComR	
CpxR	puuA//uvrB//nrfD//argA//hemH//argH//ftsI//tdcE//recD//astE//mdh//cysG//nanK//aroL//cdd//
Cra	paaB//cyoE//putA//mhpE//dkgA//nrfC//mhpF//rutA//ynfF//purA//purC//treC//ftnA//mazG//glpQ//ulaF//galK//narH//nrfC//nanM//nrdD//deoB//ilvC//ulaF//rutD//nirB//
CreB	
CsgD	hyi//citX//astC//bioB//
CspA	
CueR	guaA//caiD//
CusR	astB//nrfA//
CynR	yfdE//waaY//polB//
CysB	puuB//ttdA//gadA//tdcB//ung//udp//napH//glmS//hcaB//
CytR	nrdE//adhE//accA//ilvC//mraY//glcD//polA//frdD//umuD//
DcuR	alkB//nrfC//argB//guaB//
DeoR	glnA//cadA//purB//xylB//
DicA	
DinJ-YafQ	metC//
DnaA	acnA//ssuD//gpmA//aceB//caiC//frdC//
DpiA	galM//astD//nirB//recD//epd//
EnvR	fumC//ddlB//
EvgA	phnN//yqhD//alkA//trpA//tam//
ExuR	
FabR	puuD//pgaB//dmsA//
FadR	deoA//pflB//trpA//phoA//grxA//ygeA//argF//gpmA//alaC//lacA//sbcC//ynfE//gadA//yedX//murF//
FeaR	rbsK//bioD//
FhlA	pdeL//pyrC//hycC//nanE//paaB//puuE//torA//
FlhDC	atoB//phnM//
FliZ	wrbA//ugpQ//argH//hcp//phnI//
Fur	ldtD//recB//phnG//bioA//pgaD//uxuA//pfkA//mhpA//murI//caiA//purF//srkA//garK//purD//frdA//purC//fdhF//pdeR//moaE//hcp//entB//citD//hyi//hcaF//adiA//fumB//hycF//purB//citF//malP//paaZ//
GadE	frdA//hypB//tynA//
GadE-RcsB	fabI//mhpE//deoD//purB//paaJ//
GadW	hyi//citX//aroH//
GadX	sbcC//epd//lsrK//lpxC//phnH//
GalR	tyrA//glpB//glxK//puuB//hycF//
GalS	rimK//ldtC//recD//phoA//ulaE//
GcvA	ldtD//pdeL//tyrB//
GlcC	chbG//nirD//yfdE//
GlpR	caiA//grxA//tdcE//adiA//pnp//ccp//citE//
GlrR	
GntR	entH//ada//nrdA//nanA//argA//
HU	ldtD//lacZ//astC//gpmA//
HcaR	tam//fabI//
HdfR	
HigA	relA//
HigB-HigA	glpB//
HipAB	moaC//tdcG//
HipB	murI//napG//argF//
HprR	ilvC//hcp//
HypT	hcaE//nagB//
IclR	glcB//gadA//rhaA//
IlvY	ycjG//
IscR	nrdB//glmS//alkB//ldtD//glcF//phnH//ynfG//
KdgR	truB//
KdpE	narH//
LacI	ddlB//nrdB//murF//
LeuO	entC//rutD//cynT//
LexA	pnp//metA//lysC//mhpB//ascB//chbF//uvrB//atoA//tam//
LldR	fadI//pykF//
LrhA	
LsrR	nfsA//ycjG//phnN//argG//hyaB//
MalI	nrfD//udp//
MalT	chbF//hycE//torC//torA//
MarA	paaA//gadA//aldA//phnO//nrfA//rutB//galE//lysC//tynA//nanA//narH//paaH//
MarR	
MatA	torC//
MazE	iscS//
MazE-MazF	truB//
McbR	
MelR	nfsA//hycD//
MetJ	edd//waaZ//epd//purB//phnJ//
MetR	mngB//alaC//umuD//
MhpR	ogt//ppiA//argE//hycC//fabD//phnP//
Mlc	ilvC//entC//argF//
MlrA	fadE//
