# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	yqhD//galT//
Ada	sufS//icd//umuD//metA//
AdiY	rnpB//deoD//glmU//rsmH//
AgaR	mpaA//
AidB	lpd//
AlaS	putA//
AllR	yqhD//puuD//acnA//garL//phoA//ulaG//
AraC	glxK//puuC//gntK//ogt//astE//rhaA//
ArgP	lldD//moaD//murC//ung//ahpF//trpC//pnp//glcE//accA//
ArgR	citE//alkB//glpQ//fabD//citF//atoA//dgkA//umuC//rimK//umuD//mazG//pgaB//ubiX//dapD//hcp//rutC//paaZ//torA//nrdE//nanK//uvrB//nrdB//uxuB//
ArsR	ynfE//pykF//
AscG	argE//tyrA//
AtoC	cyoE//dgcC//dapD//
BaeR	mdh//kbaZ//
BasR	garL//iscS//caiD//
BirA	atoD//pgaD//astC//mhpF//tynA//
BluR	
BtsR	ycjG//
CadC	pyrC//ttdB//carB//
CaiF	paaE//hyaB//murQ//nanM//ldtD//
Cbl	aspA//astC//entF//rutE//paaJ//
CecR	adiA//
ChbR	pdeR//narG//xylB//
ComR	
CpxR	fumB//glpD//phnO//hycG//fdhF//oxc//murF//aceF//nanM//phnN//entC//rutA//purN//aroG//glpK//
Cra	nirD//rbsD//metF//ssuD//paaB//nadB//tdcG//hycC//grxA//bglB//moaE//recD//purN//ahpC//hypF//fadE//citX//accA//ygeA//zwf//lysA//gdhA//metC//ruvA//phnN//nirD//
CreB	
CsgD	uxuB//glpD//moaA//ruvA//
CspA	
CueR	nanK//lacA//
CusR	malQ//hcaE//
CynR	ribA//napA//astC//
CysB	entD//gadA//guaB//gadB//hyaB//phnM//citD//entC//grxA//
CytR	entA//hypF//mngB//nagA//aceF//phnO//aspA//citD//aroH//
DcuR	udp//pdeL//galT//caiA//
DeoR	nrdA//kbaZ//acnA//hyaC//
DicA	
DinJ-YafQ	bioD//
DnaA	hcaE//entH//aldA//murQ//kbaZ//glcB//
DpiA	nagA//galT//murE//argA//accC//
EnvR	hcaD//lysA//
EvgA	gltB//bioD//uxuB//hycC//rsmH//
ExuR	
FabR	sodA//chbF//treC//
FadR	umuC//frc//phnG//truB//trpE//srkA//aceB//lysA//entB//rutE//alaC//araD//carA//malP//alkA//
FeaR	fabD//ynfG//
FhlA	polB//aroH//lsrK//ruvA//allA//pck//citD//
FlhDC	glpD//entB//
FliZ	adiA//gcl//tdcE//mdh//paaA//
Fur	sbcD//moaD//nrdA//hycE//lysC//mhpD//ruvA//garR//glpB//trpB//paaG//fumB//alkA//ppsA//citE//argI//phnG//tdcE//hycB//aspA//ruvA//dmsA//fau//rhaA//caiC//uxuA//bioC//purC//fabD//glpB//glpB//
GadE	hyaB//ahpC//allB//
GadE-RcsB	ilvC//ogt//murQ//mtlD//lldD//
GadW	truB//mhpD//hcaB//
GadX	bioB//hmp//paaY//ubiX//acnA//
GalR	argC//ychF//adiA//deoD//entF//
GalS	dmsB//aroG//cysK//paaI//nrdF//
GcvA	lacA//ychF//fadD//
GlcC	paaA//nanA//katG//
GlpR	uxuB//phnJ//ulaG//lsrF//cdd//luxS//cysE//
GlrR	
GntR	argG//mhpF//hyi//truB//guaB//
HU	adhE//rbsD//pykF//dgcC//
HcaR	mngB//wzb//
HdfR	
HigA	relA//
HigB-HigA	sodA//
HipAB	tdcD//frdA//
HipB	grxA//allA//trpB//
HprR	napA//atoB//
HypT	lysA//astE//
IclR	caiA//dgcC//dgcC//
IlvY	bglB//
IscR	nrdD//mhpA//nrfC//iscS//tdcB//paaE//chbF//
KdgR	ogt//
KdpE	allB//
LacI	mhpD//ygeA//galM//
LeuO	hycD//paaC//udp//
LexA	feaB//pgk//astE//fumB//katG//entA//ulaG//acnA//murD//
LldR	atoB//tam//
LrhA	
LsrR	guaB//ascB//rutA//caiD//add//
MalI	lsrK//galE//
MalT	murD//argC//ynfE//srkA//
MarA	aceA//aceA//moaA//entC//carB//udp//aroG//fumB//truB//ssuD//malP//mngB//
MarR	
MatA	aldA//
MazE	dapB//
MazE-MazF	hycC//
McbR	
MelR	trpE//glcE//
MetJ	nfsB//adiA//fumB//purM//cysM//
MetR	alkA//folE//pyrC//
MhpR	aroH//nagB//fadH//glpC//entF//patD//
Mlc	rhaB//nrdA//tnaA//
MlrA	glcE//
MngR	malQ//ugpQ//
MntR	pyrC//
ModE	kbaZ//narH//guaB//deoC//fadJ//ldtD//feaB//xylA//ldtD//tam//moaC//pnp//astD//phnG//polA//
MprA	hcp//
MqsA	fbaA//xylA//
MraZ	allA//trpB//hcaB//nfsA//glxK//bioB//ynfG//mpaA//argH//nrdE//
MurR	yqjH//udp//dmsB//
Nac	argD//cdd//torC//phnG//
NadR	pspE//
NagC	cdd//ruvA//waaZ//araA//ahpC//argB//araA//hyi//fabH//bioA//paaZ//ruvA//dapB//mtlD//
NanR	sodA//srkA//hemH//fadH//yqhD//rsmH//
NarL	kbaY//slt//mhpA//puuC//glyA//ycjG//trpC//poxB//mhpB//ulaD//pnp//lldD//chbG//gcvP//epd//fabA//dapB//hycC//nrfC//ulaE//fabG//entA//caiD//mdh//
NarP	deoC//caiA//recF//phnJ//argI//hcaF//nrfD//caiB//nrdF//
NemR	tdcE//folA//
NhaR	phnJ//allB//ruvB//lsrK//rutC//
NikR	ruvB//
NimR	ulaG//
NorR	fabB//
NrdR	astA//dgcC//napG//add//
NsrR	purA//caiA//melA//glpA//yqhD//ppiA//
NtrC	truB//ygeA//glcB//argH//dgkA//caiA//murQ//ddlB//
OmpR	mhpB//udp//rhaD//chbG//rhaA//hemH//glpX//recB//
OxyR	entC//murI//paaK//hmp//rutA//hcaF//nagA//glpX//pdeR//fadH//bglB//ndh//paaF//
PaaX	aroF//garR//deoC//pgaC//luxS//pflB//waaZ//add//bglB//
PdeL	nagA//
PdhR	purF//arsC//ynfH//fumC//gdhA//mhpA//putA//rutC//nanE//nadB//folE//mhpD//alaC//hcaC//chbG//gdhA//nirB//xylA//metE//rutE//rhaD//carA//
PepA	tdcG//sufS//
PgrR	metC//sbcD//
PhoB	purM//deoC//pgaB//eno//rutE//nagB//pck//malP//gcvH//fbaA//bioA//glcB//glpD//bioF//nagB//
PhoP	cadA//mhpE//carA//
PspF	putA//
PurR	aceB//caiC//moaD//purN//xylA//phnN//ttdB//gadA//ppiA//ynfF//phnH//ygeA//
PutA	argE//glpK//
