# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	adiA//dmsC//
Ada	hyaA//aroH//gcvT//carB//
AdiY	dmsA//rutD//glpD//mraY//
AgaR	fbaA//
AidB	fadI//
AlaS	lsrG//
AllR	paaF//yfdE//chbG//wzb//yqhD//hycE//
AraC	aceB//moaA//pykF//ttdB//pck//sbcD//
ArgP	aceB//hypF//glcE//acnA//caiB//accC//phnJ//gdhA//fadH//
ArgR	ynfH//galM//paaC//caiB//dmsC//hcaD//rutC//bioF//rhaA//alaS//recD//fabA//hcaC//chbF//kbaY//adhE//ldtD//kbaY//eno//tdcG//frc//cadA//ppsA//
ArsR	mngB//araA//
AscG	murC//hyi//
AtoC	astE//rutA//adiA//
BaeR	pdeL//metF//
BasR	ynfE//deoB//mazG//
BirA	fumC//citE//pdeL//citC//lldD//
BluR	
BtsR	trpB//
CadC	ulaG//napH//nrdF//
CaiF	murD//ygeA//tauD//grxA//recD//
Cbl	fadE//ldtC//nrdE//nagA//glxR//
CecR	rbsK//
ChbR	frc//malP//ogt//
ComR	
CpxR	xylA//hycD//ygeA//yfdE//purD//mhpF//frc//dmsC//mhpE//aceA//fes//cysM//lacZ//pdeR//rsmH//
Cra	phnM//paaF//ulaF//entH//tynA//galK//ilvC//glpC//caiA//argG//aceE//pdeR//moaA//sodA//lpd//ugpQ//pgaB//putA//rhaD//moaA//pck//puuA//kbaY//ndh//truB//pnp//
CreB	
CsgD	nrdE//lsrF//frdC//phnO//
CspA	
CueR	mhpE//phnG//
CusR	mhpD//glpK//
CynR	atoA//frdD//phnM//
CysB	fabI//hycB//mhpB//argI//fabA//frdC//malQ//tnaA//rbsD//
CytR	rhaA//phnI//entH//recF//aroH//fumB//yedX//nirB//pykF//
DcuR	zwf//umuC//hemL//ascB//
DeoR	tyrA//gadB//carA//ldtD//
DicA	
DinJ-YafQ	puuB//
DnaA	trpE//bioD//moaA//fabG//feaB//citF//
DpiA	tauD//ynfH//relA//entF//ribA//
EnvR	pyrC//hcaD//
EvgA	polB//aroH//wrbA//paaI//fdhF//
ExuR	
FabR	puuE//metC//glxR//
FadR	deoB//argC//lldD//ascB//metC//araB//hcaB//aceF//yqhD//ahpC//grxA//uxuB//lacZ//gcvP//glpK//
FeaR	deoC//mhpD//
FhlA	lpd//caiA//nrdE//paaA//lysC//patD//garK//
FlhDC	melA//tdcB//
FliZ	kbaY//bioC//bioB//phnO//sufS//
Fur	nirB//ychF//fau//ynfE//ychF//gntK//metC//glpC//luxS//dapB//mdh//tyrA//waaZ//ychF//aroF//paaB//alkB//malP//malY//glmU//argD//yqhD//aceB//glxK//argF//feaB//purF//tynA//glpK//nrdD//glcD//
GadE	moaC//astA//ddlB//
GadE-RcsB	murC//ahpF//metA//hycE//edd//
GadW	tdcE//zwf//tyrB//
GadX	pgaC//nrdF//nirD//paaZ//uxuA//
GalR	metC//nrdA//appA//glcD//rutA//
GalS	ddlB//luxS//waaZ//putA//malQ//
GcvA	cysG//umuD//hcaC//
GlcC	mdh//murG//glyA//
GlpR	purD//aroH//napB//nfsB//trpC//metF//glcD//
GlrR	
GntR	rbsK//argA//napA//glpX//aceE//
HU	citC//deoD//metF//ruvB//
HcaR	eno//mhpE//
HdfR	
HigA	glmS//
HigB-HigA	eda//
HipAB	cysK//arsC//
HipB	aceE//gadA//gcvP//
HprR	lacZ//metE//
HypT	sufS//pgk//
IclR	yfdE//cadA//puuB//
IlvY	tynA//
IscR	katG//ulaE//phoA//cueO//hyi//xylA//entE//
KdgR	lacA//
KdpE	mhpC//
LacI	metC//murE//lldD//
LeuO	entB//trpB//pck//
LexA	gloA//argH//yqjH//waaY//citG//pykF//pck//purH//ycjG//
LldR	murG//hypB//
LrhA	
LsrR	add//gntK//phnO//rhaB//mhpA//
MalI	ttdA//chbF//
MalT	hcaF//waaY//recB//polA//
MarA	ulaF//fau//bioD//atoB//ubiX//nfsA//murI//hyaB//ddlB//fadD//purF//argH//
MarR	
MatA	nrdA//
MazE	paaH//
MazE-MazF	nrdB//
McbR	
MelR	glcD//glmU//
MetJ	phnI//mhpA//lldD//metA//accA//
MetR	gadB//dmsB//paaB//
MhpR	aroH//ttdB//eda//edd//trpD//mngB//
Mlc	araA//entA//lysC//
MlrA	umuD//
MngR	ycjG//phnP//
MntR	garL//
ModE	glpA//rbsK//moaA//bglB//gcvP//murF//gadB//aceF//gcvT//purB//pflB//gdhA//waaZ//metF//glxK//
MprA	nanM//
MqsA	feaB//umuC//
MraZ	nrfC//argF//relA//gloA//cysE//purH//ada//ynfE//nrdB//trpB//
MurR	phoA//narH//adhE//
Nac	pdeR//ynfF//garR//galK//
NadR	rbsD//
NagC	fau//purA//rhaB//ruvB//icd//purC//ldtD//lsrK//argD//polA//argE//astE//hyaB//fadD//
NanR	lysA//ydcS//paaE//fabA//atoA//ssuD//
NarL	fadI//galT//epd//nrdE//murE//ruvA//paaK//hyaB//glnA//narI//argH//ppsA//nanE//aceA//icd//garL//caiA//ruvA//chbG//waaY//nrfA//hcaB//ilvC//polB//
NarP	entA//fabG//nfsB//accA//caiC//purF//pgaD//astC//ilvC//
NemR	umuD//phnI//
NhaR	gntK//hycB//sbcD//accA//recD//
NikR	ydcS//
NimR	dmsA//
NorR	allB//
NrdR	phnL//astB//sufS//hycG//
NsrR	slt//hycE//caiD//bioB//nadB//murE//
NtrC	purF//entF//metC//nfsB//ynfF//pnp//ssuE//mazG//
